"transab_cat2","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Very low transfer dependency","2001","Not Working","Single parent ","196","0.547553679806103","0.497042145997069","0.598065213615137","0"
"High transfer dependency","2002","Full Time","1-pers.-HH","2","","","","2"
"High transfer dependency","2002","Full Time","(Married) couple without C. ","5","","","","2"
"High transfer dependency","2002","Full Time","Single parent ","9","","","","2"
"High transfer dependency","2002","Full Time","Couple + C. LE 16 ","6","","","","2"
"High transfer dependency","2002","Part Time","1-pers.-HH","33","0.071857554217985","0.0478899737341705","0.0958251347017996","2"
"High transfer dependency","2002","Part Time","(Married) couple without C. ","26","","","","2"
"High transfer dependency","2002","Not Working","Couple + C. LE and GT 16","27","","","","2"
"High transfer dependency","2002","Full Time","Couple + C. GT 16 ","8","","","","2"
"High transfer dependency","2002","Full Time","Couple + C. LE and GT 16","8","","","","2"
"High transfer dependency","2002","Part Time","Single parent ","34","0.125558959148101","0.0898626582481381","0.161255260048065","2"
"High transfer dependency","2002","Part Time","Couple + C. LE 16 ","53","0.0448744888520032","0.0340491896474505","0.055699788056556","2"
"High transfer dependency","2002","Part Time","Couple + C. GT 16 ","13","","","","2"
"High transfer dependency","2002","Part Time","Couple + C. LE and GT 16","17","","","","2"
"High transfer dependency","2002","Not Working","1-pers.-HH","29","","","","2"
"High transfer dependency","2002","Not Working","Single parent ","30","0.115404612803856","0.0825813826128797","0.148227842994833","2"
"High transfer dependency","2002","Not Working","Couple + C. LE 16 ","52","0.0636491321105773","0.0475104077095127","0.079787856511642","2"
"High transfer dependency","2002","Not Working","Couple + C. GT 16 ","36","0.0318337350733263","0.0217266680696994","0.0419408020769533","2"
"High transfer dependency","2002","Not Working","(Married) couple without C. ","54","0.0172361931222442","0.0129560640567155","0.021516322187773","2"
"Low transfer dependency","2002","Full Time","Couple + C. GT 16 ","67","0.0545513204752838","0.0440247731473341","0.0650778678032335","1"
"Low transfer dependency","2002","Full Time","(Married) couple without C. ","44","0.0157467921370909","0.0110272694464383","0.0204663148277436","1"
"Low transfer dependency","2002","Full Time","Single parent ","13","","","","1"
"Low transfer dependency","2002","Full Time","Couple + C. LE 16 ","157","0.069107558998109","0.0590209110712776","0.0791942069249404","1"
"Low transfer dependency","2002","Full Time","Couple + C. LE and GT 16","52","0.0642958584460399","0.0477481582796698","0.08084355861241","1"
"Low transfer dependency","2002","Part Time","1-pers.-HH","53","0.112877446709421","0.0835093324990265","0.142245560919816","1"
"Low transfer dependency","2002","Part Time","(Married) couple without C. ","65","0.0532464668892232","0.0406886897095995","0.065804244068847","1"
"Low transfer dependency","2002","Part Time","Single parent ","65","0.185384240717609","0.143519644753753","0.227248836681464","1"
"Low transfer dependency","2002","Part Time","Couple + C. LE 16 ","111","0.0812167264654766","0.0669330761526751","0.0955003767782781","1"
"Low transfer dependency","2002","Not Working","1-pers.-HH","41","0.0295138817240195","0.0207512849787726","0.0382764784692665","1"
"Low transfer dependency","2002","Not Working","(Married) couple without C. ","125","0.0331165220035272","0.027231866525136","0.0390011774819183","1"
"Low transfer dependency","2002","Full Time","1-pers.-HH","13","","","","1"
"Low transfer dependency","2002","Part Time","Couple + C. GT 16 ","58","0.0664489503274259","0.0513045034731028","0.0815933971817489","1"
"Low transfer dependency","2002","Part Time","Couple + C. LE and GT 16","59","0.133031705114794","0.105628505656381","0.160434904573206","1"
"Low transfer dependency","2002","Not Working","Single parent ","30","0.0719677327323867","0.0454187522636257","0.0985167132011478","1"
"Low transfer dependency","2002","Not Working","Couple + C. LE 16 ","132","0.143481445517838","0.120306436443965","0.166656454591711","1"
"Low transfer dependency","2002","Not Working","Couple + C. GT 16 ","117","0.108112506186936","0.0902353111751129","0.125989701198759","1"
"Low transfer dependency","2002","Not Working","Couple + C. LE and GT 16","51","0.109785199854756","0.0823006138145028","0.13726978589501","1"
"Very high transfer dependency","2002","Full Time","Couple + C. LE 16 ","2","","","","3"
"Very high transfer dependency","2002","Full Time","Couple + C. GT 16 ","2","","","","3"
"Very high transfer dependency","2002","Full Time","1-pers.-HH","","","","","3"
"Very high transfer dependency","2002","Full Time","(Married) couple without C. ","1","","","","3"
"Very high transfer dependency","2002","Full Time","Single parent ","3","","","","3"
"Very high transfer dependency","2002","Full Time","Couple + C. LE and GT 16","1","","","","3"
"Very high transfer dependency","2002","Part Time","1-pers.-HH","12","","","","3"
"Very high transfer dependency","2002","Part Time","(Married) couple without C. ","9","","","","3"
"Very high transfer dependency","2002","Part Time","Single parent ","16","","","","3"
"Very high transfer dependency","2002","Part Time","Couple + C. LE 16 ","15","","","","3"
"Very high transfer dependency","2002","Not Working","1-pers.-HH","124","0.0716221632313431","0.0582712462672821","0.0849730801954042","3"
"Very high transfer dependency","2002","Not Working","(Married) couple without C. ","88","0.0246848633026029","0.0195821700925604","0.0297875565126453","3"
"Very high transfer dependency","2002","Part Time","Couple + C. GT 16 ","3","","","","3"
"Very high transfer dependency","2002","Part Time","Couple + C. LE and GT 16","5","","","","3"
"Very high transfer dependency","2002","Not Working","Single parent ","102","0.28737229072983","0.240883184510325","0.333861396949334","3"
"Very high transfer dependency","2002","Not Working","Couple + C. LE 16 ","81","0.127228302990114","0.105199248976679","0.14925735700355","3"
"Very high transfer dependency","2002","Not Working","Couple + C. GT 16 ","25","","","","3"
"Very high transfer dependency","2002","Not Working","Couple + C. LE and GT 16","18","","","","3"
"Very low transfer dependency","2002","Full Time","1-pers.-HH","1116","0.984629422359276","0.977459766873222","0.99179907784533","0"
"Very low transfer dependency","2002","Full Time","(Married) couple without C. ","2623","0.982166343759997","0.977149144713194","0.9871835428068","0"
"Very low transfer dependency","2002","Full Time","Single parent ","408","0.933377001186178","0.909889069281708","0.956864933090647","0"
"Very low transfer dependency","2002","Full Time","Couple + C. LE 16 ","2264","0.927559016873033","0.917250474100635","0.937867559645431","0"
"Very low transfer dependency","2002","Part Time","1-pers.-HH","348","0.788256262100498","0.750340510957773","0.826172013243223","0"
"Very low transfer dependency","2002","Part Time","(Married) couple without C. ","1128","0.906805316834328","0.890546029550388","0.923064604118267","0"
"Very low transfer dependency","2002","Full Time","Couple + C. GT 16 ","1711","0.938285340454907","0.927131460447422","0.949439220462391","0"
"Very low transfer dependency","2002","Full Time","Couple + C. LE and GT 16","783","0.922089555481012","0.904006939462702","0.940172171499321","0"
"Very low transfer dependency","2002","Part Time","Single parent ","216","0.654390486990352","0.60315800137323","0.705622972607475","0"
"Very low transfer dependency","2002","Part Time","Couple + C. LE 16 ","1226","0.860394598005999","0.842272441440052","0.878516754571945","0"
"Very low transfer dependency","2002","Part Time","Couple + C. GT 16 ","965","0.911619939622152","0.894360592154503","0.9288792870898","0"
"Very low transfer dependency","2002","Part Time","Couple + C. LE and GT 16","509","0.815545414660197","0.784249266564218","0.846841562756176","0"
"Very low transfer dependency","2002","Not Working","1-pers.-HH","1239","0.879023186770511","0.862139152251505","0.895907221289516","0"
"Very low transfer dependency","2002","Not Working","Single parent ","202","0.525255363733927","0.473955917084939","0.576554810382915","0"
"Very low transfer dependency","2002","Not Working","Couple + C. LE 16 ","614","0.66564111938147","0.634453648612296","0.696828590150643","0"
"Very low transfer dependency","2002","Not Working","Couple + C. GT 16 ","981","0.837530125796668","0.816293133286578","0.858767118306757","0"
"Very low transfer dependency","2002","Not Working","(Married) couple without C. ","3285","0.924962421571626","0.916298528929642","0.933626314213609","0"
"Very low transfer dependency","2002","Not Working","Couple + C. LE and GT 16","401","0.746802948380891","0.708573130363445","0.785032766398337","0"
"High transfer dependency","2003","Full Time","Single parent ","14","","","","2"
"High transfer dependency","2003","Full Time","Couple + C. LE 16 ","11","","","","2"
"High transfer dependency","2003","Full Time","1-pers.-HH","2","","","","2"
"High transfer dependency","2003","Full Time","(Married) couple without C. ","5","","","","2"
"High transfer dependency","2003","Full Time","Couple + C. GT 16 ","8","","","","2"
"High transfer dependency","2003","Part Time","1-pers.-HH","36","0.0761957468666298","0.0516005856674387","0.100790908065821","2"
"High transfer dependency","2003","Part Time","(Married) couple without C. ","27","","","","2"
"High transfer dependency","2003","Full Time","Couple + C. LE and GT 16","7","","","","2"
"High transfer dependency","2003","Part Time","Single parent ","30","0.111489485212994","0.0772714828893923","0.145707487536597","2"
"High transfer dependency","2003","Part Time","Couple + C. LE 16 ","53","0.0365084878774019","0.0264288915445383","0.0465880842102655","2"
"High transfer dependency","2003","Part Time","Couple + C. GT 16 ","22","","","","2"
"High transfer dependency","2003","Part Time","Couple + C. LE and GT 16","8","","","","2"
"High transfer dependency","2003","Not Working","1-pers.-HH","22","","","","2"
"High transfer dependency","2003","Not Working","Couple + C. LE and GT 16","12","","","","2"
"High transfer dependency","2003","Not Working","(Married) couple without C. ","53","0.0136261232169414","0.00981783307213297","0.0174344133617499","2"
"High transfer dependency","2003","Not Working","Single parent ","33","0.0802907569855168","0.0531466362675943","0.107434877703439","2"
"High transfer dependency","2003","Not Working","Couple + C. LE 16 ","46","0.0560888535821393","0.0401044882828952","0.0720732188813834","2"
"High transfer dependency","2003","Not Working","Couple + C. GT 16 ","42","0.0346955741525235","0.0242315593394633","0.0451595889655837","2"
"Low transfer dependency","2003","Full Time","(Married) couple without C. ","49","0.016268767547616","0.0113058008905794","0.0212317342046526","1"
"Low transfer dependency","2003","Full Time","Single parent ","19","","","","1"
"Low transfer dependency","2003","Part Time","1-pers.-HH","46","0.0994090493141718","0.0716713089237876","0.127146789704556","1"
"Low transfer dependency","2003","Part Time","(Married) couple without C. ","77","0.0586180627260853","0.0456112401335525","0.0716248853186181","1"
"Low transfer dependency","2003","Full Time","Couple + C. GT 16 ","58","0.0423619584451179","0.0328955113990729","0.051828405491163","1"
"Low transfer dependency","2003","Full Time","Couple + C. LE and GT 16","71","0.0962750687862497","0.0754137129254048","0.117136424647095","1"
"Low transfer dependency","2003","Full Time","1-pers.-HH","10","","","","1"
"Low transfer dependency","2003","Full Time","Couple + C. LE 16 ","160","0.0771190344473053","0.065981323771948","0.0882567451226625","1"
"Low transfer dependency","2003","Part Time","Single parent ","69","0.202989592557931","0.159260013915998","0.246719171199863","1"
"Low transfer dependency","2003","Part Time","Couple + C. LE 16 ","134","0.105644202223047","0.0891245740533788","0.122163830392716","1"
"Low transfer dependency","2003","Part Time","Couple + C. GT 16 ","61","0.0743268409148275","0.0582611360124889","0.0903925458171661","1"
"Low transfer dependency","2003","Part Time","Couple + C. LE and GT 16","63","0.122461939252443","0.095237807330724","0.149686071174162","1"
"Low transfer dependency","2003","Not Working","1-pers.-HH","47","0.0328876281697061","0.023730209684519","0.0420450466548932","1"
"Low transfer dependency","2003","Not Working","Couple + C. LE 16 ","114","0.140657813795402","0.116505621664168","0.164810005926635","1"
"Low transfer dependency","2003","Not Working","(Married) couple without C. ","138","0.0311094311811872","0.0254063902119756","0.0368124721503988","1"
"Low transfer dependency","2003","Not Working","Single parent ","41","0.0972101537656506","0.067618660985069","0.126801646546232","1"
"Low transfer dependency","2003","Not Working","Couple + C. GT 16 ","99","0.0946778925403337","0.0779379095746764","0.111417875505991","1"
"Low transfer dependency","2003","Not Working","Couple + C. LE and GT 16","87","0.187762023607812","0.153289731943792","0.222234315271833","1"
"Very high transfer dependency","2003","Full Time","Couple + C. LE 16 ","2","","","","3"
"Very high transfer dependency","2003","Full Time","(Married) couple without C. ","","","","","3"
"Very high transfer dependency","2003","Full Time","Single parent ","2","","","","3"
"Very high transfer dependency","2003","Full Time","1-pers.-HH","1","","","","3"
"Very high transfer dependency","2003","Full Time","Couple + C. GT 16 ","","","","","3"
"Very high transfer dependency","2003","Full Time","Couple + C. LE and GT 16","3","","","","3"
"Very high transfer dependency","2003","Part Time","1-pers.-HH","24","","","","3"
"Very high transfer dependency","2003","Part Time","(Married) couple without C. ","17","","","","3"
"Very high transfer dependency","2003","Part Time","Single parent ","25","","","","3"
"Very high transfer dependency","2003","Part Time","Couple + C. LE 16 ","26","","","","3"
"Very high transfer dependency","2003","Part Time","Couple + C. GT 16 ","8","","","","3"
"Very high transfer dependency","2003","Part Time","Couple + C. LE and GT 16","6","","","","3"
"Very high transfer dependency","2003","Not Working","1-pers.-HH","123","0.0798514648822173","0.0659330836296997","0.0937698461347348","3"
"Very high transfer dependency","2003","Not Working","(Married) couple without C. ","76","0.0270729187702943","0.0217416475375899","0.0324041900029987","3"
"Very high transfer dependency","2003","Not Working","Single parent ","93","0.273291369295212","0.228775911538487","0.317806827051938","3"
"Very high transfer dependency","2003","Not Working","Couple + C. LE 16 ","99","0.156091239986671","0.13087800508499","0.181304474888352","3"
"Very high transfer dependency","2003","Not Working","Couple + C. GT 16 ","39","0.0354668172741848","0.024891367352602","0.0460422671957676","3"
"Very high transfer dependency","2003","Not Working","Couple + C. LE and GT 16","31","0.0998437422374212","0.0733804416954146","0.126307042779428","3"
"Very low transfer dependency","2003","Full Time","1-pers.-HH","1067","0.991980303145838","0.986660853357878","0.997299752933799","0"
"Very low transfer dependency","2003","Full Time","(Married) couple without C. ","2442","0.980696682595591","0.975298977793132","0.986094387398049","0"
"Very low transfer dependency","2003","Full Time","Single parent ","363","0.907681029481699","0.879241745310944","0.936120313652455","0"
"Very low transfer dependency","2003","Full Time","Couple + C. LE 16 ","2031","0.915431505378301","0.9038154272768","0.927047583479802","0"
"Very low transfer dependency","2003","Part Time","1-pers.-HH","341","0.777854658617293","0.739319055274256","0.816390261960331","0"
"Very low transfer dependency","2003","Part Time","(Married) couple without C. ","1132","0.901920309546535","0.885452107675372","0.918388511417698","0"
"Very low transfer dependency","2003","Full Time","Couple + C. GT 16 ","1673","0.953317738508035","0.943402730243241","0.963232746772829","0"
"Very low transfer dependency","2003","Full Time","Couple + C. LE and GT 16","687","0.891467114271227","0.86946822166086","0.913466006881594","0"
"Very low transfer dependency","2003","Part Time","Single parent ","201","0.59884619140578","0.54555940665148","0.652132976160081","0"
"Very low transfer dependency","2003","Part Time","Couple + C. LE 16 ","1117","0.820130332904254","0.799488765439391","0.840771900369118","0"
"Very low transfer dependency","2003","Part Time","Couple + C. GT 16 ","933","0.889684597551121","0.870496398034463","0.908872797067779","0"
"Very low transfer dependency","2003","Part Time","Couple + C. LE and GT 16","480","0.848930486138281","0.819190211534372","0.87867076074219","0"
"Very low transfer dependency","2003","Not Working","1-pers.-HH","1265","0.871900141961973","0.854739797014142","0.889060486909804","0"
"Very low transfer dependency","2003","Not Working","(Married) couple without C. ","3293","0.928191526831577","0.919710865152995","0.936672188510159","0"
"Very low transfer dependency","2003","Not Working","Single parent ","218","0.54920771995362","0.499505672700955","0.598909767206286","0"
"Very low transfer dependency","2003","Not Working","Couple + C. LE 16 ","537","0.647162092635788","0.613966096045035","0.680358089226541","0"
"Very low transfer dependency","2003","Not Working","Couple + C. GT 16 ","995","0.835159716032958","0.813944590607502","0.856374841458414","0"
"Very low transfer dependency","2003","Not Working","Couple + C. LE and GT 16","363","0.691745993015802","0.650984289779966","0.732507696251637","0"
"High transfer dependency","2004","Full Time","Single parent ","7","","","","2"
"High transfer dependency","2004","Full Time","Couple + C. LE 16 ","11","","","","2"
"High transfer dependency","2004","Full Time","1-pers.-HH","4","","","","2"
"High transfer dependency","2004","Full Time","(Married) couple without C. ","6","","","","2"
"High transfer dependency","2004","Full Time","Couple + C. GT 16 ","11","","","","2"
"High transfer dependency","2004","Part Time","1-pers.-HH","34","0.0570054257111889","0.0355359332597676","0.0784749181626102","2"
"High transfer dependency","2004","Part Time","(Married) couple without C. ","31","0.040876864177817","0.0297615380966638","0.0519921902589701","2"
"High transfer dependency","2004","Full Time","Couple + C. LE and GT 16","4","","","","2"
"High transfer dependency","2004","Part Time","Single parent ","38","0.119484273055176","0.0843820112789809","0.154586534831371","2"
"High transfer dependency","2004","Part Time","Couple + C. LE 16 ","50","0.0399316316158387","0.0291758123073512","0.0506874509243262","2"
"High transfer dependency","2004","Part Time","Couple + C. GT 16 ","20","","","","2"
"High transfer dependency","2004","Part Time","Couple + C. LE and GT 16","20","","","","2"
"High transfer dependency","2004","Not Working","1-pers.-HH","22","","","","2"
"High transfer dependency","2004","Not Working","Couple + C. LE and GT 16","26","","","","2"
"High transfer dependency","2004","Not Working","(Married) couple without C. ","41","0.0147958833606647","0.0108292902298427","0.0187624764914866","2"
"High transfer dependency","2004","Not Working","Single parent ","24","","","","2"
"High transfer dependency","2004","Not Working","Couple + C. LE 16 ","34","0.0375860094090394","0.023910366347174","0.0512616524709049","2"
"High transfer dependency","2004","Not Working","Couple + C. GT 16 ","42","0.0352133002929796","0.0247453601813359","0.0456812404046234","2"
"Low transfer dependency","2004","Full Time","(Married) couple without C. ","48","0.0194577528036624","0.0140291296540876","0.0248863759532372","1"
"Low transfer dependency","2004","Full Time","Single parent ","22","","","","1"
"Low transfer dependency","2004","Full Time","Couple + C. GT 16 ","57","0.0432719429827485","0.0335655175371142","0.0529783684283828","1"
"Low transfer dependency","2004","Full Time","Couple + C. LE and GT 16","66","0.106685716523235","0.0836177586226826","0.129753674423788","1"
"Low transfer dependency","2004","Part Time","1-pers.-HH","61","0.138146612057389","0.106194770060651","0.170098454054128","1"
"Low transfer dependency","2004","Part Time","(Married) couple without C. ","48","0.0347425883996531","0.0244624515437622","0.0450227252555441","1"
"Low transfer dependency","2004","Full Time","1-pers.-HH","8","","","","1"
"Low transfer dependency","2004","Full Time","Couple + C. LE 16 ","150","0.075505905311311","0.0639209895734913","0.0870908210491308","1"
"Low transfer dependency","2004","Part Time","Single parent ","69","0.230363936058109","0.184795815219722","0.275932056896497","1"
"Low transfer dependency","2004","Part Time","Couple + C. LE 16 ","144","0.126397534122713","0.108143447146037","0.144651621099388","1"
"Low transfer dependency","2004","Part Time","Couple + C. GT 16 ","71","0.0893662130634589","0.0718508333673073","0.106881592759611","1"
"Low transfer dependency","2004","Part Time","Couple + C. LE and GT 16","66","0.113881652780251","0.0872604806838211","0.140502824876681","1"
"Low transfer dependency","2004","Not Working","1-pers.-HH","41","0.0287456460957772","0.0201835823972717","0.0373077097942828","1"
"Low transfer dependency","2004","Not Working","Couple + C. LE 16 ","119","0.166916886849074","0.140103727582494","0.193730046115653","1"
"Low transfer dependency","2004","Not Working","(Married) couple without C. ","126","0.0371994526277304","0.0309818847382616","0.0434170205171992","1"
"Low transfer dependency","2004","Not Working","Single parent ","33","0.0759057927349571","0.049484745788798","0.102326839681116","1"
"Low transfer dependency","2004","Not Working","Couple + C. GT 16 ","108","0.105709202596314","0.088247443613869","0.123170961578759","1"
"Low transfer dependency","2004","Not Working","Couple + C. LE and GT 16","96","0.192811339598586","0.159224899974223","0.226397779222948","1"
"Very high transfer dependency","2004","Full Time","(Married) couple without C. ","2","","","","3"
"Very high transfer dependency","2004","Full Time","Single parent ","5","","","","3"
"Very high transfer dependency","2004","Full Time","Couple + C. LE 16 ","2","","","","3"
"Very high transfer dependency","2004","Full Time","1-pers.-HH","2","","","","3"
"Very high transfer dependency","2004","Full Time","Couple + C. GT 16 ","3","","","","3"
"Very high transfer dependency","2004","Full Time","Couple + C. LE and GT 16","1","","","","3"
"Very high transfer dependency","2004","Part Time","1-pers.-HH","22","","","","3"
"Very high transfer dependency","2004","Part Time","(Married) couple without C. ","17","","","","3"
"Very high transfer dependency","2004","Part Time","Single parent ","12","","","","3"
"Very high transfer dependency","2004","Part Time","Couple + C. LE 16 ","32","0.0397169292387121","0.0289888652056613","0.0504449932717628","3"
"Very high transfer dependency","2004","Part Time","Couple + C. GT 16 ","4","","","","3"
"Very high transfer dependency","2004","Part Time","Couple + C. LE and GT 16","10","","","","3"
"Very high transfer dependency","2004","Not Working","1-pers.-HH","141","0.0919903528217521","0.077180787842774","0.10679991780073","3"
"Very high transfer dependency","2004","Not Working","(Married) couple without C. ","66","0.0192217676415341","0.0147108368111786","0.0237326984718896","3"
"Very high transfer dependency","2004","Not Working","Couple + C. LE 16 ","97","0.154759874420732","0.128753912553827","0.180765836287636","3"
"Very high transfer dependency","2004","Not Working","Couple + C. GT 16 ","36","0.0468739155020159","0.034869721534647","0.0588781094693848","3"
"Very high transfer dependency","2004","Not Working","Couple + C. LE and GT 16","39","0.0860919854985221","0.0622115214895724","0.109972449507472","3"
"Very high transfer dependency","2004","Not Working","Single parent ","107","0.280164572266174","0.235364609242662","0.324964535289685","3"
"Very low transfer dependency","2004","Full Time","1-pers.-HH","1002","0.990512355777466","0.984551475749326","0.996473235805606","0"
"Very low transfer dependency","2004","Full Time","(Married) couple without C. ","2431","0.973122188343665","0.966766086619681","0.979478290067648","0"
"Very low transfer dependency","2004","Full Time","Single parent ","328","0.905904378499576","0.875828405056298","0.935980351942854","0"
"Very low transfer dependency","2004","Full Time","Couple + C. LE 16 ","1835","0.916384653267792","0.904247069218306","0.928522237317279","0"
"Very low transfer dependency","2004","Part Time","1-pers.-HH","331","0.747565529934501","0.707339419006577","0.787791640862425","0"
"Very low transfer dependency","2004","Part Time","(Married) couple without C. ","1123","0.904985347282891","0.888524116462972","0.92144657810281","0"
"Very low transfer dependency","2004","Full Time","Couple + C. GT 16 ","1617","0.946907302202925","0.936211016378338","0.957603588027512","0"
"Very low transfer dependency","2004","Full Time","Couple + C. LE and GT 16","617","0.886208778198393","0.86247995087456","0.909937605522225","0"
"Very low transfer dependency","2004","Part Time","Single parent ","209","0.619702645502992","0.567165739064425","0.67223955194156","0"
"Very low transfer dependency","2004","Part Time","Couple + C. LE 16 ","1047","0.793953905022737","0.771735456592096","0.816172353453377","0"
"Very low transfer dependency","2004","Part Time","Couple + C. GT 16 ","924","0.87874867676299","0.858706883199114","0.898790470326866","0"
"Very low transfer dependency","2004","Part Time","Couple + C. LE and GT 16","451","0.799790891009205","0.766256951927226","0.833324830091183","0"
"Very low transfer dependency","2004","Not Working","1-pers.-HH","1259","0.866928357605825","0.849523908110394","0.884332807101255","0"
"Very low transfer dependency","2004","Not Working","Couple + C. LE 16 ","493","0.640737229321155","0.606238764371478","0.675235694270832","0"
"Very low transfer dependency","2004","Not Working","(Married) couple without C. ","3326","0.928782896370071","0.920333350748264","0.937232441991878","0"
"Very low transfer dependency","2004","Not Working","Single parent ","222","0.576106550442388","0.526807994503297","0.625405106381478","0"
"Very low transfer dependency","2004","Not Working","Couple + C. LE and GT 16","369","0.672489425426003","0.632534939286207","0.7124439115658","0"
"Very low transfer dependency","2004","Not Working","Couple + C. GT 16 ","1005","0.81220358160869","0.790023235790116","0.834383927427264","0"
"High transfer dependency","2005","Full Time","Single parent ","8","","","","2"
"High transfer dependency","2005","Full Time","Couple + C. LE 16 ","13","","","","2"
"High transfer dependency","2005","Full Time","1-pers.-HH","5","","","","2"
"High transfer dependency","2005","Full Time","(Married) couple without C. ","7","","","","2"
"High transfer dependency","2005","Full Time","Couple + C. GT 16 ","7","","","","2"
"High transfer dependency","2005","Part Time","1-pers.-HH","38","0.0806032360614327","0.0558070252464717","0.105399446876394","2"
"High transfer dependency","2005","Part Time","(Married) couple without C. ","19","","","","2"
"High transfer dependency","2005","Full Time","Couple + C. LE and GT 16","7","","","","2"
"High transfer dependency","2005","Part Time","Single parent ","45","0.149031040673677","0.11161535612001","0.186446725227344","2"
"High transfer dependency","2005","Part Time","Couple + C. LE 16 ","40","0.0314830043169829","0.0215742382195812","0.0413917704143846","2"
"High transfer dependency","2005","Part Time","Couple + C. GT 16 ","16","","","","2"
"High transfer dependency","2005","Part Time","Couple + C. LE and GT 16","12","","","","2"
"High transfer dependency","2005","Not Working","1-pers.-HH","22","","","","2"
"High transfer dependency","2005","Not Working","Couple + C. LE and GT 16","30","0.059063344418758","0.0390872578598786","0.0790394309776373","2"
"High transfer dependency","2005","Not Working","Single parent ","38","0.113987113039441","0.0823657836025955","0.145608442476287","2"
"High transfer dependency","2005","Not Working","Couple + C. LE 16 ","46","0.085708771473441","0.0643197923839308","0.107097750562951","2"
"High transfer dependency","2005","Not Working","(Married) couple without C. ","57","0.0147281406455541","0.0107407008766236","0.0187155804144846","2"
"High transfer dependency","2005","Not Working","Couple + C. GT 16 ","42","0.045651062756677","0.0331678896320892","0.0581342358812647","2"
"Low transfer dependency","2005","Full Time","(Married) couple without C. ","47","0.0173437236551327","0.0120755981923782","0.0226118491178873","1"
"Low transfer dependency","2005","Full Time","Single parent ","25","","","","1"
"Low transfer dependency","2005","Full Time","Couple + C. GT 16 ","53","0.0376782093928522","0.0282861179199069","0.0470703008657976","1"
"Low transfer dependency","2005","Full Time","Couple + C. LE and GT 16","64","0.101945212434938","0.0785398478341295","0.125350577035746","1"
"Low transfer dependency","2005","Part Time","1-pers.-HH","64","0.152171279053507","0.11945393784107","0.184888620265943","1"
"Low transfer dependency","2005","Part Time","(Married) couple without C. ","64","0.0730718127750675","0.0581400648985735","0.0880035606515615","1"
"Low transfer dependency","2005","Full Time","1-pers.-HH","11","","","","1"
"Low transfer dependency","2005","Full Time","Couple + C. LE 16 ","129","0.0688161604288441","0.057208578669962","0.0804237421877263","1"
"Low transfer dependency","2005","Part Time","Single parent ","65","0.186740116833652","0.145795957648563","0.227684276018741","1"
"Low transfer dependency","2005","Part Time","Couple + C. LE 16 ","130","0.113840667339699","0.0958174427938273","0.131863891885571","1"
"Low transfer dependency","2005","Part Time","Couple + C. GT 16 ","70","0.0961569205573957","0.0776806014070132","0.114633239707778","1"
"Low transfer dependency","2005","Part Time","Couple + C. LE and GT 16","72","0.174591671921338","0.141449649410777","0.207733694431898","1"
"Low transfer dependency","2005","Not Working","1-pers.-HH","42","0.0369890890150329","0.0272035579899179","0.0467746200401478","1"
"Low transfer dependency","2005","Not Working","Couple + C. LE 16 ","124","0.176311763950563","0.147194053627745","0.205429474273381","1"
"Low transfer dependency","2005","Not Working","(Married) couple without C. ","144","0.0384570768459755","0.0320918394133513","0.0448223142785997","1"
"Low transfer dependency","2005","Not Working","Single parent ","43","0.107764051347493","0.0769102242169987","0.138617878477987","1"
"Low transfer dependency","2005","Not Working","Couple + C. GT 16 ","104","0.10296149945143","0.0847858925509226","0.121137106351937","1"
"Low transfer dependency","2005","Not Working","Couple + C. LE and GT 16","86","0.161223538382967","0.130062742505959","0.192384334259974","1"
"Very high transfer dependency","2005","Full Time","1-pers.-HH","3","","","","3"
"Very high transfer dependency","2005","Full Time","(Married) couple without C. ","","","","","3"
"Very high transfer dependency","2005","Full Time","Single parent ","3","","","","3"
"Very high transfer dependency","2005","Full Time","Couple + C. LE 16 ","1","","","","3"
"Very high transfer dependency","2005","Full Time","Couple + C. GT 16 ","1","","","","3"
"Very high transfer dependency","2005","Full Time","Couple + C. LE and GT 16","1","","","","3"
"Very high transfer dependency","2005","Part Time","1-pers.-HH","48","0.122975628802877","0.0930617346637304","0.152889522942024","3"
"Very high transfer dependency","2005","Part Time","(Married) couple without C. ","13","","","","3"
"Very high transfer dependency","2005","Part Time","Single parent ","20","","","","3"
"Very high transfer dependency","2005","Part Time","Couple + C. LE 16 ","23","","","","3"
"Very high transfer dependency","2005","Part Time","Couple + C. GT 16 ","7","","","","3"
"Very high transfer dependency","2005","Part Time","Couple + C. LE and GT 16","11","","","","3"
"Very high transfer dependency","2005","Not Working","1-pers.-HH","135","0.0948655494160705","0.0796725756731394","0.110058523159002","3"
"Very high transfer dependency","2005","Not Working","(Married) couple without C. ","71","0.0257463084608326","0.0205038421384988","0.0309887747831664","3"
"Very high transfer dependency","2005","Not Working","Couple + C. LE 16 ","84","0.140457294708491","0.113908731434993","0.167005857981989","3"
"Very high transfer dependency","2005","Not Working","Couple + C. GT 16 ","32","0.0396432297545441","0.0279738770574427","0.0513125824516455","3"
"Very high transfer dependency","2005","Not Working","Couple + C. LE and GT 16","55","0.119676956286488","0.092172852203677","0.147181060369298","3"
"Very high transfer dependency","2005","Not Working","Single parent ","94","0.244990610917773","0.202196587029448","0.287784634806098","3"
