"transab_cat2","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Very low transfer dependency","2009","direct migration background","East Germany","64","0.83781040967754","0.753822534209866","0.921798285145215","0"
"Very low transfer dependency","2009","indirect migration background","East Germany","28","","","","0"
"Very low transfer dependency","2009","indirect migration background","West Germany","579","0.799572956018915","0.770126968371005","0.829018943666825","0"
"High transfer dependency","2010","no migration background","West Germany","409","0.0167821890982061","0.0147147787334049","0.0188495994630073","2"
"High transfer dependency","2010","no migration background","East Germany","260","0.0393457054268277","0.0340922364436712","0.0445991744099841","2"
"High transfer dependency","2010","direct migration background","West Germany","184","0.0420017225098223","0.0344922490274293","0.0495111959922153","2"
"High transfer dependency","2010","direct migration background","East Germany","5","","","","2"
"High transfer dependency","2010","indirect migration background","East Germany","8","","","","2"
"High transfer dependency","2010","indirect migration background","West Germany","79","0.0614614964937294","0.0474641923007004","0.0754588006867584","2"
"Low transfer dependency","2010","no migration background","West Germany","1005","0.0400882263806966","0.0369310300030517","0.0432454227583416","1"
"Low transfer dependency","2010","no migration background","East Germany","597","0.0751474915960424","0.0680237620374329","0.0822712211546518","1"
"Low transfer dependency","2010","direct migration background","East Germany","26","","","","1"
"Low transfer dependency","2010","direct migration background","West Germany","407","0.12113316493525","0.108918356969879","0.133347972900621","1"
"Low transfer dependency","2010","indirect migration background","East Germany","26","","","","1"
"Low transfer dependency","2010","indirect migration background","West Germany","142","0.0902847910506685","0.0735824704797147","0.106987111621622","1"
"Very high transfer dependency","2010","no migration background","West Germany","461","0.0215626961139897","0.0192249596672248","0.0239004325607547","3"
"Very high transfer dependency","2010","no migration background","East Germany","361","0.0580386193920761","0.0517204825861675","0.0643567561979847","3"
"Very high transfer dependency","2010","direct migration background","West Germany","304","0.0824047029093909","0.0721104422264052","0.0926989635923767","3"
"Very high transfer dependency","2010","direct migration background","East Germany","29","","","","3"
"Very high transfer dependency","2010","indirect migration background","West Germany","94","0.0743160190376334","0.0590301765057342","0.0896018615695325","3"
"Very high transfer dependency","2010","indirect migration background","East Germany","11","","","","3"
"Very low transfer dependency","2010","no migration background","West Germany","12955","0.921566888407108","0.91723985080765","0.925893926006565","0"
"Very low transfer dependency","2010","no migration background","East Germany","4043","0.827468183585054","0.817258220087192","0.837678147082915","0"
"Very low transfer dependency","2010","direct migration background","West Germany","1846","0.754460409645537","0.738347552219789","0.770573267071285","0"
"Very low transfer dependency","2010","direct migration background","East Germany","67","0.591058291410936","0.505553177254886","0.676563405566985","0"
"Very low transfer dependency","2010","indirect migration background","West Germany","816","0.773937693417969","0.749560490905588","0.79831489593035","0"
"Very low transfer dependency","2010","indirect migration background","East Germany","30","0.498291170348555","0.385133257811292","0.611449082885819","0"
"High transfer dependency","2011","no migration background","West Germany","523","0.0216372590155024","0.0195116911435676","0.0237628268874373","2"
"High transfer dependency","2011","no migration background","East Germany","337","0.0440330833357235","0.0388852678810917","0.0491808987903554","2"
"High transfer dependency","2011","direct migration background","East Germany","14","","","","2"
"High transfer dependency","2011","direct migration background","West Germany","233","0.0636417240547104","0.0550065539330578","0.072276894176363","2"
"High transfer dependency","2011","indirect migration background","West Germany","88","0.0522835420520112","0.0401831866239433","0.0643838974800791","2"
"High transfer dependency","2011","indirect migration background","East Germany","12","","","","2"
"Low transfer dependency","2011","no migration background","West Germany","1274","0.0418107925950363","0.038886682364941","0.0447349028251316","1"
"Low transfer dependency","2011","no migration background","East Germany","691","0.0755321687986463","0.0689020109409338","0.0821623266563589","1"
"Low transfer dependency","2011","direct migration background","East Germany","22","","","","1"
"Low transfer dependency","2011","direct migration background","West Germany","469","0.100969808959326","0.0903121502489692","0.111627467669683","1"
"Low transfer dependency","2011","indirect migration background","West Germany","182","0.0923610413638857","0.0766220321451893","0.108100050582582","1"
"Low transfer dependency","2011","indirect migration background","East Germany","22","","","","1"
"Very high transfer dependency","2011","no migration background","West Germany","555","0.0223138407466751","0.0201560426748565","0.0244716388184938","3"
"Very high transfer dependency","2011","no migration background","East Germany","432","0.055545745346372","0.0497989219333184","0.0612925687594256","3"
"Very high transfer dependency","2011","direct migration background","West Germany","314","0.0698353864353853","0.0608197460483692","0.0788510268224015","3"
"Very high transfer dependency","2011","direct migration background","East Germany","28","","","","3"
"Very high transfer dependency","2011","indirect migration background","West Germany","104","0.0670962277402907","0.0534960716915746","0.0806963837890067","3"
"Very high transfer dependency","2011","indirect migration background","East Germany","12","","","","3"
"Very low transfer dependency","2011","no migration background","West Germany","15647","0.914238107642786","0.910147378355782","0.918328836929791","0"
"Very low transfer dependency","2011","direct migration background","West Germany","2054","0.765553080550578","0.750566973768224","0.780539187332932","0"
"Very low transfer dependency","2011","no migration background","East Germany","4642","0.824889002519258","0.81535299780459","0.834425007233926","0"
"Very low transfer dependency","2011","direct migration background","East Germany","90","0.64085376266519","0.56508279034859","0.71662473498179","0"
"Very low transfer dependency","2011","indirect migration background","West Germany","926","0.788259188843812","0.766050995888519","0.810467381799105","0"
"Very low transfer dependency","2011","indirect migration background","East Germany","44","0.565728556433344","0.463325829196922","0.668131283669766","0"
"High transfer dependency","2012","no migration background","West Germany","494","0.019823072480294","0.017769493319641","0.0218766516409469","2"
"High transfer dependency","2012","no migration background","East Germany","314","0.0400859091107905","0.0351187224177259","0.0450530958038552","2"
"High transfer dependency","2012","direct migration background","West Germany","197","0.0594446354265635","0.0507998697578488","0.0680894010952783","2"
"High transfer dependency","2012","direct migration background","East Germany","21","","","","2"
"High transfer dependency","2012","indirect migration background","East Germany","6","","","","2"
"High transfer dependency","2012","indirect migration background","West Germany","86","0.0415589915943943","0.0306212410808455","0.052496742107943","2"
"Low transfer dependency","2012","no migration background","West Germany","1043","0.0387815321898851","0.0359370890206308","0.0416259753591395","1"
"Low transfer dependency","2012","no migration background","East Germany","645","0.0763995401853502","0.0696730908737908","0.0831259894969096","1"
"Low transfer dependency","2012","direct migration background","East Germany","18","","","","1"
"Low transfer dependency","2012","direct migration background","West Germany","361","0.0890454658050266","0.0786328710845741","0.0994580605254792","1"
"Low transfer dependency","2012","indirect migration background","East Germany","24","","","","1"
"Low transfer dependency","2012","indirect migration background","West Germany","136","0.0815800803293458","0.06657889659274","0.0965812640659517","1"
"Very high transfer dependency","2012","no migration background","West Germany","509","0.0218644957287424","0.0197100132293979","0.0240189782280868","3"
"Very high transfer dependency","2012","no migration background","East Germany","405","0.0594026073371655","0.0534170710180612","0.0653881436562699","3"
"Very high transfer dependency","2012","direct migration background","West Germany","235","0.0549159878531301","0.0465870558330564","0.0632449198732038","3"
"Very high transfer dependency","2012","direct migration background","East Germany","23","","","","3"
"Very high transfer dependency","2012","indirect migration background","West Germany","80","0.0501620768244723","0.0381994838583741","0.0621246697905706","3"
"Very high transfer dependency","2012","indirect migration background","East Germany","14","","","","3"
"Very low transfer dependency","2012","no migration background","West Germany","15653","0.919530899601079","0.915523418680919","0.923538380521238","0"
"Very low transfer dependency","2012","direct migration background","West Germany","2081","0.79659391091528","0.781877389215743","0.811310432614816","0"
"Very low transfer dependency","2012","direct migration background","East Germany","91","0.627097350041795","0.55047286070402","0.70372183937957","0"
"Very low transfer dependency","2012","no migration background","East Germany","4627","0.824111943366694","0.814471218018802","0.833752668714585","0"
"Very low transfer dependency","2012","indirect migration background","West Germany","977","0.826698851251788","0.805955104267996","0.847442598235579","0"
"Very low transfer dependency","2012","indirect migration background","East Germany","38","0.393423957647004","0.287690071919698","0.499157843374311","0"
"High transfer dependency","2013","no migration background","West Germany","456","0.0177088707573114","0.01571738790568","0.0197003536089428","2"
"High transfer dependency","2013","no migration background","East Germany","293","0.0404560816069653","0.0353104213921972","0.0456017418217335","2"
"High transfer dependency","2013","direct migration background","West Germany","433","0.0512649674936897","0.0456494895528983","0.056880445434481","2"
"High transfer dependency","2013","direct migration background","East Germany","42","0.0614521014234003","0.0388577532722173","0.0840464495745834","2"
"High transfer dependency","2013","indirect migration background","West Germany","144","0.054789080705491","0.0450234047196435","0.0645547566913386","2"
"High transfer dependency","2013","indirect migration background","East Germany","12","","","","2"
"Low transfer dependency","2013","no migration background","West Germany","983","0.0432061972746585","0.040136162994655","0.0462762315546621","1"
"Low transfer dependency","2013","no migration background","East Germany","485","0.0651143107442512","0.0586706265450268","0.0715579949434756","1"
"Low transfer dependency","2013","direct migration background","East Germany","59","0.100451882161693","0.0721709014812694","0.128732862842118","1"
"Low transfer dependency","2013","direct migration background","West Germany","705","0.091207342626326","0.0838765451836597","0.0985381400689924","1"
"Low transfer dependency","2013","indirect migration background","West Germany","225","0.0918940386333671","0.0794974305395849","0.104290646727149","1"
"Low transfer dependency","2013","indirect migration background","East Germany","20","","","","1"
"Very high transfer dependency","2013","no migration background","West Germany","453","0.0219528294133901","0.0197403146477032","0.024165344179077","3"
"Very high transfer dependency","2013","no migration background","East Germany","369","0.0554517536577443","0.0494747092353938","0.0614287980800949","3"
"Very high transfer dependency","2013","direct migration background","West Germany","539","0.073745309464771","0.0670904892827603","0.0804001296467816","3"
"Very high transfer dependency","2013","direct migration background","East Germany","101","0.160245211120818","0.125733062286519","0.194757359955117","3"
"Very high transfer dependency","2013","indirect migration background","West Germany","172","0.0906570619981608","0.078335788200549","0.102978335795773","3"
"Very high transfer dependency","2013","indirect migration background","East Germany","14","","","","3"
"Very low transfer dependency","2013","no migration background","West Germany","14957","0.91713210255464","0.912969450282576","0.921294754826704","0"
"Very low transfer dependency","2013","direct migration background","West Germany","4248","0.783782380415213","0.773300306866383","0.794264453964044","0"
"Very low transfer dependency","2013","no migration background","East Germany","4485","0.838977853991039","0.829378658822898","0.84857704915918","0"
"Very low transfer dependency","2013","direct migration background","East Germany","232","0.677850805294088","0.633886642285523","0.721814968302654","0"
"Very low transfer dependency","2013","indirect migration background","West Germany","1545","0.762659818662981","0.744402289340189","0.780917347985774","0"
"Very low transfer dependency","2013","indirect migration background","East Germany","62","0.486291178100861","0.392027817081551","0.580554539120172","0"
"High transfer dependency","2014","no migration background","West Germany","348","0.0183900482679366","0.016264094287035","0.0205160022488383","2"
"High transfer dependency","2014","no migration background","East Germany","261","0.0432693313196709","0.0377291212203315","0.0488095414190104","2"
"High transfer dependency","2014","direct migration background","East Germany","47","0.158124414724494","0.120009041010875","0.196239788438113","2"
"High transfer dependency","2014","direct migration background","West Germany","359","0.0517233471574528","0.0454305068340165","0.0580161874808891","2"
"High transfer dependency","2014","indirect migration background","East Germany","14","","","","2"
"High transfer dependency","2014","indirect migration background","West Germany","108","0.0469876718199548","0.0371873232884437","0.0567880203514659","2"
"Low transfer dependency","2014","no migration background","West Germany","844","0.0427236708327992","0.0395237009657756","0.0459236406998228","1"
"Low transfer dependency","2014","no migration background","East Germany","447","0.0672608993637019","0.0604406112478594","0.0740811874795443","1"
"Low transfer dependency","2014","direct migration background","East Germany","60","0.11709198558697","0.0835029082651895","0.150681062908751","1"
"Low transfer dependency","2014","direct migration background","West Germany","605","0.102505240852383","0.0938868761527886","0.111123605551977","1"
"Low transfer dependency","2014","indirect migration background","East Germany","18","","","","1"
"Low transfer dependency","2014","indirect migration background","West Germany","209","0.103739308085035","0.0896175376780659","0.117861078492005","1"
"Very high transfer dependency","2014","no migration background","West Germany","413","0.0221008959059698","0.019774707364238","0.0244270844477017","3"
"Very high transfer dependency","2014","no migration background","East Germany","275","0.0556397636584532","0.0493980652640848","0.0618814620528216","3"
"Very high transfer dependency","2014","direct migration background","West Germany","472","0.0812727310375421","0.0735084436405603","0.089037018434524","3"
"Very high transfer dependency","2014","direct migration background","East Germany","59","0.145144821263083","0.108346855988461","0.181942786537705","3"
"Very high transfer dependency","2014","indirect migration background","West Germany","141","0.095293872059843","0.0816955115388748","0.108892232580811","3"
"Very high transfer dependency","2014","indirect migration background","East Germany","12","","","","3"
"Very low transfer dependency","2014","no migration background","West Germany","13738","0.916785384993294","0.912414930593317","0.921155839393272","0"
"Very low transfer dependency","2014","direct migration background","West Germany","3322","0.764498680952622","0.752442190283615","0.77655517162163","0"
"Very low transfer dependency","2014","direct migration background","East Germany","186","0.579638778425453","0.528072380189003","0.631205176661903","0"
"Very low transfer dependency","2014","no migration background","East Germany","4198","0.833830005658174","0.823694244758909","0.843965766557439","0"
"Very low transfer dependency","2014","indirect migration background","West Germany","1333","0.753979148035167","0.73403268370102","0.773925612369313","0"
"Very low transfer dependency","2014","indirect migration background","East Germany","73","0.617436327511312","0.529371373402373","0.70550128162025","0"
"High transfer dependency","2015","no migration background","West Germany","305","0.0170862103955529","0.0149864874526624","0.0191859333384433","2"
"High transfer dependency","2015","no migration background","East Germany","215","0.0315986213046745","0.0267190879165595","0.0364781546927895","2"
"High transfer dependency","2015","direct migration background","East Germany","47","0.0959514911101381","0.0680812211068443","0.123821761113432","2"
"High transfer dependency","2015","direct migration background","West Germany","365","0.0520920962990277","0.0462172877445515","0.0579669048535038","2"
"High transfer dependency","2015","indirect migration background","West Germany","122","0.0714941201285641","0.0591443905926489","0.0838438496644792","2"
"High transfer dependency","2015","indirect migration background","East Germany","12","","","","2"
"Low transfer dependency","2015","no migration background","West Germany","697","0.0369314977789599","0.0338758136755387","0.0399871818823812","1"
"Low transfer dependency","2015","no migration background","East Germany","422","0.0721490957078657","0.0649318569753771","0.0793663344403542","1"
"Low transfer dependency","2015","direct migration background","West Germany","578","0.0914127619562896","0.0837935253425607","0.0990319985700185","1"
"Low transfer dependency","2015","direct migration background","East Germany","51","0.0748362314041941","0.0499370707248542","0.099735392083534","1"
"Low transfer dependency","2015","indirect migration background","West Germany","160","0.0807275668694741","0.0676699775765477","0.0937851561624004","1"
"Low transfer dependency","2015","indirect migration background","East Germany","19","","","","1"
"Very high transfer dependency","2015","no migration background","West Germany","374","0.0244844408508554","0.0219803873692689","0.0269884943324419","3"
"Very high transfer dependency","2015","no migration background","East Germany","262","0.0565747597575528","0.0501303724715017","0.0630191470436038","3"
"Very high transfer dependency","2015","direct migration background","West Germany","613","0.0802343118260208","0.0730523449613939","0.0874162786906477","3"
"Very high transfer dependency","2015","direct migration background","East Germany","77","0.118355476743945","0.0877879443224851","0.148923009165404","3"
"Very high transfer dependency","2015","indirect migration background","West Germany","139","0.0874878467261214","0.0739445888793754","0.101031104572867","3"
"Very high transfer dependency","2015","indirect migration background","East Germany","12","","","","3"
"Very low transfer dependency","2015","no migration background","West Germany","13257","0.921497850974632","0.917140030439726","0.925855671509537","0"
"Very low transfer dependency","2015","no migration background","East Germany","4038","0.839677523229907","0.829442943863916","0.849912102595898","0"
"Very low transfer dependency","2015","direct migration background","West Germany","3940","0.776260829918662","0.765242910886763","0.787278748950561","0"
"Very low transfer dependency","2015","direct migration background","East Germany","254","0.710856800741723","0.667955842054779","0.753757759428667","0"
"Very low transfer dependency","2015","indirect migration background","West Germany","1251","0.76029046627584","0.739827792511774","0.780753140039907","0"
"Very low transfer dependency","2015","indirect migration background","East Germany","73","0.705095926953464","0.622113986764452","0.788077867142476","0"
"High transfer dependency","2016","no migration background","West Germany","263","0.0185640694357903","0.016292019641852","0.0208361192297287","2"
"High transfer dependency","2016","no migration background","East Germany","163","0.0287813263947185","0.0239774095737074","0.0335852432157296","2"
"High transfer dependency","2016","direct migration background","East Germany","30","0.0760576753352357","0.0485206485694906","0.103594702100981","2"
"High transfer dependency","2016","direct migration background","West Germany","261","0.0457329643597227","0.0396286100690682","0.0518373186503772","2"
"High transfer dependency","2016","indirect migration background","East Germany","10","","","","2"
"High transfer dependency","2016","indirect migration background","West Germany","109","0.0691980164553451","0.0565553673090385","0.0818406656016517","2"
"Low transfer dependency","2016","no migration background","West Germany","663","0.0400321906287434","0.0367324235198087","0.0433319577376781","1"
"Low transfer dependency","2016","no migration background","East Germany","384","0.0766720682035236","0.069027056743166","0.0843170796638812","1"
"Low transfer dependency","2016","direct migration background","East Germany","50","0.0918789888462695","0.0618733375737103","0.121884640118829","1"
"Low transfer dependency","2016","direct migration background","West Germany","542","0.0958713253540561","0.0872683321137887","0.104474318594323","1"
"Low transfer dependency","2016","indirect migration background","East Germany","22","","","","1"
"Low transfer dependency","2016","indirect migration background","West Germany","183","0.103204470919496","0.0880493786115319","0.11835956322746","1"
"Very high transfer dependency","2016","no migration background","West Germany","342","0.0218030226663087","0.0193447967803895","0.0242612485522279","3"
"Very high transfer dependency","2016","no migration background","East Germany","220","0.0510629779993344","0.044738082860108","0.0573878731385607","3"
"Very high transfer dependency","2016","direct migration background","West Germany","482","0.0837542931319895","0.0756596145339828","0.0918489717299963","3"
"Very high transfer dependency","2016","direct migration background","East Germany","67","0.0999298436728671","0.068776197934141","0.131083489411593","3"
"Very high transfer dependency","2016","indirect migration background","West Germany","111","0.0736973087259997","0.0606816878422398","0.0867129296097596","3"
"Very high transfer dependency","2016","indirect migration background","East Germany","10","","","","3"
"Very low transfer dependency","2016","no migration background","West Germany","12290","0.919600717269158","0.915023768892623","0.924177665645693","0"
"Very low transfer dependency","2016","direct migration background","West Germany","3214","0.774641417154232","0.762432489996893","0.786850344311571","0"
"Very low transfer dependency","2016","no migration background","East Germany","3886","0.843483627402424","0.833043644669357","0.853923610135491","0"
"Very low transfer dependency","2016","direct migration background","East Germany","209","0.732133492145628","0.686131415500152","0.778135568791103","0"
"Very low transfer dependency","2016","indirect migration background","West Germany","1145","0.753900203899159","0.732442899109384","0.775357508688934","0"
"Very low transfer dependency","2016","indirect migration background","East Germany","72","0.783115462889819","0.707463036793254","0.858767888986385","0"
"High transfer dependency","2017","no migration background","West Germany","303","0.01616504084229","0.0141710773386519","0.0181590043459282","2"
"High transfer dependency","2017","no migration background","East Germany","210","0.0336874305588185","0.0287802539584122","0.0385946071592248","2"
"High transfer dependency","2017","direct migration background","West Germany","425","0.0604662615938831","0.0544523341044258","0.0664801890833404","2"
"High transfer dependency","2017","direct migration background","East Germany","54","0.0334262283566086","0.0203960430035867","0.0464564137096305","2"
"High transfer dependency","2017","indirect migration background","West Germany","99","0.0534742874884851","0.0427734452972966","0.0641751296796736","2"
"High transfer dependency","2017","indirect migration background","East Germany","8","","","","2"
"Low transfer dependency","2017","no migration background","West Germany","733","0.0353990944638595","0.0324773812445357","0.0383208076831833","1"
"Low transfer dependency","2017","no migration background","East Germany","365","0.0624402056512119","0.0558595285777037","0.0690208827247202","1"
"Low transfer dependency","2017","direct migration background","West Germany","512","0.0858976298438254","0.0788274014075387","0.0929678582801122","1"
"Low transfer dependency","2017","direct migration background","East Germany","75","0.117543224167169","0.0941960177426577","0.140890430591679","1"
"Low transfer dependency","2017","indirect migration background","West Germany","185","0.0938304794672698","0.079961134797532","0.107699824137008","1"
"Low transfer dependency","2017","indirect migration background","East Germany","14","","","","1"
"Very high transfer dependency","2017","no migration background","West Germany","329","0.0215794370386304","0.019281963502068","0.0238769105751927","3"
"Very high transfer dependency","2017","no migration background","East Germany","226","0.0478423439342916","0.0420373791953527","0.0536473086732305","3"
"Very high transfer dependency","2017","direct migration background","West Germany","1910","0.095078987428785","0.0876779423667293","0.102480032490841","3"
"Very high transfer dependency","2017","direct migration background","East Germany","357","0.214613283781784","0.184851464302765","0.244375103260803","3"
"Very high transfer dependency","2017","indirect migration background","West Germany","119","0.0737126683584252","0.0612840407228541","0.0861412959939962","3"
"Very high transfer dependency","2017","indirect migration background","East Germany","14","","","","3"
"Very low transfer dependency","2017","no migration background","West Germany","14001","0.92685642765522","0.922739606568207","0.930973248742234","0"
"Very low transfer dependency","2017","direct migration background","West Germany","3187","0.758557121133506","0.747759035099973","0.76935520716704","0"
"Very low transfer dependency","2017","no migration background","East Germany","4392","0.856030019855678","0.846481866193919","0.865578173517437","0"
"Very low transfer dependency","2017","direct migration background","East Germany","245","0.634417263694439","0.599505664874575","0.669328862514304","0"
"Very low transfer dependency","2017","indirect migration background","West Germany","1295","0.77898256468582","0.759246689756979","0.798718439614661","0"
"Very low transfer dependency","2017","indirect migration background","East Germany","78","0.773585488228483","0.696760597371158","0.850410379085808","0"
"High transfer dependency","2018","no migration background","West Germany","308","0.0154167016601798","0.0134263450078445","0.0174070583125151","2"
"High transfer dependency","2018","no migration background","East Germany","195","0.0362290114299448","0.0310875329075122","0.0413704899523774","2"
"High transfer dependency","2018","direct migration background","East Germany","77","0.0996949571886251","0.0795781186314651","0.119811795745785","2"
"High transfer dependency","2018","direct migration background","West Germany","609","0.0543548505827367","0.0490250900134392","0.0596846111520343","2"
"High transfer dependency","2018","indirect migration background","West Germany","138","0.0604314293510165","0.0489927479258813","0.0718701107761516","2"
"High transfer dependency","2018","indirect migration background","East Germany","11","","","","2"
"Low transfer dependency","2018","no migration background","West Germany","680","0.0375067808855058","0.0344373159727307","0.040576245798281","1"
"Low transfer dependency","2018","no migration background","East Germany","364","0.0557981175482687","0.049482511030181","0.0621137240663563","1"
"Low transfer dependency","2018","direct migration background","West Germany","582","0.0801455277315789","0.0737625452081781","0.0865285102549796","1"
"Low transfer dependency","2018","direct migration background","East Germany","70","0.111487725646812","0.0903541230050009","0.132621328288624","1"
"Low transfer dependency","2018","indirect migration background","West Germany","173","0.0708588586083947","0.058541482218581","0.0831762349982083","1"
"Low transfer dependency","2018","indirect migration background","East Germany","17","","","","1"
"Very high transfer dependency","2018","no migration background","West Germany","315","0.0201377338296843","0.0178684085383636","0.022407059121005","3"
"Very high transfer dependency","2018","no migration background","East Germany","226","0.0420902057406285","0.0365652895966464","0.0476151218846107","3"
"Very high transfer dependency","2018","direct migration background","West Germany","2656","0.109943793103758","0.102589879531925","0.11729770667559","3"
"Very high transfer dependency","2018","direct migration background","East Germany","485","0.190780917641498","0.164397635729816","0.21716419955318","3"
"Very high transfer dependency","2018","indirect migration background","West Germany","89","0.0644807265715334","0.0526905143619473","0.0762709387811196","3"
"Very high transfer dependency","2018","indirect migration background","East Germany","15","","","","3"
"Very low transfer dependency","2018","no migration background","West Germany","13416","0.92693878362463","0.922734636416934","0.931142930832326","0"
"Very low transfer dependency","2018","direct migration background","West Germany","3104","0.755555828581927","0.745452893321966","0.765658763841888","0"
"Very low transfer dependency","2018","no migration background","East Germany","4289","0.865882665281158","0.85650607716327","0.875259253399046","0"
"Very low transfer dependency","2018","direct migration background","East Germany","220","0.598036399523065","0.565114455925862","0.630958343120268","0"
"Very low transfer dependency","2018","indirect migration background","West Germany","1267","0.804228985469055","0.785181206291061","0.82327676464705","0"
"Very low transfer dependency","2018","indirect migration background","East Germany","84","0.763072597256221","0.689122830883786","0.837022363628657","0"
"High transfer dependency","2019","no migration background","West Germany","262","0.016228803936177","0.0142226688915434","0.0182349389808107","2"
"High transfer dependency","2019","no migration background","East Germany","166","0.0275762642563449","0.023126280674794","0.0320262478378958","2"
"High transfer dependency","2019","direct migration background","West Germany","543","0.0537828666189458","0.0482508558828319","0.0593148773550597","2"
"High transfer dependency","2019","direct migration background","East Germany","59","0.0536856832076494","0.0375760327182253","0.0697953336970734","2"
"High transfer dependency","2019","indirect migration background","East Germany","11","","","","2"
"High transfer dependency","2019","indirect migration background","West Germany","91","0.056965983991806","0.0457037176056558","0.0682282503779563","2"
"Low transfer dependency","2019","no migration background","West Germany","644","0.0401098980796833","0.0369945513290962","0.0432252448302705","1"
"Low transfer dependency","2019","no migration background","East Germany","325","0.0591924557190387","0.0527796734942639","0.0656052379438134","1"
"Low transfer dependency","2019","direct migration background","East Germany","61","0.142961224252752","0.117943457694022","0.167978990811482","1"
"Low transfer dependency","2019","direct migration background","West Germany","491","0.08234777103214","0.0756066733032788","0.0890888687610011","1"
"Low transfer dependency","2019","indirect migration background","West Germany","144","0.0857332943007132","0.0721293287730715","0.0993372598283549","1"
"Low transfer dependency","2019","indirect migration background","East Germany","14","","","","1"
"Very high transfer dependency","2019","no migration background","West Germany","248","0.0161094753162877","0.0141106081077969","0.0181083425247784","3"
"Very high transfer dependency","2019","no migration background","East Germany","189","0.0417173287226356","0.0362839749893397","0.0471506824559315","3"
"Very high transfer dependency","2019","direct migration background","West Germany","2422","0.105285124688471","0.0977586522756815","0.11281159710126","3"
"Very high transfer dependency","2019","direct migration background","East Germany","405","0.211516393986619","0.182328179991523","0.240704607981716","3"
"Very high transfer dependency","2019","indirect migration background","West Germany","99","0.0579026754360466","0.0465538343357158","0.0692515165363774","3"
"Very high transfer dependency","2019","indirect migration background","East Germany","12","","","","3"
"Very low transfer dependency","2019","no migration background","West Germany","14085","0.927551822667852","0.923436037668256","0.931667607667448","0"
"Very low transfer dependency","2019","direct migration background","West Germany","2932","0.758584237660444","0.748090013040724","0.769078462280164","0"
"Very low transfer dependency","2019","no migration background","East Germany","4522","0.871513951301981","0.862420514020964","0.880607388582998","0"
"Very low transfer dependency","2019","direct migration background","East Germany","227","0.591836698552979","0.556708401755742","0.626964995350217","0"
"Very low transfer dependency","2019","indirect migration background","West Germany","1293","0.799398046271434","0.779939811679139","0.818856280863729","0"
"Very low transfer dependency","2019","indirect migration background","East Germany","98","0.764989265643466","0.693465112048485","0.836513419238448","0"
