"transab_cat2","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Low transfer dependency","2000","(2b) intermediate general qualification","71","0.0989584251924722","0.0772673437922464","0.120649506592698"
"Low transfer dependency","2000","(2a) intermediate vocational","451","0.0635070099210764","0.0570730108749453","0.0699410089672076"
"Low transfer dependency","2000","(2c_gen) general maturity certificate","56","0.0607008181714496","0.0444268080899256","0.0769748282529736"
"Low transfer dependency","2000","(2c_voc) vocational maturity certificate","88","0.0506531361300922","0.0397538382011234","0.0615524340590611"
"Low transfer dependency","2000","(3a) lower tertiary education","79","0.0347031871066044","0.0259951095786692","0.0434112646345396"
"Low transfer dependency","2000","(3b) higher tertiary education","92","0.0378673093634087","0.0297593797530552","0.0459752389737621"
"High transfer dependency","2000","(0) in school","14","","",""
"High transfer dependency","2000","(1a) inadequately completed","24","","",""
"High transfer dependency","2000","(1b) general elementary school","67","0.0196589066344477","0.0145737340044046","0.0247440792644907"
"High transfer dependency","2000","(1c) basic vocational qualification","129","0.0135072305709522","0.0109458434119619","0.0160686177299425"
"High transfer dependency","2000","(2b) intermediate general qualification","23","","",""
"High transfer dependency","2000","(2a) intermediate vocational","106","0.0190865036031564","0.0154765930725281","0.0226964141337846"
"High transfer dependency","2000","(2c_gen) general maturity certificate","33","0.0323074762372752","0.0202566854737156","0.0443582670008348"
"High transfer dependency","2000","(2c_voc) vocational maturity certificate","32","0.0204280933526738","0.0133971277710238","0.0274590589343238"
"High transfer dependency","2000","(3a) lower tertiary education","24","","",""
"High transfer dependency","2000","(3b) higher tertiary education","15","","",""
"Very high transfer dependency","2000","(0) in school","17","","",""
"Very high transfer dependency","2000","(1a) inadequately completed","38","0.0882687538365711","0.0611057373868112","0.115431770286331"
"Very high transfer dependency","2000","(1b) general elementary school","117","0.0343397155828688","0.0276693759255178","0.0410100552402197"
"Very high transfer dependency","2000","(1c) basic vocational qualification","215","0.0270931614355224","0.0234906066963347","0.0306957161747101"
"Very high transfer dependency","2000","(2b) intermediate general qualification","23","","",""
"Very high transfer dependency","2000","(2a) intermediate vocational","94","0.0182736454791127","0.0147399777007036","0.0218073132575217"
"Very high transfer dependency","2000","(2c_gen) general maturity certificate","28","","",""
"Very high transfer dependency","2000","(2c_voc) vocational maturity certificate","25","","",""
"Very high transfer dependency","2000","(3a) lower tertiary education","21","","",""
"Very high transfer dependency","2000","(3b) higher tertiary education","38","0.0211836953909058","0.0150670723091624","0.0273003184726493"
"Very low transfer dependency","2001","(0) in school","469","0.874394924381172","0.846520520725061","0.902269328037282"
"Very low transfer dependency","2001","(1a) inadequately completed","236","0.738306044102609","0.690145857622927","0.786466230582291"
"Very low transfer dependency","2001","(1b) general elementary school","2142","0.885221803601174","0.872661388493866","0.897782218708483"
"Very low transfer dependency","2001","(1c) basic vocational qualification","6201","0.910588046435339","0.903862760353451","0.917313332517227"
"Very low transfer dependency","2001","(2b) intermediate general qualification","535","0.831199116968176","0.80251329262486","0.859884941311493"
"Very low transfer dependency","2001","(2a) intermediate vocational","4467","0.895954903364975","0.887569670319399","0.904340136410551"
"Very low transfer dependency","2001","(2c_gen) general maturity certificate","661","0.838887826148567","0.813137464385477","0.864638187911658"
"Very low transfer dependency","2001","(2c_voc) vocational maturity certificate","1309","0.920809767637465","0.906896325288092","0.934723209986839"
"Very low transfer dependency","2001","(3a) lower tertiary education","1487","0.95549806638607","0.945365549218879","0.965630583553261"
"Very low transfer dependency","2001","(3b) higher tertiary education","1844","0.936335911654631","0.925537983047504","0.947133840261758"
"Low transfer dependency","2001","(0) in school","47","0.0759062211520775","0.0536298274292522","0.0981826148749028"
"Low transfer dependency","2001","(1a) inadequately completed","42","0.133601870505273","0.0963251133740383","0.170878627636508"
"Low transfer dependency","2001","(1b) general elementary school","178","0.0558260092610012","0.0467792600466916","0.0648727584753107"
"Low transfer dependency","2001","(1c) basic vocational qualification","389","0.0445904436407895","0.0397256134467546","0.0494552738348245"
"Low transfer dependency","2001","(2b) intermediate general qualification","74","0.101340310803546","0.0782294465018298","0.124451175105263"
"Low transfer dependency","2001","(2a) intermediate vocational","415","0.0640230979323319","0.0573001126417148","0.0707460832229489"
"Low transfer dependency","2001","(2c_gen) general maturity certificate","77","0.0931453154715136","0.0727881845663785","0.113502446376649"
"Low transfer dependency","2001","(2c_voc) vocational maturity certificate","87","0.041592980218148","0.0313057410177464","0.0518802194185495"
"Low transfer dependency","2001","(3a) lower tertiary education","73","0.0285484745079353","0.0203654279561876","0.036731521059683"
"Low transfer dependency","2001","(3b) higher tertiary education","71","0.0347378270335673","0.0266393879996792","0.0428362660674553"
"High transfer dependency","2001","(0) in school","12","","",""
"High transfer dependency","2001","(1a) inadequately completed","24","","",""
"High transfer dependency","2001","(1b) general elementary school","59","0.0216891324050117","0.0159491868590234","0.027429077951"
"High transfer dependency","2001","(1c) basic vocational qualification","141","0.0171542114945474","0.0140937982737427","0.020214624715352"
"High transfer dependency","2001","(2b) intermediate general qualification","20","","",""
"High transfer dependency","2001","(2a) intermediate vocational","105","0.0171459108413817","0.0135806931090526","0.0207111285737108"
"High transfer dependency","2001","(2c_gen) general maturity certificate","22","","",""
"High transfer dependency","2001","(2c_voc) vocational maturity certificate","15","","",""
"High transfer dependency","2001","(3a) lower tertiary education","17","","",""
"High transfer dependency","2001","(3b) higher tertiary education","19","","",""
"Very high transfer dependency","2001","(0) in school","15","","",""
"Very high transfer dependency","2001","(1a) inadequately completed","18","","",""
"Very high transfer dependency","2001","(1b) general elementary school","95","0.0372630547328127","0.0297995761703303","0.0447265332952952"
"Very high transfer dependency","2001","(1c) basic vocational qualification","184","0.0276672984293242","0.0238014678044875","0.0315331290541608"
"Very high transfer dependency","2001","(2b) intermediate general qualification","26","","",""
"Very high transfer dependency","2001","(2a) intermediate vocational","106","0.022876087861311","0.0187700121631766","0.0269821635594454"
"Very high transfer dependency","2001","(2c_gen) general maturity certificate","23","","",""
"Very high transfer dependency","2001","(2c_voc) vocational maturity certificate","36","0.0258119919948624","0.017641542007636","0.0339824419820888"
"Very high transfer dependency","2001","(3a) lower tertiary education","14","","",""
"Very high transfer dependency","2001","(3b) higher tertiary education","30","0.0205177398421091","0.0142481317247259","0.0267873479594924"
"Very low transfer dependency","2002","(0) in school","542","0.836108705041686","0.806804687227694","0.865412722855679"
"Very low transfer dependency","2002","(1a) inadequately completed","210","0.706898798481735","0.654600324393199","0.759197272570271"
"Very low transfer dependency","2002","(1b) general elementary school","1956","0.872136753727804","0.858396460507034","0.885877046948573"
"Very low transfer dependency","2002","(1c) basic vocational qualification","5999","0.909522994143087","0.902614288883405","0.91643169940277"
"Very low transfer dependency","2002","(2b) intermediate general qualification","550","0.824643065218144","0.795498760758865","0.853787369677423"
"Very low transfer dependency","2002","(2a) intermediate vocational","4733","0.880373053999436","0.87164683593566","0.889099272063213"
"Very low transfer dependency","2002","(2c_gen) general maturity certificate","761","0.834438277674802","0.809950265499829","0.858926289849776"
"Very low transfer dependency","2002","(2c_voc) vocational maturity certificate","1443","0.893302688781288","0.878099084382432","0.908506293180143"
"Very low transfer dependency","2002","(3a) lower tertiary education","1689","0.945716886225163","0.9352440045951","0.956189767855227"
"Very low transfer dependency","2002","(3b) higher tertiary education","2652","0.931952404057891","0.92256250532969","0.941342302786093"
"Low transfer dependency","2002","(0) in school","43","0.0902312206161807","0.0675502422433367","0.112912198989025"
"Low transfer dependency","2002","(1a) inadequately completed","40","0.132377405984363","0.0934393776909296","0.171315434277796"
"Low transfer dependency","2002","(1b) general elementary school","155","0.0565738143048474","0.0470679297304165","0.0660796988792783"
"Low transfer dependency","2002","(1c) basic vocational qualification","349","0.0468634830895465","0.0417735092543192","0.0519534569247737"
"Low transfer dependency","2002","(2b) intermediate general qualification","54","0.0894417055882309","0.0675699758714274","0.111313435305034"
"Low transfer dependency","2002","(2a) intermediate vocational","360","0.0698942458521261","0.0630383366023577","0.0767501551018945"
"Low transfer dependency","2002","(2c_gen) general maturity certificate","76","0.0870122144360602","0.0684427640376225","0.105581664834498"
"Low transfer dependency","2002","(2c_voc) vocational maturity certificate","87","0.059427930007748","0.047785011890048","0.0710708481254481"
"Low transfer dependency","2002","(3a) lower tertiary education","77","0.0364429604203089","0.0277813472063446","0.0451045736342732"
"Low transfer dependency","2002","(3b) higher tertiary education","69","0.0381534973048719","0.0310105456566115","0.0452964489531324"
"High transfer dependency","2002","(0) in school","19","","",""
"High transfer dependency","2002","(1a) inadequately completed","13","","",""
"High transfer dependency","2002","(1b) general elementary school","67","0.0311620059413646","0.0240126136617429","0.0383113982209863"
"High transfer dependency","2002","(1c) basic vocational qualification","122","0.0196382036219551","0.0162965242149565","0.0229798830289537"
"High transfer dependency","2002","(2b) intermediate general qualification","29","","",""
"High transfer dependency","2002","(2a) intermediate vocational","115","0.0243442840557867","0.0202002340905011","0.0284883340210723"
"High transfer dependency","2002","(2c_gen) general maturity certificate","29","","",""
"High transfer dependency","2002","(2c_voc) vocational maturity certificate","19","","",""
"High transfer dependency","2002","(3a) lower tertiary education","15","","",""
"High transfer dependency","2002","(3b) higher tertiary education","17","","",""
"Very high transfer dependency","2002","(0) in school","9","","",""
"Very high transfer dependency","2002","(1a) inadequately completed","28","","",""
"Very high transfer dependency","2002","(1b) general elementary school","91","0.0401274260259844","0.0320521330830165","0.0482027189689524"
"Very high transfer dependency","2002","(1c) basic vocational qualification","153","0.0239753191454111","0.0202912030118658","0.0276594352789564"
"Very high transfer dependency","2002","(2b) intermediate general qualification","21","","",""
"Very high transfer dependency","2002","(2a) intermediate vocational","105","0.0253884160926507","0.0211586946080226","0.0296181375772789"
"Very high transfer dependency","2002","(2c_gen) general maturity certificate","19","","",""
"Very high transfer dependency","2002","(2c_voc) vocational maturity certificate","35","0.0311635353328629","0.0226065832393416","0.0397204874263842"
"Very high transfer dependency","2002","(3a) lower tertiary education","17","","",""
"Very high transfer dependency","2002","(3b) higher tertiary education","25","","",""
"Very low transfer dependency","2003","(0) in school","527","0.822803031553063","0.792576108594257","0.85302995451187"
"Very low transfer dependency","2003","(1a) inadequately completed","193","0.649361636479257","0.593370534061552","0.705352738896963"
"Very low transfer dependency","2003","(1b) general elementary school","1818","0.856855544171246","0.842048411939185","0.871662676403308"
"Very low transfer dependency","2003","(1c) basic vocational qualification","5689","0.904353229128542","0.89709425395898","0.911612204298105"
"Very low transfer dependency","2003","(2b) intermediate general qualification","517","0.808179919904151","0.777385691191135","0.838974148617167"
"Very low transfer dependency","2003","(2a) intermediate vocational","4490","0.873619777196926","0.864511138926955","0.882728415466897"
"Very low transfer dependency","2003","(2c_gen) general maturity certificate","732","0.822355499465914","0.796795714647209","0.84791528428462"
"Very low transfer dependency","2003","(2c_voc) vocational maturity certificate","1420","0.892363059486202","0.876998501658741","0.907727617313662"
"Very low transfer dependency","2003","(3a) lower tertiary education","1597","0.934786953076582","0.923115263730848","0.946458642422315"
"Very low transfer dependency","2003","(3b) higher tertiary education","2518","0.941651580317902","0.93269148836186","0.950611672273944"
"Low transfer dependency","2003","(0) in school","52","0.100824475676357","0.0769890408955545","0.124659910457159"
"Low transfer dependency","2003","(1a) inadequately completed","42","0.169985341988826","0.12591010997928","0.214060573998373"
"Low transfer dependency","2003","(1b) general elementary school","173","0.0708901988702731","0.0600395302243285","0.0817408675162176"
"Low transfer dependency","2003","(1c) basic vocational qualification","336","0.046721341602713","0.0415125294511398","0.0519301537542863"
"Low transfer dependency","2003","(2b) intermediate general qualification","60","0.0909290632385523","0.0684427366314501","0.113415389845655"
"Low transfer dependency","2003","(2a) intermediate vocational","383","0.0722804598434249","0.065181879961765","0.0793790397250848"
"Low transfer dependency","2003","(2c_gen) general maturity certificate","74","0.0683142484997163","0.0514432073935898","0.0851852896058429"
"Low transfer dependency","2003","(2c_voc) vocational maturity certificate","94","0.0688744193007309","0.0563198532416205","0.0814289853598412"
"Low transfer dependency","2003","(3a) lower tertiary education","83","0.0424678263892151","0.0329351059472526","0.0520005468311777"
"Low transfer dependency","2003","(3b) higher tertiary education","75","0.031365815261481","0.0247029507189095","0.0380286798040525"
"High transfer dependency","2003","(0) in school","16","","",""
"High transfer dependency","2003","(1a) inadequately completed","18","","",""
"High transfer dependency","2003","(1b) general elementary school","63","0.0228371315311972","0.0165212476364454","0.029153015425949"
"High transfer dependency","2003","(1c) basic vocational qualification","119","0.0177595116176875","0.0144996772575197","0.0210193459778553"
"High transfer dependency","2003","(2b) intermediate general qualification","27","","",""
"High transfer dependency","2003","(2a) intermediate vocational","104","0.0225622233943581","0.0184913445633175","0.0266331022253988"
"High transfer dependency","2003","(2c_gen) general maturity certificate","31","0.0539313048344604","0.0388258673049469","0.0690367423639739"
"High transfer dependency","2003","(2c_voc) vocational maturity certificate","18","","",""
"High transfer dependency","2003","(3a) lower tertiary education","19","","",""
"High transfer dependency","2003","(3b) higher tertiary education","7","","",""
"Very high transfer dependency","2003","(0) in school","18","","",""
"Very high transfer dependency","2003","(1a) inadequately completed","26","","",""
"Very high transfer dependency","2003","(1b) general elementary school","95","0.0494171254272833","0.0402535783414308","0.0585806725131357"
"Very high transfer dependency","2003","(1c) basic vocational qualification","162","0.0311659176510571","0.02687711787655","0.0354547174255643"
"Very high transfer dependency","2003","(2b) intermediate general qualification","24","","",""
"Very high transfer dependency","2003","(2a) intermediate vocational","135","0.031537539565291","0.0267467403664898","0.0363283387640921"
"Very high transfer dependency","2003","(2c_gen) general maturity certificate","22","","",""
"Very high transfer dependency","2003","(2c_voc) vocational maturity certificate","31","0.0288291312519915","0.0205338292237195","0.0371244332802634"
"Very high transfer dependency","2003","(3a) lower tertiary education","20","","",""
"Very high transfer dependency","2003","(3b) higher tertiary education","29","","",""
"Very low transfer dependency","2004","(0) in school","545","0.819662107675014","0.789735024812776","0.849589190537253"
"Very low transfer dependency","2004","(1a) inadequately completed","200","0.769784969720982","0.718810936677991","0.820759002763972"
"Very low transfer dependency","2004","(1b) general elementary school","1681","0.830416154569525","0.814035058353416","0.846797250785634"
"Very low transfer dependency","2004","(1c) basic vocational qualification","5431","0.897248937330559","0.889596639983629","0.90490123467749"
"Very low transfer dependency","2004","(2b) intermediate general qualification","487","0.806383762148124","0.774845975527197","0.837921548769051"
"Very low transfer dependency","2004","(2a) intermediate vocational","4346","0.874824664477406","0.865627398355664","0.884021930599147"
"Very low transfer dependency","2004","(2c_gen) general maturity certificate","714","0.803598829518778","0.776796746300296","0.830400912737261"
"Very low transfer dependency","2004","(2c_voc) vocational maturity certificate","1417","0.897597258114425","0.882562234051272","0.912632282177578"
"Very low transfer dependency","2004","(3a) lower tertiary education","1594","0.93157852263289","0.919598309760455","0.943558735505324"
"Very low transfer dependency","2004","(3b) higher tertiary education","2469","0.924415263475549","0.914241129827259","0.934589397123838"
"Low transfer dependency","2004","(0) in school","50","0.107522476255936","0.0834094491292547","0.131635503382618"
"Low transfer dependency","2004","(1a) inadequately completed","31","0.13279745236249","0.0917058961022349","0.173889008622746"
"Low transfer dependency","2004","(1b) general elementary school","162","0.0788614816170801","0.0670963235928305","0.0906266396413297"
"Low transfer dependency","2004","(1c) basic vocational qualification","335","0.0518110712563371","0.0462250713280032","0.057397071184671"
"Low transfer dependency","2004","(2b) intermediate general qualification","67","0.0970341020500758","0.073408259521992","0.12065994457816"
"Low transfer dependency","2004","(2a) intermediate vocational","372","0.0658536162771856","0.0589601739859549","0.0727470585684164"
"Low transfer dependency","2004","(2c_gen) general maturity certificate","88","0.122278165012341","0.100176256580598","0.144380073444085"
"Low transfer dependency","2004","(2c_voc) vocational maturity certificate","89","0.0606919216956785","0.0488512306508107","0.0725326127405464"
"Low transfer dependency","2004","(3a) lower tertiary education","69","0.0390019454834533","0.0298151728650633","0.0481887181018432"
"Low transfer dependency","2004","(3b) higher tertiary education","80","0.0439154547596594","0.0360286030746422","0.0518023064446766"
"High transfer dependency","2004","(0) in school","15","","",""
"High transfer dependency","2004","(1a) inadequately completed","13","","",""
"High transfer dependency","2004","(1b) general elementary school","77","0.0393437126349506","0.0308572928305203","0.047830132439381"
"High transfer dependency","2004","(1c) basic vocational qualification","115","0.0187924216902195","0.0153701536520357","0.0222146897284033"
"High transfer dependency","2004","(2b) intermediate general qualification","23","","",""
"High transfer dependency","2004","(2a) intermediate vocational","101","0.0200498961201852","0.0161540938487315","0.0239456983916389"
"High transfer dependency","2004","(2c_gen) general maturity certificate","22","","",""
"High transfer dependency","2004","(2c_voc) vocational maturity certificate","24","","",""
"High transfer dependency","2004","(3a) lower tertiary education","19","","",""
"High transfer dependency","2004","(3b) higher tertiary education","20","","",""
"Very high transfer dependency","2004","(0) in school","24","","",""
"Very high transfer dependency","2004","(1a) inadequately completed","18","","",""
"Very high transfer dependency","2004","(1b) general elementary school","96","0.0513786511784442","0.0417416785908211","0.0610156237660673"
"Very high transfer dependency","2004","(1c) basic vocational qualification","167","0.032147569722884","0.027702067357304","0.036593072088464"
"Very high transfer dependency","2004","(2b) intermediate general qualification","26","","",""
"Very high transfer dependency","2004","(2a) intermediate vocational","154","0.0392718231252236","0.0338732416883177","0.0446704045621295"
"Very high transfer dependency","2004","(2c_gen) general maturity certificate","20","","",""
"Very high transfer dependency","2004","(2c_voc) vocational maturity certificate","32","0.0261681111359977","0.0182515647663518","0.0340846575056436"
"Very high transfer dependency","2004","(3a) lower tertiary education","24","","",""
"Very high transfer dependency","2004","(3b) higher tertiary education","24","","",""
"Very low transfer dependency","2005","(0) in school","546","0.800529953052647","0.769810105879068","0.831249800226227"
"Very low transfer dependency","2005","(1a) inadequately completed","166","0.702591057148517","0.645351881657072","0.759830232639961"
"Very low transfer dependency","2005","(1b) general elementary school","1526","0.811565155179222","0.793783690171408","0.829346620187035"
"Very low transfer dependency","2005","(1c) basic vocational qualification","5105","0.890816529984129","0.882730216886657","0.898902843081602"
"Very low transfer dependency","2005","(2b) intermediate general qualification","458","0.791531433588074","0.758300195807956","0.824762671368191"
"Very low transfer dependency","2005","(2a) intermediate vocational","4140","0.866132269228491","0.856469113869594","0.875795424587388"
"Very low transfer dependency","2005","(2c_gen) general maturity certificate","666","0.799219648524072","0.771232773652922","0.827206523395222"
"Very low transfer dependency","2005","(2c_voc) vocational maturity certificate","1355","0.897527158845114","0.882220668969377","0.912833648720851"
"Very low transfer dependency","2005","(3a) lower tertiary education","1520","0.933568468834417","0.921515712248155","0.945621225420679"
"Very low transfer dependency","2005","(3b) higher tertiary education","2384","0.917791738151978","0.907056568769954","0.928526907534001"
"Low transfer dependency","2005","(0) in school","56","0.098490555960688","0.0755832589134919","0.121397853007884"
"Low transfer dependency","2005","(1a) inadequately completed","34","0.131055954733878","0.0887998623030775","0.173312047164679"
"Low transfer dependency","2005","(1b) general elementary school","149","0.0874798796591386","0.0746329144148748","0.100326844903402"
"Low transfer dependency","2005","(1c) basic vocational qualification","335","0.0555920303559359","0.0496509686576771","0.0615330920541947"
"Low transfer dependency","2005","(2b) intermediate general qualification","69","0.130492960212012","0.102936575602058","0.158049344821965"
"Low transfer dependency","2005","(2a) intermediate vocational","378","0.0722512729712693","0.0649039888125782","0.0795985571299603"
"Low transfer dependency","2005","(2c_gen) general maturity certificate","61","0.100017336387208","0.0790561703114532","0.120978502462962"
"Low transfer dependency","2005","(2c_voc) vocational maturity certificate","95","0.0602793515768764","0.048266915459589","0.0722917876941637"
"Low transfer dependency","2005","(3a) lower tertiary education","82","0.0410334641569655","0.0314328949076739","0.0506340334062572"
"Low transfer dependency","2005","(3b) higher tertiary education","82","0.041303163220369","0.0335261757310909","0.0490801507096471"
"High transfer dependency","2005","(0) in school","18","","",""
"High transfer dependency","2005","(1a) inadequately completed","15","","",""
"High transfer dependency","2005","(1b) general elementary school","78","0.0419652404463663","0.0328480562853152","0.0510824246074174"
"High transfer dependency","2005","(1c) basic vocational qualification","114","0.0210172676235883","0.0172980326590611","0.0247365025881154"
"High transfer dependency","2005","(2b) intermediate general qualification","20","","",""
"High transfer dependency","2005","(2a) intermediate vocational","116","0.0234528429409816","0.019158138719514","0.0277475471624492"
"High transfer dependency","2005","(2c_gen) general maturity certificate","24","","",""
"High transfer dependency","2005","(2c_voc) vocational maturity certificate","27","","",""
"High transfer dependency","2005","(3a) lower tertiary education","19","","",""
"High transfer dependency","2005","(3b) higher tertiary education","24","","",""
"Very high transfer dependency","2005","(0) in school","30","0.0582027489790647","0.040204018628331","0.0762014793297984"
"Very high transfer dependency","2005","(1a) inadequately completed","30","0.100689849384729","0.0630096977241402","0.138370001045318"
"Very high transfer dependency","2005","(1b) general elementary school","105","0.0589897247152736","0.0482767370771217","0.0697027123534256"
"Very high transfer dependency","2005","(1c) basic vocational qualification","160","0.0325741720363465","0.0279713571949332","0.0371769868777598"
"Very high transfer dependency","2005","(2b) intermediate general qualification","27","","",""
"Very high transfer dependency","2005","(2a) intermediate vocational","136","0.0381636148592586","0.0327265532442096","0.0436006764743076"
"Very high transfer dependency","2005","(2c_gen) general maturity certificate","36","0.0664731422400192","0.0490692158488879","0.0838770686311506"
"Very high transfer dependency","2005","(2c_voc) vocational maturity certificate","31","0.0254211796812187","0.0174769140913126","0.0333654452711247"
"Very high transfer dependency","2005","(3a) lower tertiary education","19","","",""
"Very high transfer dependency","2005","(3b) higher tertiary education","25","","",""
"Very low transfer dependency","2006","(0) in school","547","0.807696226905553","0.77723407816894","0.838158375642166"
"Very low transfer dependency","2006","(1a) inadequately completed","161","0.598962486844698","0.537085111968313","0.660839861721084"
"Very low transfer dependency","2006","(1b) general elementary school","1592","0.798422017997559","0.780737934556969","0.816106101438148"
"Very low transfer dependency","2006","(1c) basic vocational qualification","5508","0.8857538762602","0.877811887376612","0.893695865143788"
"Very low transfer dependency","2006","(2b) intermediate general qualification","486","0.804498415532553","0.772818239747877","0.836178591317229"
"Very low transfer dependency","2006","(2a) intermediate vocational","4475","0.858393826995909","0.848881043206226","0.867906610785591"
"Very low transfer dependency","2006","(2c_gen) general maturity certificate","671","0.780084542132354","0.751838553372853","0.808330530891855"
"Very low transfer dependency","2006","(2c_voc) vocational maturity certificate","1446","0.870633811328028","0.854336509639405","0.886931113016652"
"Very low transfer dependency","2006","(3a) lower tertiary education","1678","0.938156558229908","0.927022903927387","0.949290212532429"
"Very low transfer dependency","2006","(3b) higher tertiary education","2648","0.929063516673909","0.919501617862293","0.938625415485525"
"Low transfer dependency","2006","(0) in school","43","0.0638223054614541","0.0449289979475797","0.0827156129753286"
"Low transfer dependency","2006","(1a) inadequately completed","28","","",""
"Low transfer dependency","2006","(1b) general elementary school","145","0.0726147429672809","0.06117576424069","0.0840537216938718"
"Low transfer dependency","2006","(1c) basic vocational qualification","319","0.0542402435835989","0.048585626019526","0.0598948611476719"
"Low transfer dependency","2006","(2b) intermediate general qualification","54","0.0892588491720152","0.0664830844920492","0.112034613851981"
"Low transfer dependency","2006","(2a) intermediate vocational","376","0.0719022236369808","0.0648538118783962","0.0789506353955654"
"Low transfer dependency","2006","(2c_gen) general maturity certificate","77","0.0929645362839726","0.0731616335271146","0.112767439040831"
"Low transfer dependency","2006","(2c_voc) vocational maturity certificate","117","0.0794687698642298","0.0663345265442371","0.0926030131842225"
"Low transfer dependency","2006","(3a) lower tertiary education","85","0.0380703296809284","0.0292249144167486","0.0469157449451083"
"Low transfer dependency","2006","(3b) higher tertiary education","69","0.0267960757958866","0.0207812349864912","0.032810916605282"
"High transfer dependency","2006","(0) in school","17","","",""
"High transfer dependency","2006","(1a) inadequately completed","15","","",""
"High transfer dependency","2006","(1b) general elementary school","102","0.0525834737326968","0.0427447249699559","0.0624222224954377"
"High transfer dependency","2006","(1c) basic vocational qualification","133","0.0212915386337732","0.0176875600456419","0.0248955172219046"
"High transfer dependency","2006","(2b) intermediate general qualification","32","0.0503767145010494","0.0329048021223581","0.0678486268797408"
"High transfer dependency","2006","(2a) intermediate vocational","140","0.031234186641811","0.0264879679747399","0.035980405308882"
"High transfer dependency","2006","(2c_gen) general maturity certificate","41","0.0502615431557394","0.0353618272255529","0.0651612590859259"
"High transfer dependency","2006","(2c_voc) vocational maturity certificate","31","0.0225113934977052","0.015307876411715","0.0297149105836955"
"High transfer dependency","2006","(3a) lower tertiary education","11","","",""
"High transfer dependency","2006","(3b) higher tertiary education","17","","",""
"Very high transfer dependency","2006","(0) in school","36","0.0837007588270788","0.0622952298006395","0.105106287853518"
"Very high transfer dependency","2006","(1a) inadequately completed","37","0.158154579761789","0.112086868855522","0.204222290668055"
"Very high transfer dependency","2006","(1b) general elementary school","138","0.0763797653024638","0.0646718213272944","0.0880877092776332"
"Very high transfer dependency","2006","(1c) basic vocational qualification","203","0.0387143415224274","0.0338980343526263","0.0435306486922286"
"Very high transfer dependency","2006","(2b) intermediate general qualification","30","0.0558660207943822","0.0375200571400947","0.0742119844486697"
"Very high transfer dependency","2006","(2a) intermediate vocational","169","0.0384697627252997","0.0332221174900826","0.0437174079605167"
"Very high transfer dependency","2006","(2c_gen) general maturity certificate","37","0.0766893784279337","0.0585425976790678","0.0948361591767997"
"Very high transfer dependency","2006","(2c_voc) vocational maturity certificate","35","0.0273860253100366","0.0194606049889668","0.0353114456311064"
"Very high transfer dependency","2006","(3a) lower tertiary education","24","","",""
"Very high transfer dependency","2006","(3b) higher tertiary education","35","0.0335869157397997","0.0268764436229317","0.0402973878566676"
"Very low transfer dependency","2007","(0) in school","526","0.791338838690511","0.759506908395296","0.823170768985727"
"Very low transfer dependency","2007","(1a) inadequately completed","142","0.643058828865368","0.578869197868185","0.707248459862551"
"Very low transfer dependency","2007","(1b) general elementary school","1392","0.794655407983643","0.77572394211605","0.813586873851236"
"Very low transfer dependency","2007","(1c) basic vocational qualification","5045","0.889926002751281","0.881744708977208","0.898107296525354"
"Very low transfer dependency","2007","(2b) intermediate general qualification","444","0.784263930194619","0.74976193012472","0.818765930264519"
"Very low transfer dependency","2007","(2a) intermediate vocational","4253","0.864338269932197","0.85471006803986","0.873966471824534"
"Very low transfer dependency","2007","(2c_gen) general maturity certificate","667","0.795122705158623","0.767258634466466","0.822986775850781"
"Very low transfer dependency","2007","(2c_voc) vocational maturity certificate","1415","0.896889254473973","0.881788948818069","0.911989560129877"
"Very low transfer dependency","2007","(3a) lower tertiary education","1609","0.936837683532459","0.925298036345854","0.948377330719064"
"Very low transfer dependency","2007","(3b) higher tertiary education","2554","0.926053816974364","0.916146485633933","0.935961148314794"
"Low transfer dependency","2007","(0) in school","53","0.103085453153777","0.0792658155094323","0.126905090798121"
"Low transfer dependency","2007","(1a) inadequately completed","28","","",""
"Low transfer dependency","2007","(1b) general elementary school","154","0.0811089617219167","0.0683145708238311","0.0939033526200023"
"Low transfer dependency","2007","(1c) basic vocational qualification","278","0.0505641512867928","0.0448367601343891","0.0562915424391965"
"Low transfer dependency","2007","(2b) intermediate general qualification","56","0.107053619941529","0.0811198807595244","0.132987359123534"
"Low transfer dependency","2007","(2a) intermediate vocational","336","0.0697930977605448","0.06262884899087","0.0769573465302196"
"Low transfer dependency","2007","(2c_gen) general maturity certificate","76","0.100876983409803","0.080085466722579","0.121668500097027"
"Low transfer dependency","2007","(2c_voc) vocational maturity certificate","85","0.0542475710217554","0.0430004013828303","0.0654947406606805"
"Low transfer dependency","2007","(3a) lower tertiary education","56","0.0310340982082903","0.0228077868579062","0.0392604095586744"
"Low transfer dependency","2007","(3b) higher tertiary education","68","0.0293328765811793","0.0229444606856414","0.0357212924767173"
"High transfer dependency","2007","(0) in school","15","","",""
"High transfer dependency","2007","(1a) inadequately completed","18","","",""
"High transfer dependency","2007","(1b) general elementary school","80","0.0496441584908352","0.0394645661270573","0.0598237508546131"
"High transfer dependency","2007","(1c) basic vocational qualification","117","0.0246355713961263","0.0205835899628761","0.0286875528293764"
"High transfer dependency","2007","(2b) intermediate general qualification","19","","",""
