"transab_cat2","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Very high transfer dependency","2008","66 and older","West Germany","8","","","","3"
"Very high transfer dependency","2008","66 and older","East Germany","","","","","3"
"Very low transfer dependency","2008","16-34 y.","West Germany","2917","0.821286046070351","0.808429222476785","0.834142869663917","0"
"Very low transfer dependency","2008","16-34 y.","East Germany","821","0.678956503444348","0.652100901210429","0.705812105678266","0"
"Very low transfer dependency","2008","35-65 y.","West Germany","7453","0.89051462562982","0.883730594526001","0.897298656733639","0"
"Very low transfer dependency","2008","35-65 y.","East Germany","2073","0.803880556734082","0.788312978707883","0.819448134760281","0"
"Very low transfer dependency","2008","66 and older","West Germany","3117","0.959957758064757","0.953182781229617","0.966732734899898","0"
"Very low transfer dependency","2008","66 and older","East Germany","1108","0.980132807405009","0.972000243161953","0.988265371648065","0"
"High transfer dependency","2009","16-34 y.","West Germany","87","0.0270312184237184","0.021375919807259","0.0326865170401778","2"
"High transfer dependency","2009","16-34 y.","East Germany","56","0.0526451613060603","0.039182027363177","0.0661082952489436","2"
"High transfer dependency","2009","35-65 y.","East Germany","64","0.0286748189577796","0.0219671004025357","0.0353825375130234","2"
"High transfer dependency","2009","35-65 y.","West Germany","118","0.0212928120906028","0.0180211441065306","0.0245644800746749","2"
"High transfer dependency","2009","66 and older","West Germany","12","","","","2"
"High transfer dependency","2009","66 and older","East Germany","2","","","","2"
"Low transfer dependency","2009","16-34 y.","West Germany","237","0.0822713971036367","0.072689426193166","0.0918533680141073","1"
"Low transfer dependency","2009","16-34 y.","East Germany","142","0.168123241515327","0.145578047852916","0.190668435177738","1"
"Low transfer dependency","2009","35-65 y.","East Germany","188","0.0922219945463605","0.0805928103542999","0.103851178738421","1"
"Low transfer dependency","2009","35-65 y.","West Germany","336","0.0524667922978476","0.0474136002884781","0.0575199843072172","1"
"Low transfer dependency","2009","66 and older","West Germany","77","0.0286134402928426","0.0227275405843183","0.0344993400013669","1"
"Low transfer dependency","2009","66 and older","East Germany","22","","","","1"
"Very high transfer dependency","2009","16-34 y.","West Germany","105","0.0454942502678273","0.0382274904062275","0.0527610101294272","3"
"Very high transfer dependency","2009","16-34 y.","East Germany","94","0.1159360862544","0.0966358890332304","0.13523628347557","3"
"Very high transfer dependency","2009","35-65 y.","West Germany","162","0.0294134292314315","0.025584156547156","0.0332427019157071","3"
"Very high transfer dependency","2009","35-65 y.","East Germany","116","0.0720284814982709","0.0616373792352978","0.0824195837612441","3"
"Very high transfer dependency","2009","66 and older","West Germany","9","","","","3"
"Very high transfer dependency","2009","66 and older","East Germany","","","","","3"
"Very low transfer dependency","2009","16-34 y.","West Germany","2730","0.845203134204818","0.832589654606614","0.857816613803021","0"
"Very low transfer dependency","2009","16-34 y.","East Germany","765","0.663295510924212","0.634805764766814","0.69178525708161","0"
"Very low transfer dependency","2009","35-65 y.","West Germany","6863","0.896826966380118","0.889933085835108","0.903720846925128","0"
"Very low transfer dependency","2009","35-65 y.","East Germany","2010","0.807074704997589","0.791215054209578","0.8229343557856","0"
"Very low transfer dependency","2009","66 and older","East Germany","1101","0.980853160124132","0.972845191179183","0.988861129069081","0"
"Very low transfer dependency","2009","66 and older","West Germany","2984","0.960481501607908","0.953603274786026","0.967359728429791","0"
"High transfer dependency","2010","16-34 y.","West Germany","313","0.0413022525540493","0.0359313542676644","0.0466731508404341","2"
"High transfer dependency","2010","16-34 y.","East Germany","133","0.0755070663856191","0.0623962000901476","0.0886179326810905","2"
"High transfer dependency","2010","35-65 y.","West Germany","345","0.0222417807189653","0.019411650282999","0.0250719111549316","2"
"High transfer dependency","2010","35-65 y.","East Germany","138","0.0411029567472209","0.0337911620562551","0.0484147514381866","2"
"High transfer dependency","2010","66 and older","East Germany","2","","","","2"
"High transfer dependency","2010","66 and older","West Germany","14","","","","2"
"Low transfer dependency","2010","16-34 y.","West Germany","626","0.0795106122845592","0.0722086237411378","0.0868126008279806","1"
"Low transfer dependency","2010","16-34 y.","East Germany","294","0.131627738753009","0.114850809497601","0.148404668008416","1"
"Low transfer dependency","2010","35-65 y.","East Germany","334","0.0859133086979819","0.0755922230521613","0.0962343943438025","1"
"Low transfer dependency","2010","35-65 y.","West Germany","858","0.0575904819614934","0.0531195184533438","0.062061445469643","1"
"Low transfer dependency","2010","66 and older","East Germany","21","","","","1"
"Low transfer dependency","2010","66 and older","West Germany","70","0.0262007277125029","0.0204839506297381","0.0319175047952677","1"
"Very high transfer dependency","2010","16-34 y.","West Germany","430","0.0546452785778432","0.0485105842756215","0.0607799728800649","3"
"Very high transfer dependency","2010","16-34 y.","East Germany","220","0.117560179205895","0.101577173281503","0.133543185130287","3"
"Very high transfer dependency","2010","35-65 y.","West Germany","423","0.0379022530346572","0.0342374718511131","0.0415670342182013","3"
"Very high transfer dependency","2010","35-65 y.","East Germany","180","0.0628403513329717","0.0539026145771769","0.0717780880887666","3"
"Very high transfer dependency","2010","66 and older","West Germany","6","","","","3"
"Very high transfer dependency","2010","66 and older","East Germany","1","","","","3"
"Very low transfer dependency","2010","16-34 y.","West Germany","3904","0.824541856583548","0.814275595053809","0.834808118113288","0"
"Very low transfer dependency","2010","16-34 y.","East Germany","913","0.675305015655477","0.652068362819603","0.698541668491351","0"
"Very low transfer dependency","2010","35-65 y.","West Germany","8804","0.882265484284884","0.876080231089951","0.888450737479817","0"
"Very low transfer dependency","2010","35-65 y.","East Germany","2180","0.810143383221825","0.795699123797369","0.824587642646282","0"
"Very low transfer dependency","2010","66 and older","West Germany","2909","0.964163343671507","0.957510628850707","0.970816058492308","0"
"Very low transfer dependency","2010","66 and older","East Germany","1047","0.973617010350298","0.964018376273429","0.983215644427168","0"
"High transfer dependency","2011","16-34 y.","West Germany","364","0.0496571490964759","0.0439740972636845","0.0553402009292673","2"
"High transfer dependency","2011","16-34 y.","East Germany","166","0.0840199320523606","0.0705565154290003","0.0974833486757209","2"
"High transfer dependency","2011","35-65 y.","East Germany","187","0.0469935744368722","0.0399041366501462","0.0540830122235981","2"
"High transfer dependency","2011","35-65 y.","West Germany","444","0.0280295844997059","0.025175732937855","0.0308834360615568","2"
"High transfer dependency","2011","66 and older","West Germany","36","0.0124476730660196","0.00897066165105163","0.0159246844809876","2"
"High transfer dependency","2011","66 and older","East Germany","10","","","","2"
"Low transfer dependency","2011","16-34 y.","West Germany","768","0.0884311603675446","0.0810035696061709","0.0958587511289183","1"
"Low transfer dependency","2011","16-34 y.","East Germany","295","0.117369761629403","0.101749488525219","0.132990034733587","1"
"Low transfer dependency","2011","35-65 y.","East Germany","410","0.0853554570488656","0.075995228321281","0.0947156857764501","1"
"Low transfer dependency","2011","35-65 y.","West Germany","1071","0.0496560351182298","0.0459000578300092","0.0534120124064504","1"
"Low transfer dependency","2011","66 and older","West Germany","86","0.0256367362334172","0.0206802513059192","0.0305932211609152","1"
"Low transfer dependency","2011","66 and older","East Germany","30","0.0262197895911086","0.0175069060835482","0.034932673098669","1"
"Very high transfer dependency","2011","16-34 y.","West Germany","411","0.0472415325325332","0.0416913921586311","0.0527916729064354","3"
"Very high transfer dependency","2011","16-34 y.","East Germany","248","0.117345892117712","0.101726996251897","0.132964787983527","3"
"Very high transfer dependency","2011","35-65 y.","West Germany","550","0.0364074005732267","0.0331689438990749","0.0396458572473785","3"
"Very high transfer dependency","2011","35-65 y.","East Germany","224","0.056871291347603","0.0491128109224629","0.0646297717727431","3"
"Very high transfer dependency","2011","66 and older","West Germany","12","","","","3"
"Very high transfer dependency","2011","66 and older","East Germany","","","","","3"
"Very low transfer dependency","2011","16-34 y.","West Germany","4070","0.814670158003446","0.804504999575361","0.824835316431531","0"
"Very low transfer dependency","2011","35-65 y.","West Germany","10785","0.885906979808838","0.880410050813058","0.891403908804618","0"
"Very low transfer dependency","2011","16-34 y.","East Germany","922","0.681264414200525","0.658649536707466","0.703879291693584","0"
"Very low transfer dependency","2011","35-65 y.","East Germany","2602","0.810779677166659","0.797658283718364","0.823901070614954","0"
"Very low transfer dependency","2011","66 and older","West Germany","3772","0.9557475022052","0.949298055594811","0.962196948815588","0"
"Very low transfer dependency","2011","66 and older","East Germany","1252","0.966088066645847","0.956218423096476","0.975957710195218","0"
"High transfer dependency","2012","16-34 y.","West Germany","330","0.0426812762952994","0.0372622505834577","0.048100302007141","2"
"High transfer dependency","2012","16-34 y.","East Germany","159","0.090155333942467","0.0755342796716082","0.104776388213326","2"
"High transfer dependency","2012","35-65 y.","West Germany","411","0.0245280557728467","0.0218229003305916","0.0272332112151018","2"
"High transfer dependency","2012","35-65 y.","East Germany","172","0.0378596445216679","0.0314900912350148","0.044229197808321","2"
"High transfer dependency","2012","66 and older","East Germany","10","","","","2"
"High transfer dependency","2012","66 and older","West Germany","36","0.0171968520343808","0.0131410917836414","0.0212526122851203","2"
"Low transfer dependency","2012","16-34 y.","West Germany","582","0.077519146499638","0.0703501658536941","0.0846881271455818","1"
"Low transfer dependency","2012","16-34 y.","East Germany","255","0.13669958357555","0.119162235562439","0.154236931588661","1"
"Low transfer dependency","2012","35-65 y.","East Germany","395","0.0804573250292325","0.0713797419327108","0.0895349081257543","1"
"Low transfer dependency","2012","35-65 y.","West Germany","890","0.0504072455115513","0.046581038611729","0.0542334524113736","1"
"Low transfer dependency","2012","66 and older","East Germany","37","0.0263259812386364","0.0176328755905139","0.035019086886759","1"
"Low transfer dependency","2012","66 and older","West Germany","68","0.0164463164405759","0.012478533703937","0.0204140991772147","1"
"Very high transfer dependency","2012","16-34 y.","West Germany","330","0.0380086197581734","0.032882356847971","0.0431348826683757","3"
"Very high transfer dependency","2012","16-34 y.","East Germany","204","0.117727211740553","0.101274434386389","0.134179989094717","3"
"Very high transfer dependency","2012","35-65 y.","West Germany","482","0.0352014304603185","0.031978493931575","0.0384243669890619","3"
"Very high transfer dependency","2012","35-65 y.","East Germany","238","0.0691069587650393","0.0606422450135852","0.0775716725164933","3"
"Very high transfer dependency","2012","66 and older","West Germany","12","","","","3"
"Very high transfer dependency","2012","66 and older","East Germany","","","","","3"
"Very low transfer dependency","2012","16-34 y.","West Germany","4103","0.841790957446889","0.832007507769193","0.851574407124586","0"
"Very low transfer dependency","2012","35-65 y.","West Germany","10777","0.889863268255284","0.884388307582754","0.895338228927813","0"
"Very low transfer dependency","2012","35-65 y.","East Germany","2644","0.81257607168406","0.799552022530303","0.825600120837818","0"
"Very low transfer dependency","2012","16-34 y.","East Germany","856","0.65541787074143","0.631157084922016","0.679678656560843","0"
"Very low transfer dependency","2012","66 and older","West Germany","3831","0.961848550713184","0.955872374486971","0.967824726939397","0"
"Very low transfer dependency","2012","66 and older","East Germany","1256","0.965552392916726","0.95564992748898","0.975454858344472","0"
"High transfer dependency","2013","16-34 y.","West Germany","447","0.0407998311270935","0.0361280194501054","0.0454716428040815","2"
"High transfer dependency","2013","16-34 y.","East Germany","151","0.0937503768347871","0.078653503454677","0.108847250214897","2"
"High transfer dependency","2013","35-65 y.","West Germany","559","0.0260361408329663","0.0234098408044111","0.0286624408615214","2"
"High transfer dependency","2013","35-65 y.","East Germany","185","0.0397890558164172","0.0333032678157786","0.0462748438170558","2"
"High transfer dependency","2013","66 and older","West Germany","27","","","","2"
"High transfer dependency","2013","66 and older","East Germany","11","","","","2"
"Low transfer dependency","2013","16-34 y.","West Germany","781","0.0854565195811591","0.0788545077019913","0.0920585314603269","1"
"Low transfer dependency","2013","16-34 y.","East Germany","201","0.111262319198787","0.094975456578904","0.12754918181867","1"
"Low transfer dependency","2013","35-65 y.","East Germany","333","0.0700819515177499","0.0616111786256653","0.0785527244098344","1"
"Low transfer dependency","2013","35-65 y.","West Germany","1040","0.0535489816404939","0.0498361155084811","0.0572618477725067","1"
"Low transfer dependency","2013","66 and older","West Germany","92","0.0216229880180319","0.0170279923184551","0.0262179837176088","1"
"Low transfer dependency","2013","66 and older","East Germany","30","0.0211939880590703","0.013219051952577","0.0291689241655637","1"
"Very high transfer dependency","2013","16-34 y.","West Germany","471","0.0501533193403586","0.044998919352893","0.0553077193278242","3"
"Very high transfer dependency","2013","16-34 y.","East Germany","204","0.107073966866047","0.0910589916524091","0.123088942079684","3"
"Very high transfer dependency","2013","35-65 y.","West Germany","669","0.0401600784259898","0.0369220452646277","0.0433981115873519","3"
"Very high transfer dependency","2013","35-65 y.","East Germany","276","0.0669692623976662","0.0586748936382352","0.0752636311570971","3"
"Very high transfer dependency","2013","66 and older","West Germany","24","","","","3"
"Very high transfer dependency","2013","66 and older","East Germany","4","","","","3"
"Very low transfer dependency","2013","16-34 y.","West Germany","5189","0.823590329951389","0.814588758460434","0.832591901442343","0"
"Very low transfer dependency","2013","35-65 y.","West Germany","11855","0.88025479910055","0.874900312073477","0.885609286127624","0"
"Very low transfer dependency","2013","16-34 y.","East Germany","876","0.687913337100379","0.663915005415743","0.711911668785016","0"
"Very low transfer dependency","2013","35-65 y.","East Germany","2695","0.823159730268167","0.810499831040738","0.835819629495595","0"
"Very low transfer dependency","2013","66 and older","West Germany","3706","0.965570285245186","0.959810148496958","0.971330421993414","0"
"Very low transfer dependency","2013","66 and older","East Germany","1208","0.967573642835312","0.957766022368848","0.977381263301776","0"
"High transfer dependency","2014","16-34 y.","West Germany","359","0.0436039707098291","0.0383588365894536","0.0488491048302045","2"
"High transfer dependency","2014","16-34 y.","East Germany","153","0.108611054027973","0.091403311170749","0.125818796885197","2"
"High transfer dependency","2014","35-65 y.","East Germany","159","0.0418137000113751","0.0348391830992948","0.0487882169234553","2"
"High transfer dependency","2014","35-65 y.","West Germany","426","0.024935050854049","0.0221801147074371","0.0276899870006609","2"
"High transfer dependency","2014","66 and older","East Germany","10","","","","2"
"High transfer dependency","2014","66 and older","West Germany","30","0.00842658951950801","0.00550600796841131","0.0113471710706047","2"
"Low transfer dependency","2014","16-34 y.","West Germany","684","0.0950523921149","0.0875193925975131","0.102585391632287","1"
"Low transfer dependency","2014","16-34 y.","East Germany","186","0.119073190989728","0.101161764256371","0.136984617723084","1"
"Low transfer dependency","2014","35-65 y.","East Germany","307","0.0710211345214491","0.0620710616096162","0.079971207433282","1"
"Low transfer dependency","2014","35-65 y.","West Germany","898","0.054643400051309","0.0506277457054072","0.0586590543972108","1"
"Low transfer dependency","2014","66 and older","East Germany","32","0.0215577212870844","0.0134413002680827","0.0296741423060862","1"
"Low transfer dependency","2014","66 and older","West Germany","76","0.0196158838497661","0.0151850745795784","0.0240466931199537","1"
"Very high transfer dependency","2014","16-34 y.","West Germany","407","0.0539853813437815","0.0481809228969904","0.0597898397905726","3"
"Very high transfer dependency","2014","16-34 y.","East Germany","143","0.112987476365693","0.0954796068414568","0.13049534588993","3"
"Very high transfer dependency","2014","35-65 y.","West Germany","590","0.0424067812059147","0.038846389166101","0.0459671732457283","3"
"Very high transfer dependency","2014","35-65 y.","East Germany","202","0.0657284782718017","0.0570938588990784","0.074363097644525","3"
"Very high transfer dependency","2014","66 and older","West Germany","29","","","","3"
"Very high transfer dependency","2014","66 and older","East Germany","1","","","","3"
"Very low transfer dependency","2014","16-34 y.","West Germany","4373","0.807358255831489","0.79722887167349","0.817487639989489","0"
"Very low transfer dependency","2014","35-65 y.","West Germany","10392","0.878014767888727","0.872232553708669","0.883796982068786","0"
"Very low transfer dependency","2014","35-65 y.","East Germany","2496","0.821436687195374","0.808091858025343","0.834781516365406","0"
"Very low transfer dependency","2014","16-34 y.","East Germany","774","0.659328278616606","0.633117968147298","0.685538589085913","0"
"Very low transfer dependency","2014","66 and older","West Germany","3628","0.967041090105231","0.961336954186768","0.972745226023693","0"
"Very low transfer dependency","2014","66 and older","East Germany","1187","0.968716326821414","0.9589876737818","0.978444979861028","0"
"High transfer dependency","2015","16-34 y.","West Germany","382","0.0503337453465668","0.0447947482119742","0.0558727424811595","2"
"High transfer dependency","2015","16-34 y.","East Germany","122","0.075147288163899","0.0602746709777194","0.0900199053500785","2"
"High transfer dependency","2015","35-65 y.","East Germany","146","0.0330659847394409","0.0267076504691821","0.0394243190096997","2"
"High transfer dependency","2015","35-65 y.","West Germany","380","0.0237706407337399","0.021056378635678","0.0264849028318018","2"
"High transfer dependency","2015","66 and older","West Germany","30","0.00726464681008842","0.0045341967679168","0.00999509685226003","2"
"High transfer dependency","2015","66 and older","East Germany","6","","","","2"
"Low transfer dependency","2015","16-34 y.","West Germany","557","0.0676602344173961","0.0612971180346233","0.074023350800169","1"
"Low transfer dependency","2015","16-34 y.","East Germany","192","0.137643783416701","0.118207370986112","0.15708019584729","1"
"Low transfer dependency","2015","35-65 y.","West Germany","791","0.0522535021649508","0.048288355995016","0.0562186483348856","1"
"Low transfer dependency","2015","35-65 y.","East Germany","275","0.0741176454509471","0.0648024297211413","0.083432861180753","1"
"Low transfer dependency","2015","66 and older","West Germany","87","0.0227266709298412","0.0179350089544779","0.0275183329052045","1"
"Low transfer dependency","2015","66 and older","East Germany","25","","","","1"
"Very high transfer dependency","2015","16-34 y.","West Germany","472","0.0561187528818824","0.0502879454575825","0.0619495603061823","3"
"Very high transfer dependency","2015","16-34 y.","East Germany","149","0.104218475517942","0.0869812301213812","0.121455720914502","3"
"Very high transfer dependency","2015","35-65 y.","West Germany","620","0.0439618474420483","0.0403090046209883","0.0476146902631083","3"
"Very high transfer dependency","2015","35-65 y.","East Germany","200","0.069061556715911","0.0600451629406192","0.0780779504912029","3"
"Very high transfer dependency","2015","66 and older","West Germany","34","0.00622389251830464","0.00369526094717994","0.00875252408942934","3"
"Very high transfer dependency","2015","66 and older","East Germany","2","","","","3"
"Very low transfer dependency","2015","16-34 y.","West Germany","4574","0.825887267354155","0.81628018165438","0.835494353053929","0"
"Very low transfer dependency","2015","16-34 y.","East Germany","744","0.682990452901459","0.656739930937992","0.709240974864925","0"
"Very low transfer dependency","2015","35-65 y.","West Germany","10309","0.880014009659261","0.874224184233403","0.885803835085119","0"
"Very low transfer dependency","2015","35-65 y.","East Germany","2417","0.823754813093701","0.810205670242552","0.83730395594485","0"
"Very low transfer dependency","2015","66 and older","West Germany","3565","0.963784789741766","0.957777953700585","0.969791625782946","0"
"Very low transfer dependency","2015","66 and older","East Germany","1204","0.979368945132809","0.971447633072968","0.987290257192651","0"
"High transfer dependency","2016","16-34 y.","West Germany","261","0.0493574379586667","0.0433872700504328","0.0553276058669006","2"
"High transfer dependency","2016","16-34 y.","East Germany","85","0.0540021640962015","0.0403763879140673","0.0676279402783356","2"
"High transfer dependency","2016","35-65 y.","East Germany","109","0.0331704892660335","0.0266255663207833","0.0397154122112838","2"
"High transfer dependency","2016","35-65 y.","West Germany","338","0.0237637526810279","0.020913393768403","0.0266141115936527","2"
"High transfer dependency","2016","66 and older","East Germany","9","","","","2"
"High transfer dependency","2016","66 and older","West Germany","34","0.00868793057976639","0.00564753137847314","0.0117283297810596","2"
"Low transfer dependency","2016","16-34 y.","West Germany","566","0.0910766564504749","0.0831467368844969","0.0990065760164529","1"
"Low transfer dependency","2016","16-34 y.","East Germany","173","0.16872941488088","0.146151844533127","0.191306985228632","1"
"Low transfer dependency","2016","35-65 y.","East Germany","260","0.0655658923561375","0.0565196758128266","0.0746121088994483","1"
"Low transfer dependency","2016","35-65 y.","West Germany","748","0.0503385242954079","0.0462468672676861","0.0544301813231296","1"
"Low transfer dependency","2016","66 and older","East Germany","23","","","","1"
"Low transfer dependency","2016","66 and older","West Germany","74","0.02230658036914","0.0174683662264847","0.0271447945117954","1"
"Very high transfer dependency","2016","16-34 y.","West Germany","380","0.0544891613756802","0.0482332594453014","0.060745063306059","3"
"Very high transfer dependency","2016","16-34 y.","East Germany","121","0.0960374965050846","0.0782749093988065","0.113800083611363","3"
"Very high transfer dependency","2016","35-65 y.","West Germany","520","0.0399216265725637","0.0362579086399155","0.0435853445052119","3"
"Very high transfer dependency","2016","35-65 y.","East Germany","174","0.0574363367495838","0.048932745754641","0.0659399277445266","3"
"Very high transfer dependency","2016","66 and older","West Germany","35","0.00772766042128529","0.00485881796668076","0.0105965028758898","3"
"Very high transfer dependency","2016","66 and older","East Germany","2","","","","3"
"Very low transfer dependency","2016","16-34 y.","West Germany","3850","0.805076744215178","0.794158518121786","0.815994970308571","0"
"Very low transfer dependency","2016","35-65 y.","West Germany","9363","0.885976096451001","0.880028061283924","0.891924131618077","0"
"Very low transfer dependency","2016","16-34 y.","East Germany","678","0.681230924517834","0.653138070263313","0.709323778772356","0"
"Very low transfer dependency","2016","35-65 y.","East Germany","2333","0.843827281628245","0.830559967370154","0.857094595886336","0"
"Very low transfer dependency","2016","66 and older","West Germany","3436","0.961277828629808","0.954957035802232","0.967598621457385","0"
"Very low transfer dependency","2016","66 and older","East Germany","1156","0.972926669547431","0.96370551063286","0.982147828462003","0"
"High transfer dependency","2017","16-34 y.","West Germany","352","0.0431478205661009","0.0381867868070001","0.0481088543252018","2"
"High transfer dependency","2017","16-34 y.","East Germany","111","0.0702318230666542","0.0567446705809247","0.0837189755523836","2"
"High transfer dependency","2017","35-65 y.","West Germany","440","0.0279694510690559","0.0251200152145135","0.0308188869235982","2"
"High transfer dependency","2017","35-65 y.","East Germany","151","0.0316386893394487","0.0257706905078636","0.0375066881710337","2"
"High transfer dependency","2017","66 and older","West Germany","35","0.00609679214124478","0.00361883415087443","0.00857475013161512","2"
"High transfer dependency","2017","66 and older","East Germany","10","","","","2"
"Low transfer dependency","2017","16-34 y.","West Germany","612","0.0803612269767293","0.0737237620176643","0.0869986919357944","1"
"Low transfer dependency","2017","16-34 y.","East Germany","181","0.128049241477529","0.110413227151726","0.145685255803333","1"
"Low transfer dependency","2017","35-65 y.","West Germany","743","0.0448717520726778","0.0412941312080745","0.0484493729372811","1"
"Low transfer dependency","2017","35-65 y.","East Germany","242","0.053143498579638","0.0456233016157606","0.0606636955435153","1"
"Low transfer dependency","2017","66 and older","West Germany","75","0.0220045182120322","0.0173347475208641","0.0266742889032003","1"
"Low transfer dependency","2017","66 and older","East Germany","31","0.031704270169096","0.0219560554034193","0.0414524849347728","1"
"Very high transfer dependency","2017","16-34 y.","West Germany","1124","0.0624767588687225","0.0565676690387812","0.0683858486986638","3"
"Very high transfer dependency","2017","16-34 y.","East Germany","279","0.100616797826653","0.0847396097363737","0.116493985916931","3"
"Very high transfer dependency","2017","35-65 y.","West Germany","1185","0.0405942984249972","0.0371838567727929","0.0440047400772015","3"
"Very high transfer dependency","2017","35-65 y.","East Germany","315","0.0616378061797462","0.0535752844297717","0.0697003279297207","3"
"Very high transfer dependency","2017","66 and older","West Germany","49","0.00737342075650373","0.00465010087023633","0.0100967406427711","3"
"Very high transfer dependency","2017","66 and older","East Germany","3","","","","3"
"Very low transfer dependency","2017","16-34 y.","West Germany","4356","0.814014193588447","0.804514136502559","0.823514250674335","0"
"Very low transfer dependency","2017","35-65 y.","West Germany","10495","0.886564498433269","0.881084169546466","0.892044827320073","0"
"Very low transfer dependency","2017","16-34 y.","East Germany","808","0.701102137629164","0.676940965012801","0.725263310245527","0"
"Very low transfer dependency","2017","35-65 y.","East Germany","2710","0.853580005901167","0.841728204343802","0.865431807458532","0"
"Very low transfer dependency","2017","66 and older","West Germany","3632","0.964525268890219","0.95863700100494","0.970413536775499","0"
"Very low transfer dependency","2017","66 and older","East Germany","1197","0.959297972663355","0.948304194118834","0.970291751207876","0"
"High transfer dependency","2018","16-34 y.","West Germany","488","0.0358115976566511","0.0314111627082727","0.0402120326050295","2"
"High transfer dependency","2018","16-34 y.","East Germany","130","0.0871570413576456","0.0725986048955857","0.101715477819705","2"
"High transfer dependency","2018","35-65 y.","East Germany","146","0.0366104527863778","0.0302546549196007","0.0429662506531548","2"
"High transfer dependency","2018","35-65 y.","West Germany","514","0.0260415171784207","0.0232688700356856","0.0288141643211558","2"
"High transfer dependency","2018","66 and older","West Germany","53","0.0143881317175502","0.0106083227323415","0.018167940702759","2"
"High transfer dependency","2018","66 and older","East Germany","7","","","","2"
"Low transfer dependency","2018","16-34 y.","West Germany","610","0.0753574367500573","0.0691063891687149","0.0816084843313997","1"
"Low transfer dependency","2018","16-34 y.","East Germany","162","0.0934043270957481","0.0783848165626624","0.108423837628834","1"
"Low transfer dependency","2018","35-65 y.","West Germany","733","0.0473673599987344","0.043669133053563","0.0510655869439058","1"
"Low transfer dependency","2018","35-65 y.","East Germany","251","0.0600141805699841","0.0519760667197142","0.0680522944202539","1"
"Low transfer dependency","2018","66 and older","West Germany","92","0.020337000453137","0.0158568098544793","0.0248171910517946","1"
"Low transfer dependency","2018","66 and older","East Germany","38","0.0238794237534681","0.0154393914822349","0.0323194560247013","1"
"Very high transfer dependency","2018","16-34 y.","West Germany","1455","0.0614564322316968","0.0557690332454821","0.0671438312179115","3"
"Very high transfer dependency","2018","16-34 y.","East Germany","342","0.0952554702946035","0.0801033501050639","0.110407590484143","3"
"Very high transfer dependency","2018","35-65 y.","West Germany","1543","0.0444910835414733","0.0409014914223724","0.0480806756605743","3"
"Very high transfer dependency","2018","35-65 y.","East Germany","378","0.0518026964182372","0.044302163819573","0.0593032290169015","3"
"Very high transfer dependency","2018","66 and older","West Germany","62","0.00750106207755049","0.00476238331797596","0.010239740837125","3"
"Very high transfer dependency","2018","66 and older","East Germany","6","","","","3"
"Very low transfer dependency","2018","16-34 y.","West Germany","4297","0.827374533361595","0.818424877978265","0.836324188744924","0"
"Very low transfer dependency","2018","35-65 y.","West Germany","9884","0.882100039281372","0.876485592228951","0.887714486333792","0"
"Very low transfer dependency","2018","16-34 y.","East Germany","808","0.724183161252003","0.701115686163378","0.747250636340628","0"
"Very low transfer dependency","2018","35-65 y.","East Germany","2579","0.851572670225401","0.839540766265669","0.863604574185133","0"
"Very low transfer dependency","2018","66 and older","West Germany","3606","0.957773805751762","0.951390625085673","0.964156986417852","0"
"Very low transfer dependency","2018","66 and older","East Germany","1206","0.964066049523012","0.953776737694657","0.974355361351367","0"
"High transfer dependency","2019","16-34 y.","West Germany","403","0.039643891542115","0.0347771990995109","0.0445105839847191","2"
"High transfer dependency","2019","16-34 y.","East Germany","103","0.0559516382459988","0.0433215012765479","0.0685817752154496","2"
"High transfer dependency","2019","35-65 y.","West Germany","447","0.0271150879541655","0.0243387584881527","0.0298914174201783","2"
"High transfer dependency","2019","35-65 y.","East Germany","120","0.024933583931588","0.0197686890271735","0.0300984788360025","2"
"High transfer dependency","2019","66 and older","East Germany","13","","","","2"
"High transfer dependency","2019","66 and older","West Germany","46","0.00980043728729991","0.00672132569666435","0.0128795488779355","2"
"Low transfer dependency","2019","16-34 y.","West Germany","529","0.0789138836895487","0.0721894388282956","0.0856383285508018","1"
"Low transfer dependency","2019","16-34 y.","East Germany","153","0.123554431870005","0.105470362094477","0.141638501645534","1"
"Low transfer dependency","2019","35-65 y.","East Germany","213","0.0587255404905082","0.0509375809921462","0.0665134999888702","1"
"Low transfer dependency","2019","35-65 y.","West Germany","650","0.0502243735402448","0.0464909906404272","0.0539577564400623","1"
"Low transfer dependency","2019","66 and older","West Germany","100","0.0247061138394463","0.019854219814705","0.0295580078641875","1"
"Low transfer dependency","2019","66 and older","East Germany","34","0.0238884448805185","0.0156382574982817","0.0321386322627553","1"
"Very high transfer dependency","2019","16-34 y.","West Germany","1219","0.0592756862367257","0.0533859060091085","0.0651654664643429","3"
"Very high transfer dependency","2019","16-34 y.","East Germany","263","0.0854209651265921","0.0700607466403735","0.100781183612811","3"
"Very high transfer dependency","2019","35-65 y.","West Germany","1483","0.0362987802448362","0.0331017114638096","0.0394958490258628","3"
"Very high transfer dependency","2019","35-65 y.","East Germany","338","0.0575965852885419","0.0498792240517817","0.0653139465253022","3"
"Very high transfer dependency","2019","66 and older","West Germany","67","0.00916934011593087","0.00619006852129884","0.0121486117105629","3"
"Very high transfer dependency","2019","66 and older","East Germany","5","","","","3"
