"pli0092_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1990","general elemantary","Urban Area","127","0.0528489788831989","0.0432571181578885","0.0624408396085093"
"Min 1x per month","1990","general elemantary","Rural Area","47","0.0536771384921783","0.0386836540866357","0.0686706228977209"
"Min 1x per month","1990","middle vocational","Urban Area","357","0.0855430507821004","0.0772439797032498","0.093842121860951"
"Min 1x per month","1990","middle vocational","Rural Area","144","0.070656791333015","0.0607784770848274","0.0805351055812027"
"Min 1x per month","1990","vocational + Abi","Urban Area","27","","",""
"Min 1x per month","1990","vocational + Abi","Rural Area","3","","",""
"Min 1x per month","1990","higher vocational","Urban Area","50","0.113011651706557","0.0848344545784603","0.141188848834655"
"Min 1x per month","1990","higher vocational","Rural Area","20","","",""
"Min 1x per month","1990","higher education","Urban Area","75","0.0880257693543453","0.07038540861991","0.105666130088781"
"Min 1x per month","1990","higher education","Rural Area","45","0.0775919124360571","0.0571972209312072","0.097986603940907"
"Rarely","1990","in school","Urban Area","12","","",""
"Rarely","1990","in school","Rural Area","12","","",""
"Rarely","1990","inadequately","Urban Area","50","0.0920249313611137","0.0679762475455376","0.11607361517669"
"Rarely","1990","inadequately","Rural Area","14","","",""
"Rarely","1990","general elemantary","Urban Area","306","0.135371084320858","0.120703696358333","0.150038472283384"
"Rarely","1990","general elemantary","Rural Area","123","0.140405701946037","0.117294242886475","0.163517161005598"
"Rarely","1990","middle vocational","Urban Area","824","0.196345751067942","0.184558816819672","0.208132685316213"
"Rarely","1990","middle vocational","Rural Area","452","0.195341812765767","0.180058371884684","0.21062525364685"
"Rarely","1990","vocational + Abi","Urban Area","64","0.215929952709332","0.168654524303986","0.263205381114679"
"Rarely","1990","vocational + Abi","Rural Area","18","","",""
"Rarely","1990","higher vocational","Urban Area","109","0.24020370727735","0.202183396733762","0.278224017820938"
"Rarely","1990","higher vocational","Rural Area","46","0.165380096652989","0.121228173179996","0.209532020125982"
"Rarely","1990","higher education","Urban Area","218","0.214349915451346","0.188800115572182","0.239899715330511"
