"pli0092_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Rarely","1986","Not Working","higher vocational","13","","",""
"Rarely","1986","Not Working","higher education","16","","",""
"Never","1986","Full Time","in school","","","",""
"Never","1986","Full Time","inadequately","287","0.6918559518294","0.643892787831014","0.739819115827786"
"Never","1986","Full Time","general elemantary","632","0.592489191025287","0.562094970034704","0.622883412015871"
"Never","1986","Full Time","middle vocational","1215","0.466229517081012","0.446580088265384","0.48587894589664"
"Never","1986","Full Time","vocational + Abi","69","0.327971157015012","0.253336923066229","0.402605390963794"
"Never","1986","Full Time","higher vocational","129","0.406837286706173","0.352328302336309","0.461346271076038"
"Never","1986","Full Time","higher education","156","0.336941670765738","0.294209752203412","0.379673589328065"
"Never","1986","Part Time","in school","1","","",""
"Never","1986","Part Time","inadequately","89","0.740378036751211","0.656915297010211","0.82384077649221"
"Never","1986","Part Time","general elemantary","319","0.592706362342172","0.550678040733603","0.634734683950742"
"Never","1986","Part Time","middle vocational","433","0.479561289171587","0.446516142123915","0.512606436219259"
"Never","1986","Part Time","vocational + Abi","17","","",""
"Never","1986","Part Time","higher vocational","35","0.352429873231408","0.257846496880399","0.447013249582417"
"Never","1986","Part Time","higher education","39","0.293090024778297","0.21543962442055","0.370740425136043"
"Never","1986","Not Working","in school","25","","",""
"Never","1986","Not Working","inadequately","283","0.859709084103664","0.821598703799297","0.897819464408031"
"Never","1986","Not Working","general elemantary","1013","0.796165974716383","0.774740110255998","0.817591839176768"
"Never","1986","Not Working","middle vocational","1102","0.728686713700483","0.706994579516519","0.750378847884448"
"Never","1986","Not Working","vocational + Abi","37","0.594228249374262","0.48080570271583","0.707650796032694"
"Never","1986","Not Working","higher vocational","112","0.71842774621539","0.648737086357456","0.788118406073325"
"Never","1986","Not Working","higher education","74","0.556864198365424","0.475728885901174","0.637999510829675"
"Daily","1987","Full Time","in school","","","",""
"Daily","1987","Full Time","inadequately","","","",""
"Daily","1987","Full Time","general elemantary","","","",""
"Daily","1987","Full Time","middle vocational","","","",""
"Daily","1987","Full Time","vocational + Abi","","","",""
"Daily","1987","Full Time","higher vocational","","","",""
"Daily","1987","Full Time","higher education","","","",""
"Daily","1987","Part Time","in school","","","",""
"Daily","1987","Part Time","inadequately","","","",""
"Daily","1987","Part Time","general elemantary","","","",""
"Daily","1987","Part Time","middle vocational","","","",""
"Daily","1987","Part Time","vocational + Abi","","","",""
"Daily","1987","Part Time","higher vocational","","","",""
"Daily","1987","Part Time","higher education","","","",""
"Daily","1987","Not Working","in school","","","",""
"Daily","1987","Not Working","inadequately","","","",""
"Daily","1987","Not Working","general elemantary","","","",""
"Daily","1987","Not Working","middle vocational","","","",""
"Daily","1987","Not Working","vocational + Abi","","","",""
"Daily","1987","Not Working","higher vocational","","","",""
"Daily","1987","Not Working","higher education","","","",""
"Min 1x per week","1987","Full Time","in school","","","",""
"Min 1x per week","1987","Full Time","inadequately","","","",""
"Min 1x per week","1987","Full Time","general elemantary","","","",""
"Min 1x per week","1987","Full Time","middle vocational","","","",""
"Min 1x per week","1987","Full Time","vocational + Abi","","","",""
"Min 1x per week","1987","Full Time","higher vocational","","","",""
"Min 1x per week","1987","Full Time","higher education","","","",""
"Min 1x per week","1987","Part Time","in school","","","",""
"Min 1x per week","1987","Part Time","inadequately","","","",""
"Min 1x per week","1987","Part Time","general elemantary","","","",""
"Min 1x per week","1987","Part Time","middle vocational","","","",""
"Min 1x per week","1987","Part Time","vocational + Abi","","","",""
"Min 1x per week","1987","Part Time","higher vocational","","","",""
"Min 1x per week","1987","Part Time","higher education","","","",""
"Min 1x per week","1987","Not Working","in school","","","",""
"Min 1x per week","1987","Not Working","inadequately","","","",""
"Min 1x per week","1987","Not Working","general elemantary","","","",""
"Min 1x per week","1987","Not Working","middle vocational","","","",""
"Min 1x per week","1987","Not Working","vocational + Abi","","","",""
"Min 1x per week","1987","Not Working","higher vocational","","","",""
"Min 1x per week","1987","Not Working","higher education","","","",""
"Min 1x per month","1987","Full Time","in school","","","",""
"Min 1x per month","1987","Full Time","inadequately","","","",""
"Min 1x per month","1987","Full Time","general elemantary","","","",""
"Min 1x per month","1987","Full Time","middle vocational","","","",""
"Min 1x per month","1987","Full Time","vocational + Abi","","","",""
"Min 1x per month","1987","Full Time","higher vocational","","","",""
"Min 1x per month","1987","Full Time","higher education","","","",""
"Min 1x per month","1987","Part Time","in school","","","",""
"Min 1x per month","1987","Part Time","inadequately","","","",""
"Min 1x per month","1987","Part Time","general elemantary","","","",""
"Min 1x per month","1987","Part Time","middle vocational","","","",""
"Min 1x per month","1987","Part Time","vocational + Abi","","","",""
"Min 1x per month","1987","Part Time","higher vocational","","","",""
"Min 1x per month","1987","Part Time","higher education","","","",""
"Min 1x per month","1987","Not Working","in school","","","",""
