"ple0160","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2006","Not Working","higher vocational","508","0.97584551813008","0.962598667504869","0.989092368755291"
"No","2006","Not Working","higher education","1131","0.970262849954763","0.960487924139945","0.980037775769581"
"Yes","2007","Full Time","in school","","","",""
"Yes","2007","Full Time","inadequately","","","",""
"Yes","2007","Full Time","general elemantary","25","","",""
"Yes","2007","Full Time","middle vocational","259","0.0696501874924083","0.0614479656533783","0.0778524093314383"
"Yes","2007","Full Time","vocational + Abi","39","0.0608526653576038","0.0408918186550899","0.0808135120601177"
"Yes","2007","Full Time","higher vocational","40","0.0583995830332081","0.0411508535573495","0.0756483125090666"
"Yes","2007","Full Time","higher education","131","0.0606255370116889","0.0508149375010734","0.0704361365223045"
"Yes","2007","Part Time","in school","1","","",""
"Yes","2007","Part Time","inadequately","1","","",""
"Yes","2007","Part Time","general elemantary","44","0.0889706082243494","0.0627242925702528","0.115216923878446"
"Yes","2007","Part Time","middle vocational","162","0.0625854231022888","0.0529904263547861","0.0721804198497915"
"Yes","2007","Part Time","vocational + Abi","19","","",""
"Yes","2007","Part Time","higher vocational","19","","",""
"Yes","2007","Part Time","higher education","79","0.0816709275420658","0.0641823071805536","0.099159547903578"
"Yes","2007","Not Working","in school","13","","",""
"Yes","2007","Not Working","inadequately","6","","",""
"Yes","2007","Not Working","general elemantary","32","0.0313675522035144","0.0219392053899132","0.0407958990171156"
"Yes","2007","Not Working","middle vocational","130","0.0337973045041746","0.0282820708343302","0.039312538174019"
"Yes","2007","Not Working","vocational + Abi","13","","",""
"Yes","2007","Not Working","higher vocational","15","","",""
"Yes","2007","Not Working","higher education","26","","",""
"No","2007","Full Time","in school","","","",""
"No","2007","Full Time","inadequately","39","1","1","1"
