"ple0160","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Bremen","1","","",""
"Yes","2009","North Rhine-Westphalia","152","0.0348575946173915","0.0288982092607708","0.0408169799740122"
"Yes","2009","Hesse","51","0.0493256732477824","0.0371992578714336","0.0614520886241313"
"Yes","2009","Rhineland-Palatinate,Saarland","46","0.0523675825343941","0.038716676047414","0.0660184890213743"
"Yes","2009","Baden-Württemberg","93","0.0576932187542005","0.0477586549753455","0.0676277825330555"
"Yes","2009","Bavaria","88","0.0351104527947607","0.0280706945337655","0.0421502110557558"
"Yes","2009","Berlin","27","","",""
"Yes","2009","Brandenburg","32","0.0374219226933545","0.0242288620559819","0.0506149833307272"
"Yes","2009","Mecklenburg-Western Pomerania","17","","",""
"Yes","2009","Saxony","62","0.0416750594676413","0.0311081196445735","0.0522419992907092"
"Yes","2009","Saxony-Anhalt","38","0.0480313696896685","0.0329474835553166","0.0631152558240203"
"Yes","2009","Thuringia","38","0.055811982227476","0.0401475707519432","0.0714763937030087"
"No","2009","Schleswig-Holstein","493","0.939045300330874","0.918402428796599","0.959688171865149"
"No","2009","Hamburg","263","0.979041398858527","0.961986658183215","0.996096139533839"
"No","2009","Lower Saxony","1573","0.952462812936077","0.942183267048179","0.962742358823974"
"No","2009","Bremen","119","0.98673306134597","0.966261891177601","1.00720423151434"
"No","2009","North Rhine-Westphalia","3487","0.965142405382609","0.959183020025988","0.971101790739229"
"No","2009","Hesse","1174","0.950674326752218","0.938547911375869","0.962800742128566"
"No","2009","Rhineland-Palatinate,Saarland","977","0.947632417465606","0.933981510978626","0.961283323952586"
"No","2009","Baden-Württemberg","2023","0.9423067812458","0.932372217466945","0.952241345024655"
"No","2009","Bavaria","2538","0.964889547205239","0.957849788944244","0.971929305466234"
"No","2009","Berlin","659","0.95667255872759","0.941437321791044","0.971907795664136"
"No","2009","Brandenburg","763","0.962578077306645","0.949385016669273","0.975771137944018"
"No","2009","Mecklenburg-Western Pomerania","457","0.972629252018416","0.957940803799572","0.98731770023726"
"No","2009","Saxony","1312","0.958324940532359","0.947758000709291","0.968891880355427"
"No","2009","Saxony-Anhalt","734","0.951968630310332","0.93688474417598","0.967052516444683"
"No","2009","Thuringia","787","0.944188017772524","0.928523606296991","0.959852429248057"
"Yes","2010","Schleswig-Holstein","19","","",""
"Yes","2010","Hamburg","14","","",""
"Yes","2010","Lower Saxony","79","0.0407204951037466","0.0307780932388268","0.0506628969686664"
"Yes","2010","Bremen","","","",""
"Yes","2010","North Rhine-Westphalia","100","0.0265136824363181","0.0211119091248033","0.0319154557478328"
"Yes","2010","Hesse","55","0.0427951074431209","0.03096293608064","0.0546272788056018"
"Yes","2010","Rhineland-Palatinate,Saarland","45","0.0423522807391858","0.0295994490716965","0.0551051124066752"
"Yes","2010","Baden-Württemberg","94","0.0541224818000842","0.0441184948439993","0.0641264687561691"
"Yes","2010","Bavaria","79","0.02895052793044","0.0222854607119299","0.0356155951489501"
"Yes","2010","Berlin","24","","",""
"Yes","2010","Brandenburg","25","","",""
"Yes","2010","Mecklenburg-Western Pomerania","12","","",""
"Yes","2010","Saxony","46","0.02867977990042","0.0193937233930244","0.0379658364078156"
"Yes","2010","Saxony-Anhalt","29","","",""
"Yes","2010","Thuringia","30","0.0296954341272024","0.0176113882590517","0.041779479995353"
"No","2010","Schleswig-Holstein","427","0.962211741769852","0.944514954716095","0.979908528823609"
"No","2010","Hamburg","257","0.932159662587618","0.902219607292299","0.962099717882937"
"No","2010","Lower Saxony","1439","0.959279504896253","0.949337103031334","0.969221906761173"
"No","2010","Bremen","108","1","1","1"
