"year","hgtyp1hh","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2009","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"2009","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2009","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"2009","Single parent","East Germany","","","","","","","","","","","","","",""
"2009","Single parent","West Germany","","","","","","","","","","","","","",""
"2010","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2010","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2010","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2010","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2010","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2010","Couple + C. GT 16 ","West Germany","2.62","2.46","36","2","2","3","4","4","2.32","2.92","1","4","2","3"
"2010","Couple + C. LE 16","East Germany","2.56","3","936","1","2","3","4","4","2.51","2.61","1","4","3","3"
"2010","Couple + C. LE 16","West Germany","2.52","3","4273","1","2","3","3","4","2.5","2.54","1","4","3","3"
"2010","Couple + C. LE and GT 16","East Germany","2.42","2","93","2","2","3","4","4","2.25","2.59","1","4","2","3"
"2010","Couple + C. LE and GT 16","West Germany","2.48","3","476","1","2","3","3","4","2.41","2.55","1","4","2","3"
"2010","Single parent","East Germany","2.63","3","283","2","2","3","4","4","2.53","2.73","1","4","3","3"
"2010","Single parent","West Germany","2.59","3","1102","2","2","3","4","4","2.54","2.64","1","4","3","3"
"2011","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2011","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2011","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2011","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2011","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
