"year","pgcasmin","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1997","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1997","(1a) inadequately completed","West Germany","2.6","2","37","1","2","4","4","5","2.22","2.98","1","5","2","4"
"1997","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1997","(1b) general elementary school","West Germany","3.28","3","141","2","2","4","5","11","3.01","3.55","1","11","3","3"
"1997","(1c) basic vocational qualification","East Germany","2.63","2.35","101","1","2","3","4","6","2.37","2.89","1","7","3","3"
"1997","(1c) basic vocational qualification","West Germany","3.4","3","268","2","2","4","5","9","3.19","3.61","1","11","3","3"
"1997","(2a) intermediate vocational","East Germany","3.15","3","146","2","2","4","5","7","2.93","3.37","1","7","3","3"
"1997","(2a) intermediate vocational","West Germany","3.62","3","213","2","3","4","6","9","3.39","3.85","1","10","3","4"
"1997","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1997","(2b) intermediate general qualification","West Germany","3.56","3","48","1","2","4","8","9","3.01","4.11","1","9","3","4"
"1997","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1997","(2c_gen) general maturity certificate","West Germany","3.3","3","38","2","2","4","7","7","2.83","3.77","1","7","2","3"
"1997","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1997","(2c_voc) vocational maturity certificate","West Germany","3.14","3","89","2","2","4","5","7","2.86","3.42","1","7","3","4"
"1997","(3a) lower tertiary education","East Germany","3.3","3","58","1","2","4","5","6","2.93","3.67","1","8","3","4"
"1997","(3a) lower tertiary education","West Germany","3.88","4","51","2","2","5","6","7","3.4","4.36","1","7","3","4"
"1997","(3b) higher tertiary education","East Germany","3.41","3","48","2","3","4","6","6","3.02","3.8","2","8","3","4"
"1997","(3b) higher tertiary education","West Germany","3.49","3","76","1","2","5","6","7","3.09","3.89","1","10","3","4"
"1998","(0) in school","East Germany","4.35","4","104","3","3","5","6","9","4.05","4.65","2","11","4","4"
"1998","(0) in school","West Germany","4.91","5","222","3","4","6","7","10","4.69","5.13","1","12","4","5"
"1998","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1998","(1a) inadequately completed","West Germany","3.36","3","469","2","2","4","5","8","3.23","3.49","1","12","3","3"
"1998","(1b) general elementary school","East Germany","2.94","3","223","2","2","4","5","6","2.76","3.12","1","9","3","3"
"1998","(1b) general elementary school","West Germany","3.51","3","1794","2","2","4","6","7","3.44","3.58","1","11","3","3"
"1998","(1c) basic vocational qualification","East Germany","3.18","3","951","2","2","4","5","8","3.09","3.27","1","11","3","3"
"1998","(1c) basic vocational qualification","West Germany","3.85","4","3145","2","3","5","6","9","3.79","3.91","1","18","4","4"
