"year","pgcasmin","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"2016","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
"2017","(0) in school","East Germany","","","","","","","","","","","","","",""
"2017","(0) in school","West Germany","","","","","","","","","","","","","",""
"2017","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"2017","(1a) inadequately completed","West Germany","","","","","","","","","","","","","",""
"2017","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"2017","(1b) general elementary school","West Germany","","","","","","","","","","","","","",""
"2017","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"2017","(1c) basic vocational qualification","West Germany","","","","","","","","","","","","","",""
"2017","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"2017","(2a) intermediate vocational","West Germany","","","","","","","","","","","","","",""
"2017","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"2017","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"2017","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"2017","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"2017","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"2017","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"2017","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"2017","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"2017","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"2017","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
"2018","(0) in school","East Germany","4.05","4.37","57","2","3","5","5","5","3.72","4.38","1","5","4","5"
"2018","(0) in school","West Germany","4","5","284","2","3","5","5","5","3.84","4.16","1","5","5","5"
"2018","(1a) inadequately completed","East Germany","4.26","5","72","3","4","5","5","5","3.99","4.53","1","5","5","5"
"2018","(1a) inadequately completed","West Germany","4.25","5","468","2","4","5","5","5","4.14","4.36","1","5","5","5"
"2018","(1b) general elementary school","East Germany","4.37","5","258","3","4","5","5","5","4.22","4.52","1","5","5","5"
"2018","(1b) general elementary school","West Germany","4.17","5","1663","2","3","5","5","5","4.11","4.23","1","5","5","5"
"2018","(1c) basic vocational qualification","East Germany","4.42","5","803","3","4","5","5","5","4.34","4.5","1","5","5","5"
"2018","(1c) basic vocational qualification","West Germany","4.13","5","4030","2","4","5","5","5","4.09","4.17","1","5","5","5"
"2018","(2a) intermediate vocational","East Germany","4.19","5","2000","2","4","5","5","5","4.14","4.24","1","5","5","5"
"2018","(2a) intermediate vocational","West Germany","3.97","5","3801","2","3","5","5","5","3.93","4.01","1","5","4","5"
"2018","(2b) intermediate general qualification","East Germany","3.92","5","152","1","3","5","5","5","3.72","4.12","1","5","5","5"
"2018","(2b) intermediate general qualification","West Germany","4.03","5","641","2","3","5","5","5","3.92","4.14","1","5","5","5"
"2018","(2c_gen) general maturity certificate","East Germany","3.89","4","191","2","3","5","5","5","3.7","4.08","1","5","4","5"
"2018","(2c_gen) general maturity certificate","West Germany","4","5","1269","2","3","5","5","5","3.93","4.07","1","5","5","5"
"2018","(2c_voc) vocational maturity certificate","East Germany","3.96","5","392","2","3","5","5","5","3.83","4.09","1","5","4","5"
"2018","(2c_voc) vocational maturity certificate","West Germany","3.96","5","2147","2","3","5","5","5","3.9","4.02","1","5","4","5"
"2018","(3a) lower tertiary education","East Germany","4.2","5","553","2","4","5","5","5","4.1","4.3","1","5","5","5"
"2018","(3a) lower tertiary education","West Germany","3.91","4","1424","2","3","5","5","5","3.84","3.98","1","5","4","4"
"2018","(3b) higher tertiary education","East Germany","4.09","5","840","2","3","5","5","5","4","4.18","1","5","4","5"
"2018","(3b) higher tertiary education","West Germany","3.96","5","3509","2","3","5","5","5","3.92","4","1","5","4","5"
