"year","education","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2010","college entrance qualification","Couple + C. LE and GT 16","174.98","176","259","165","168","180","185","195","173.91","176.05","146","196","174","177"
"2010","college entrance qualification","Single parent","173.16","172.35","191","162","167","179","185","195","171.91","174.41","152","200","170","172"
"2010","lower secondary degree","(Married) couple without C.","169.44","169","2389","158","163","176","180","189","169.1","169.78","142","198","169","170"
"2010","lower secondary degree","1-pers.-HH","168.1","167","1098","156","160","175","182","193","167.54","168.66","142","197","165","167"
"2010","lower secondary degree","Couple + C. GT 16 ","172.08","172","734","160","166","178","183","194","171.38","172.78","87","200","170","172"
"2010","lower secondary degree","Couple + C. LE 16","173.06","174","522","160","165","180","185","193","172.27","173.85","150","198","172","175"
"2010","lower secondary degree","Couple + C. LE and GT 16","170.64","173","235","160","165","178","183","200","169.27","172.01","82","200","171","174"
"2010","lower secondary degree","Single parent","169.75","170","250","158","163","176","182","188","168.69","170.81","149","195","166","170"
"2010","no degree/no degree yet","(Married) couple without C.","164.89","165","68","153","160","170","176","188","162.64","167.14","138","189","163","168"
"2010","no degree/no degree yet","1-pers.-HH","","","","","","","","","","","","","",""
"2010","no degree/no degree yet","Couple + C. GT 16 ","174.49","176","140","162","167","181","186","200","172.86","176.12","155","202","173","178"
"2010","no degree/no degree yet","Couple + C. LE 16","","","","","","","","","","","","","",""
"2010","no degree/no degree yet","Couple + C. LE and GT 16","174.91","175.93","109","160","170","181","189","194","172.98","176.84","150","198","172","179"
"2010","no degree/no degree yet","Single parent","174.49","173.33","50","158","165","183","194","197","171.25","177.73","150","197","168","178"
"2010","Other degree","(Married) couple without C.","166.82","166","275","156","160","172","180","195","165.74","167.9","130","195","165","168"
"2010","Other degree","1-pers.-HH","166.93","166","81","156","160","176","178","184","164.91","168.95","150","189","162","168"
"2010","Other degree","Couple + C. GT 16 ","169.19","168","133","160","164","174","180","190","167.81","170.57","150","190","165","170"
"2010","Other degree","Couple + C. LE 16","169.52","170","115","160","165","174","180","192","168.05","170.99","154","192","170","174"
"2010","Other degree","Couple + C. LE and GT 16","169.63","167","54","160","163","177","180","192","166.89","172.37","152","198","165","175"
"2010","Other degree","Single parent","164.79","160.37","40","154","159","172","178","190","161.75","167.83","148","190","160","170"
"2010","secondary school degree","(Married) couple without C.","171.7","170","1787","160","165","178","185","193","171.26","172.14","101","208","169","170"
"2010","secondary school degree","1-pers.-HH","171.87","172","723","159","165","178","185","194","171.17","172.57","148","204","170","171"
"2010","secondary school degree","Couple + C. GT 16 ","172.98","172","890","161","167","180","185","193","172.37","173.59","148","202","170","172"
"2010","secondary school degree","Couple + C. LE 16","172.92","173","932","162","167","180","185","195","172.33","173.51","140","205","172","173"
"2010","secondary school degree","Couple + C. LE and GT 16","171.82","171","322","162","165","178","184","189","170.88","172.76","150","196","170","172"
"2010","secondary school degree","Single parent","171.46","170","308","162","165","178","183","196","170.53","172.39","150","200","168","170"
"2011","college entrance qualification","(Married) couple without C.","","","","","","","","","","","","","",""
"2011","college entrance qualification","1-pers.-HH","","","","","","","","","","","","","",""
"2011","college entrance qualification","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2011","college entrance qualification","Couple + C. LE 16","","","","","","","","","","","","","",""
"2011","college entrance qualification","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2011","college entrance qualification","Single parent","","","","","","","","","","","","","",""
"2011","lower secondary degree","(Married) couple without C.","","","","","","","","","","","","","",""
"2011","lower secondary degree","1-pers.-HH","","","","","","","","","","","","","",""
"2011","lower secondary degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2011","lower secondary degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"2011","lower secondary degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2011","lower secondary degree","Single parent","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","(Married) couple without C.","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","1-pers.-HH","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","Couple + C. LE 16","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","Single parent","","","","","","","","","","","","","",""
"2011","Other degree","(Married) couple without C.","","","","","","","","","","","","","",""
"2011","Other degree","1-pers.-HH","","","","","","","","","","","","","",""
"2011","Other degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2011","Other degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"2011","Other degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2011","Other degree","Single parent","","","","","","","","","","","","","",""
"2011","secondary school degree","(Married) couple without C.","","","","","","","","","","","","","",""
"2011","secondary school degree","1-pers.-HH","","","","","","","","","","","","","",""
"2011","secondary school degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2011","secondary school degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"2011","secondary school degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2011","secondary school degree","Single parent","","","","","","","","","","","","","",""
"2012","college entrance qualification","(Married) couple without C.","173.81","174","2126","162","168","180","185","196","173.42","174.2","80","205","173","174"
"2012","college entrance qualification","1-pers.-HH","173.01","173","1036","161","166","180","185","193","172.44","173.58","146","205","171","173"
"2012","college entrance qualification","Couple + C. GT 16 ","174.78","175","814","162","168","182","187","194","174.13","175.43","151","202","173","175"
"2012","college entrance qualification","Couple + C. LE 16","174.75","174","1083","163","168","181","188","195","174.19","175.31","148","200","173","175"
"2012","college entrance qualification","Couple + C. LE and GT 16","174.73","175","279","164","168","180","186","195","173.64","175.82","143","198","173","176"
"2012","college entrance qualification","Single parent","173.07","172","281","163","168","179","184","194","172.11","174.03","152","198","170","172"
