"pli0083","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","2000","Part Time","West Germany","","","",""
"Min 1x per week","2000","Part Time","East Germany","","","",""
"Min 1x per week","2000","Not Working","West Germany","","","",""
"Min 1x per week","2000","Not Working","East Germany","","","",""
"Min 1x per month","2000","Full Time","West Germany","","","",""
"Min 1x per month","2000","Full Time","East Germany","","","",""
"Min 1x per month","2000","Part Time","West Germany","","","",""
"Min 1x per month","2000","Part Time","East Germany","","","",""
"Min 1x per month","2000","Not Working","West Germany","","","",""
"Min 1x per month","2000","Not Working","East Germany","","","",""
"Rarely","2000","Full Time","West Germany","","","",""
"Rarely","2000","Full Time","East Germany","","","",""
"Rarely","2000","Part Time","West Germany","","","",""
"Rarely","2000","Part Time","East Germany","","","",""
"Rarely","2000","Not Working","West Germany","","","",""
"Rarely","2000","Not Working","East Germany","","","",""
"Never","2000","Full Time","West Germany","","","",""
"Never","2000","Full Time","East Germany","","","",""
"Never","2000","Part Time","West Germany","","","",""
"Never","2000","Part Time","East Germany","","","",""
"Never","2000","Not Working","West Germany","","","",""
"Never","2000","Not Working","East Germany","","","",""
"Daily","2001","Full Time","West Germany","","","",""
"Daily","2001","Full Time","East Germany","","","",""
"Daily","2001","Part Time","West Germany","","","",""
"Daily","2001","Part Time","East Germany","","","",""
"Daily","2001","Not Working","West Germany","","","",""
"Daily","2001","Not Working","East Germany","","","",""
"Min 1x per week","2001","Full Time","West Germany","","","",""
"Min 1x per week","2001","Full Time","East Germany","","","",""
"Min 1x per week","2001","Part Time","West Germany","","","",""
"Min 1x per week","2001","Part Time","East Germany","","","",""
"Min 1x per week","2001","Not Working","West Germany","","","",""
"Min 1x per week","2001","Not Working","East Germany","","","",""
"Min 1x per month","2001","Full Time","West Germany","","","",""
"Min 1x per month","2001","Full Time","East Germany","","","",""
"Min 1x per month","2001","Part Time","West Germany","","","",""
"Min 1x per month","2001","Part Time","East Germany","","","",""
"Min 1x per month","2001","Not Working","West Germany","","","",""
"Min 1x per month","2001","Not Working","East Germany","","","",""
"Rarely","2001","Full Time","West Germany","","","",""
"Rarely","2001","Full Time","East Germany","","","",""
"Rarely","2001","Part Time","West Germany","","","",""
"Rarely","2001","Part Time","East Germany","","","",""
"Rarely","2001","Not Working","West Germany","","","",""
"Rarely","2001","Not Working","East Germany","","","",""
"Never","2001","Full Time","West Germany","","","",""
"Never","2001","Full Time","East Germany","","","",""
"Never","2001","Part Time","West Germany","","","",""
"Never","2001","Part Time","East Germany","","","",""
"Never","2001","Not Working","West Germany","","","",""
"Never","2001","Not Working","East Germany","","","",""
"Daily","2002","Full Time","West Germany","","","",""
"Daily","2002","Full Time","East Germany","","","",""
"Daily","2002","Part Time","West Germany","","","",""
"Daily","2002","Part Time","East Germany","","","",""
"Daily","2002","Not Working","West Germany","","","",""
"Daily","2002","Not Working","East Germany","","","",""
"Min 1x per week","2002","Full Time","West Germany","","","",""
"Min 1x per week","2002","Full Time","East Germany","","","",""
"Min 1x per week","2002","Part Time","West Germany","","","",""
"Min 1x per week","2002","Part Time","East Germany","","","",""
"Min 1x per week","2002","Not Working","West Germany","","","",""
"Min 1x per week","2002","Not Working","East Germany","","","",""
"Min 1x per month","2002","Full Time","West Germany","","","",""
"Min 1x per month","2002","Full Time","East Germany","","","",""
"Min 1x per month","2002","Part Time","West Germany","","","",""
"Min 1x per month","2002","Part Time","East Germany","","","",""
"Min 1x per month","2002","Not Working","West Germany","","","",""
"Min 1x per month","2002","Not Working","East Germany","","","",""
"Rarely","2002","Full Time","West Germany","","","",""
"Rarely","2002","Full Time","East Germany","","","",""
"Rarely","2002","Part Time","West Germany","","","",""
"Rarely","2002","Part Time","East Germany","","","",""
"Rarely","2002","Not Working","West Germany","","","",""
"Rarely","2002","Not Working","East Germany","","","",""
"Never","2002","Full Time","West Germany","","","",""
"Never","2002","Full Time","East Germany","","","",""
"Never","2002","Part Time","West Germany","","","",""
"Never","2002","Part Time","East Germany","","","",""
"Never","2002","Not Working","West Germany","","","",""
"Never","2002","Not Working","East Germany","","","",""
"Daily","2003","Full Time","West Germany","5492","0.816497039281927","0.807238205925905","0.825755872637948"
"Daily","2003","Full Time","East Germany","1837","0.838310585239796","0.822915704386146","0.853705466093447"
"Daily","2003","Part Time","West Germany","3421","0.836059803766877","0.824717830588749","0.847401776945006"
"Daily","2003","Part Time","East Germany","893","0.856814082274867","0.83544422143959","0.878183943110144"
"Daily","2003","Not Working","West Germany","5520","0.917310222739198","0.910373169220792","0.924247276257604"
