"plb0037_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Permanent","2004","1-pers.-HH","in school","1","","",""
"Permanent","2004","1-pers.-HH","inadequately","3","","",""
"Permanent","2004","1-pers.-HH","general elemantary","49","0.699424338137054","0.593516252209108","0.805332424065"
"Permanent","2004","1-pers.-HH","middle vocational","469","0.862233119936974","0.833297379370255","0.891168860503693"
"Permanent","2004","1-pers.-HH","vocational + Abi","74","0.862312321551756","0.788625761508451","0.93599888159506"
"Permanent","2004","1-pers.-HH","higher vocational","84","0.911686504883787","0.853387157336158","0.969985852431417"
"Permanent","2004","1-pers.-HH","higher education","243","0.815002361739029","0.770234979969309","0.85976974350875"
"Permanent","2004","(Married) couple without C. ","in school","","","",""
"Permanent","2004","(Married) couple without C. ","inadequately","12","","",""
"Permanent","2004","(Married) couple without C. ","general elemantary","119","0.888318689924705","0.837051591342979","0.939585788506431"
"Permanent","2004","(Married) couple without C. ","middle vocational","1259","0.928587619046553","0.914986353432458","0.942188884660648"
"Permanent","2004","(Married) couple without C. ","vocational + Abi","167","0.857469852618328","0.807760960086732","0.907178745149924"
"Permanent","2004","(Married) couple without C. ","higher vocational","226","0.952205174381545","0.924871634995313","0.979538713767778"
"Permanent","2004","(Married) couple without C. ","higher education","697","0.840596466319563","0.814924133970639","0.866268798668487"
"Permanent","2004","Single parent ","in school","4","","",""
"Permanent","2004","Single parent ","inadequately","5","","",""
"Permanent","2004","Single parent ","general elemantary","37","0.393914446914751","0.298622692093271","0.489206201736231"
"Permanent","2004","Single parent ","middle vocational","230","0.82346536855952","0.77864624905628","0.86828448806276"
"Permanent","2004","Single parent ","vocational + Abi","23","","",""
"Permanent","2004","Single parent ","higher vocational","30","0.882156773411567","0.772150786864614","0.992162759958521"
"Permanent","2004","Single parent ","higher education","61","0.789077610781797","0.696126746419049","0.882028475144545"
"Permanent","2004","Couple + C. LE 16 ","in school","","","",""
"Permanent","2004","Couple + C. LE 16 ","inadequately","7","","",""
"Permanent","2004","Couple + C. LE 16 ","general elemantary","130","0.813234167025092","0.751681871583407","0.874786462466777"
"Permanent","2004","Couple + C. LE 16 ","middle vocational","1114","0.939223668648596","0.925683182540242","0.95276415475695"
"Permanent","2004","Couple + C. LE 16 ","vocational + Abi","205","0.925074104584388","0.890125963755166","0.960022245413611"
"Permanent","2004","Couple + C. LE 16 ","higher vocational","265","0.973174131080838","0.954112251263315","0.99223601089836"
"Permanent","2004","Couple + C. LE 16 ","higher education","581","0.893195828462069","0.869341202668098","0.917050454256039"
"Permanent","2004","Couple + C. GT 16 ","in school","2","","",""
"Permanent","2004","Couple + C. GT 16 ","inadequately","15","","",""
"Permanent","2004","Couple + C. GT 16 ","general elemantary","106","0.446497919079709","0.386530483651841","0.506465354507577"
"Permanent","2004","Couple + C. GT 16 ","middle vocational","854","0.835335366485037","0.812552686891191","0.858118046078884"
"Permanent","2004","Couple + C. GT 16 ","vocational + Abi","91","0.777317969139083","0.701606611001174","0.853029327276993"
"Permanent","2004","Couple + C. GT 16 ","higher vocational","132","0.952517141253645","0.917538031846827","0.987496250660462"
"Permanent","2004","Couple + C. GT 16 ","higher education","416","0.877109200896726","0.846975519843734","0.907242881949718"
"Permanent","2004","Couple + C. LE and GT 16","in school","8","","",""
"Permanent","2004","Couple + C. LE and GT 16","inadequately","12","","",""
"Permanent","2004","Couple + C. LE and GT 16","general elemantary","50","0.333795552747009","0.257303608475614","0.410287497018405"
"Permanent","2004","Couple + C. LE and GT 16","middle vocational","366","0.908285486354598","0.880483351763769","0.936087620945427"
"Permanent","2004","Couple + C. LE and GT 16","vocational + Abi","27","","",""
"Permanent","2004","Couple + C. LE and GT 16","higher vocational","65","0.954366274967243","0.904764851822571","1.00396769811192"
"Permanent","2004","Couple + C. LE and GT 16","higher education","194","0.921591663787579","0.88488331336308","0.958300014212078"
"Limited","2004","1-pers.-HH","in school","","","",""
"Limited","2004","1-pers.-HH","inadequately","1","","",""
"Limited","2004","1-pers.-HH","general elemantary","23","","",""
"Limited","2004","1-pers.-HH","middle vocational","76","0.137766880063026","0.108831139496307","0.166702620629745"
"Limited","2004","1-pers.-HH","vocational + Abi","10","","",""
"Limited","2004","1-pers.-HH","higher vocational","7","","",""
"Limited","2004","1-pers.-HH","higher education","46","0.184997638260971","0.14023025649125","0.229765020030691"
"Limited","2004","(Married) couple without C. ","in school","","","",""
"Limited","2004","(Married) couple without C. ","inadequately","1","","",""
"Limited","2004","(Married) couple without C. ","general elemantary","26","","",""
"Limited","2004","(Married) couple without C. ","middle vocational","118","0.0714123809534468","0.0578111153393517","0.0850136465675419"
"Limited","2004","(Married) couple without C. ","vocational + Abi","23","","",""
"Limited","2004","(Married) couple without C. ","higher vocational","8","","",""
"Limited","2004","(Married) couple without C. ","higher education","84","0.159403533680437","0.133731201331513","0.185075866029361"
"Limited","2004","Single parent ","in school","3","","",""
"Limited","2004","Single parent ","inadequately","","","",""
"Limited","2004","Single parent ","general elemantary","64","0.606085553085249","0.510793798263769","0.701377307906729"
"Limited","2004","Single parent ","middle vocational","48","0.17653463144048","0.13171551193724","0.22135375094372"
"Limited","2004","Single parent ","vocational + Abi","5","","",""
"Limited","2004","Single parent ","higher vocational","3","","",""
"Limited","2004","Single parent ","higher education","13","","",""
"Limited","2004","Couple + C. LE 16 ","in school","","","",""
"Limited","2004","Couple + C. LE 16 ","inadequately","1","","",""
"Limited","2004","Couple + C. LE 16 ","general elemantary","24","","",""
"Limited","2004","Couple + C. LE 16 ","middle vocational","82","0.0607763313514038","0.0472358452430496","0.074316817459758"
"Limited","2004","Couple + C. LE 16 ","vocational + Abi","13","","",""
"Limited","2004","Couple + C. LE 16 ","higher vocational","11","","",""
"Limited","2004","Couple + C. LE 16 ","higher education","63","0.106804171537931","0.0829495457439605","0.130658797331902"
"Limited","2004","Couple + C. GT 16 ","in school","4","","",""
"Limited","2004","Couple + C. GT 16 ","inadequately","3","","",""
"Limited","2004","Couple + C. GT 16 ","general elemantary","158","0.553502080920291","0.493534645492423","0.613469516348159"
"Limited","2004","Couple + C. GT 16 ","middle vocational","164","0.164664633514963","0.141881953921117","0.18744731310881"
"Limited","2004","Couple + C. GT 16 ","vocational + Abi","25","","",""
"Limited","2004","Couple + C. GT 16 ","higher vocational","10","","",""
"Limited","2004","Couple + C. GT 16 ","higher education","40","0.122890799103274","0.092757118050282","0.153024480156266"
"Limited","2004","Couple + C. LE and GT 16","in school","","","",""
"Limited","2004","Couple + C. LE and GT 16","inadequately","3","","",""
"Limited","2004","Couple + C. LE and GT 16","general elemantary","96","0.666204447252991","0.589712502981595","0.742696391524386"
"Limited","2004","Couple + C. LE and GT 16","middle vocational","48","0.0917145136454018","0.0639123790545729","0.119516648236231"
"Limited","2004","Couple + C. LE and GT 16","vocational + Abi","4","","",""
"Limited","2004","Couple + C. LE and GT 16","higher vocational","3","","",""
"Limited","2004","Couple + C. LE and GT 16","higher education","12","","",""
"Permanent","2005","1-pers.-HH","in school","","","",""
"Permanent","2005","1-pers.-HH","inadequately","5","","",""
"Permanent","2005","1-pers.-HH","general elemantary","52","0.671003704096265","0.565370790728336","0.776636617464194"
"Permanent","2005","1-pers.-HH","middle vocational","492","0.862987364172795","0.834832508260284","0.891142220085307"
"Permanent","2005","1-pers.-HH","vocational + Abi","86","0.925570723357214","0.872511502559874","0.978629944154555"
"Permanent","2005","1-pers.-HH","higher vocational","81","0.9428592805432","0.894085686753704","0.991632874332697"
"Permanent","2005","1-pers.-HH","higher education","265","0.90679206204179","0.873728459526082","0.939855664557497"
"Permanent","2005","(Married) couple without C. ","in school","1","","",""
"Permanent","2005","(Married) couple without C. ","inadequately","6","","",""
"Permanent","2005","(Married) couple without C. ","general elemantary","112","0.889286002428469","0.83555382532526","0.943018179531679"
"Permanent","2005","(Married) couple without C. ","middle vocational","1217","0.9125951652249","0.897359271476849","0.927831058972952"
"Permanent","2005","(Married) couple without C. ","vocational + Abi","183","0.87861959220505","0.833246718053876","0.923992466356224"
"Permanent","2005","(Married) couple without C. ","higher vocational","211","0.903761607349578","0.864879206008477","0.94264400869068"
"Permanent","2005","(Married) couple without C. ","higher education","691","0.863667783311116","0.8393359955437","0.887999571078532"
"Permanent","2005","Single parent ","in school","4","","",""
"Permanent","2005","Single parent ","inadequately","4","","",""
"Permanent","2005","Single parent ","general elemantary","40","0.569469062921039","0.460281846260918","0.678656279581161"
"Permanent","2005","Single parent ","middle vocational","232","0.79155045481028","0.744555967068681","0.838544942551879"
"Permanent","2005","Single parent ","vocational + Abi","25","","",""
"Permanent","2005","Single parent ","higher vocational","29","","",""
"Permanent","2005","Single parent ","higher education","61","0.926162536170559","0.864901962227491","0.987423110113626"
"Permanent","2005","Couple + C. LE 16 ","in school","1","","",""
"Permanent","2005","Couple + C. LE 16 ","inadequately","6","","",""
"Permanent","2005","Couple + C. LE 16 ","general elemantary","111","0.844047565136839","0.78119505210715","0.906900078166528"
"Permanent","2005","Couple + C. LE 16 ","middle vocational","1038","0.923968753004395","0.908439243220611","0.939498262788179"
"Permanent","2005","Couple + C. LE 16 ","vocational + Abi","198","0.930645376244911","0.896446645920623","0.964844106569199"
"Permanent","2005","Couple + C. LE 16 ","higher vocational","274","0.970071643047992","0.950254900679914","0.98988838541607"
"Permanent","2005","Couple + C. LE 16 ","higher education","559","0.899272224834338","0.875289936815238","0.923254512853438"
"Permanent","2005","Couple + C. GT 16 ","in school","6","","",""
"Permanent","2005","Couple + C. GT 16 ","inadequately","15","","",""
"Permanent","2005","Couple + C. GT 16 ","general elemantary","96","0.41654143003872","0.353909798379388","0.479173061698052"
"Permanent","2005","Couple + C. GT 16 ","middle vocational","851","0.868735433769185","0.847484415451017","0.889986452087354"
"Permanent","2005","Couple + C. GT 16 ","vocational + Abi","88","0.820845971122808","0.748854844996597","0.892837097249018"
"Permanent","2005","Couple + C. GT 16 ","higher vocational","122","0.972000415193488","0.94330878322296","1.00069204716402"
"Permanent","2005","Couple + C. GT 16 ","higher education","396","0.892912174587205","0.863786327514182","0.922038021660228"
"Permanent","2005","Couple + C. LE and GT 16","in school","4","","",""
"Permanent","2005","Couple + C. LE and GT 16","inadequately","9","","",""
"Permanent","2005","Couple + C. LE and GT 16","general elemantary","51","0.361898441906103","0.281134613753463","0.442662270058744"
"Permanent","2005","Couple + C. LE and GT 16","middle vocational","326","0.829914488118517","0.792089498293127","0.867739477943907"
"Permanent","2005","Couple + C. LE and GT 16","vocational + Abi","35","1","1","1"
"Permanent","2005","Couple + C. LE and GT 16","higher vocational","61","0.945662849689305","0.890555692723488","1.00077000665512"
"Permanent","2005","Couple + C. LE and GT 16","higher education","202","0.930102596333442","0.896020616784502","0.964184575882383"
"Limited","2005","1-pers.-HH","in school","","","",""
"Limited","2005","1-pers.-HH","inadequately","2","","",""
"Limited","2005","1-pers.-HH","general elemantary","24","","",""
"Limited","2005","1-pers.-HH","middle vocational","81","0.137012635827205","0.108857779914693","0.165167491739716"
"Limited","2005","1-pers.-HH","vocational + Abi","8","","",""
"Limited","2005","1-pers.-HH","higher vocational","6","","",""
"Limited","2005","1-pers.-HH","higher education","32","0.0932079379582104","0.060144335442503","0.126271540473918"
"Limited","2005","(Married) couple without C. ","in school","1","","",""
"Limited","2005","(Married) couple without C. ","inadequately","1","","",""
"Limited","2005","(Married) couple without C. ","general elemantary","19","","",""
"Limited","2005","(Married) couple without C. ","middle vocational","103","0.0874048347750995","0.0721689410270482","0.102640728523151"
"Limited","2005","(Married) couple without C. ","vocational + Abi","16","","",""
"Limited","2005","(Married) couple without C. ","higher vocational","10","","",""
"Limited","2005","(Married) couple without C. ","higher education","73","0.136332216688884","0.112000428921468","0.1606640044563"
"Limited","2005","Single parent ","in school","2","","",""
"Limited","2005","Single parent ","inadequately","","","",""
"Limited","2005","Single parent ","general elemantary","39","0.43053093707896","0.321343720418839","0.539718153739082"
"Limited","2005","Single parent ","middle vocational","55","0.20844954518972","0.161455057448121","0.255444032931319"
"Limited","2005","Single parent ","vocational + Abi","4","","",""
"Limited","2005","Single parent ","higher vocational","2","","",""
"Limited","2005","Single parent ","higher education","9","","",""
"Limited","2005","Couple + C. LE 16 ","in school","","","",""
"Limited","2005","Couple + C. LE 16 ","inadequately","1","","",""
"Limited","2005","Couple + C. LE 16 ","general elemantary","17","","",""
"Limited","2005","Couple + C. LE 16 ","middle vocational","81","0.0760312469956046","0.0605017372118204","0.0915607567793887"
"Limited","2005","Couple + C. LE 16 ","vocational + Abi","14","","",""
"Limited","2005","Couple + C. LE 16 ","higher vocational","10","","",""
"Limited","2005","Couple + C. LE 16 ","higher education","46","0.100727775165662","0.0767454871465619","0.124710063184762"
"Limited","2005","Couple + C. GT 16 ","in school","4","","",""
"Limited","2005","Couple + C. GT 16 ","inadequately","5","","",""
"Limited","2005","Couple + C. GT 16 ","general elemantary","142","0.58345856996128","0.520826938301948","0.646090201620611"
"Limited","2005","Couple + C. GT 16 ","middle vocational","119","0.131264566230815","0.110013547912646","0.152515584548983"
"Limited","2005","Couple + C. GT 16 ","vocational + Abi","21","","",""
"Limited","2005","Couple + C. GT 16 ","higher vocational","5","","",""
"Limited","2005","Couple + C. GT 16 ","higher education","37","0.107087825412795","0.0779619783397724","0.136213672485818"
"Limited","2005","Couple + C. LE and GT 16","in school","3","","",""
"Limited","2005","Couple + C. LE and GT 16","inadequately","4","","",""
"Limited","2005","Couple + C. LE and GT 16","general elemantary","85","0.638101558093897","0.557337729941256","0.718865386246537"
"Limited","2005","Couple + C. LE and GT 16","middle vocational","53","0.170085511881483","0.132260522056093","0.207910501706873"
"Limited","2005","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Limited","2005","Couple + C. LE and GT 16","higher vocational","4","","",""
"Limited","2005","Couple + C. LE and GT 16","higher education","13","","",""
"Permanent","2006","1-pers.-HH","in school","","","",""
"Permanent","2006","1-pers.-HH","inadequately","4","","",""
"Permanent","2006","1-pers.-HH","general elemantary","47","0.69189872923448","0.585984411682609","0.797813046786351"
"Permanent","2006","1-pers.-HH","middle vocational","519","0.841316502681103","0.812392163911847","0.87024084145036"
"Permanent","2006","1-pers.-HH","vocational + Abi","90","0.805509929900686","0.730160612196874","0.880859247604497"
"Permanent","2006","1-pers.-HH","higher vocational","101","0.987422434432981","0.96590060085569","1.00894426801027"
"Permanent","2006","1-pers.-HH","higher education","286","0.873083010459978","0.837058439364548","0.909107581555408"
"Permanent","2006","(Married) couple without C. ","in school","","","",""
"Permanent","2006","(Married) couple without C. ","inadequately","8","","",""
"Permanent","2006","(Married) couple without C. ","general elemantary","122","0.81019385899145","0.745920695589864","0.874467022393036"
"Permanent","2006","(Married) couple without C. ","middle vocational","1335","0.902721544760639","0.88748974841805","0.917953341103228"
"Permanent","2006","(Married) couple without C. ","vocational + Abi","184","0.866241542913275","0.81975849363883","0.912724592187719"
"Permanent","2006","(Married) couple without C. ","higher vocational","229","0.956602686434921","0.930878787723377","0.982326585146464"
"Permanent","2006","(Married) couple without C. ","higher education","738","0.833785100546846","0.808335895379742","0.85923430571395"
"Permanent","2006","Single parent ","in school","3","","",""
"Permanent","2006","Single parent ","inadequately","5","","",""
"Permanent","2006","Single parent ","general elemantary","43","0.542287079266693","0.435745369361791","0.648828789171595"
"Permanent","2006","Single parent ","middle vocational","238","0.76751405225295","0.719634065833417","0.815394038672483"
"Permanent","2006","Single parent ","vocational + Abi","29","","",""
"Permanent","2006","Single parent ","higher vocational","34","0.94956029201771","0.878070440492444","1.02105014354298"
"Permanent","2006","Single parent ","higher education","78","0.910938356270629","0.852416614631753","0.969460097909505"
"Permanent","2006","Couple + C. LE 16 ","in school","","","",""
"Permanent","2006","Couple + C. LE 16 ","inadequately","6","","",""
"Permanent","2006","Couple + C. LE 16 ","general elemantary","105","0.885232415051304","0.829355636469904","0.941109193632704"
"Permanent","2006","Couple + C. LE 16 ","middle vocational","1052","0.924410530475576","0.909185544468456","0.939635516482695"
"Permanent","2006","Couple + C. LE 16 ","vocational + Abi","210","0.918035017423491","0.882271710447992","0.953798324398989"
"Permanent","2006","Couple + C. LE 16 ","higher vocational","256","0.95032399800893","0.924407556193643","0.976240439824216"
"Permanent","2006","Couple + C. LE 16 ","higher education","587","0.889784157069744","0.865579053115619","0.91398926102387"
"Permanent","2006","Couple + C. GT 16 ","in school","6","","",""
"Permanent","2006","Couple + C. GT 16 ","inadequately","13","","",""
"Permanent","2006","Couple + C. GT 16 ","general elemantary","94","0.442919719458663","0.378301265453629","0.507538173463697"
"Permanent","2006","Couple + C. GT 16 ","middle vocational","877","0.848737368178353","0.826887419646144","0.870587316710562"
"Permanent","2006","Couple + C. GT 16 ","vocational + Abi","87","0.83975032834165","0.770565657569195","0.908934999114105"
"Permanent","2006","Couple + C. GT 16 ","higher vocational","117","0.955458164799376","0.919000787175083","0.99191554242367"
"Permanent","2006","Couple + C. GT 16 ","higher education","419","0.926000103355914","0.902026328293825","0.949973878418003"
"Permanent","2006","Couple + C. LE and GT 16","in school","7","","",""
"Permanent","2006","Couple + C. LE and GT 16","inadequately","6","","",""
"Permanent","2006","Couple + C. LE and GT 16","general elemantary","53","0.454491884390244","0.366136738149514","0.542847030630975"
"Permanent","2006","Couple + C. LE and GT 16","middle vocational","327","0.877318910083648","0.843708399779166","0.910929420388131"
"Permanent","2006","Couple + C. LE and GT 16","vocational + Abi","41","0.802090413377964","0.690533849282124","0.913646977473803"
"Permanent","2006","Couple + C. LE and GT 16","higher vocational","60","0.956365480303684","0.906317662045422","1.00641329856195"
"Permanent","2006","Couple + C. LE and GT 16","higher education","181","0.905862010764292","0.864875186690482","0.946848834838102"
"Limited","2006","1-pers.-HH","in school","","","",""
"Limited","2006","1-pers.-HH","inadequately","","","",""
"Limited","2006","1-pers.-HH","general elemantary","26","","",""
"Limited","2006","1-pers.-HH","middle vocational","94","0.158683497318897","0.12975915854964","0.187607836088153"
"Limited","2006","1-pers.-HH","vocational + Abi","16","","",""
"Limited","2006","1-pers.-HH","higher vocational","2","","",""
"Limited","2006","1-pers.-HH","higher education","42","0.126916989540022","0.0908924184445919","0.162941560635452"
"Limited","2006","(Married) couple without C. ","in school","2","","",""
"Limited","2006","(Married) couple without C. ","inadequately","2","","",""
"Limited","2006","(Married) couple without C. ","general elemantary","21","","",""
"Limited","2006","(Married) couple without C. ","middle vocational","119","0.0972784552393612","0.0820466588967723","0.11251025158195"
"Limited","2006","(Married) couple without C. ","vocational + Abi","22","","",""
"Limited","2006","(Married) couple without C. ","higher vocational","12","","",""
"Limited","2006","(Married) couple without C. ","higher education","84","0.166214899453154","0.14076569428605","0.191664104620258"
"Limited","2006","Single parent ","in school","","","",""
"Limited","2006","Single parent ","inadequately","4","","",""
"Limited","2006","Single parent ","general elemantary","41","0.457712920733307","0.351171210828405","0.564254630638209"
"Limited","2006","Single parent ","middle vocational","61","0.23248594774705","0.184605961327517","0.280365934166583"
"Limited","2006","Single parent ","vocational + Abi","1","","",""
"Limited","2006","Single parent ","higher vocational","2","","",""
"Limited","2006","Single parent ","higher education","13","","",""
"Limited","2006","Couple + C. LE 16 ","in school","","","",""
"Limited","2006","Couple + C. LE 16 ","inadequately","1","","",""
"Limited","2006","Couple + C. LE 16 ","general elemantary","20","","",""
"Limited","2006","Couple + C. LE 16 ","middle vocational","106","0.0755894695244243","0.0603644835173047","0.0908144555315439"
"Limited","2006","Couple + C. LE 16 ","vocational + Abi","16","","",""
"Limited","2006","Couple + C. LE 16 ","higher vocational","14","","",""
"Limited","2006","Couple + C. LE 16 ","higher education","56","0.110215842930256","0.0860107389761305","0.134420946884381"
"Limited","2006","Couple + C. GT 16 ","in school","2","","",""
"Limited","2006","Couple + C. GT 16 ","inadequately","5","","",""
"Limited","2006","Couple + C. GT 16 ","general elemantary","133","0.557080280541337","0.492461826536304","0.621698734546371"
"Limited","2006","Couple + C. GT 16 ","middle vocational","156","0.151262631821647","0.129412683289438","0.173112580353856"
"Limited","2006","Couple + C. GT 16 ","vocational + Abi","21","","",""
"Limited","2006","Couple + C. GT 16 ","higher vocational","6","","",""
"Limited","2006","Couple + C. GT 16 ","higher education","39","0.0739998966440862","0.050026121581997","0.0979736717061755"
"Limited","2006","Couple + C. LE and GT 16","in school","2","","",""
"Limited","2006","Couple + C. LE and GT 16","inadequately","4","","",""
"Limited","2006","Couple + C. LE and GT 16","general elemantary","69","0.545508115609756","0.457152969369026","0.633863261850486"
"Limited","2006","Couple + C. LE and GT 16","middle vocational","39","0.122681089916352","0.0890705796118689","0.156291600220834"
"Limited","2006","Couple + C. LE and GT 16","vocational + Abi","8","","",""
"Limited","2006","Couple + C. LE and GT 16","higher vocational","4","","",""
"Limited","2006","Couple + C. LE and GT 16","higher education","14","","",""
"Permanent","2007","1-pers.-HH","in school","","","",""
"Permanent","2007","1-pers.-HH","inadequately","3","","",""
"Permanent","2007","1-pers.-HH","general elemantary","43","0.667056094533331","0.549750436713949","0.784361752352713"
"Permanent","2007","1-pers.-HH","middle vocational","505","0.851682151517379","0.82321984041945","0.880144462615307"
"Permanent","2007","1-pers.-HH","vocational + Abi","82","0.767485098742932","0.685100169010143","0.849870028475721"
"Permanent","2007","1-pers.-HH","higher vocational","95","0.913785127524376","0.859045663357955","0.968524591690796"
"Permanent","2007","1-pers.-HH","higher education","279","0.877596683795437","0.841686536985579","0.913506830605295"
"Permanent","2007","(Married) couple without C. ","in school","","","",""
"Permanent","2007","(Married) couple without C. ","inadequately","7","","",""
"Permanent","2007","(Married) couple without C. ","general elemantary","116","0.837118454195448","0.775951976472464","0.898284931918433"
"Permanent","2007","(Married) couple without C. ","middle vocational","1277","0.927909699608072","0.914317936365607","0.941501462850537"
"Permanent","2007","(Married) couple without C. ","vocational + Abi","178","0.927893474857607","0.891864505424922","0.963922444290293"
"Permanent","2007","(Married) couple without C. ","higher vocational","184","0.944362654275444","0.912515241530204","0.976210067020683"
"Permanent","2007","(Married) couple without C. ","higher education","685","0.853497940578742","0.828666468539128","0.878329412618357"
"Permanent","2007","Single parent ","in school","2","","",""
"Permanent","2007","Single parent ","inadequately","3","","",""
"Permanent","2007","Single parent ","general elemantary","34","0.485224326511047","0.373593788175519","0.596854864846575"
"Permanent","2007","Single parent ","middle vocational","229","0.812024779996343","0.766745447426495","0.857304112566191"
"Permanent","2007","Single parent ","vocational + Abi","30","0.754921439341589","0.610340123600165","0.899502755083012"
"Permanent","2007","Single parent ","higher vocational","21","","",""
"Permanent","2007","Single parent ","higher education","78","0.845588262559552","0.772149348797156","0.919027176321949"
"Permanent","2007","Couple + C. LE 16 ","in school","","","",""
"Permanent","2007","Couple + C. LE 16 ","inadequately","8","","",""
"Permanent","2007","Couple + C. LE 16 ","general elemantary","93","0.849185510219728","0.782308850919678","0.916062169519778"
"Permanent","2007","Couple + C. LE 16 ","middle vocational","1017","0.901090216787869","0.883645031277117","0.918535402298621"
"Permanent","2007","Couple + C. LE 16 ","vocational + Abi","209","0.882273174844536","0.840712618303523","0.923833731385549"
"Permanent","2007","Couple + C. LE 16 ","higher vocational","245","0.9238898593128","0.891595284466928","0.956184434158671"
"Permanent","2007","Couple + C. LE 16 ","higher education","560","0.892045902897002","0.867520073707181","0.916571732086824"
"Permanent","2007","Couple + C. GT 16 ","in school","4","","",""
"Permanent","2007","Couple + C. GT 16 ","inadequately","15","","",""
"Permanent","2007","Couple + C. GT 16 ","general elemantary","87","0.536844727491189","0.466312901251838","0.60737655373054"
"Permanent","2007","Couple + C. GT 16 ","middle vocational","853","0.80635458254685","0.782116299027034","0.830592866066666"
"Permanent","2007","Couple + C. GT 16 ","vocational + Abi","88","0.844521622223271","0.774200079124532","0.91484316532201"
"Permanent","2007","Couple + C. GT 16 ","higher vocational","123","0.970363134682077","0.94098485345451","0.999741415909645"
"Permanent","2007","Couple + C. GT 16 ","higher education","421","0.890578186718314","0.861863231383685","0.919293142052942"
"Permanent","2007","Couple + C. LE and GT 16","in school","4","","",""
"Permanent","2007","Couple + C. LE and GT 16","inadequately","4","","",""
"Permanent","2007","Couple + C. LE and GT 16","general elemantary","38","0.369512915853195","0.276747877151499","0.462277954554891"
"Permanent","2007","Couple + C. LE and GT 16","middle vocational","315","0.844880384460377","0.807379841901381","0.882380927019374"
"Permanent","2007","Couple + C. LE and GT 16","vocational + Abi","41","0.808858244314998","0.697623242575702","0.920093246054293"
"Permanent","2007","Couple + C. LE and GT 16","higher vocational","69","0.874648924308458","0.799711566722564","0.949586281894353"
"Permanent","2007","Couple + C. LE and GT 16","higher education","145","0.846430305342389","0.790213273736609","0.902647336948169"
"Limited","2007","1-pers.-HH","in school","","","",""
"Limited","2007","1-pers.-HH","inadequately","","","",""
"Limited","2007","1-pers.-HH","general elemantary","19","","",""
"Limited","2007","1-pers.-HH","middle vocational","94","0.148317848482621","0.119855537384693","0.17678015958055"
"Limited","2007","1-pers.-HH","vocational + Abi","19","","",""
"Limited","2007","1-pers.-HH","higher vocational","6","","",""
"Limited","2007","1-pers.-HH","higher education","41","0.122403316204563","0.0864931693947049","0.158313463014421"
"Limited","2007","(Married) couple without C. ","in school","","","",""
"Limited","2007","(Married) couple without C. ","inadequately","3","","",""
"Limited","2007","(Married) couple without C. ","general elemantary","24","","",""
"Limited","2007","(Married) couple without C. ","middle vocational","114","0.072090300391928","0.0584985371494627","0.0856820636343933"
"Limited","2007","(Married) couple without C. ","vocational + Abi","20","","",""
"Limited","2007","(Married) couple without C. ","higher vocational","15","","",""
"Limited","2007","(Married) couple without C. ","higher education","94","0.146502059421257","0.121670587381643","0.171333531460872"
"Limited","2007","Single parent ","in school","1","","",""
"Limited","2007","Single parent ","inadequately","2","","",""
"Limited","2007","Single parent ","general elemantary","43","0.514775673488953","0.403145135153425","0.626406211824481"
"Limited","2007","Single parent ","middle vocational","57","0.187975220003657","0.142695887433809","0.233254552573505"
"Limited","2007","Single parent ","vocational + Abi","4","","",""
"Limited","2007","Single parent ","higher vocational","1","","",""
"Limited","2007","Single parent ","higher education","15","","",""
"Limited","2007","Couple + C. LE 16 ","in school","","","",""
"Limited","2007","Couple + C. LE 16 ","inadequately","1","","",""
"Limited","2007","Couple + C. LE 16 ","general elemantary","17","","",""
"Limited","2007","Couple + C. LE 16 ","middle vocational","108","0.0989097832121307","0.0814645977013788","0.116354968722883"
"Limited","2007","Couple + C. LE 16 ","vocational + Abi","22","","",""
"Limited","2007","Couple + C. LE 16 ","higher vocational","14","","",""
"Limited","2007","Couple + C. LE 16 ","higher education","55","0.107954097102998","0.0834282679131765","0.132479926292819"
"Limited","2007","Couple + C. GT 16 ","in school","3","","",""
"Limited","2007","Couple + C. GT 16 ","inadequately","4","","",""
"Limited","2007","Couple + C. GT 16 ","general elemantary","105","0.463155272508811","0.392623446269459","0.533687098748162"
"Limited","2007","Couple + C. GT 16 ","middle vocational","168","0.19364541745315","0.169407133933334","0.217883700972966"
"Limited","2007","Couple + C. GT 16 ","vocational + Abi","14","","",""
"Limited","2007","Couple + C. GT 16 ","higher vocational","5","","",""
"Limited","2007","Couple + C. GT 16 ","higher education","33","0.109421813281686","0.0807068579470578","0.138136768616315"
"Limited","2007","Couple + C. LE and GT 16","in school","2","","",""
"Limited","2007","Couple + C. LE and GT 16","inadequately","2","","",""
"Limited","2007","Couple + C. LE and GT 16","general elemantary","66","0.630487084146805","0.537722045445109","0.723252122848501"
"Limited","2007","Couple + C. LE and GT 16","middle vocational","43","0.155119615539623","0.117619072980626","0.192620158098619"
"Limited","2007","Couple + C. LE and GT 16","vocational + Abi","7","","",""
"Limited","2007","Couple + C. LE and GT 16","higher vocational","6","","",""
"Limited","2007","Couple + C. LE and GT 16","higher education","13","","",""
"Permanent","2008","1-pers.-HH","in school","","","",""
"Permanent","2008","1-pers.-HH","inadequately","3","","",""
