"year","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2014","(Married) couple without C.","","","","","","","","","","","","","",""
"2014","1-pers.-HH","","","","","","","","","","","","","",""
"2014","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2014","Couple + C. LE 16","","","","","","","","","","","","","",""
"2014","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2014","Single parent","","","","","","","","","","","","","",""
"2015","(Married) couple without C.","","","","","","","","","","","","","",""
"2015","1-pers.-HH","","","","","","","","","","","","","",""
"2015","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2015","Couple + C. LE 16","","","","","","","","","","","","","",""
"2015","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2015","Single parent","","","","","","","","","","","","","",""
"2016","(Married) couple without C.","","","","","","","","","","","","","",""
"2016","1-pers.-HH","","","","","","","","","","","","","",""
"2016","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2016","Couple + C. LE 16","","","","","","","","","","","","","",""
"2016","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2016","Single parent","","","","","","","","","","","","","",""
"2017","(Married) couple without C.","4.7","5","208","4","5","5","5","5","4.61","4.79","1","5","5","5"
"2017","1-pers.-HH","4.29","5","1110","2","4","5","5","5","4.23","4.35","1","5","5","5"
"2017","Couple + C. GT 16 ","4.83","5","104","4","5","5","5","5","4.73","4.93","2","5","5","5"
"2017","Couple + C. LE 16","4.61","5","2283","4","5","5","5","5","4.57","4.65","1","5","5","5"
"2017","Couple + C. LE and GT 16","4.45","5","635","3","4","5","5","5","4.37","4.53","1","5","5","5"
"2017","Single parent","4.74","5","392","4","5","5","5","5","4.66","4.82","1","5","5","5"
"2018","(Married) couple without C.","4.47","5","132","3","4","5","5","5","4.31","4.63","1","5","5","5"
"2018","1-pers.-HH","4.1","4","783","2","4","5","5","5","4.02","4.18","1","5","4","5"
"2018","Couple + C. GT 16 ","4.13","5","89","2","3","5","5","5","3.93","4.33","2","5","5","5"
"2018","Couple + C. LE 16","4.49","5","1644","3","4","5","5","5","4.44","4.54","1","5","5","5"
"2018","Couple + C. LE and GT 16","4.33","5","515","3","4","5","5","5","4.24","4.42","1","5","5","5"
"2018","Single parent","4.7","5","326","4","5","5","5","5","4.61","4.79","1","5","5","5"
"2019","(Married) couple without C.","4.41","5","8632","3","4","5","5","5","4.39","4.43","1","5","5","5"
"2019","1-pers.-HH","4.44","5","4936","3","4","5","5","5","4.42","4.46","1","5","5","5"
"2019","Couple + C. GT 16 ","4.16","4","3067","3","4","5","5","5","4.13","4.19","1","5","4","4"
"2019","Couple + C. LE 16","4.21","4","6719","3","4","5","5","5","4.19","4.23","1","5","4","5"
"2019","Couple + C. LE and GT 16","4.07","4","2755","2","3","5","5","5","4.03","4.11","1","5","4","4"
"2019","Single parent","4.31","5","2336","3","4","5","5","5","4.27","4.35","1","5","5","5"
