"m11126","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Poor","1994","Not Working","Couple + C. GT 16 ","125","0.160756198864829","0.135255806331188","0.18625659139847","4"
"Satisfactory","1994","Full Time","1-pers.-HH","154","0.306305661239273","0.267354667677595","0.345256654800952","3"
"Satisfactory","1994","Full Time","(Married) couple without C. ","431","0.306288602727532","0.282397570975854","0.330179634479209","3"
"Satisfactory","1994","Full Time","Single parent ","79","0.355297545096347","0.295611145833492","0.414983944359203","3"
"Satisfactory","1994","Full Time","Couple + C. GT 16 ","367","0.327602298332171","0.300570160606925","0.354634436057416","3"
"Satisfactory","1994","Part Time","(Married) couple without C. ","134","0.291118274038448","0.249238869506222","0.332997678570674","3"
"Satisfactory","1994","Not Working","Couple + C. GT 16 ","241","0.322367760189922","0.289919474179169","0.354816046200675","3"
"Satisfactory","1994","Not Working","Couple + C. LE and GT 16","59","0.164824355330445","0.124733091653958","0.204915619006932","3"
"Satisfactory","1994","Full Time","Couple + C. LE 16 ","477","0.297592186706366","0.275690589204949","0.319493784207783","3"
"Satisfactory","1994","Full Time","Couple + C. LE and GT 16","191","0.331276062209967","0.292905104924372","0.369647019495563","3"
"Satisfactory","1994","Part Time","1-pers.-HH","43","0.338850992981957","0.260725532343416","0.416976453620499","3"
"Satisfactory","1994","Part Time","Single parent ","34","0.25624685680317","0.181772835281535","0.330720878324805","3"
"Satisfactory","1994","Part Time","Couple + C. LE 16 ","212","0.306083031550626","0.27189345196469","0.340272611136561","3"
"Satisfactory","1994","Part Time","Couple + C. GT 16 ","162","0.361909440477999","0.319955385940834","0.403863495015164","3"
"Satisfactory","1994","Part Time","Couple + C. LE and GT 16","74","0.27272179857537","0.219988732770394","0.325454864380346","3"
"Satisfactory","1994","Not Working","1-pers.-HH","278","0.372805426525333","0.337751904439985","0.40785894861068","3"
"Satisfactory","1994","Not Working","(Married) couple without C. ","658","0.437185575608757","0.412224067392268","0.462147083825247","3"
"Satisfactory","1994","Not Working","Single parent ","67","0.321582826469175","0.257010727624264","0.386154925314085","3"
"Satisfactory","1994","Not Working","Couple + C. LE 16 ","163","0.279217271293557","0.244702971452658","0.313731571134456","3"
"Very good","1994","Full Time","1-pers.-HH","59","0.0965029502801876","0.0715517973578764","0.121454103202499","1"
"Very good","1994","Full Time","(Married) couple without C. ","174","0.105889616398357","0.0899417595364329","0.12183747326028","1"
"Very good","1994","Full Time","Single parent ","40","0.152499332511336","0.107665732772682","0.197332932249989","1"
"Very good","1994","Full Time","Couple + C. LE 16 ","185","0.104275580994841","0.0896353179338058","0.118915844055876","1"
"Very good","1994","Full Time","Couple + C. GT 16 ","154","0.110696966471558","0.0926257845458557","0.128768148397261","1"
"Very good","1994","Full Time","Couple + C. LE and GT 16","68","0.111354633948918","0.0857096424524827","0.136999625445354","1"
"Very good","1994","Part Time","1-pers.-HH","17","","","","1"
"Very good","1994","Part Time","(Married) couple without C. ","49","0.105441010184885","0.077127863112961","0.133754157256809","1"
"Very good","1994","Part Time","Single parent ","16","","","","1"
"Very good","1994","Part Time","Couple + C. LE 16 ","82","0.1259123612802","0.101301203014978","0.150523519545423","1"
"Very good","1994","Part Time","Couple + C. GT 16 ","47","0.0807533370288061","0.0569669164923001","0.104539757565312","1"
"Very good","1994","Part Time","Couple + C. LE and GT 16","35","0.1244491428514","0.0853642025235617","0.163534083179239","1"
"Very good","1994","Not Working","1-pers.-HH","28","","","","1"
"Very good","1994","Not Working","(Married) couple without C. ","39","0.0189599974353898","0.0120969374315517","0.0258230574392279","1"
"Very good","1994","Not Working","Single parent ","17","","","","1"
"Very good","1994","Not Working","Couple + C. LE 16 ","67","0.0930716049792547","0.0707193756823421","0.115423834276167","1"
"Very good","1994","Not Working","Couple + C. GT 16 ","93","0.112733140616831","0.0907761981681935","0.134690083065468","1"
"Very good","1994","Not Working","Couple + C. LE and GT 16","78","0.216634349728162","0.172120406854657","0.261148292601668","1"
"Bad ","1995","Full Time","1-pers.-HH","8","","","","5"
"Bad ","1995","Full Time","(Married) couple without C. ","29","","","","5"
"Bad ","1995","Full Time","Single parent ","3","","","","5"
"Bad ","1995","Full Time","Couple + C. LE and GT 16","8","","","","5"
"Bad ","1995","Not Working","1-pers.-HH","86","0.120347084437025","0.096936104201432","0.143758064672619","5"
"Bad ","1995","Not Working","(Married) couple without C. ","129","0.0903083924474869","0.0760393972499739","0.104577387645","5"
"Bad ","1995","Full Time","Couple + C. LE 16 ","14","","","","5"
"Bad ","1995","Full Time","Couple + C. GT 16 ","19","","","","5"
"Bad ","1995","Part Time","1-pers.-HH","9","","","","5"
"Bad ","1995","Part Time","(Married) couple without C. ","11","","","","5"
"Bad ","1995","Part Time","Single parent ","5","","","","5"
"Bad ","1995","Part Time","Couple + C. LE 16 ","12","","","","5"
"Bad ","1995","Part Time","Couple + C. GT 16 ","11","","","","5"
"Bad ","1995","Part Time","Couple + C. LE and GT 16","7","","","","5"
"Bad ","1995","Not Working","Single parent ","13","","","","5"
"Bad ","1995","Not Working","Couple + C. LE 16 ","17","","","","5"
"Bad ","1995","Not Working","Couple + C. GT 16 ","51","0.063342721906542","0.0466811784850974","0.0800042653279866","5"
"Bad ","1995","Not Working","Couple + C. LE and GT 16","11","","","","5"
"Good","1995","Full Time","Couple + C. LE 16 ","863","0.513437752938418","0.4892770098019","0.537598496074937","2"
"Good","1995","Full Time","1-pers.-HH","234","0.445714957068635","0.402952800829638","0.488477113307631","2"
"Good","1995","Full Time","Single parent ","102","0.451772474093577","0.387315390501447","0.516229557685707","2"
"Good","1995","Part Time","1-pers.-HH","91","0.43363495074339","0.363718431604086","0.503551469882695","2"
"Good","1995","Part Time","(Married) couple without C. ","201","0.41205602994946","0.368913143683628","0.455198916215291","2"
"Good","1995","Part Time","Couple + C. LE and GT 16","132","0.495371537425887","0.435734287977271","0.555008786874502","2"
"Good","1995","Not Working","Couple + C. LE 16 ","346","0.42447149435959","0.38861693863332","0.460326050085861","2"
"Good","1995","Not Working","Couple + C. GT 16 ","273","0.323029382626214","0.291041725231781","0.355017040020647","2"
"Good","1995","Full Time","(Married) couple without C. ","642","0.450299340108202","0.42481394698944","0.475784733226963","2"
"Good","1995","Full Time","Couple + C. GT 16 ","502","0.440005055819842","0.411228032931678","0.468782078708006","2"
"Good","1995","Full Time","Couple + C. LE and GT 16","274","0.486746520268724","0.445998965630888","0.527494074906559","2"
"Good","1995","Part Time","Single parent ","74","0.431043006214299","0.354547631810471","0.507538380618127","2"
"Good","1995","Not Working","1-pers.-HH","151","0.198678887124937","0.169969409500952","0.227388364748923","2"
