"ple0044_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Not a day","2014","Rhineland-Palatinate,Saarland","Rural Area","132","1","1","1"
"Not a day","2014","Baden-Württemberg","Urban Area","872","1","1","1"
"Not a day","2014","Baden-Württemberg","Rural Area","112","1","1","1"
"Not a day","2014","Bavaria","Urban Area","598","1","1","1"
"Not a day","2014","Bavaria","Rural Area","775","1","1","1"
"Not a day","2014","Berlin","Urban Area","263","1","1","1"
"Not a day","2014","Berlin","Rural Area","","","",""
"Not a day","2014","Brandenburg","Urban Area","14","","",""
"Not a day","2014","Brandenburg","Rural Area","254","1","1","1"
"Not a day","2014","Mecklenburg-Western Pomerania","Urban Area","26","","",""
"Not a day","2014","Mecklenburg-Western Pomerania","Rural Area","120","1","1","1"
"Not a day","2014","Saxony","Urban Area","250","1","1","1"
"Not a day","2014","Saxony","Rural Area","221","1","1","1"
"Not a day","2014","Saxony-Anhalt","Urban Area","77","1","1","1"
"Not a day","2014","Saxony-Anhalt","Rural Area","196","1","1","1"
"Not a day","2014","Thuringia","Urban Area","86","1","1","1"
"Not a day","2014","Thuringia","Rural Area","186","1","1","1"
"Not a day","2015","Schleswig-Holstein","Urban Area","49","1","1","1"
"Not a day","2015","Schleswig-Holstein","Rural Area","171","1","1","1"
"Not a day","2015","Hamburg","Urban Area","118","1","1","1"
"Not a day","2015","Hamburg","Rural Area","","","",""
"Not a day","2015","Lower Saxony","Urban Area","304","1","1","1"
"Not a day","2015","Lower Saxony","Rural Area","377","1","1","1"
"Not a day","2015","Bremen","Urban Area","46","1","1","1"
"Not a day","2015","Bremen","Rural Area","","","",""
"Not a day","2015","North Rhine-Westphalia","Urban Area","1443","1","1","1"
"Not a day","2015","North Rhine-Westphalia","Rural Area","32","1","1","1"
"Not a day","2015","Hesse","Urban Area","388","1","1","1"
"Not a day","2015","Hesse","Rural Area","83","1","1","1"
"Not a day","2015","Rhineland-Palatinate,Saarland","Urban Area","301","1","1","1"
"Not a day","2015","Rhineland-Palatinate,Saarland","Rural Area","132","1","1","1"
"Not a day","2015","Baden-Württemberg","Urban Area","798","1","1","1"
"Not a day","2015","Baden-Württemberg","Rural Area","102","1","1","1"
"Not a day","2015","Bavaria","Urban Area","548","1","1","1"
"Not a day","2015","Bavaria","Rural Area","725","1","1","1"
"Not a day","2015","Berlin","Urban Area","226","1","1","1"
"Not a day","2015","Berlin","Rural Area","","","",""
"Not a day","2015","Brandenburg","Urban Area","14","","",""
"Not a day","2015","Brandenburg","Rural Area","232","1","1","1"
"Not a day","2015","Mecklenburg-Western Pomerania","Urban Area","20","","",""
"Not a day","2015","Mecklenburg-Western Pomerania","Rural Area","124","1","1","1"
"Not a day","2015","Saxony","Urban Area","243","1","1","1"
"Not a day","2015","Saxony","Rural Area","197","1","1","1"
"Not a day","2015","Saxony-Anhalt","Urban Area","67","1","1","1"
"Not a day","2015","Saxony-Anhalt","Rural Area","181","1","1","1"
"Not a day","2015","Thuringia","Urban Area","87","1","1","1"
"Not a day","2015","Thuringia","Rural Area","179","1","1","1"
"Not a day","2016","Schleswig-Holstein","Urban Area","46","1","1","1"
"Not a day","2016","Schleswig-Holstein","Rural Area","165","1","1","1"
"Not a day","2016","Hamburg","Urban Area","121","1","1","1"
"Not a day","2016","Hamburg","Rural Area","","","",""
"Not a day","2016","Lower Saxony","Urban Area","247","1","1","1"
"Not a day","2016","Lower Saxony","Rural Area","346","1","1","1"
"Not a day","2016","Bremen","Urban Area","34","1","1","1"
"Not a day","2016","Bremen","Rural Area","","","",""
"Not a day","2016","North Rhine-Westphalia","Urban Area","1293","1","1","1"
"Not a day","2016","North Rhine-Westphalia","Rural Area","34","1","1","1"
"Not a day","2016","Hesse","Urban Area","335","1","1","1"
"Not a day","2016","Hesse","Rural Area","70","1","1","1"
"Not a day","2016","Rhineland-Palatinate,Saarland","Urban Area","319","1","1","1"
"Not a day","2016","Rhineland-Palatinate,Saarland","Rural Area","135","1","1","1"
"Not a day","2016","Baden-Württemberg","Urban Area","690","1","1","1"
"Not a day","2016","Baden-Württemberg","Rural Area","97","1","1","1"
"Not a day","2016","Bavaria","Urban Area","461","1","1","1"
"Not a day","2016","Bavaria","Rural Area","615","1","1","1"
"Not a day","2016","Berlin","Urban Area","191","1","1","1"
"Not a day","2016","Berlin","Rural Area","","","",""
"Not a day","2016","Brandenburg","Urban Area","18","","",""
"Not a day","2016","Brandenburg","Rural Area","193","1","1","1"
"Not a day","2016","Mecklenburg-Western Pomerania","Urban Area","16","","",""
"Not a day","2016","Mecklenburg-Western Pomerania","Rural Area","117","1","1","1"
"Not a day","2016","Saxony","Urban Area","205","1","1","1"
"Not a day","2016","Saxony","Rural Area","191","1","1","1"
"Not a day","2016","Saxony-Anhalt","Urban Area","64","1","1","1"
"Not a day","2016","Saxony-Anhalt","Rural Area","152","1","1","1"
"Not a day","2016","Thuringia","Urban Area","78","1","1","1"
"Not a day","2016","Thuringia","Rural Area","152","1","1","1"
"Not a day","2017","Schleswig-Holstein","Urban Area","67","1","1","1"
"Not a day","2017","Schleswig-Holstein","Rural Area","136","1","1","1"
"Not a day","2017","Hamburg","Urban Area","114","1","1","1"
"Not a day","2017","Hamburg","Rural Area","","","",""
"Not a day","2017","Lower Saxony","Urban Area","260","1","1","1"
"Not a day","2017","Lower Saxony","Rural Area","343","1","1","1"
"Not a day","2017","Bremen","Urban Area","59","1","1","1"
"Not a day","2017","Bremen","Rural Area","","","",""
"Not a day","2017","North Rhine-Westphalia","Urban Area","1352","1","1","1"
"Not a day","2017","North Rhine-Westphalia","Rural Area","32","1","1","1"
"Not a day","2017","Hesse","Urban Area","325","1","1","1"
"Not a day","2017","Hesse","Rural Area","75","1","1","1"
"Not a day","2017","Rhineland-Palatinate,Saarland","Urban Area","286","1","1","1"
"Not a day","2017","Rhineland-Palatinate,Saarland","Rural Area","126","1","1","1"
"Not a day","2017","Baden-Württemberg","Urban Area","708","1","1","1"
"Not a day","2017","Baden-Württemberg","Rural Area","105","1","1","1"
"Not a day","2017","Bavaria","Urban Area","515","1","1","1"
"Not a day","2017","Bavaria","Rural Area","660","1","1","1"
"Not a day","2017","Berlin","Urban Area","215","1","1","1"
"Not a day","2017","Berlin","Rural Area","","","",""
"Not a day","2017","Brandenburg","Urban Area","20","","",""
"Not a day","2017","Brandenburg","Rural Area","208","1","1","1"
"Not a day","2017","Mecklenburg-Western Pomerania","Urban Area","17","","",""
"Not a day","2017","Mecklenburg-Western Pomerania","Rural Area","105","1","1","1"
"Not a day","2017","Saxony","Urban Area","214","1","1","1"
"Not a day","2017","Saxony","Rural Area","198","1","1","1"
"Not a day","2017","Saxony-Anhalt","Urban Area","37","1","1","1"
"Not a day","2017","Saxony-Anhalt","Rural Area","193","1","1","1"
"Not a day","2017","Thuringia","Urban Area","90","1","1","1"
"Not a day","2017","Thuringia","Rural Area","179","1","1","1"
"Not a day","2018","Schleswig-Holstein","Urban Area","73","1","1","1"
"Not a day","2018","Schleswig-Holstein","Rural Area","138","1","1","1"
"Not a day","2018","Hamburg","Urban Area","112","1","1","1"
"Not a day","2018","Hamburg","Rural Area","","","",""
"Not a day","2018","Lower Saxony","Urban Area","251","1","1","1"
"Not a day","2018","Lower Saxony","Rural Area","343","1","1","1"
"Not a day","2018","Bremen","Urban Area","47","1","1","1"
"Not a day","2018","Bremen","Rural Area","","","",""
"Not a day","2018","North Rhine-Westphalia","Urban Area","1255","1","1","1"
"Not a day","2018","North Rhine-Westphalia","Rural Area","32","1","1","1"
"Not a day","2018","Hesse","Urban Area","303","1","1","1"
"Not a day","2018","Hesse","Rural Area","81","1","1","1"
"Not a day","2018","Rhineland-Palatinate,Saarland","Urban Area","276","1","1","1"
"Not a day","2018","Rhineland-Palatinate,Saarland","Rural Area","118","1","1","1"
"Not a day","2018","Baden-Württemberg","Urban Area","656","1","1","1"
"Not a day","2018","Baden-Württemberg","Rural Area","94","1","1","1"
"Not a day","2018","Bavaria","Urban Area","446","1","1","1"
"Not a day","2018","Bavaria","Rural Area","641","1","1","1"
"Not a day","2018","Berlin","Urban Area","209","1","1","1"
"Not a day","2018","Berlin","Rural Area","","","",""
"Not a day","2018","Brandenburg","Urban Area","20","","",""
"Not a day","2018","Brandenburg","Rural Area","210","1","1","1"
"Not a day","2018","Mecklenburg-Western Pomerania","Urban Area","19","","",""
"Not a day","2018","Mecklenburg-Western Pomerania","Rural Area","110","1","1","1"
"Not a day","2018","Saxony","Urban Area","226","1","1","1"
"Not a day","2018","Saxony","Rural Area","197","1","1","1"
"Not a day","2018","Saxony-Anhalt","Urban Area","37","1","1","1"
"Not a day","2018","Saxony-Anhalt","Rural Area","167","1","1","1"
"Not a day","2018","Thuringia","Urban Area","77","1","1","1"
"Not a day","2018","Thuringia","Rural Area","142","1","1","1"
"Not a day","2019","Schleswig-Holstein","Urban Area","80","1","1","1"
"Not a day","2019","Schleswig-Holstein","Rural Area","153","1","1","1"
"Not a day","2019","Hamburg","Urban Area","142","1","1","1"
"Not a day","2019","Hamburg","Rural Area","","","",""
"Not a day","2019","Lower Saxony","Urban Area","231","1","1","1"
"Not a day","2019","Lower Saxony","Rural Area","326","1","1","1"
"Not a day","2019","Bremen","Urban Area","55","1","1","1"
"Not a day","2019","Bremen","Rural Area","","","",""
"Not a day","2019","North Rhine-Westphalia","Urban Area","1355","1","1","1"
"Not a day","2019","North Rhine-Westphalia","Rural Area","28","","",""
"Not a day","2019","Hesse","Urban Area","340","1","1","1"
"Not a day","2019","Hesse","Rural Area","85","1","1","1"
"Not a day","2019","Rhineland-Palatinate,Saarland","Urban Area","289","1","1","1"
"Not a day","2019","Rhineland-Palatinate,Saarland","Rural Area","101","1","1","1"
"Not a day","2019","Baden-Württemberg","Urban Area","697","1","1","1"
"Not a day","2019","Baden-Württemberg","Rural Area","83","1","1","1"
"Not a day","2019","Bavaria","Urban Area","458","1","1","1"
"Not a day","2019","Bavaria","Rural Area","584","1","1","1"
"Not a day","2019","Berlin","Urban Area","","","",""
"Not a day","2019","Berlin","Rural Area","","","",""
"Not a day","2019","Brandenburg","Urban Area","20","","",""
"Not a day","2019","Brandenburg","Rural Area","265","1","1","1"
"Not a day","2019","Mecklenburg-Western Pomerania","Urban Area","25","","",""
"Not a day","2019","Mecklenburg-Western Pomerania","Rural Area","124","1","1","1"
"Not a day","2019","Saxony","Urban Area","229","1","1","1"
"Not a day","2019","Saxony","Rural Area","212","1","1","1"
"Not a day","2019","Saxony-Anhalt","Urban Area","41","1","1","1"
"Not a day","2019","Saxony-Anhalt","Rural Area","181","1","1","1"
"Not a day","2019","Thuringia","Urban Area","95","1","1","1"
"Not a day","2019","Thuringia","Rural Area","166","1","1","1"
