"pli0165","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","2014","16-34 y.","higher education","","","",""
"Never","2014","35-65 y.","in school","","","",""
"Never","2014","35-65 y.","inadequately","","","",""
"Never","2014","35-65 y.","general elemantary","","","",""
"Never","2014","35-65 y.","middle vocational","","","",""
"Never","2014","35-65 y.","vocational + Abi","","","",""
"Never","2014","35-65 y.","higher vocational","","","",""
"Never","2014","35-65 y.","higher education","","","",""
"Never","2014","66 and older","in school","","","",""
"Never","2014","66 and older","inadequately","","","",""
"Never","2014","66 and older","general elemantary","","","",""
"Never","2014","66 and older","middle vocational","","","",""
"Never","2014","66 and older","vocational + Abi","","","",""
"Never","2014","66 and older","higher vocational","","","",""
"Never","2014","66 and older","higher education","","","",""
"Daily","2015","16-34 y.","in school","","","",""
"Daily","2015","16-34 y.","inadequately","","","",""
"Daily","2015","16-34 y.","general elemantary","","","",""
"Daily","2015","16-34 y.","middle vocational","","","",""
"Daily","2015","16-34 y.","vocational + Abi","","","",""
"Daily","2015","16-34 y.","higher vocational","","","",""
"Daily","2015","16-34 y.","higher education","","","",""
"Daily","2015","35-65 y.","in school","","","",""
"Daily","2015","35-65 y.","inadequately","","","",""
"Daily","2015","35-65 y.","general elemantary","","","",""
"Daily","2015","35-65 y.","middle vocational","","","",""
"Daily","2015","35-65 y.","vocational + Abi","","","",""
"Daily","2015","35-65 y.","higher vocational","","","",""
"Daily","2015","35-65 y.","higher education","","","",""
"Daily","2015","66 and older","in school","","","",""
"Daily","2015","66 and older","inadequately","","","",""
"Daily","2015","66 and older","general elemantary","","","",""
"Daily","2015","66 and older","middle vocational","","","",""
"Daily","2015","66 and older","vocational + Abi","","","",""
"Daily","2015","66 and older","higher vocational","","","",""
"Daily","2015","66 and older","higher education","","","",""
"Min 1x per week","2015","16-34 y.","in school","","","",""
"Min 1x per week","2015","16-34 y.","inadequately","","","",""
"Min 1x per week","2015","16-34 y.","general elemantary","","","",""
"Min 1x per week","2015","16-34 y.","middle vocational","","","",""
"Min 1x per week","2015","16-34 y.","vocational + Abi","","","",""
"Min 1x per week","2015","16-34 y.","higher vocational","","","",""
"Min 1x per week","2015","16-34 y.","higher education","","","",""
"Min 1x per week","2015","35-65 y.","in school","","","",""
"Min 1x per week","2015","35-65 y.","inadequately","","","",""
"Min 1x per week","2015","35-65 y.","general elemantary","","","",""
"Min 1x per week","2015","35-65 y.","middle vocational","","","",""
"Min 1x per week","2015","35-65 y.","vocational + Abi","","","",""
"Min 1x per week","2015","35-65 y.","higher vocational","","","",""
"Min 1x per week","2015","35-65 y.","higher education","","","",""
"Min 1x per week","2015","66 and older","in school","","","",""
"Min 1x per week","2015","66 and older","inadequately","","","",""
"Min 1x per week","2015","66 and older","general elemantary","","","",""
"Min 1x per week","2015","66 and older","middle vocational","","","",""
"Min 1x per week","2015","66 and older","vocational + Abi","","","",""
"Min 1x per week","2015","66 and older","higher vocational","","","",""
"Min 1x per week","2015","66 and older","higher education","","","",""
"Min 1x per month","2015","16-34 y.","in school","","","",""
"Min 1x per month","2015","16-34 y.","inadequately","","","",""
"Min 1x per month","2015","16-34 y.","general elemantary","","","",""
"Min 1x per month","2015","16-34 y.","middle vocational","","","",""
"Min 1x per month","2015","16-34 y.","vocational + Abi","","","",""
"Min 1x per month","2015","16-34 y.","higher vocational","","","",""
"Min 1x per month","2015","16-34 y.","higher education","","","",""
"Min 1x per month","2015","35-65 y.","in school","","","",""
"Min 1x per month","2015","35-65 y.","inadequately","","","",""
"Min 1x per month","2015","35-65 y.","general elemantary","","","",""
"Min 1x per month","2015","35-65 y.","middle vocational","","","",""
"Min 1x per month","2015","35-65 y.","vocational + Abi","","","",""
"Min 1x per month","2015","35-65 y.","higher vocational","","","",""
"Min 1x per month","2015","35-65 y.","higher education","","","",""
"Min 1x per month","2015","66 and older","in school","","","",""
"Min 1x per month","2015","66 and older","inadequately","","","",""
"Min 1x per month","2015","66 and older","general elemantary","","","",""
"Min 1x per month","2015","66 and older","middle vocational","","","",""
"Min 1x per month","2015","66 and older","vocational + Abi","","","",""
"Min 1x per month","2015","66 and older","higher vocational","","","",""
"Min 1x per month","2015","66 and older","higher education","","","",""
"Rarely","2015","16-34 y.","in school","","","",""
"Rarely","2015","16-34 y.","inadequately","","","",""
"Rarely","2015","16-34 y.","general elemantary","","","",""
"Rarely","2015","16-34 y.","middle vocational","","","",""
"Rarely","2015","16-34 y.","vocational + Abi","","","",""
"Rarely","2015","16-34 y.","higher vocational","","","",""
"Rarely","2015","16-34 y.","higher education","","","",""
"Rarely","2015","35-65 y.","in school","","","",""
"Rarely","2015","35-65 y.","inadequately","","","",""
"Rarely","2015","35-65 y.","general elemantary","","","",""
"Rarely","2015","35-65 y.","middle vocational","","","",""
"Rarely","2015","35-65 y.","vocational + Abi","","","",""
"Rarely","2015","35-65 y.","higher vocational","","","",""
"Rarely","2015","35-65 y.","higher education","","","",""
"Rarely","2015","66 and older","in school","","","",""
"Rarely","2015","66 and older","inadequately","","","",""
"Rarely","2015","66 and older","general elemantary","","","",""
"Rarely","2015","66 and older","middle vocational","","","",""
"Rarely","2015","66 and older","vocational + Abi","","","",""
"Rarely","2015","66 and older","higher vocational","","","",""
"Rarely","2015","66 and older","higher education","","","",""
"Never","2015","16-34 y.","in school","","","",""
"Never","2015","16-34 y.","inadequately","","","",""
"Never","2015","16-34 y.","general elemantary","","","",""
"Never","2015","16-34 y.","middle vocational","","","",""
"Never","2015","16-34 y.","vocational + Abi","","","",""
"Never","2015","16-34 y.","higher vocational","","","",""
"Never","2015","16-34 y.","higher education","","","",""
"Never","2015","35-65 y.","in school","","","",""
"Never","2015","35-65 y.","inadequately","","","",""
"Never","2015","35-65 y.","general elemantary","","","",""
"Never","2015","35-65 y.","middle vocational","","","",""
"Never","2015","35-65 y.","vocational + Abi","","","",""
"Never","2015","35-65 y.","higher vocational","","","",""
"Never","2015","35-65 y.","higher education","","","",""
"Never","2015","66 and older","in school","","","",""
"Never","2015","66 and older","inadequately","","","",""
"Never","2015","66 and older","general elemantary","","","",""
"Never","2015","66 and older","middle vocational","","","",""
"Never","2015","66 and older","vocational + Abi","","","",""
"Never","2015","66 and older","higher vocational","","","",""
"Never","2015","66 and older","higher education","","","",""
"Daily","2016","16-34 y.","in school","","","",""
"Daily","2016","16-34 y.","inadequately","","","",""
"Daily","2016","16-34 y.","general elemantary","","","",""
"Daily","2016","16-34 y.","middle vocational","","","",""
"Daily","2016","16-34 y.","vocational + Abi","","","",""
"Daily","2016","16-34 y.","higher vocational","","","",""
"Daily","2016","16-34 y.","higher education","","","",""
"Daily","2016","35-65 y.","in school","","","",""
"Daily","2016","35-65 y.","inadequately","","","",""
"Daily","2016","35-65 y.","general elemantary","","","",""
"Daily","2016","35-65 y.","middle vocational","","","",""
"Daily","2016","35-65 y.","vocational + Abi","","","",""
"Daily","2016","35-65 y.","higher vocational","","","",""
"Daily","2016","35-65 y.","higher education","","","",""
"Daily","2016","66 and older","in school","","","",""
"Daily","2016","66 and older","inadequately","","","",""
"Daily","2016","66 and older","general elemantary","","","",""
"Daily","2016","66 and older","middle vocational","","","",""
"Daily","2016","66 and older","vocational + Abi","","","",""
"Daily","2016","66 and older","higher vocational","","","",""
"Daily","2016","66 and older","higher education","","","",""
"Min 1x per week","2016","16-34 y.","in school","","","",""
"Min 1x per week","2016","16-34 y.","inadequately","","","",""
"Min 1x per week","2016","16-34 y.","general elemantary","","","",""
"Min 1x per week","2016","16-34 y.","middle vocational","","","",""
"Min 1x per week","2016","16-34 y.","vocational + Abi","","","",""
"Min 1x per week","2016","16-34 y.","higher vocational","","","",""
"Min 1x per week","2016","16-34 y.","higher education","","","",""
"Min 1x per week","2016","35-65 y.","in school","","","",""
"Min 1x per week","2016","35-65 y.","inadequately","","","",""
"Min 1x per week","2016","35-65 y.","general elemantary","","","",""
"Min 1x per week","2016","35-65 y.","middle vocational","","","",""
"Min 1x per week","2016","35-65 y.","vocational + Abi","","","",""
"Min 1x per week","2016","35-65 y.","higher vocational","","","",""
"Min 1x per week","2016","35-65 y.","higher education","","","",""
"Min 1x per week","2016","66 and older","in school","","","",""
"Min 1x per week","2016","66 and older","inadequately","","","",""
"Min 1x per week","2016","66 and older","general elemantary","","","",""
"Min 1x per week","2016","66 and older","middle vocational","","","",""
"Min 1x per week","2016","66 and older","vocational + Abi","","","",""
