"year","e11102","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Not Employed","higher vocational","4.37","5","451","3","4","5","5","5","4.28","4.46","2","5","5","5"
"2005","Not Employed","in school","3.65","4","549","2","2","5","5","5","3.54","3.76","2","5","4","4"
"2005","Not Employed","inadequately","4.75","5","152","4","5","5","5","5","4.67","4.83","2","5","5","5"
"2005","Not Employed","middle vocational","4.49","5","3915","3","4","5","5","5","4.46","4.52","2","5","5","5"
"2005","Not Employed","vocational + Abi","4.08","4","282","2","3","5","5","5","3.96","4.2","2","5","4","5"
"2006","Employed","general elemantary","","","","","","","","","","","","","",""
"2006","Employed","higher education","","","","","","","","","","","","","",""
"2006","Employed","higher vocational","","","","","","","","","","","","","",""
"2006","Employed","in school","","","","","","","","","","","","","",""
"2006","Employed","inadequately","","","","","","","","","","","","","",""
"2006","Employed","middle vocational","","","","","","","","","","","","","",""
"2006","Employed","vocational + Abi","","","","","","","","","","","","","",""
"2006","Not Employed","general elemantary","","","","","","","","","","","","","",""
"2006","Not Employed","higher education","","","","","","","","","","","","","",""
"2006","Not Employed","higher vocational","","","","","","","","","","","","","",""
"2006","Not Employed","in school","","","","","","","","","","","","","",""
"2006","Not Employed","inadequately","","","","","","","","","","","","","",""
"2006","Not Employed","middle vocational","","","","","","","","","","","","","",""
"2006","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"2007","Employed","general elemantary","4.55","5","890","3","4","5","5","5","4.49","4.61","2","5","5","5"
"2007","Employed","higher education","3.95","4","3224","2","3","5","5","5","3.91","3.99","2","5","4","4"
"2007","Employed","higher vocational","4.14","4","1038","2","4","5","5","5","4.08","4.2","2","5","4","5"
"2007","Employed","in school","3.66","4","51","2","2","5","5","5","3.31","4.01","2","5","3","4"
"2007","Employed","inadequately","4.63","5","81","3","5","5","5","5","4.45","4.81","2","5","5","5"
"2007","Employed","middle vocational","4.37","5","6181","3","4","5","5","5","4.35","4.39","2","5","5","5"
"2007","Employed","vocational + Abi","4.21","4","873","3","4","5","5","5","4.14","4.28","2","5","4","5"
"2007","Not Employed","general elemantary","4.66","5","1306","4","5","5","5","5","4.62","4.7","2","5","5","5"
"2007","Not Employed","higher education","3.94","4","1149","2","3","5","5","5","3.87","4.01","2","5","4","4"
"2007","Not Employed","higher vocational","4.29","5","491","3","4","5","5","5","4.2","4.38","2","5","4","5"
"2007","Not Employed","in school","3.64","4","290","2","2","5","5","5","3.5","3.78","2","5","3","4"
"2007","Not Employed","inadequately","4.84","5","136","5","5","5","5","5","4.75","4.93","2","5","5","5"
"2007","Not Employed","middle vocational","4.47","5","4091","3","4","5","5","5","4.44","4.5","2","5","5","5"
"2007","Not Employed","vocational + Abi","4.04","4","296","2","3","5","5","5","3.92","4.16","2","5","4","5"
"2008","Employed","general elemantary","4.39","5","831","3","4","5","5","5","4.32","4.46","1","5","5","5"
"2008","Employed","higher education","3.74","4","3041","2","3","5","5","5","3.7","3.78","1","5","4","4"
"2008","Employed","higher vocational","3.94","4","962","2","3","5","5","5","3.87","4.01","1","5","4","4"
"2008","Employed","in school","2.9","2.77","65","1","2","4","5","5","2.55","3.25","1","5","2","4"
"2008","Employed","inadequately","4.74","5","70","4","5","5","5","5","4.56","4.92","1","5","5","5"
"2008","Employed","middle vocational","4.25","5","5894","2","4","5","5","5","4.22","4.28","1","5","5","5"
"2008","Employed","vocational + Abi","3.96","4","840","2","3","5","5","5","3.88","4.04","1","5","4","4"
