"year","age_gr","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2009","66 and older","Not Working","4.44","5","3848","3","4","5","5","5","4.41","4.47","2","5","5","5"
"2009","66 and older","Part Time","4","4","247","2","3","5","5","5","3.86","4.14","2","5","4","5"
"2010","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2010","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2010","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2010","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2010","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2010","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2010","66 and older","Full Time","","","","","","","","","","","","","",""
"2010","66 and older","Not Working","","","","","","","","","","","","","",""
"2010","66 and older","Part Time","","","","","","","","","","","","","",""
"2011","16-34 y.","Full Time","4.19","5","2496","2","4","5","5","5","4.15","4.23","2","5","5","5"
"2011","16-34 y.","Not Working","3.96","4","2127","2","3","5","5","5","3.91","4.01","2","5","4","5"
"2011","16-34 y.","Part Time","4.03","4","2186","2","3","5","5","5","3.98","4.08","2","5","4","5"
"2011","35-65 y.","Full Time","4.27","5","8046","2","4","5","5","5","4.25","4.29","2","5","5","5"
"2011","35-65 y.","Not Working","4.37","5","3200","3","4","5","5","5","4.33","4.41","2","5","5","5"
"2011","35-65 y.","Part Time","4.24","5","5145","2","4","5","5","5","4.21","4.27","2","5","5","5"
"2011","66 and older","Full Time","4.38","5","62","3","4","5","5","5","4.11","4.65","2","5","4","5"
"2011","66 and older","Not Working","4.43","5","4760","3","4","5","5","5","4.4","4.46","2","5","5","5"
"2011","66 and older","Part Time","4.11","5","321","2","4","5","5","5","3.99","4.23","2","5","4","5"
"2012","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2012","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2012","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2012","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2012","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2012","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2012","66 and older","Full Time","","","","","","","","","","","","","",""
"2012","66 and older","Not Working","","","","","","","","","","","","","",""
"2012","66 and older","Part Time","","","","","","","","","","","","","",""
"2013","16-34 y.","Full Time","3.9","4","2165","2","3","5","5","5","3.85","3.95","1","5","4","4"
"2013","16-34 y.","Not Working","3.48","4","1619","1","2","5","5","5","3.41","3.55","1","5","4","4"
"2013","16-34 y.","Part Time","3.6","4","1861","2","3","5","5","5","3.54","3.66","1","5","4","4"
"2013","35-65 y.","Full Time","4.03","4","7417","2","4","5","5","5","4","4.06","1","5","4","4"
"2013","35-65 y.","Not Working","4.16","5","2621","2","4","5","5","5","4.11","4.21","1","5","4","5"
"2013","35-65 y.","Part Time","3.98","4","4879","2","3","5","5","5","3.95","4.01","1","5","4","4"
"2013","66 and older","Full Time","3.89","4","56","2","3","5","5","5","3.57","4.21","1","5","4","5"
"2013","66 and older","Not Working","4.26","5","4526","2","4","5","5","5","4.23","4.29","1","5","5","5"
"2013","66 and older","Part Time","3.93","4","378","2","3","5","5","5","3.8","4.06","1","5","4","4"
"2014","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2014","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2014","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2014","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2014","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2014","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2014","66 and older","Full Time","","","","","","","","","","","","","",""
"2014","66 and older","Not Working","","","","","","","","","","","","","",""
