"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1994","Part Time","Other degree","1896.92","1762.36","153","818","1212","2454","3068","5113","1731.59","2062.25","256","5778","1790","2045"
"1994","Part Time","secondary school degree","2083.12","1998.16","678","920","1432","2556","3579","5113","2012.85","2153.39","205","6136","1841","2045"
"1995","Full Time","college entrance qualification","2768.28","2556","960","1304","1846","3323","4346","7669","2679.52","2857.04","511","23008","2556","2659"
"1995","Full Time","lower secondary degree","2144.23","2045","1912","1125","1534","2556","3196","5113","2100.97","2187.49","256","17895","2004","2045"
"1995","Full Time","no degree/no degree yet","2119.23","1943","183","1278","1432","2556","3323","4602","1984.4","2254.06","614","5113","1892","2250"
"1995","Full Time","Other degree","2051.03","1943","532","1023","1432","2352","2914","6136","1958.53","2143.53","399","16873","2045","2066"
"1995","Full Time","secondary school degree","2293.88","2096","1923","1176","1546","2761","3502","5369","2250.41","2337.35","327","10226","2045","2147"
"1995","Not Working","college entrance qualification","2134.75","2045","457","767","1432","2608","3579","5409","2032.99","2236.51","205","9203","1943","2045"
"1995","Not Working","lower secondary degree","1555.67","1370.03","2330","665","980","1841","2556","4960","1516.3","1595.04","72","17895","1432","1534"
"1995","Not Working","no degree/no degree yet","2338.99","2045","530","869","1278","2965","3835","7669","2214.51","2463.47","353","23008","1841","2045"
"1995","Not Working","Other degree","1406.8","1278","372","532","920","1769","2301","4268","1321.76","1491.84","409","5113","1432","1534"
"1995","Not Working","secondary school degree","1860.19","1534","787","869","1176","2250","3068","5113","1785.39","1934.99","297","16361","1605","1769"
"1995","Part Time","college entrance qualification","2427.42","2045","402","920","1278","3068","4602","7669","2286.1","2568.74","205","10226","2045","2480"
"1995","Part Time","lower secondary degree","1967.42","1790","903","859","1278","2505","3068","5113","1898.2","2036.64","290","16873","1790","1943"
"1995","Part Time","no degree/no degree yet","1866.45","1783.93","102","951","1432","2301","2838","4090","1693.29","2039.61","511","4602","1738","2045"
"1995","Part Time","Other degree","1729.38","1534","228","695","1074","2147","2659","4602","1613.83","1844.93","245","5624","1687","1943"
"1995","Part Time","secondary school degree","2185.03","2040.11","743","1023","1534","2761","3323","5471","2104.66","2265.4","358","14061","1892","2045"
"1996","Full Time","college entrance qualification","2732.98","2556","978","1278","1790","3323","4397","7158","2654.73","2811.23","326","10993","2556","2710"
"1996","Full Time","lower secondary degree","2141.07","2045","1836","1074","1534","2556","3323","5113","2098.21","2183.93","87","12271","2045","2096"
"1996","Full Time","no degree/no degree yet","2000.05","1790","144","1227","1498","2556","2761","4090","1866.47","2133.63","358","5113","1892","2250"
"1996","Full Time","Other degree","2036.94","1892","434","1125","1380","2403","3068","6033","1951.9","2121.98","307","6391","1892","2045"
"1996","Full Time","secondary school degree","2333.49","2147","1939","1125","1534","2812","3579","6136","2279.29","2387.69","307","25565","2147","2250"
"1996","Not Working","college entrance qualification","2140.47","2045","412","767","1341","2761","3477","5113","2032.96","2247.98","256","8692","2045","2301"
"1996","Not Working","lower secondary degree","1554.64","1382.8","2277","716","1023","1892","2556","4346","1517.86","1591.42","78","15339","1501","1534"
"1996","Not Working","no degree/no degree yet","2433.75","2197.5","518","869","1380","3017","4090","8181","2298.88","2568.62","271","25565","1943","2250"
"1996","Not Working","Other degree","1480.85","1380","362","577","920","1935","2301","4193","1393.82","1567.88","256","5880","1534","1636"
"1996","Not Working","secondary school degree","1877.17","1687","748","920","1227","2301","3068","5113","1807.67","1946.67","256","10993","1738","1841"
"1996","Part Time","college entrance qualification","2458.99","2250","421","869","1534","3068","4090","7158","2333.35","2584.63","297","10226","2147","2429"
"1996","Part Time","lower secondary degree","2034.49","1790","917","920","1278","2454","3170","5794","1947.75","2121.23","256","25565","1790","1994"
"1996","Part Time","no degree/no degree yet","2023.48","1994","130","1023","1214","2556","3068","5726","1851.96","2195","409","5726","1841","2080"
"1996","Part Time","Other degree","1892.92","1790","251","818","1278","2301","2659","4602","1729.36","2056.48","409","17895","1841","2045"
"1996","Part Time","secondary school degree","2178.94","2045","772","1023","1534","2608","3477","5113","2110.04","2247.84","238","9203","1994","2045"
