"year","e11102","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1992","Employed","(1a) inadequately completed","1782.16","1784","398","920","1278","2158","2556","4755","1698.34","1865.98","358","5624","1790","2045"
"1992","Employed","(1b) general elementary school","1846.88","1740.77","1165","818","1227","2301","3068","4908","1794.84","1898.92","0","5624","1790","1841"
"1992","Employed","(1c) basic vocational qualification","1917.79","1790","2780","929","1278","2352","3068","5113","1884.08","1951.5","256","8181","1738","1790"
"1992","Employed","(2a) intermediate vocational","1915.09","1738","2050","869","1227","2378","3068","5113","1874.41","1955.77","256","10737","1534","1636"
"1992","Employed","(2b) intermediate general qualification","1915.98","1841","327","920","1227","2301","3068","6713","1816.62","2015.34","256","6713","1738","1943"
"1992","Employed","(2c_gen) general maturity certificate","2009.1","1790","188","869","1329","2454","3528","4857","1879.5","2138.7","383","4857","1790","2045"
"1992","Employed","(2c_voc) vocational maturity certificate","2102.38","2045","378","920","1329","2556","3426","5624","1998.66","2206.1","307","10226","1907","2053"
"1992","Employed","(3a) lower tertiary education","1958.75","1787.01","701","946","1314","2505","3068","5113","1894.93","2022.57","205","10226","1636","1790"
"1992","Employed","(3b) higher tertiary education","2511.34","2348.36","645","1074","1636","3068","4090","6647","2424.21","2598.47","307","8692","2096","2301"
"1992","Not Employed","(0) in school","2482.32","2270.48","121","1334","1744","3068","4014","5624","2292.37","2672.27","511","6136","2045","2414"
"1992","Not Employed","(1a) inadequately completed","1559.79","1331.02","318","572","992","2045","2556","4704","1457.28","1662.3","225","5471","1534","1718"
"1992","Not Employed","(1b) general elementary school","1240.78","1023","1049","511","725","1534","2147","4090","1189.44","1292.12","179","6391","1176","1278"
"1992","Not Employed","(1c) basic vocational qualification","1377.81","1227","1358","593","869","1764","2301","4090","1335.42","1420.2","128","7669","1278","1329"
"1992","Not Employed","(2a) intermediate vocational","1664.83","1500.1","447","665","1023","2045","2659","5113","1578.04","1751.62","245","8692","1509","1636"
"1992","Not Employed","(2b) intermediate general qualification","1761.92","1576.05","196","767","1023","2045","2940","6647","1620.09","1903.75","277","7669","1585","1794"
"1992","Not Employed","(2c_gen) general maturity certificate","2038.01","1811.77","175","585","1278","2812","3646","6136","1883.32","2192.7","358","6647","1687","2045"
"1992","Not Employed","(2c_voc) vocational maturity certificate","1761.1","1635.37","127","693","1176","2301","2863","4090","1586.57","1935.63","205","5624","1432","1892"
"1992","Not Employed","(3a) lower tertiary education","1571.76","1278","149","644","920","1943","2863","4857","1431.69","1711.83","353","5113","1117","1329"
"1992","Not Employed","(3b) higher tertiary education","1823.55","1790","113","767","1023","2454","3068","4346","1659.18","1987.92","358","4397","1534","1943"
"1993","Employed","(0) in school","","","","","","","","","","","","","",""
"1993","Employed","(1a) inadequately completed","1874.84","1841","354","869","1278","2301","2863","4857","1776.53","1973.15","256","7159","1892","2045"
"1993","Employed","(1b) general elementary school","1875.74","1738","1112","869","1278","2301","3068","4602","1820.58","1930.9","256","6391","1790","1943"
"1993","Employed","(1c) basic vocational qualification","2046.18","1892","2594","1023","1380","2556","3272","5113","2010.69","2081.67","256","7823","1841","1943"
"1993","Employed","(2a) intermediate vocational","2093.71","1951.86","1995","1023","1406","2556","3323","5113","2052.91","2134.51","220","9459","1841","1943"
"1993","Employed","(2b) intermediate general qualification","1966.92","1833.66","306","818","1355","2490","3119","4893","1866.86","2066.98","284","5113","1790","2045"
"1993","Employed","(2c_gen) general maturity certificate","2176.55","1994","230","971","1432","2761","3579","6136","2042.57","2310.53","307","6136","1943","2199"
"1993","Employed","(2c_voc) vocational maturity certificate","2171.55","2039.14","384","1023","1432","2659","3579","4960","2055.68","2287.42","256","15339","2045","2158"
"1993","Employed","(3a) lower tertiary education","2302.55","2138.83","643","1227","1585","2659","3513","6136","2222.63","2382.47","256","15339","2045","2112"
"1993","Employed","(3b) higher tertiary education","2779.36","2562.03","623","1278","1994","3426","4397","6442","2684.45","2874.27","588","11504","2556","2659"
"1993","Not Employed","(0) in school","2828.52","2556","111","1534","1892","3303","4397","7669","2596.32","3060.72","793","7669","2147","2659"
