"plh0185","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Often","2016","West Germany","Male","335","0.0400208091139741","0.0359229955026795","0.0441186227252688","4"
"Often","2016","West Germany","Female","895","0.0934749235188315","0.0878773644115209","0.0990724826261421","4"
"Rarely","2016","West Germany","Male","3031","0.349500736314402","0.339532328178791","0.359469144450012","2"
"Rarely","2016","East Germany","Female","1029","0.352135909524058","0.334323061368521","0.369948757679596","2"
"Rarely","2016","East Germany","Male","848","0.388541968040234","0.36859606612128","0.408487869959188","2"
"Rarely","2016","West Germany","Female","3649","0.344567520403719","0.33542928448089","0.353705756326547","2"
"Sometimes","2016","West Germany","Male","1086","0.134353027827212","0.127223307488854","0.141482748165569","3"
"Sometimes","2016","East Germany","Female","607","0.242476641170707","0.226493239183206","0.258460043158207","3"
"Sometimes","2016","East Germany","Male","265","0.119110810564196","0.10585556998768","0.132366051140713","3"
"Sometimes","2016","West Germany","Female","2300","0.225382542613233","0.217347929022124","0.233417156204342","3"
"Very often","2016","East Germany","Male","15","","","","5"
"Very often","2016","West Germany","Male","74","0.00892241683030985","0.00695646243342818","0.0108883712271915","5"
"Very often","2016","East Germany","Female","63","0.0197890668705508","0.0145949862887609","0.0249831474523408","5"
"Very often","2016","West Germany","Female","228","0.021159433616765","0.0183920509464923","0.0239268162870376","5"
"Very rare","2016","West Germany","Male","4263","0.467203009914103","0.456772343504436","0.477633676323769","1"
"Very rare","2016","East Germany","Female","810","0.280909462034887","0.264148025962218","0.297670898107556","1"
"Very rare","2016","East Germany","Male","1077","0.423789880359786","0.403568205839581","0.44401155487999","1"
"Very rare","2016","West Germany","Female","3317","0.315415579847452","0.306480132621437","0.324351027073467","1"
"Often","2017","West Germany","Male","328","0.0393870443967765","0.0355105348024794","0.0432635539910736","4"
"Often","2017","East Germany","Female","246","0.0848771083032794","0.074958588082376","0.0947956285241828","4"
"Often","2017","East Germany","Male","89","0.0444874287170846","0.0365486949132303","0.0524261625209388","4"
"Often","2017","West Germany","Female","870","0.0859432520021463","0.0807644930110242","0.0911220109932684","4"
"Rarely","2017","West Germany","Male","3277","0.349148563094514","0.339648291729495","0.358648834459533","2"
"Rarely","2017","East Germany","Female","1204","0.395812396193773","0.378408660190228","0.413216132197319","2"
"Rarely","2017","East Germany","Male","903","0.347116147437097","0.328785839671884","0.365446455202309","2"
"Rarely","2017","West Germany","Female","3989","0.348434492571937","0.339630638357307","0.357238346786567","2"
"Sometimes","2017","West Germany","Male","1140","0.126392653601564","0.11977035130298","0.133014955900149","3"
"Sometimes","2017","East Germany","Female","622","0.219916528447456","0.205176057486292","0.23465699940862","3"
"Sometimes","2017","East Germany","Male","299","0.138408864935805","0.125112070676235","0.151705659195374","3"
"Sometimes","2017","West Germany","Female","2357","0.218182069512023","0.210550821451292","0.225813317572754","3"
"Very often","2017","West Germany","Male","86","0.00713521053642967","0.00545780374177955","0.00881261733107978","5"
"Very often","2017","East Germany","Female","56","0.0153676193587595","0.0109898564201592","0.0197453822973599","5"
"Very often","2017","East Germany","Male","22","","","","5"
"Very often","2017","West Germany","Female","242","0.0199029522770722","0.0173223176485351","0.0224835869056093","5"
"Very rare","2017","West Germany","Male","4841","0.477936528370715","0.467981632699362","0.487891424042068","1"
"Very rare","2017","East Germany","Female","905","0.284026347696731","0.267977652796766","0.300075042596696","1"
"Very rare","2017","East Germany","Male","1278","0.459279593185934","0.440091167734536","0.478468018637332","1"
"Very rare","2017","West Germany","Female","3794","0.327537233636822","0.318865664539005","0.336208802734639","1"
"Often","2018","West Germany","Male","307","0.0368348342495018","0.0330015513167162","0.0406681171822875","4"
"Often","2018","East Germany","Female","208","0.0737059217955853","0.064318263733149","0.0830935798580216","4"
"Often","2018","East Germany","Male","82","0.0377073538730872","0.0302921051801657","0.0451226025660087","4"
"Often","2018","West Germany","Female","814","0.0740963195217192","0.0691757531098601","0.0790168859335783","4"
"Rarely","2018","West Germany","Female","3852","0.359098121238021","0.350085809344545","0.368110433131497","2"
"Rarely","2018","West Germany","Male","2980","0.328325572356588","0.318768543576518","0.337882601136659","2"
"Rarely","2018","East Germany","Female","1163","0.385031205744176","0.367548601295639","0.402513810192713","2"
"Rarely","2018","East Germany","Male","850","0.37348509398154","0.354654611403385","0.392315576559696","2"
"Sometimes","2018","West Germany","Female","2173","0.205680153263282","0.198086901932968","0.213273404593595","3"
"Sometimes","2018","West Germany","Male","1139","0.130934103012987","0.124069050326719","0.137799155699255","3"
"Sometimes","2018","East Germany","Female","585","0.205268380032091","0.190757194281176","0.219779565783006","3"
"Sometimes","2018","East Germany","Male","295","0.120183726585402","0.10752535216128","0.132842101009524","3"
"Very often","2018","East Germany","Female","69","0.0292103905025061","0.0231602861042908","0.0352604949007215","5"
"Very often","2018","East Germany","Male","17","","","","5"
"Very often","2018","West Germany","Female","242","0.0239240755868396","0.0210533395729714","0.0267948116007077","5"
"Very often","2018","West Germany","Male","66","0.00713459588143477","0.00542173926200896","0.00884745250086059","5"
"Very rare","2018","West Germany","Female","3804","0.337201330390139","0.328320177878509","0.346082482901768","1"
"Very rare","2018","West Germany","Male","4783","0.496770894499488","0.486595480709284","0.506946308289693","1"
"Very rare","2018","East Germany","Female","951","0.306784101925641","0.29021563559138","0.323352568259902","1"
"Very rare","2018","East Germany","Male","1291","0.462337590978816","0.442929020505534","0.481746161452098","1"
"Often","2019","West Germany","Female","785","0.0707670989660597","0.0658703391065906","0.0756638588255288","4"
"Often","2019","West Germany","Male","297","0.0342885931941244","0.0306553187047062","0.0379218676835425","4"
"Often","2019","East Germany","Female","214","0.0835878097699464","0.0735440393263462","0.0936315802135466","4"
"Often","2019","East Germany","Male","84","0.0401161232096091","0.032647678712087","0.0475845677071313","4"
"Rarely","2019","East Germany","Male","892","0.343403080612565","0.325330804843742","0.361475356381388","2"
"Rarely","2019","West Germany","Female","3672","0.35727254276644","0.348122058720195","0.366423026812686","2"
"Rarely","2019","West Germany","Male","3131","0.345157191259453","0.335664776853046","0.35464960566586","2"
"Rarely","2019","East Germany","Female","1104","0.372588951401023","0.355043241529151","0.390134661272895","2"
"Sometimes","2019","West Germany","Female","2045","0.203729993335945","0.196038892856016","0.211421093815874","3"
"Sometimes","2019","West Germany","Male","1075","0.11600140398709","0.109607632570251","0.12239517540393","3"
"Sometimes","2019","East Germany","Female","558","0.207870560572916","0.193144911481591","0.222596209664242","3"
"Sometimes","2019","East Germany","Male","293","0.118443716980407","0.106145493869257","0.130741940091557","3"
"Very often","2019","West Germany","Female","225","0.0243116552701288","0.0213706646182395","0.0272526459220181","5"
"Very often","2019","West Germany","Male","70","0.00736506997239478","0.00565787583463852","0.00907226411015104","5"
"Very often","2019","East Germany","Female","51","0.0238105124443799","0.0182778864760001","0.0293431384127597","5"
"Very often","2019","East Germany","Male","14","","","","5"
"Very rare","2019","West Germany","Female","3808","0.343918709661426","0.334848077637382","0.35298934168547","1"
"Very rare","2019","West Germany","Male","5063","0.497187741586938","0.487204701153764","0.507170782020111","1"
"Very rare","2019","East Germany","Female","990","0.312142165811735","0.295326834054114","0.328957497569355","1"
"Very rare","2019","East Germany","Male","1369","0.491398943824814","0.472372086159181","0.510425801490447","1"
