"year","bula_h","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1985","Schleswig-Holstein","(1b) general elementary school","7.32","8","71","6.77","7.87","4","5","9","10"
"1985","Schleswig-Holstein","(1c) basic vocational qualification","7.38","8","143","7.04","7.72","4","6","9","10"
"1985","Schleswig-Holstein","(2a) intermediate vocational","7.6","8","63","7.03","8.17","5","6","9","10"
"1985","Schleswig-Holstein","(2b) intermediate general qualification","","","","","","","","",""
"1985","Schleswig-Holstein","(2c_gen) general maturity certificate","","","","","","","","",""
"1985","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1985","Schleswig-Holstein","(3a) lower tertiary education","","","","","","","","",""
"1985","Schleswig-Holstein","(3b) higher tertiary education","","","","","","","","",""
"1985","Thuringia","(0) in school","","","","","","","","",""
"1985","Thuringia","(1a) inadequately completed","","","","","","","","",""
"1985","Thuringia","(1b) general elementary school","","","","","","","","",""
"1985","Thuringia","(1c) basic vocational qualification","","","","","","","","",""
"1985","Thuringia","(2a) intermediate vocational","","","","","","","","",""
"1985","Thuringia","(2b) intermediate general qualification","","","","","","","","",""
"1985","Thuringia","(2c_gen) general maturity certificate","","","","","","","","",""
"1985","Thuringia","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1985","Thuringia","(3a) lower tertiary education","","","","","","","","",""
"1985","Thuringia","(3b) higher tertiary education","","","","","","","","",""
"1986","Baden-Württemberg","(0) in school","7.84","8","32","7.39","8.29","6","7","9","9"
"1986","Baden-Württemberg","(1a) inadequately completed","7.1","7.59","238","6.86","7.34","3","6","9","10"
"1986","Baden-Württemberg","(1b) general elementary school","7.37","8","513","7.21","7.53","5","6","9","10"
"1986","Baden-Württemberg","(1c) basic vocational qualification","7.54","8","662","7.4","7.68","5","7","9","10"
"1986","Baden-Württemberg","(2a) intermediate vocational","7.62","8","197","7.38","7.86","5","7","9","10"
"1986","Baden-Württemberg","(2b) intermediate general qualification","7.79","8","84","7.43","8.15","5","7","9","10"
"1986","Baden-Württemberg","(2c_gen) general maturity certificate","7.91","8","52","7.52","8.3","6","7","9","9"
"1986","Baden-Württemberg","(2c_voc) vocational maturity certificate","7.26","8","72","6.77","7.75","5","6","9","10"
