"ple0181","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Once a month or less","2017","Couple + C. GT 16 ","no migration background","","","",""
"Once a month or less","2017","Couple + C. GT 16 ","direct migration background","","","",""
"Once a month or less","2017","Couple + C. GT 16 ","indirect migration background","","","",""
"Once a month or less","2017","Couple + C. LE and GT 16","no migration background","","","",""
"Once a month or less","2017","Couple + C. LE and GT 16","direct migration background","","","",""
"Once a month or less","2017","Couple + C. LE and GT 16","indirect migration background","","","",""
"Never","2017","1-pers.-HH","no migration background","","","",""
"Never","2017","1-pers.-HH","direct migration background","","","",""
"Never","2017","1-pers.-HH","indirect migration background","","","",""
"Never","2017","(Married) couple without C. ","no migration background","","","",""
"Never","2017","(Married) couple without C. ","direct migration background","","","",""
"Never","2017","(Married) couple without C. ","indirect migration background","","","",""
"Never","2017","Single parent ","no migration background","","","",""
"Never","2017","Single parent ","direct migration background","","","",""
"Never","2017","Single parent ","indirect migration background","","","",""
"Never","2017","Couple + C. LE 16 ","no migration background","","","",""
"Never","2017","Couple + C. LE 16 ","direct migration background","","","",""
"Never","2017","Couple + C. LE 16 ","indirect migration background","","","",""
"Never","2017","Couple + C. GT 16 ","no migration background","","","",""
"Never","2017","Couple + C. GT 16 ","direct migration background","","","",""
"Never","2017","Couple + C. GT 16 ","indirect migration background","","","",""
"Never","2017","Couple + C. LE and GT 16","no migration background","","","",""
"Never","2017","Couple + C. LE and GT 16","direct migration background","","","",""
"Never","2017","Couple + C. LE and GT 16","indirect migration background","","","",""
"Daily","2018","1-pers.-HH","no migration background","55","0.0129649057881526","0.00915856962600287","0.0167712419503023"
"Daily","2018","1-pers.-HH","direct migration background","10","","",""
"Daily","2018","1-pers.-HH","indirect migration background","18","","",""
"Daily","2018","(Married) couple without C. ","no migration background","89","0.0139739126711102","0.0111543652019901","0.0167934601402304"
"Daily","2018","(Married) couple without C. ","direct migration background","29","","",""
"Daily","2018","(Married) couple without C. ","indirect migration background","10","","",""
"Daily","2018","Single parent ","no migration background","32","0.0161613941121117","0.0101263159323004","0.0221964722919231"
"Daily","2018","Single parent ","direct migration background","16","","",""
"Daily","2018","Single parent ","indirect migration background","15","","",""
"Daily","2018","Couple + C. LE 16 ","no migration background","80","0.025689848950409","0.02049940857989","0.0308802893209281"
"Daily","2018","Couple + C. LE 16 ","direct migration background","81","0.0546178734132164","0.0428280529576691","0.0664076938687637"
"Daily","2018","Couple + C. LE 16 ","indirect migration background","20","","",""
"Daily","2018","Couple + C. GT 16 ","no migration background","58","0.0301502147283611","0.0231556677584566","0.0371447616982655"
"Daily","2018","Couple + C. GT 16 ","direct migration background","20","","",""
"Daily","2018","Couple + C. GT 16 ","indirect migration background","11","","",""
"Daily","2018","Couple + C. LE and GT 16","no migration background","42","0.0367271320618222","0.0268639270510475","0.046590337072597"
"Daily","2018","Couple + C. LE and GT 16","direct migration background","29","","",""
"Daily","2018","Couple + C. LE and GT 16","indirect migration background","32","0.0616442652361684","0.0336231788033763","0.0896653516689604"
"Four to six days a week","2018","1-pers.-HH","no migration background","239","0.0702239527981453","0.0616261402186705","0.07882176537762"
"Four to six days a week","2018","1-pers.-HH","direct migration background","40","0.0874605490486765","0.0622398862246731","0.11268121187268"
"Four to six days a week","2018","1-pers.-HH","indirect migration background","18","","",""
"Four to six days a week","2018","(Married) couple without C. ","no migration background","517","0.0824145102557861","0.075809077050129","0.0890199434614432"
"Four to six days a week","2018","(Married) couple without C. ","direct migration background","130","0.141359638005667","0.119723149231557","0.162996126779777"
"Four to six days a week","2018","(Married) couple without C. ","indirect migration background","27","","",""
"Four to six days a week","2018","Single parent ","no migration background","187","0.106249555744291","0.0915008722268334","0.120998239261749"
"Four to six days a week","2018","Single parent ","direct migration background","43","0.0845222274851088","0.0534059043890673","0.11563855058115"
"Four to six days a week","2018","Single parent ","indirect migration background","33","0.111934658056255","0.0703668902633523","0.153502425849158"
"Four to six days a week","2018","Couple + C. LE 16 ","no migration background","320","0.0999299526932021","0.090090729490342","0.109769175896062"
"Four to six days a week","2018","Couple + C. LE 16 ","direct migration background","218","0.160800607040099","0.141741062117537","0.179860151962661"
"Four to six days a week","2018","Couple + C. LE 16 ","indirect migration background","62","0.14944219851613","0.116317142166087","0.182567254866174"
"Four to six days a week","2018","Couple + C. GT 16 ","no migration background","202","0.102790715284479","0.0903688740875511","0.115212556481407"
"Four to six days a week","2018","Couple + C. GT 16 ","direct migration background","78","0.152023894339868","0.119564015366683","0.184483773313054"
"Four to six days a week","2018","Couple + C. GT 16 ","indirect migration background","38","0.12738653170033","0.0834298736048422","0.171343189795818"
"Four to six days a week","2018","Couple + C. LE and GT 16","no migration background","123","0.0974838948019587","0.0819298335668331","0.113037956037084"
"Four to six days a week","2018","Couple + C. LE and GT 16","direct migration background","81","0.127569811862995","0.0984732481649229","0.156666375561068"
"Four to six days a week","2018","Couple + C. LE and GT 16","indirect migration background","53","0.293144664213759","0.2401098391819","0.346179489245618"
"Two to three days a week","2018","1-pers.-HH","no migration background","1163","0.338619017747573","0.322695548796792","0.354542486698354"
"Two to three days a week","2018","1-pers.-HH","direct migration background","213","0.440356943286971","0.396038698073621","0.484675188500321"
"Two to three days a week","2018","1-pers.-HH","indirect migration background","88","0.43381292241919","0.367256570701389","0.50036927413699"
