"year","e11103","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1996","Full Time","general elemantary","6.05","6","665","3","5","8","8","10","5.89","6.21","0","10","6","7"
"1996","Full Time","higher education","6.86","7","1081","4","6","8","9","10","6.74","6.98","0","10","7","7"
"1996","Full Time","higher vocational","6.36","7","440","4","5","8","9","10","6.17","6.55","0","10","6","7"
"1996","Full Time","in school","","","","","","","","","","","","","",""
"1996","Full Time","inadequately","6","6","133","4","5","8","8","10","5.64","6.36","0","10","6","7"
"1996","Full Time","middle vocational","6.25","7","3015","3","5","8","9","10","6.17","6.33","0","10","6","7"
"1996","Full Time","vocational + Abi","6.26","7","250","3","5","8","8","10","6.02","6.5","0","10","6","7"
"1996","Not Working","general elemantary","6.22","7","1166","3","5","8","9","10","6.08","6.36","0","10","6","7"
"1996","Not Working","higher education","6.56","7","349","3","5","8","10","10","6.31","6.81","0","10","6","7"
"1996","Not Working","higher vocational","6.62","7","176","3","5","8","9","10","6.26","6.98","1","10","7","8"
"1996","Not Working","in school","6.86","7","211","4","5","8","10","10","6.56","7.16","0","10","6","7"
"1996","Not Working","inadequately","5.3","5","244","2","4","7","9","10","5.01","5.59","0","10","5","6"
"1996","Not Working","middle vocational","6.46","7","2161","3","5","8","9","10","6.36","6.56","0","10","6","7"
"1996","Not Working","vocational + Abi","5.65","6","116","2","3","8","9","10","5.17","6.13","0","10","5","7"
"1996","Part Time","general elemantary","5.99","6","509","3","5","8","9","10","5.78","6.2","0","10","6","6"
"1996","Part Time","higher education","6.44","7","333","3","5","8","9","10","6.2","6.68","0","10","6","7"
"1996","Part Time","higher vocational","6.73","7","140","4","5","8","10","10","6.38","7.08","0","10","7","7"
"1996","Part Time","in school","","","","","","","","","","","","","",""
"1996","Part Time","inadequately","5.76","5.89","112","3","5","8","8","10","5.36","6.16","0","10","5","7"
"1996","Part Time","middle vocational","6.12","7","1380","3","5","8","9","10","6","6.24","0","10","6","6"
"1996","Part Time","vocational + Abi","5.98","6","108","3","4","8","10","10","5.52","6.44","0","10","6","7"
"1997","Full Time","general elemantary","5.97","6","659","3","5","8","8","10","5.81","6.13","0","10","6","6"
"1997","Full Time","higher education","6.75","7","1098","4","6","8","9","10","6.64","6.86","0","10","7","7"
"1997","Full Time","higher vocational","6.19","7","440","3","5","8","9","10","5.99","6.39","0","10","6","7"
"1997","Full Time","in school","","","","","","","","","","","","","",""
"1997","Full Time","inadequately","5.6","5","121","3","4","7","8","10","5.24","5.96","0","10","6","7"
"1997","Full Time","middle vocational","6.11","6","2870","3","5","8","8","10","6.03","6.19","0","10","6","6"
"1997","Full Time","vocational + Abi","6.26","7","241","4","5","8","8","9","6","6.52","0","10","6","7"
"1997","Not Working","general elemantary","5.96","6","1165","3","4","8","9","10","5.82","6.1","0","10","6","6"
"1997","Not Working","higher education","6.68","7","361","4","5","8","10","10","6.45","6.91","0","10","6","7"
"1997","Not Working","higher vocational","6.2","6","181","3","5","8","9","10","5.87","6.53","0","10","6","7"
"1997","Not Working","in school","6.6","7","238","3","5","8","9","10","6.3","6.9","0","10","6","7"
"1997","Not Working","inadequately","4.93","5","242","2","3","6","8","10","4.65","5.21","0","10","5","5"
