"plh0034","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"No worries","2014","general elemantary","1032","0.323164458830323","0.306525654404902","0.339803263255744"
"No worries","2014","middle vocational","2972","0.230879097772179","0.22347316288733","0.238285032657029"
"No worries","2014","vocational + Abi","509","0.228672991606637","0.210452785109003","0.246893198104271"
"No worries","2014","higher vocational","293","0.181524574419722","0.162572503265686","0.200476645573758"
"No worries","2014","higher education","1329","0.21534638492349","0.205113571500766","0.225579198346214"
"Big worries","2015","in school","","","",""
"Big worries","2015","inadequately","","","",""
"Big worries","2015","general elemantary","","","",""
"Big worries","2015","middle vocational","","","",""
"Big worries","2015","vocational + Abi","","","",""
"Big worries","2015","higher vocational","","","",""
"Big worries","2015","higher education","","","",""
"Some worries","2015","in school","","","",""
"Some worries","2015","inadequately","","","",""
"Some worries","2015","general elemantary","","","",""
"Some worries","2015","middle vocational","","","",""
"Some worries","2015","vocational + Abi","","","",""
"Some worries","2015","higher vocational","","","",""
"Some worries","2015","higher education","","","",""
"No worries","2015","in school","","","",""
"No worries","2015","inadequately","","","",""
"No worries","2015","general elemantary","","","",""
"No worries","2015","middle vocational","","","",""
"No worries","2015","vocational + Abi","","","",""
"No worries","2015","higher vocational","","","",""
"No worries","2015","higher education","","","",""
"Big worries","2016","in school","","","",""
"Big worries","2016","inadequately","","","",""
"Big worries","2016","general elemantary","","","",""
"Big worries","2016","middle vocational","","","",""
"Big worries","2016","vocational + Abi","","","",""
"Big worries","2016","higher vocational","","","",""
"Big worries","2016","higher education","","","",""
"Some worries","2016","in school","","","",""
"Some worries","2016","inadequately","","","",""
"Some worries","2016","general elemantary","","","",""
"Some worries","2016","middle vocational","","","",""
"Some worries","2016","vocational + Abi","","","",""
"Some worries","2016","higher vocational","","","",""
"Some worries","2016","higher education","","","",""
"No worries","2016","in school","","","",""
"No worries","2016","inadequately","","","",""
"No worries","2016","general elemantary","","","",""
"No worries","2016","middle vocational","","","",""
"No worries","2016","vocational + Abi","","","",""
"No worries","2016","higher vocational","","","",""
"No worries","2016","higher education","","","",""
"Big worries","2017","in school","","","",""
"Big worries","2017","inadequately","","","",""
"Big worries","2017","general elemantary","","","",""
"Big worries","2017","middle vocational","","","",""
"Big worries","2017","vocational + Abi","","","",""
"Big worries","2017","higher vocational","","","",""
"Big worries","2017","higher education","","","",""
"Some worries","2017","in school","","","",""
"Some worries","2017","inadequately","","","",""
"Some worries","2017","general elemantary","","","",""
"Some worries","2017","middle vocational","","","",""
"Some worries","2017","vocational + Abi","","","",""
"Some worries","2017","higher vocational","","","",""
"Some worries","2017","higher education","","","",""
"No worries","2017","in school","","","",""
"No worries","2017","inadequately","","","",""
"No worries","2017","general elemantary","","","",""
"No worries","2017","middle vocational","","","",""
"No worries","2017","vocational + Abi","","","",""
"No worries","2017","higher vocational","","","",""
"No worries","2017","higher education","","","",""
"Big worries","2018","in school","","","",""
"Big worries","2018","inadequately","","","",""
"Big worries","2018","general elemantary","","","",""
"Big worries","2018","middle vocational","","","",""
"Big worries","2018","vocational + Abi","","","",""
"Big worries","2018","higher vocational","","","",""
"Big worries","2018","higher education","","","",""
"Some worries","2018","in school","","","",""
"Some worries","2018","inadequately","","","",""
"Some worries","2018","general elemantary","","","",""
"Some worries","2018","middle vocational","","","",""
"Some worries","2018","vocational + Abi","","","",""
"Some worries","2018","higher vocational","","","",""
"Some worries","2018","higher education","","","",""
"No worries","2018","in school","","","",""
"No worries","2018","inadequately","","","",""
"No worries","2018","general elemantary","","","",""
"No worries","2018","middle vocational","","","",""
"No worries","2018","vocational + Abi","","","",""
"No worries","2018","higher vocational","","","",""
"No worries","2018","higher education","","","",""
"Big worries","2019","in school","","","",""
"Big worries","2019","inadequately","83","0.265610582364001","0.220239066291017","0.310982098436985"
"Big worries","2019","general elemantary","418","0.21127374275214","0.194755265878924","0.227792219625356"
"Big worries","2019","middle vocational","2352","0.215267379762676","0.207568092966321","0.22296666655903"
"Big worries","2019","vocational + Abi","363","0.1714776031843","0.155481710124328","0.187473496244271"
"Big worries","2019","higher vocational","422","0.230036985669784","0.20976708171473","0.250306889624839"
"Big worries","2019","higher education","1381","0.180962055088142","0.171912255110101","0.190011855066183"
"Some worries","2019","in school","121","0.380234080816664","0.327046226866502","0.433421934766826"
"Some worries","2019","inadequately","155","0.45839347406704","0.40720660610924","0.509580342024839"
"Some worries","2019","general elemantary","1206","0.503755493810893","0.483523352914278","0.523987634707508"
"Some worries","2019","middle vocational","5939","0.548281622288981","0.538959039336311","0.557604205241651"
"Some worries","2019","vocational + Abi","1183","0.568180386407726","0.547159696559655","0.589201076255798"
"Some worries","2019","higher vocational","916","0.545540770391825","0.521559123997213","0.569522416786437"
"Some worries","2019","higher education","3875","0.560646159130949","0.548979544606603","0.572312773655295"
"No worries","2019","in school","180","0.560624106020498","0.506245621654277","0.615002590386719"
"No worries","2019","inadequately","126","0.275995943568959","0.23007410701719","0.321917780120729"
"No worries","2019","general elemantary","722","0.284970763436968","0.266704650437148","0.303236876436787"
"No worries","2019","middle vocational","2656","0.236450997948343","0.228491428716356","0.24441056718033"
"No worries","2019","vocational + Abi","587","0.260342010407974","0.241719412477079","0.278964608338869"
"No worries","2019","higher vocational","318","0.224422243938391","0.204328375825145","0.244516112051636"
"No worries","2019","higher education","1696","0.258391785780909","0.248101680296509","0.268681891265309"
