"m11104","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"At least once a month","1998","Couple + C. LE and GT 16","in school","16","","",""
"At least once a month","1998","Couple + C. LE and GT 16","inadequately","2","","",""
"At least once a month","1998","Couple + C. LE and GT 16","general elemantary","20","","",""
"At least once a month","1998","Couple + C. LE and GT 16","middle vocational","46","0.111512605079792","0.0833537437863114","0.139671466373273"
"At least once a month","1998","Couple + C. LE and GT 16","vocational + Abi","5","","",""
"At least once a month","1998","Couple + C. LE and GT 16","higher vocational","2","","",""
"At least once a month","1998","Couple + C. LE and GT 16","higher education","13","","",""
"At lease once a week","1998","1-pers.-HH","in school","2","","",""
"At lease once a week","1998","1-pers.-HH","inadequately","4","","",""
"At lease once a week","1998","1-pers.-HH","general elemantary","57","0.136075855396916","0.102220426309608","0.169931284484224"
"At lease once a week","1998","1-pers.-HH","middle vocational","247","0.269305875000002","0.239271624175899","0.299340125824105"
"At lease once a week","1998","1-pers.-HH","vocational + Abi","36","0.49999642438673","0.386075831776789","0.613917016996672"
"At lease once a week","1998","1-pers.-HH","higher vocational","36","0.406499267134728","0.302689222288695","0.51030931198076"
"At lease once a week","1998","1-pers.-HH","higher education","105","0.471709491527017","0.407748693484381","0.535670289569654"
"At lease once a week","1998","(Married) couple without C. ","in school","1","","",""
"At lease once a week","1998","(Married) couple without C. ","inadequately","4","","",""
"At lease once a week","1998","(Married) couple without C. ","general elemantary","98","0.159924558281073","0.132170441324579","0.187678675237568"
"At lease once a week","1998","(Married) couple without C. ","middle vocational","530","0.255391568947117","0.23700979170074","0.273773346193494"
"At lease once a week","1998","(Married) couple without C. ","vocational + Abi","45","0.32332996973887","0.24500517611465","0.401654763363089"
"At lease once a week","1998","(Married) couple without C. ","higher vocational","76","0.298311441307123","0.24291210036293","0.353710782251317"
"At lease once a week","1998","(Married) couple without C. ","higher education","227","0.376268740887115","0.338409614060997","0.414127867713233"
"At lease once a week","1998","Single parent ","in school","22","","",""
"At lease once a week","1998","Single parent ","inadequately","3","","",""
"At lease once a week","1998","Single parent ","general elemantary","60","0.377900095756513","0.303918330931039","0.451881860581988"
"At lease once a week","1998","Single parent ","middle vocational","106","0.339084828098282","0.289131367103912","0.389038289092653"
"At lease once a week","1998","Single parent ","vocational + Abi","10","","",""
"At lease once a week","1998","Single parent ","higher vocational","6","","",""
"At lease once a week","1998","Single parent ","higher education","31","0.39548805124565","0.284083903820367","0.506892198670932"
"At lease once a week","1998","Couple + C. LE 16 ","in school","1","","",""
"At lease once a week","1998","Couple + C. LE 16 ","inadequately","7","","",""
"At lease once a week","1998","Couple + C. LE 16 ","general elemantary","55","0.188019766710573","0.148578405124262","0.227461128296884"
"At lease once a week","1998","Couple + C. LE 16 ","middle vocational","439","0.303523230074873","0.281223259800371","0.325823200349376"
"At lease once a week","1998","Couple + C. LE 16 ","vocational + Abi","45","0.313130966381179","0.241045202213069","0.385216730549288"
"At lease once a week","1998","Couple + C. LE 16 ","higher vocational","84","0.329440290959777","0.272309728342631","0.386570853576924"
"At lease once a week","1998","Couple + C. LE 16 ","higher education","174","0.383772426060318","0.34053723286616","0.427007619254475"
"At lease once a week","1998","Couple + C. GT 16 ","in school","89","0.681074943727475","0.60095914129994","0.761190746155011"
"At lease once a week","1998","Couple + C. GT 16 ","inadequately","14","","",""
"At lease once a week","1998","Couple + C. GT 16 ","general elemantary","138","0.293215928071711","0.254200677308439","0.332231178834983"
"At lease once a week","1998","Couple + C. GT 16 ","middle vocational","347","0.320364287087502","0.293841613045467","0.346886961129538"
"At lease once a week","1998","Couple + C. GT 16 ","vocational + Abi","28","","",""
"At lease once a week","1998","Couple + C. GT 16 ","higher vocational","34","0.33883548108914","0.25117814063967","0.42649282153861"
"At lease once a week","1998","Couple + C. GT 16 ","higher education","116","0.40834061551947","0.352812618068849","0.46386861297009"
"At lease once a week","1998","Couple + C. LE and GT 16","in school","83","0.640430218878029","0.562856086933123","0.718004350822935"
"At lease once a week","1998","Couple + C. LE and GT 16","inadequately","3","","",""
"At lease once a week","1998","Couple + C. LE and GT 16","general elemantary","77","0.297617790544321","0.242360903818474","0.352874677270168"
"At lease once a week","1998","Couple + C. LE and GT 16","middle vocational","130","0.331471673082033","0.289359215214609","0.373584130949458"
"At lease once a week","1998","Couple + C. LE and GT 16","vocational + Abi","9","","",""
"At lease once a week","1998","Couple + C. LE and GT 16","higher vocational","22","","",""
"At lease once a week","1998","Couple + C. LE and GT 16","higher education","50","0.380277663120737","0.302329849157823","0.458225477083651"
"Almost never or never","1999","1-pers.-HH","in school","","","",""
"Almost never or never","1999","1-pers.-HH","inadequately","24","","",""
"Almost never or never","1999","1-pers.-HH","general elemantary","294","0.782501687236448","0.741714627092918","0.823288747379978"
"Almost never or never","1999","1-pers.-HH","middle vocational","445","0.558377983854324","0.525014391043708","0.591741576664939"
"Almost never or never","1999","1-pers.-HH","vocational + Abi","16","","",""
"Almost never or never","1999","1-pers.-HH","higher vocational","35","0.551806486598067","0.444168057998067","0.659444915198066"
"Almost never or never","1999","1-pers.-HH","higher education","91","0.402031281776712","0.339343440349413","0.46471912320401"
"Almost never or never","1999","(Married) couple without C. ","in school","2","","",""
"Almost never or never","1999","(Married) couple without C. ","inadequately","77","0.82185001167564","0.744082930543469","0.89961709280781"
"Almost never or never","1999","(Married) couple without C. ","general elemantary","472","0.707278826642696","0.672565317315531","0.741992335969862"
"Almost never or never","1999","(Married) couple without C. ","middle vocational","1247","0.565989861522156","0.545396020934321","0.586583702109992"
"Almost never or never","1999","(Married) couple without C. ","vocational + Abi","54","0.392724603079172","0.314310919690824","0.47113828646752"
"Almost never or never","1999","(Married) couple without C. ","higher vocational","134","0.468593244126464","0.409071211154911","0.528115277098017"
"Almost never or never","1999","(Married) couple without C. ","higher education","242","0.383185127372263","0.345782037287715","0.420588217456812"
"Almost never or never","1999","Single parent ","in school","4","","",""
"Almost never or never","1999","Single parent ","inadequately","19","","",""
"Almost never or never","1999","Single parent ","general elemantary","84","0.458057815589333","0.385068682891894","0.531046948286773"
"Almost never or never","1999","Single parent ","middle vocational","161","0.427871983241615","0.376037639837352","0.479706326645879"
"Almost never or never","1999","Single parent ","vocational + Abi","3","","",""
"Almost never or never","1999","Single parent ","higher vocational","4","","",""
"Almost never or never","1999","Single parent ","higher education","18","","",""
"Almost never or never","1999","Couple + C. LE 16 ","in school","1","","",""
"Almost never or never","1999","Couple + C. LE 16 ","inadequately","42","0.774205720274074","0.668412674312434","0.879998766235714"
"Almost never or never","1999","Couple + C. LE 16 ","general elemantary","204","0.562971861449533","0.511446489391359","0.614497233507708"
"Almost never or never","1999","Couple + C. LE 16 ","middle vocational","694","0.400320894055488","0.376387805890656","0.42425398222032"
"Almost never or never","1999","Couple + C. LE 16 ","vocational + Abi","57","0.351714796167642","0.278633786094709","0.424795806240575"
"Almost never or never","1999","Couple + C. LE 16 ","higher vocational","82","0.329285764415251","0.270796320738422","0.387775208092079"
"Almost never or never","1999","Couple + C. LE 16 ","higher education","163","0.318556741113149","0.277512357189206","0.359601125037093"
"Almost never or never","1999","Couple + C. GT 16 ","in school","17","","",""
"Almost never or never","1999","Couple + C. GT 16 ","inadequately","101","0.73008279229302","0.652877410847721","0.80728817373832"
"Almost never or never","1999","Couple + C. GT 16 ","general elemantary","251","0.512484999877974","0.46822772982081","0.556742269935138"
"Almost never or never","1999","Couple + C. GT 16 ","middle vocational","520","0.426596925327487","0.398305624821904","0.454888225833071"
"Almost never or never","1999","Couple + C. GT 16 ","vocational + Abi","22","","",""
"Almost never or never","1999","Couple + C. GT 16 ","higher vocational","58","0.506443142574481","0.416235978435259","0.596650306713703"
"Almost never or never","1999","Couple + C. GT 16 ","higher education","117","0.357686537288137","0.303981850588545","0.411391223987729"
"Almost never or never","1999","Couple + C. LE and GT 16","in school","18","","",""
"Almost never or never","1999","Couple + C. LE and GT 16","inadequately","42","0.723496384716729","0.601929578007079","0.845063191426379"
"Almost never or never","1999","Couple + C. LE and GT 16","general elemantary","106","0.411059135591222","0.350068089293057","0.472050181889387"
"Almost never or never","1999","Couple + C. LE and GT 16","middle vocational","225","0.390108038942908","0.345821265842753","0.434394812043064"
"Almost never or never","1999","Couple + C. LE and GT 16","vocational + Abi","12","","",""
"Almost never or never","1999","Couple + C. LE and GT 16","higher vocational","21","","",""
"Almost never or never","1999","Couple + C. LE and GT 16","higher education","41","0.213063753694283","0.143991159317287","0.282136348071279"
"Several times a year","1999","1-pers.-HH","in school","","","",""
"Several times a year","1999","1-pers.-HH","inadequately","","","",""
"Several times a year","1999","1-pers.-HH","general elemantary","47","0.102420068228344","0.0724435689755716","0.132396567481117"
"Several times a year","1999","1-pers.-HH","middle vocational","135","0.14486121531845","0.121214126896508","0.168508303740392"
"Several times a year","1999","1-pers.-HH","vocational + Abi","16","","",""
"Several times a year","1999","1-pers.-HH","higher vocational","16","","",""
"Several times a year","1999","1-pers.-HH","higher education","35","0.118300748254959","0.0770085368848663","0.159592959625051"
"Several times a year","1999","(Married) couple without C. ","in school","","","",""
"Several times a year","1999","(Married) couple without C. ","inadequately","10","","",""
"Several times a year","1999","(Married) couple without C. ","general elemantary","74","0.11938321659034","0.0946465463029727","0.144119886877707"
"Several times a year","1999","(Married) couple without C. ","middle vocational","371","0.15468912492989","0.139663892365656","0.169714357494125"
"Several times a year","1999","(Married) couple without C. ","vocational + Abi","29","","",""
"Several times a year","1999","(Married) couple without C. ","higher vocational","58","0.196052130872063","0.148697120437154","0.243407141306971"
"Several times a year","1999","(Married) couple without C. ","higher education","130","0.187439853417261","0.157414752934775","0.217464953899747"
"Several times a year","1999","Single parent ","in school","8","","",""
"Several times a year","1999","Single parent ","inadequately","3","","",""
"Several times a year","1999","Single parent ","general elemantary","33","0.162326213652387","0.108306364464776","0.216346062839999"
"Several times a year","1999","Single parent ","middle vocational","78","0.237986928299118","0.193372859637717","0.282600996960519"
"Several times a year","1999","Single parent ","vocational + Abi","2","","",""
"Several times a year","1999","Single parent ","higher vocational","7","","",""
"Several times a year","1999","Single parent ","higher education","18","","",""
"Several times a year","1999","Couple + C. LE 16 ","in school","2","","",""
"Several times a year","1999","Couple + C. LE 16 ","inadequately","12","","",""
"Several times a year","1999","Couple + C. LE 16 ","general elemantary","84","0.249229066330699","0.204294954430001","0.294163178231396"
"Several times a year","1999","Couple + C. LE 16 ","middle vocational","441","0.292392304579823","0.270173821973055","0.314610787186591"
"Several times a year","1999","Couple + C. LE 16 ","vocational + Abi","45","0.233243418766227","0.16852027224408","0.297966565288373"
"Several times a year","1999","Couple + C. LE 16 ","higher vocational","79","0.335827169918876","0.277048369553786","0.394605970283966"
"Several times a year","1999","Couple + C. LE 16 ","higher education","132","0.249843881599499","0.211706077929308","0.287981685269691"
"Several times a year","1999","Couple + C. GT 16 ","in school","36","0.2356468298851","0.166329044140277","0.304964615629923"
"Several times a year","1999","Couple + C. GT 16 ","inadequately","11","","",""
"Several times a year","1999","Couple + C. GT 16 ","general elemantary","94","0.180315194688732","0.146275186503842","0.214355202873623"
"Several times a year","1999","Couple + C. GT 16 ","middle vocational","266","0.198901260698318","0.176067584682112","0.221734936714525"
"Several times a year","1999","Couple + C. GT 16 ","vocational + Abi","16","","",""
"Several times a year","1999","Couple + C. GT 16 ","higher vocational","24","","",""
"Several times a year","1999","Couple + C. GT 16 ","higher education","67","0.215630317374102","0.169551355270815","0.261709279477389"
"Several times a year","1999","Couple + C. LE and GT 16","in school","25","","",""
"Several times a year","1999","Couple + C. LE and GT 16","inadequately","5","","",""
"Several times a year","1999","Couple + C. LE and GT 16","general elemantary","52","0.193702702348748","0.144714271517901","0.242691133179595"
"Several times a year","1999","Couple + C. LE and GT 16","middle vocational","107","0.252615068101818","0.213164166988686","0.292065969214951"
"Several times a year","1999","Couple + C. LE and GT 16","vocational + Abi","12","","",""
"Several times a year","1999","Couple + C. LE and GT 16","higher vocational","20","","",""
"Several times a year","1999","Couple + C. LE and GT 16","higher education","44","0.289725312775528","0.213203086642237","0.36624753890882"
"At least once a month","1999","1-pers.-HH","in school","","","",""
"At least once a month","1999","1-pers.-HH","inadequately","1","","",""
"At least once a month","1999","1-pers.-HH","general elemantary","14","","",""
"At least once a month","1999","1-pers.-HH","middle vocational","63","0.0683662862450415","0.0514101497611458","0.0853224227289372"
"At least once a month","1999","1-pers.-HH","vocational + Abi","9","","",""
"At least once a month","1999","1-pers.-HH","higher vocational","4","","",""
"At least once a month","1999","1-pers.-HH","higher education","23","","",""
"At least once a month","1999","(Married) couple without C. ","in school","","","",""
"At least once a month","1999","(Married) couple without C. ","inadequately","2","","",""
"At least once a month","1999","(Married) couple without C. ","general elemantary","18","","",""
"At least once a month","1999","(Married) couple without C. ","middle vocational","126","0.0549180009259692","0.0454518115385829","0.0643841903133556"
"At least once a month","1999","(Married) couple without C. ","vocational + Abi","19","","",""
"At least once a month","1999","(Married) couple without C. ","higher vocational","18","","",""
"At least once a month","1999","(Married) couple without C. ","higher education","51","0.065464841563603","0.0464353306875221","0.084494352439684"
"At least once a month","1999","Single parent ","in school","3","","",""
"At least once a month","1999","Single parent ","inadequately","1","","",""
"At least once a month","1999","Single parent ","general elemantary","15","","",""
"At least once a month","1999","Single parent ","middle vocational","23","","",""
"At least once a month","1999","Single parent ","vocational + Abi","","","",""
"At least once a month","1999","Single parent ","higher vocational","","","",""
"At least once a month","1999","Single parent ","higher education","9","","",""
"At least once a month","1999","Couple + C. LE 16 ","in school","","","",""
"At least once a month","1999","Couple + C. LE 16 ","inadequately","","","",""
"At least once a month","1999","Couple + C. LE 16 ","general elemantary","19","","",""
"At least once a month","1999","Couple + C. LE 16 ","middle vocational","122","0.0763117185526429","0.0633431068536233","0.0892803302516624"
"At least once a month","1999","Couple + C. LE 16 ","vocational + Abi","12","","",""
"At least once a month","1999","Couple + C. LE 16 ","higher vocational","23","","",""
"At least once a month","1999","Couple + C. LE 16 ","higher education","40","0.0809540986327569","0.0569252194583083","0.104982977807205"
"At least once a month","1999","Couple + C. GT 16 ","in school","11","","",""
"At least once a month","1999","Couple + C. GT 16 ","inadequately","5","","",""
"At least once a month","1999","Couple + C. GT 16 ","general elemantary","40","0.0708534052548762","0.0481352776519086","0.0935715328578437"
"At least once a month","1999","Couple + C. GT 16 ","middle vocational","93","0.0769318676920678","0.0616883900021271","0.0921753453820086"
"At least once a month","1999","Couple + C. GT 16 ","vocational + Abi","9","","",""
"At least once a month","1999","Couple + C. GT 16 ","higher vocational","6","","",""
"At least once a month","1999","Couple + C. GT 16 ","higher education","23","","",""
"At least once a month","1999","Couple + C. LE and GT 16","in school","11","","",""
"At least once a month","1999","Couple + C. LE and GT 16","inadequately","1","","",""
"At least once a month","1999","Couple + C. LE and GT 16","general elemantary","23","","",""
"At least once a month","1999","Couple + C. LE and GT 16","middle vocational","30","0.0805515019406076","0.0558424741521093","0.105260529729106"
"At least once a month","1999","Couple + C. LE and GT 16","vocational + Abi","3","","",""
"At least once a month","1999","Couple + C. LE and GT 16","higher vocational","3","","",""
"At least once a month","1999","Couple + C. LE and GT 16","higher education","6","","",""
"At lease once a week","1999","1-pers.-HH","in school","1","","",""
"At lease once a week","1999","1-pers.-HH","inadequately","","","",""
"At lease once a week","1999","1-pers.-HH","general elemantary","38","0.0913502397180023","0.0628659811352355","0.119834498300769"
"At lease once a week","1999","1-pers.-HH","middle vocational","208","0.228394514582185","0.200189664298837","0.256599364865533"
"At lease once a week","1999","1-pers.-HH","vocational + Abi","28","","",""
"At lease once a week","1999","1-pers.-HH","higher vocational","27","","",""
"At lease once a week","1999","1-pers.-HH","higher education","86","0.393548809247916","0.331087456194417","0.456010162301414"
"At lease once a week","1999","(Married) couple without C. ","in school","","","",""
"At lease once a week","1999","(Married) couple without C. ","inadequately","4","","",""
"At lease once a week","1999","(Married) couple without C. ","general elemantary","96","0.151446271858885","0.124097042738319","0.178795500979451"
"At lease once a week","1999","(Married) couple without C. ","middle vocational","481","0.224403012621984","0.207068346484736","0.241737678759232"
"At lease once a week","1999","(Married) couple without C. ","vocational + Abi","47","0.319803773852477","0.244915493508926","0.394692054196028"
"At lease once a week","1999","(Married) couple without C. ","higher vocational","60","0.25474755151002","0.202775133358132","0.306719969661908"
"At lease once a week","1999","(Married) couple without C. ","higher education","226","0.363910177646872","0.326894810027879","0.400925545265866"
"At lease once a week","1999","Single parent ","in school","21","","",""
"At lease once a week","1999","Single parent ","inadequately","2","","",""
"At lease once a week","1999","Single parent ","general elemantary","47","0.304981055612734","0.237535035390419","0.37242707583505"
"At lease once a week","1999","Single parent ","middle vocational","88","0.259486457613587","0.213562646700188","0.305410268526986"
"At lease once a week","1999","Single parent ","vocational + Abi","7","","",""
"At lease once a week","1999","Single parent ","higher vocational","7","","",""
"At lease once a week","1999","Single parent ","higher education","25","","",""
"At lease once a week","1999","Couple + C. LE 16 ","in school","","","",""
"At lease once a week","1999","Couple + C. LE 16 ","inadequately","6","","",""
"At lease once a week","1999","Couple + C. LE 16 ","general elemantary","49","0.149679447124714","0.112620291883386","0.186738602366042"
"At lease once a week","1999","Couple + C. LE 16 ","middle vocational","353","0.230975082812046","0.210388326462073","0.251561839162019"
"At lease once a week","1999","Couple + C. LE 16 ","vocational + Abi","50","0.360682730343777","0.287189546976255","0.434175913711299"
"At lease once a week","1999","Couple + C. LE 16 ","higher vocational","64","0.250573548842168","0.196640574558897","0.304506523125438"
"At lease once a week","1999","Couple + C. LE 16 ","higher education","160","0.350645278654594","0.308609365062637","0.392681192246552"
"At lease once a week","1999","Couple + C. GT 16 ","in school","80","0.599660565262323","0.519634074019895","0.679687056504751"
"At lease once a week","1999","Couple + C. GT 16 ","inadequately","10","","",""
"At lease once a week","1999","Couple + C. GT 16 ","general elemantary","105","0.236346400178418","0.198730388325968","0.273962412030867"
"At lease once a week","1999","Couple + C. GT 16 ","middle vocational","295","0.297569946282127","0.271417632509339","0.323722260054914"
"At lease once a week","1999","Couple + C. GT 16 ","vocational + Abi","17","","",""
"At lease once a week","1999","Couple + C. GT 16 ","higher vocational","30","0.253720479737596","0.175208557379603","0.332232402095589"
"At lease once a week","1999","Couple + C. GT 16 ","higher education","99","0.359031735504625","0.305282528570538","0.412780942438712"
"At lease once a week","1999","Couple + C. LE and GT 16","in school","73","0.650959812021324","0.568058570173007","0.733861053869641"
"At lease once a week","1999","Couple + C. LE and GT 16","inadequately","4","","",""
"At lease once a week","1999","Couple + C. LE and GT 16","general elemantary","69","0.29673953037958","0.240112486268777","0.353366574490383"
"At lease once a week","1999","Couple + C. LE and GT 16","middle vocational","104","0.276725391014666","0.236106202099363","0.317344579929969"
"At lease once a week","1999","Couple + C. LE and GT 16","vocational + Abi","6","","",""
"At lease once a week","1999","Couple + C. LE and GT 16","higher vocational","16","","",""
"At lease once a week","1999","Couple + C. LE and GT 16","higher education","44","0.463473225548856","0.379355168710713","0.547591282386998"
"Almost never or never","2000","1-pers.-HH","in school","","","",""
"Almost never or never","2000","1-pers.-HH","inadequately","","","",""
"Almost never or never","2000","1-pers.-HH","general elemantary","","","",""
"Almost never or never","2000","1-pers.-HH","middle vocational","","","",""
"Almost never or never","2000","1-pers.-HH","vocational + Abi","","","",""
"Almost never or never","2000","1-pers.-HH","higher vocational","","","",""
"Almost never or never","2000","1-pers.-HH","higher education","","","",""
"Almost never or never","2000","(Married) couple without C. ","in school","","","",""
"Almost never or never","2000","(Married) couple without C. ","inadequately","","","",""
"Almost never or never","2000","(Married) couple without C. ","general elemantary","","","",""
"Almost never or never","2000","(Married) couple without C. ","middle vocational","","","",""
"Almost never or never","2000","(Married) couple without C. ","vocational + Abi","","","",""
"Almost never or never","2000","(Married) couple without C. ","higher vocational","","","",""
"Almost never or never","2000","(Married) couple without C. ","higher education","","","",""
"Almost never or never","2000","Single parent ","in school","","","",""
"Almost never or never","2000","Single parent ","inadequately","","","",""
"Almost never or never","2000","Single parent ","general elemantary","","","",""
"Almost never or never","2000","Single parent ","middle vocational","","","",""
"Almost never or never","2000","Single parent ","vocational + Abi","","","",""
"Almost never or never","2000","Single parent ","higher vocational","","","",""
"Almost never or never","2000","Single parent ","higher education","","","",""
"Almost never or never","2000","Couple + C. LE 16 ","in school","","","",""
"Almost never or never","2000","Couple + C. LE 16 ","inadequately","","","",""
"Almost never or never","2000","Couple + C. LE 16 ","general elemantary","","","",""
"Almost never or never","2000","Couple + C. LE 16 ","middle vocational","","","",""
"Almost never or never","2000","Couple + C. LE 16 ","vocational + Abi","","","",""
"Almost never or never","2000","Couple + C. LE 16 ","higher vocational","","","",""
"Almost never or never","2000","Couple + C. LE 16 ","higher education","","","",""
"Almost never or never","2000","Couple + C. GT 16 ","in school","","","",""
"Almost never or never","2000","Couple + C. GT 16 ","inadequately","","","",""
"Almost never or never","2000","Couple + C. GT 16 ","general elemantary","","","",""
"Almost never or never","2000","Couple + C. GT 16 ","middle vocational","","","",""
"Almost never or never","2000","Couple + C. GT 16 ","vocational + Abi","","","",""
"Almost never or never","2000","Couple + C. GT 16 ","higher vocational","","","",""
"Almost never or never","2000","Couple + C. GT 16 ","higher education","","","",""
"Almost never or never","2000","Couple + C. LE and GT 16","in school","","","",""
"Almost never or never","2000","Couple + C. LE and GT 16","inadequately","","","",""
"Almost never or never","2000","Couple + C. LE and GT 16","general elemantary","","","",""
"Almost never or never","2000","Couple + C. LE and GT 16","middle vocational","","","",""
"Almost never or never","2000","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Almost never or never","2000","Couple + C. LE and GT 16","higher vocational","","","",""
"Almost never or never","2000","Couple + C. LE and GT 16","higher education","","","",""
"Several times a year","2000","1-pers.-HH","in school","","","",""
"Several times a year","2000","1-pers.-HH","inadequately","","","",""
"Several times a year","2000","1-pers.-HH","general elemantary","","","",""
"Several times a year","2000","1-pers.-HH","middle vocational","","","",""
"Several times a year","2000","1-pers.-HH","vocational + Abi","","","",""
"Several times a year","2000","1-pers.-HH","higher vocational","","","",""
"Several times a year","2000","1-pers.-HH","higher education","","","",""
"Several times a year","2000","(Married) couple without C. ","in school","","","",""
"Several times a year","2000","(Married) couple without C. ","inadequately","","","",""
"Several times a year","2000","(Married) couple without C. ","general elemantary","","","",""
"Several times a year","2000","(Married) couple without C. ","middle vocational","","","",""
"Several times a year","2000","(Married) couple without C. ","vocational + Abi","","","",""
"Several times a year","2000","(Married) couple without C. ","higher vocational","","","",""
"Several times a year","2000","(Married) couple without C. ","higher education","","","",""
"Several times a year","2000","Single parent ","in school","","","",""
"Several times a year","2000","Single parent ","inadequately","","","",""
"Several times a year","2000","Single parent ","general elemantary","","","",""
"Several times a year","2000","Single parent ","middle vocational","","","",""
"Several times a year","2000","Single parent ","vocational + Abi","","","",""
"Several times a year","2000","Single parent ","higher vocational","","","",""
"Several times a year","2000","Single parent ","higher education","","","",""
"Several times a year","2000","Couple + C. LE 16 ","in school","","","",""
"Several times a year","2000","Couple + C. LE 16 ","inadequately","","","",""
"Several times a year","2000","Couple + C. LE 16 ","general elemantary","","","",""
"Several times a year","2000","Couple + C. LE 16 ","middle vocational","","","",""
"Several times a year","2000","Couple + C. LE 16 ","vocational + Abi","","","",""
"Several times a year","2000","Couple + C. LE 16 ","higher vocational","","","",""
"Several times a year","2000","Couple + C. LE 16 ","higher education","","","",""
"Several times a year","2000","Couple + C. GT 16 ","in school","","","",""
"Several times a year","2000","Couple + C. GT 16 ","inadequately","","","",""
"Several times a year","2000","Couple + C. GT 16 ","general elemantary","","","",""
"Several times a year","2000","Couple + C. GT 16 ","middle vocational","","","",""
"Several times a year","2000","Couple + C. GT 16 ","vocational + Abi","","","",""
"Several times a year","2000","Couple + C. GT 16 ","higher vocational","","","",""
"Several times a year","2000","Couple + C. GT 16 ","higher education","","","",""
"Several times a year","2000","Couple + C. LE and GT 16","in school","","","",""
"Several times a year","2000","Couple + C. LE and GT 16","inadequately","","","",""
"Several times a year","2000","Couple + C. LE and GT 16","general elemantary","","","",""
"Several times a year","2000","Couple + C. LE and GT 16","middle vocational","","","",""
"Several times a year","2000","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Several times a year","2000","Couple + C. LE and GT 16","higher vocational","","","",""
"Several times a year","2000","Couple + C. LE and GT 16","higher education","","","",""
"At least once a month","2000","1-pers.-HH","in school","","","",""
"At least once a month","2000","1-pers.-HH","inadequately","","","",""
"At least once a month","2000","1-pers.-HH","general elemantary","","","",""
"At least once a month","2000","1-pers.-HH","middle vocational","","","",""
"At least once a month","2000","1-pers.-HH","vocational + Abi","","","",""
"At least once a month","2000","1-pers.-HH","higher vocational","","","",""
"At least once a month","2000","1-pers.-HH","higher education","","","",""
"At least once a month","2000","(Married) couple without C. ","in school","","","",""
"At least once a month","2000","(Married) couple without C. ","inadequately","","","",""
"At least once a month","2000","(Married) couple without C. ","general elemantary","","","",""
"At least once a month","2000","(Married) couple without C. ","middle vocational","","","",""
"At least once a month","2000","(Married) couple without C. ","vocational + Abi","","","",""
"At least once a month","2000","(Married) couple without C. ","higher vocational","","","",""
"At least once a month","2000","(Married) couple without C. ","higher education","","","",""
"At least once a month","2000","Single parent ","in school","","","",""
"At least once a month","2000","Single parent ","inadequately","","","",""
"At least once a month","2000","Single parent ","general elemantary","","","",""
"At least once a month","2000","Single parent ","middle vocational","","","",""
"At least once a month","2000","Single parent ","vocational + Abi","","","",""
"At least once a month","2000","Single parent ","higher vocational","","","",""
"At least once a month","2000","Single parent ","higher education","","","",""
"At least once a month","2000","Couple + C. LE 16 ","in school","","","",""
"At least once a month","2000","Couple + C. LE 16 ","inadequately","","","",""
"At least once a month","2000","Couple + C. LE 16 ","general elemantary","","","",""
"At least once a month","2000","Couple + C. LE 16 ","middle vocational","","","",""
"At least once a month","2000","Couple + C. LE 16 ","vocational + Abi","","","",""
"At least once a month","2000","Couple + C. LE 16 ","higher vocational","","","",""
"At least once a month","2000","Couple + C. LE 16 ","higher education","","","",""
"At least once a month","2000","Couple + C. GT 16 ","in school","","","",""
"At least once a month","2000","Couple + C. GT 16 ","inadequately","","","",""
"At least once a month","2000","Couple + C. GT 16 ","general elemantary","","","",""
"At least once a month","2000","Couple + C. GT 16 ","middle vocational","","","",""
"At least once a month","2000","Couple + C. GT 16 ","vocational + Abi","","","",""
"At least once a month","2000","Couple + C. GT 16 ","higher vocational","","","",""
"At least once a month","2000","Couple + C. GT 16 ","higher education","","","",""
"At least once a month","2000","Couple + C. LE and GT 16","in school","","","",""
"At least once a month","2000","Couple + C. LE and GT 16","inadequately","","","",""
"At least once a month","2000","Couple + C. LE and GT 16","general elemantary","","","",""
"At least once a month","2000","Couple + C. LE and GT 16","middle vocational","","","",""
"At least once a month","2000","Couple + C. LE and GT 16","vocational + Abi","","","",""
"At least once a month","2000","Couple + C. LE and GT 16","higher vocational","","","",""
"At least once a month","2000","Couple + C. LE and GT 16","higher education","","","",""
"At lease once a week","2000","1-pers.-HH","in school","","","",""
"At lease once a week","2000","1-pers.-HH","inadequately","","","",""
"At lease once a week","2000","1-pers.-HH","general elemantary","","","",""
"At lease once a week","2000","1-pers.-HH","middle vocational","","","",""
"At lease once a week","2000","1-pers.-HH","vocational + Abi","","","",""
"At lease once a week","2000","1-pers.-HH","higher vocational","","","",""
"At lease once a week","2000","1-pers.-HH","higher education","","","",""
"At lease once a week","2000","(Married) couple without C. ","in school","","","",""
"At lease once a week","2000","(Married) couple without C. ","inadequately","","","",""
"At lease once a week","2000","(Married) couple without C. ","general elemantary","","","",""
"At lease once a week","2000","(Married) couple without C. ","middle vocational","","","",""
"At lease once a week","2000","(Married) couple without C. ","vocational + Abi","","","",""
"At lease once a week","2000","(Married) couple without C. ","higher vocational","","","",""
"At lease once a week","2000","(Married) couple without C. ","higher education","","","",""
"At lease once a week","2000","Single parent ","in school","","","",""
