"pli0081","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","2001","16-34 y.","Urban Area","","","",""
"Min 1x per week","2001","16-34 y.","Rural Area","","","",""
"Min 1x per week","2001","35-65 y.","Urban Area","","","",""
"Min 1x per week","2001","35-65 y.","Rural Area","","","",""
"Min 1x per week","2001","66 and older","Urban Area","","","",""
"Min 1x per week","2001","66 and older","Rural Area","","","",""
"Min 1x per month","2001","16-34 y.","Urban Area","","","",""
"Min 1x per month","2001","16-34 y.","Rural Area","","","",""
"Min 1x per month","2001","35-65 y.","Urban Area","","","",""
"Min 1x per month","2001","35-65 y.","Rural Area","","","",""
"Min 1x per month","2001","66 and older","Urban Area","","","",""
"Min 1x per month","2001","66 and older","Rural Area","","","",""
"Rarely","2001","16-34 y.","Urban Area","","","",""
"Rarely","2001","16-34 y.","Rural Area","","","",""
"Rarely","2001","35-65 y.","Urban Area","","","",""
"Rarely","2001","35-65 y.","Rural Area","","","",""
"Rarely","2001","66 and older","Urban Area","","","",""
"Rarely","2001","66 and older","Rural Area","","","",""
"Never","2001","16-34 y.","Urban Area","","","",""
"Never","2001","16-34 y.","Rural Area","","","",""
"Never","2001","35-65 y.","Urban Area","","","",""
"Never","2001","35-65 y.","Rural Area","","","",""
"Never","2001","66 and older","Urban Area","","","",""
"Never","2001","66 and older","Rural Area","","","",""
"Daily","2002","16-34 y.","Urban Area","","","",""
"Daily","2002","16-34 y.","Rural Area","","","",""
"Daily","2002","35-65 y.","Urban Area","","","",""
"Daily","2002","35-65 y.","Rural Area","","","",""
"Daily","2002","66 and older","Urban Area","","","",""
"Daily","2002","66 and older","Rural Area","","","",""
"Min 1x per week","2002","16-34 y.","Urban Area","","","",""
"Min 1x per week","2002","16-34 y.","Rural Area","","","",""
"Min 1x per week","2002","35-65 y.","Urban Area","","","",""
"Min 1x per week","2002","35-65 y.","Rural Area","","","",""
"Min 1x per week","2002","66 and older","Urban Area","","","",""
"Min 1x per week","2002","66 and older","Rural Area","","","",""
"Min 1x per month","2002","16-34 y.","Urban Area","","","",""
"Min 1x per month","2002","16-34 y.","Rural Area","","","",""
"Min 1x per month","2002","35-65 y.","Urban Area","","","",""
"Min 1x per month","2002","35-65 y.","Rural Area","","","",""
"Min 1x per month","2002","66 and older","Urban Area","","","",""
"Min 1x per month","2002","66 and older","Rural Area","","","",""
"Rarely","2002","16-34 y.","Urban Area","","","",""
"Rarely","2002","16-34 y.","Rural Area","","","",""
"Rarely","2002","35-65 y.","Urban Area","","","",""
"Rarely","2002","35-65 y.","Rural Area","","","",""
"Rarely","2002","66 and older","Urban Area","","","",""
"Rarely","2002","66 and older","Rural Area","","","",""
"Never","2002","16-34 y.","Urban Area","","","",""
"Never","2002","16-34 y.","Rural Area","","","",""
"Never","2002","35-65 y.","Urban Area","","","",""
"Never","2002","35-65 y.","Rural Area","","","",""
"Never","2002","66 and older","Urban Area","","","",""
"Never","2002","66 and older","Rural Area","","","",""
"Daily","2003","16-34 y.","Urban Area","297","0.0737556757575351","0.0655620568834181","0.081949294631652"
"Daily","2003","16-34 y.","Rural Area","147","0.0691033118761592","0.0578287380594386","0.0803778856928797"
"Daily","2003","35-65 y.","Urban Area","543","0.0625708092778868","0.0574239709747716","0.0677176475810021"
"Daily","2003","35-65 y.","Rural Area","262","0.0621704661052185","0.0548044568354848","0.0695364753749521"
"Daily","2003","66 and older","Urban Area","200","0.0816260418245642","0.0707444995279362","0.0925075841211921"
"Daily","2003","66 and older","Rural Area","150","0.132248383955977","0.113446222974324","0.151050544937629"
"Min 1x per week","2003","16-34 y.","Urban Area","1671","0.413266123889775","0.397829556219625","0.428702691559925"
