"pli0081","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Never","1993","Brandenburg","","","",""
"Never","1993","Mecklenburg-Western Pomerania","","","",""
"Never","1993","Saxony","","","",""
"Never","1993","Saxony-Anhalt","","","",""
"Never","1993","Thuringia","","","",""
"Daily","1994","Schleswig-Holstein","","","",""
"Daily","1994","Hamburg","","","",""
"Daily","1994","Lower Saxony","","","",""
"Daily","1994","Bremen","","","",""
"Daily","1994","North Rhine-Westphalia","","","",""
"Daily","1994","Hesse","","","",""
"Daily","1994","Rhineland-Palatinate,Saarland","","","",""
"Daily","1994","Baden-Württemberg","","","",""
"Daily","1994","Bavaria","","","",""
"Daily","1994","Berlin","","","",""
"Daily","1994","Brandenburg","","","",""
"Daily","1994","Mecklenburg-Western Pomerania","","","",""
"Daily","1994","Saxony","","","",""
"Daily","1994","Saxony-Anhalt","","","",""
"Daily","1994","Thuringia","","","",""
"Min 1x per week","1994","Schleswig-Holstein","","","",""
"Min 1x per week","1994","Hamburg","","","",""
"Min 1x per week","1994","Lower Saxony","","","",""
"Min 1x per week","1994","Bremen","","","",""
"Min 1x per week","1994","North Rhine-Westphalia","","","",""
"Min 1x per week","1994","Hesse","","","",""
"Min 1x per week","1994","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per week","1994","Baden-Württemberg","","","",""
"Min 1x per week","1994","Bavaria","","","",""
"Min 1x per week","1994","Berlin","","","",""
"Min 1x per week","1994","Brandenburg","","","",""
"Min 1x per week","1994","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1994","Saxony","","","",""
"Min 1x per week","1994","Saxony-Anhalt","","","",""
"Min 1x per week","1994","Thuringia","","","",""
"Min 1x per month","1994","Schleswig-Holstein","","","",""
"Min 1x per month","1994","Hamburg","","","",""
"Min 1x per month","1994","Lower Saxony","","","",""
"Min 1x per month","1994","Bremen","","","",""
"Min 1x per month","1994","North Rhine-Westphalia","","","",""
"Min 1x per month","1994","Hesse","","","",""
"Min 1x per month","1994","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per month","1994","Baden-Württemberg","","","",""
"Min 1x per month","1994","Bavaria","","","",""
"Min 1x per month","1994","Berlin","","","",""
"Min 1x per month","1994","Brandenburg","","","",""
"Min 1x per month","1994","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1994","Saxony","","","",""
"Min 1x per month","1994","Saxony-Anhalt","","","",""
"Min 1x per month","1994","Thuringia","","","",""
"Rarely","1994","Schleswig-Holstein","","","",""
"Rarely","1994","Hamburg","","","",""
"Rarely","1994","Lower Saxony","","","",""
"Rarely","1994","Bremen","","","",""
"Rarely","1994","North Rhine-Westphalia","","","",""
"Rarely","1994","Hesse","","","",""
"Rarely","1994","Rhineland-Palatinate,Saarland","","","",""
"Rarely","1994","Baden-Württemberg","","","",""
"Rarely","1994","Bavaria","","","",""
"Rarely","1994","Berlin","","","",""
"Rarely","1994","Brandenburg","","","",""
"Rarely","1994","Mecklenburg-Western Pomerania","","","",""
"Rarely","1994","Saxony","","","",""
"Rarely","1994","Saxony-Anhalt","","","",""
