"ple0005","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Strong","2008","(1a) inadequately completed","53","0.260120039676454","0.19774097930084","0.322499100052067"
"Strong","2008","(1b) general elementary school","471","0.32180402883153","0.298819639535014","0.344788418128046"
"Strong","2008","(1c) basic vocational qualification","1153","0.224512273295899","0.213231784439874","0.235792762151925"
"Strong","2008","(2b) intermediate general qualification","38","0.0633269066873203","0.041516262436038","0.0851375509386026"
"Strong","2008","(2a) intermediate vocational","484","0.115682551959982","0.106479600571408","0.124885503348556"
"Strong","2008","(2c_gen) general maturity certificate","25","","",""
"Strong","2008","(2c_voc) vocational maturity certificate","124","0.10237798010365","0.0867747642251815","0.117981195982119"
"Strong","2008","(3a) lower tertiary education","185","0.128551969019672","0.112382591960984","0.14472134607836"
"Strong","2008","(3b) higher tertiary education","203","0.0811870540413316","0.0705967218486309","0.0917773862340322"
"A little","2008","(0) in school","37","0.103475680696885","0.0718809857601471","0.135070375633623"
"A little","2008","(1a) inadequately completed","73","0.365227430670777","0.296763463614405","0.43369139772715"
"A little","2008","(1b) general elementary school","589","0.372281346031061","0.348497735591203","0.396064956470919"
"A little","2008","(1c) basic vocational qualification","2144","0.411380642765772","0.398077335900016","0.424683949631527"
"A little","2008","(2b) intermediate general qualification","108","0.275459418395926","0.235452002116854","0.315466834674998"
"A little","2008","(2a) intermediate vocational","1702","0.386573878230987","0.372562318394834","0.40058543806714"
"A little","2008","(2c_gen) general maturity certificate","109","0.154141680817555","0.128090418747566","0.180192942887545"
"A little","2008","(2c_voc) vocational maturity certificate","469","0.334334457288854","0.310052555541283","0.358616359036424"
"A little","2008","(3a) lower tertiary education","625","0.366049927030122","0.342778079334611","0.389321774725634"
"A little","2008","(3b) higher tertiary education","860","0.346679963206586","0.328226410116777","0.365133516296396"
"Not at all","2008","(0) in school","318","0.89466873610784","0.862825018688889","0.926512453526791"
"Not at all","2008","(1a) inadequately completed","64","0.374652529652769","0.305827513200227","0.443477546105311"
"Not at all","2008","(1b) general elementary school","527","0.305914625137408","0.283243859130193","0.328585391144624"
"Not at all","2008","(1c) basic vocational qualification","1959","0.364107083938329","0.351098591451911","0.377115576424746"
"Not at all","2008","(2b) intermediate general qualification","333","0.661213674916754","0.618828480093453","0.703598869740054"
"Not at all","2008","(2a) intermediate vocational","2454","0.497743569809031","0.483357085292653","0.512130054325409"
"Not at all","2008","(2c_gen) general maturity certificate","604","0.812778219914144","0.784634329969986","0.840922109858302"
"Not at all","2008","(2c_voc) vocational maturity certificate","857","0.563287562607496","0.537758965386475","0.588816159828517"
"Not at all","2008","(3a) lower tertiary education","836","0.505398103950206","0.481244726503315","0.529551481397096"
"Not at all","2008","(3b) higher tertiary education","1492","0.572132982752082","0.552948259615846","0.591317705888318"
"Strong","2009","(0) in school","","","",""
"Strong","2009","(1a) inadequately completed","","","",""
"Strong","2009","(1b) general elementary school","","","",""
"Strong","2009","(1c) basic vocational qualification","","","",""
"Strong","2009","(2b) intermediate general qualification","","","",""
"Strong","2009","(2a) intermediate vocational","","","",""
"Strong","2009","(2c_gen) general maturity certificate","","","",""
"Strong","2009","(2c_voc) vocational maturity certificate","","","",""
"Strong","2009","(3a) lower tertiary education","","","",""
"Strong","2009","(3b) higher tertiary education","","","",""
"A little","2009","(0) in school","","","",""
"A little","2009","(1a) inadequately completed","","","",""
"A little","2009","(1b) general elementary school","","","",""
"A little","2009","(1c) basic vocational qualification","","","",""
"A little","2009","(2b) intermediate general qualification","","","",""
"A little","2009","(2a) intermediate vocational","","","",""
"A little","2009","(2c_gen) general maturity certificate","","","",""
"A little","2009","(2c_voc) vocational maturity certificate","","","",""
"A little","2009","(3a) lower tertiary education","","","",""
"A little","2009","(3b) higher tertiary education","","","",""
"Not at all","2009","(0) in school","","","",""
"Not at all","2009","(1a) inadequately completed","","","",""
"Not at all","2009","(1b) general elementary school","","","",""
"Not at all","2009","(1c) basic vocational qualification","","","",""
"Not at all","2009","(2b) intermediate general qualification","","","",""
"Not at all","2009","(2a) intermediate vocational","","","",""
"Not at all","2009","(2c_gen) general maturity certificate","","","",""
"Not at all","2009","(2c_voc) vocational maturity certificate","","","",""
"Not at all","2009","(3a) lower tertiary education","","","",""
"Not at all","2009","(3b) higher tertiary education","","","",""
"Strong","2010","(0) in school","","","",""
"Strong","2010","(1a) inadequately completed","45","0.351119447582293","0.273427875178595","0.428811019985992"
"Strong","2010","(1b) general elementary school","381","0.322129414106927","0.296276183849047","0.347982644364807"
"Strong","2010","(1c) basic vocational qualification","990","0.235231565442192","0.222647571613863","0.24781555927052"
"Strong","2010","(2b) intermediate general qualification","37","0.0803318345580318","0.0537946412951425","0.106869027820921"
"Strong","2010","(2a) intermediate vocational","465","0.131971587119902","0.121572111612141","0.142371062627662"
"Strong","2010","(2c_gen) general maturity certificate","23","","",""
"Strong","2010","(2c_voc) vocational maturity certificate","130","0.122740182190343","0.104657604956839","0.140822759423846"
"Strong","2010","(3a) lower tertiary education","178","0.127094934586801","0.110267129661126","0.143922739512475"
"Strong","2010","(3b) higher tertiary education","185","0.0958018886108412","0.0838615539761017","0.107742223245581"
"A little","2010","(0) in school","35","0.134266504841898","0.0936746031779434","0.174858406505852"
"A little","2010","(1a) inadequately completed","60","0.395047447345789","0.315477443939439","0.474617450752138"
"A little","2010","(1b) general elementary school","511","0.412903796448793","0.385663909418267","0.440143683479318"
"A little","2010","(1c) basic vocational qualification","1851","0.436910688835523","0.422194657747734","0.451626719923312"
"A little","2010","(2b) intermediate general qualification","95","0.231895500145465","0.190690313723418","0.273100686567512"
"A little","2010","(2a) intermediate vocational","1633","0.423119723887711","0.407939480784327","0.438299966991095"
"A little","2010","(2c_gen) general maturity certificate","119","0.180000203705012","0.150465352772338","0.209535054637686"
"A little","2010","(2c_voc) vocational maturity certificate","421","0.35268289321936","0.326352728994502","0.379013057444219"
"A little","2010","(3a) lower tertiary education","607","0.404090327192022","0.379298457194221","0.428882197189823"
"A little","2010","(3b) higher tertiary education","820","0.349310011132098","0.329968507040993","0.368651515223203"
"Not at all","2010","(0) in school","236","0.865733495158102","0.825141593494148","0.906325396822057"
"Not at all","2010","(1a) inadequately completed","40","0.253833105071918","0.182996749456639","0.324669460687197"
"Not at all","2010","(1b) general elementary school","363","0.26496678944428","0.240550738026445","0.289382840862116"
"Not at all","2010","(1c) basic vocational qualification","1523","0.327857745722285","0.313930057273753","0.341785434170817"
"Not at all","2010","(2b) intermediate general qualification","271","0.687772665296503","0.642529447587289","0.733015883005717"
"Not at all","2010","(2a) intermediate vocational","1971","0.444908688992387","0.429639291369769","0.460178086615005"
"Not at all","2010","(2c_gen) general maturity certificate","508","0.765517638820345","0.732947163010329","0.798088114630361"
"Not at all","2010","(2c_voc) vocational maturity certificate","714","0.524576924590297","0.497056980444015","0.55209686873658"
"Not at all","2010","(3a) lower tertiary education","720","0.468814738221177","0.443602960038164","0.49402651640419"
"Not at all","2010","(3b) higher tertiary education","1329","0.554888100257061","0.534726036983772","0.57505016353035"
"Strong","2011","(0) in school","","","",""
"Strong","2011","(1a) inadequately completed","","","",""
"Strong","2011","(1b) general elementary school","","","",""
"Strong","2011","(1c) basic vocational qualification","","","",""
"Strong","2011","(2b) intermediate general qualification","","","",""
"Strong","2011","(2a) intermediate vocational","","","",""
"Strong","2011","(2c_gen) general maturity certificate","","","",""
"Strong","2011","(2c_voc) vocational maturity certificate","","","",""
"Strong","2011","(3a) lower tertiary education","","","",""
"Strong","2011","(3b) higher tertiary education","","","",""
"A little","2011","(0) in school","","","",""
"A little","2011","(1a) inadequately completed","","","",""
"A little","2011","(1b) general elementary school","","","",""
"A little","2011","(1c) basic vocational qualification","","","",""
"A little","2011","(2b) intermediate general qualification","","","",""
"A little","2011","(2a) intermediate vocational","","","",""
"A little","2011","(2c_gen) general maturity certificate","","","",""
"A little","2011","(2c_voc) vocational maturity certificate","","","",""
"A little","2011","(3a) lower tertiary education","","","",""
"A little","2011","(3b) higher tertiary education","","","",""
"Not at all","2011","(0) in school","","","",""
"Not at all","2011","(1a) inadequately completed","","","",""
"Not at all","2011","(1b) general elementary school","","","",""
"Not at all","2011","(1c) basic vocational qualification","","","",""
"Not at all","2011","(2b) intermediate general qualification","","","",""
"Not at all","2011","(2a) intermediate vocational","","","",""
"Not at all","2011","(2c_gen) general maturity certificate","","","",""
"Not at all","2011","(2c_voc) vocational maturity certificate","","","",""
"Not at all","2011","(3a) lower tertiary education","","","",""
"Not at all","2011","(3b) higher tertiary education","","","",""
"Strong","2012","(0) in school","3","","",""
"Strong","2012","(1a) inadequately completed","78","0.302048726750584","0.246022768327593","0.358074685173574"
"Strong","2012","(1b) general elementary school","433","0.269895147864201","0.248312160117061","0.291478135611341"
"Strong","2012","(1c) basic vocational qualification","1225","0.230287981324736","0.219005319728253","0.24157064292122"
"Strong","2012","(2b) intermediate general qualification","63","0.110633437099586","0.0840285718421586","0.137238302357013"
"Strong","2012","(2a) intermediate vocational","641","0.142292036896991","0.132534300352816","0.152049773441167"
"Strong","2012","(2c_gen) general maturity certificate","38","0.0434335613068896","0.0296984178583358","0.0571687047554434"
"Strong","2012","(2c_voc) vocational maturity certificate","165","0.107187218597407","0.0919960248277129","0.122378412367102"
"Strong","2012","(3a) lower tertiary education","222","0.131133463872208","0.115443732254774","0.146823195489643"
"Strong","2012","(3b) higher tertiary education","256","0.0991903615769663","0.0882714711582678","0.110109251995665"
"A little","2012","(0) in school","37","0.133550403589079","0.0941952694556339","0.172905537722524"
"A little","2012","(1a) inadequately completed","103","0.433354529285128","0.372887919574817","0.493821138995438"
"A little","2012","(1b) general elementary school","662","0.418219457624112","0.394236478926838","0.442202436321385"
"A little","2012","(1c) basic vocational qualification","2238","0.43062777155095","0.417358076288934","0.443897466812966"
"A little","2012","(2b) intermediate general qualification","142","0.300475171775679","0.261590062359677","0.339360281191681"
"A little","2012","(2a) intermediate vocational","1909","0.39119630475486","0.377565387524512","0.404827221985208"
"A little","2012","(2c_gen) general maturity certificate","152","0.18424117664091","0.158117328608882","0.210365024672937"
"A little","2012","(2c_voc) vocational maturity certificate","541","0.365620692894122","0.341970750299418","0.389270635488826"
"A little","2012","(3a) lower tertiary education","687","0.3730566894276","0.350577338609002","0.395536040246198"
"A little","2012","(3b) higher tertiary education","959","0.319054613818214","0.302028485033946","0.336080742602481"
"Not at all","2012","(0) in school","247","0.850554986684055","0.809307351529165","0.891802621838944"
"Not at all","2012","(1a) inadequately completed","77","0.264596743964289","0.21077060106474","0.318422886863837"
"Not at all","2012","(1b) general elementary school","530","0.311885394511687","0.289361197617498","0.334409591405876"
"Not at all","2012","(1c) basic vocational qualification","1886","0.339084247124313","0.32639783981153","0.351770654437097"
"Not at all","2012","(2b) intermediate general qualification","329","0.588891391124735","0.547158992132797","0.630623790116673"
"Not at all","2012","(2a) intermediate vocational","2374","0.466511658348149","0.452577434397973","0.480445882298325"
"Not at all","2012","(2c_gen) general maturity certificate","656","0.772325262052201","0.74406862635733","0.800581897747072"
"Not at all","2012","(2c_voc) vocational maturity certificate","887","0.527192088508471","0.502675106252817","0.551709070764124"
"Not at all","2012","(3a) lower tertiary education","869","0.495809846700192","0.472569801609017","0.519049891791368"
"Not at all","2012","(3b) higher tertiary education","1664","0.58175502460482","0.563736770961864","0.599773278247776"
"Strong","2013","(0) in school","","","",""
"Strong","2013","(1a) inadequately completed","","","",""
"Strong","2013","(1b) general elementary school","","","",""
"Strong","2013","(1c) basic vocational qualification","","","",""
"Strong","2013","(2b) intermediate general qualification","","","",""
"Strong","2013","(2a) intermediate vocational","","","",""
"Strong","2013","(2c_gen) general maturity certificate","","","",""
"Strong","2013","(2c_voc) vocational maturity certificate","","","",""
"Strong","2013","(3a) lower tertiary education","","","",""
"Strong","2013","(3b) higher tertiary education","","","",""
"A little","2013","(0) in school","","","",""
"A little","2013","(1a) inadequately completed","","","",""
"A little","2013","(1b) general elementary school","","","",""
"A little","2013","(1c) basic vocational qualification","","","",""
"A little","2013","(2b) intermediate general qualification","","","",""
"A little","2013","(2a) intermediate vocational","","","",""
"A little","2013","(2c_gen) general maturity certificate","","","",""
"A little","2013","(2c_voc) vocational maturity certificate","","","",""
"A little","2013","(3a) lower tertiary education","","","",""
"A little","2013","(3b) higher tertiary education","","","",""
"Not at all","2013","(0) in school","","","",""
"Not at all","2013","(1a) inadequately completed","","","",""
"Not at all","2013","(1b) general elementary school","","","",""
"Not at all","2013","(1c) basic vocational qualification","","","",""
"Not at all","2013","(2b) intermediate general qualification","","","",""
"Not at all","2013","(2a) intermediate vocational","","","",""
"Not at all","2013","(2c_gen) general maturity certificate","","","",""
"Not at all","2013","(2c_voc) vocational maturity certificate","","","",""
"Not at all","2013","(3a) lower tertiary education","","","",""
"Not at all","2013","(3b) higher tertiary education","","","",""
"Strong","2014","(0) in school","8","","",""
"Strong","2014","(1a) inadequately completed","135","0.265519285616316","0.22834122924249","0.302697341990143"
"Strong","2014","(1b) general elementary school","538","0.280091981647192","0.262021089572345","0.298162873722039"
"Strong","2014","(1c) basic vocational qualification","1254","0.237881851094621","0.226991374795581","0.248772327393661"
"Strong","2014","(2b) intermediate general qualification","75","0.104891805695383","0.0838162699287832","0.125967341461984"
"Strong","2014","(2a) intermediate vocational","679","0.130796563590939","0.122312885339912","0.139280241841965"
