"ple0005","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"A little","2008","66 and older","Not Working","1867","0.461767703265398","0.446425215976798","0.477110190553998"
"Not at all","2008","16-34 y.","Full Time","1450","0.77062328565923","0.751485620409689","0.789760950908771"
"Not at all","2008","16-34 y.","Part Time","1022","0.740619820278925","0.716912537139908","0.764327103417943"
"Not at all","2008","16-34 y.","Not Working","989","0.806639289487735","0.784247544429435","0.829031034546035"
"Not at all","2008","35-65 y.","Full Time","3231","0.55366836071869","0.540609924547227","0.566726796890154"
"Not at all","2008","35-65 y.","Part Time","1487","0.471820679910895","0.453572970801153","0.490068389020636"
"Not at all","2008","35-65 y.","Not Working","788","0.347141152647583","0.327364708432657","0.36691759686251"
"Not at all","2008","66 and older","Full Time","18","","",""
"Not at all","2008","66 and older","Part Time","74","0.318923639378488","0.258691896243394","0.379155382513583"
"Not at all","2008","66 and older","Not Working","743","0.158315496084098","0.147081468221025","0.169549523947171"
"Strong","2009","16-34 y.","Full Time","","","",""
"Strong","2009","16-34 y.","Part Time","","","",""
"Strong","2009","16-34 y.","Not Working","","","",""
"Strong","2009","35-65 y.","Full Time","","","",""
"Strong","2009","35-65 y.","Part Time","","","",""
"Strong","2009","35-65 y.","Not Working","","","",""
"Strong","2009","66 and older","Full Time","","","",""
"Strong","2009","66 and older","Part Time","","","",""
"Strong","2009","66 and older","Not Working","","","",""
"A little","2009","16-34 y.","Full Time","","","",""
"A little","2009","16-34 y.","Part Time","","","",""
"A little","2009","16-34 y.","Not Working","","","",""
"A little","2009","35-65 y.","Full Time","","","",""
"A little","2009","35-65 y.","Part Time","","","",""
"A little","2009","35-65 y.","Not Working","","","",""
"A little","2009","66 and older","Full Time","","","",""
"A little","2009","66 and older","Part Time","","","",""
"A little","2009","66 and older","Not Working","","","",""
"Not at all","2009","16-34 y.","Full Time","","","",""
"Not at all","2009","16-34 y.","Part Time","","","",""
"Not at all","2009","16-34 y.","Not Working","","","",""
"Not at all","2009","35-65 y.","Full Time","","","",""
"Not at all","2009","35-65 y.","Part Time","","","",""
"Not at all","2009","35-65 y.","Not Working","","","",""
"Not at all","2009","66 and older","Full Time","","","",""
"Not at all","2009","66 and older","Part Time","","","",""
"Not at all","2009","66 and older","Not Working","","","",""
"Strong","2010","16-34 y.","Full Time","31","0.0178748838492976","0.0113396362084655","0.0244101314901297"
"Strong","2010","16-34 y.","Part Time","14","","",""
"Strong","2010","16-34 y.","Not Working","17","","",""
"Strong","2010","35-65 y.","Full Time","323","0.0787195289929116","0.0710995259412455","0.0863395320445776"
"Strong","2010","35-65 y.","Part Time","264","0.123612851214866","0.110895167790386","0.136330534639346"
"Strong","2010","35-65 y.","Not Working","465","0.322102773037968","0.29983096638237","0.344374579693566"
"Strong","2010","66 and older","Full Time","8","","",""
"Strong","2010","66 and older","Part Time","34","0.140044806733679","0.096048060799455","0.184041552667904"
"Strong","2010","66 and older","Not Working","1295","0.367684359588311","0.352235346547065","0.383133372629557"
"A little","2010","16-34 y.","Full Time","327","0.216508363276253","0.196193610242398","0.236823116310109"
"A little","2010","16-34 y.","Part Time","217","0.170094198679047","0.147789621592062","0.192398775766031"
"A little","2010","16-34 y.","Not Working","173","0.174451167544198","0.149834966726251","0.199067368362146"
"A little","2010","35-65 y.","Full Time","1820","0.403044615243987","0.389165382204257","0.416923848283717"
"A little","2010","35-65 y.","Part Time","1086","0.462011469110252","0.442747707956205","0.481275230264299"
"A little","2010","35-65 y.","Not Working","688","0.410909081980776","0.387459218377322","0.434358945584229"
"A little","2010","66 and older","Full Time","32","0.386472591169907","0.268095477439172","0.504849704900643"
"A little","2010","66 and older","Part Time","136","0.581036418072601","0.518484741521855","0.643588094623346"
"A little","2010","66 and older","Not Working","1770","0.470698377956761","0.454705774725617","0.486690981187905"
"Not at all","2010","16-34 y.","Full Time","1221","0.765616752874449","0.744722539604624","0.786510966144274"
"Not at all","2010","16-34 y.","Part Time","859","0.817481571326145","0.794550349887365","0.840412792764925"
"Not at all","2010","16-34 y.","Not Working","723","0.786767201824963","0.760198959190215","0.813335444459711"
"Not at all","2010","35-65 y.","Full Time","2655","0.518235855763101","0.504097499039888","0.532374212486315"
"Not at all","2010","35-65 y.","Part Time","1223","0.414375679674882","0.395341468684961","0.433409890664802"
"Not at all","2010","35-65 y.","Not Working","538","0.266988144981256","0.245902942521909","0.288073347440604"
"Not at all","2010","66 and older","Full Time","25","","",""
"Not at all","2010","66 and older","Part Time","69","0.27891877519372","0.222062276834513","0.335775273552927"
"Not at all","2010","66 and older","Not Working","677","0.161617262454928","0.14982325938975","0.173411265520105"
"Strong","2011","16-34 y.","Full Time","","","",""
"Strong","2011","16-34 y.","Part Time","","","",""
"Strong","2011","16-34 y.","Not Working","","","",""
"Strong","2011","35-65 y.","Full Time","","","",""
"Strong","2011","35-65 y.","Part Time","","","",""
"Strong","2011","35-65 y.","Not Working","","","",""
"Strong","2011","66 and older","Full Time","","","",""
"Strong","2011","66 and older","Part Time","","","",""
"Strong","2011","66 and older","Not Working","","","",""
"A little","2011","16-34 y.","Full Time","","","",""
"A little","2011","16-34 y.","Part Time","","","",""
"A little","2011","16-34 y.","Not Working","","","",""
"A little","2011","35-65 y.","Full Time","","","",""
"A little","2011","35-65 y.","Part Time","","","",""
"A little","2011","35-65 y.","Not Working","","","",""
"A little","2011","66 and older","Full Time","","","",""
"A little","2011","66 and older","Part Time","","","",""
"A little","2011","66 and older","Not Working","","","",""
"Not at all","2011","16-34 y.","Full Time","","","",""
"Not at all","2011","16-34 y.","Part Time","","","",""
"Not at all","2011","16-34 y.","Not Working","","","",""
"Not at all","2011","35-65 y.","Full Time","","","",""
"Not at all","2011","35-65 y.","Part Time","","","",""
"Not at all","2011","35-65 y.","Not Working","","","",""
"Not at all","2011","66 and older","Full Time","","","",""
"Not at all","2011","66 and older","Part Time","","","",""
"Not at all","2011","66 and older","Not Working","","","",""
"Strong","2012","16-34 y.","Full Time","30","0.0136240576997651","0.00830989963340604","0.0189382157661242"
"Strong","2012","16-34 y.","Part Time","39","0.0280108293451737","0.0189537807989529","0.0370678778913946"
"Strong","2012","16-34 y.","Not Working","22","","",""
"Strong","2012","35-65 y.","Full Time","398","0.0718644105162626","0.0651738743096477","0.0785549467228774"
"Strong","2012","35-65 y.","Part Time","365","0.124955030942579","0.113597133254943","0.136312928630215"
"Strong","2012","35-65 y.","Not Working","624","0.304538708125001","0.285338556584428","0.323738859665575"
"Strong","2012","66 and older","Full Time","12","","",""
"Strong","2012","66 and older","Part Time","49","0.149374699851386","0.111869539695868","0.186879860006905"
"Strong","2012","66 and older","Not Working","1623","0.362055570671181","0.348468205439094","0.375642935903267"
"A little","2012","16-34 y.","Full Time","370","0.205833602172549","0.187299400413921","0.224367803931178"
"A little","2012","16-34 y.","Part Time","270","0.220267187638806","0.197519313996019","0.243015061281593"
