"plh0204_h","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"9","2004","66 and older","no degree/no degree yet","","","",""
"10 Very willing to take risks","2004","16-34 y.","lower secondary degree","28","","",""
"10 Very willing to take risks","2004","16-34 y.","secondary school degree","18","","",""
"10 Very willing to take risks","2004","16-34 y.","college entrance qualification","12","","",""
"10 Very willing to take risks","2004","16-34 y.","Other degree","9","","",""
"10 Very willing to take risks","2004","16-34 y.","no degree/no degree yet","14","","",""
"10 Very willing to take risks","2004","35-65 y.","lower secondary degree","37","0.00868025119555341","0.00582688113542959","0.0115336212556772"
"10 Very willing to take risks","2004","35-65 y.","secondary school degree","26","","",""
"10 Very willing to take risks","2004","35-65 y.","college entrance qualification","25","","",""
"10 Very willing to take risks","2004","35-65 y.","Other degree","13","","",""
"10 Very willing to take risks","2004","35-65 y.","no degree/no degree yet","1","","",""
"10 Very willing to take risks","2004","66 and older","lower secondary degree","8","","",""
"10 Very willing to take risks","2004","66 and older","secondary school degree","4","","",""
"10 Very willing to take risks","2004","66 and older","college entrance qualification","7","","",""
"10 Very willing to take risks","2004","66 and older","Other degree","","","",""
"10 Very willing to take risks","2004","66 and older","no degree/no degree yet","","","",""
"0 Not at all Willing to take risks","2005","16-34 y.","lower secondary degree","","","",""
"0 Not at all Willing to take risks","2005","16-34 y.","secondary school degree","","","",""
"0 Not at all Willing to take risks","2005","16-34 y.","college entrance qualification","","","",""
"0 Not at all Willing to take risks","2005","16-34 y.","Other degree","","","",""
"0 Not at all Willing to take risks","2005","16-34 y.","no degree/no degree yet","","","",""
"0 Not at all Willing to take risks","2005","35-65 y.","lower secondary degree","","","",""
"0 Not at all Willing to take risks","2005","35-65 y.","secondary school degree","","","",""
"0 Not at all Willing to take risks","2005","35-65 y.","college entrance qualification","","","",""
"0 Not at all Willing to take risks","2005","35-65 y.","Other degree","","","",""
"0 Not at all Willing to take risks","2005","35-65 y.","no degree/no degree yet","","","",""
"0 Not at all Willing to take risks","2005","66 and older","lower secondary degree","","","",""
"0 Not at all Willing to take risks","2005","66 and older","secondary school degree","","","",""
"0 Not at all Willing to take risks","2005","66 and older","college entrance qualification","","","",""
"0 Not at all Willing to take risks","2005","66 and older","Other degree","","","",""
"0 Not at all Willing to take risks","2005","66 and older","no degree/no degree yet","","","",""
"1","2005","16-34 y.","lower secondary degree","","","",""
"1","2005","16-34 y.","secondary school degree","","","",""
"1","2005","16-34 y.","college entrance qualification","","","",""
"1","2005","16-34 y.","Other degree","","","",""
"1","2005","16-34 y.","no degree/no degree yet","","","",""
"1","2005","35-65 y.","lower secondary degree","","","",""
"1","2005","35-65 y.","secondary school degree","","","",""
"1","2005","35-65 y.","college entrance qualification","","","",""
"1","2005","35-65 y.","Other degree","","","",""
"1","2005","35-65 y.","no degree/no degree yet","","","",""
"1","2005","66 and older","lower secondary degree","","","",""
"1","2005","66 and older","secondary school degree","","","",""
"1","2005","66 and older","college entrance qualification","","","",""
"1","2005","66 and older","Other degree","","","",""
"1","2005","66 and older","no degree/no degree yet","","","",""
"2","2005","16-34 y.","lower secondary degree","","","",""
"2","2005","16-34 y.","secondary school degree","","","",""
"2","2005","16-34 y.","college entrance qualification","","","",""
"2","2005","16-34 y.","Other degree","","","",""
"2","2005","16-34 y.","no degree/no degree yet","","","",""
"2","2005","35-65 y.","lower secondary degree","","","",""
"2","2005","35-65 y.","secondary school degree","","","",""
"2","2005","35-65 y.","college entrance qualification","","","",""
"2","2005","35-65 y.","Other degree","","","",""
"2","2005","35-65 y.","no degree/no degree yet","","","",""
"2","2005","66 and older","lower secondary degree","","","",""
"2","2005","66 and older","secondary school degree","","","",""
"2","2005","66 and older","college entrance qualification","","","",""
"2","2005","66 and older","Other degree","","","",""
"2","2005","66 and older","no degree/no degree yet","","","",""
"3","2005","16-34 y.","lower secondary degree","","","",""
"3","2005","16-34 y.","secondary school degree","","","",""
"3","2005","16-34 y.","college entrance qualification","","","",""
"3","2005","16-34 y.","Other degree","","","",""
"3","2005","16-34 y.","no degree/no degree yet","","","",""
"3","2005","35-65 y.","lower secondary degree","","","",""
"3","2005","35-65 y.","secondary school degree","","","",""
"3","2005","35-65 y.","college entrance qualification","","","",""
"3","2005","35-65 y.","Other degree","","","",""
"3","2005","35-65 y.","no degree/no degree yet","","","",""
"3","2005","66 and older","lower secondary degree","","","",""
"3","2005","66 and older","secondary school degree","","","",""
"3","2005","66 and older","college entrance qualification","","","",""
"3","2005","66 and older","Other degree","","","",""
"3","2005","66 and older","no degree/no degree yet","","","",""
"4","2005","16-34 y.","lower secondary degree","","","",""
"4","2005","16-34 y.","secondary school degree","","","",""
"4","2005","16-34 y.","college entrance qualification","","","",""
"4","2005","16-34 y.","Other degree","","","",""
"4","2005","16-34 y.","no degree/no degree yet","","","",""
"4","2005","35-65 y.","lower secondary degree","","","",""
"4","2005","35-65 y.","secondary school degree","","","",""
"4","2005","35-65 y.","college entrance qualification","","","",""
"4","2005","35-65 y.","Other degree","","","",""
"4","2005","35-65 y.","no degree/no degree yet","","","",""
"4","2005","66 and older","lower secondary degree","","","",""
"4","2005","66 and older","secondary school degree","","","",""
"4","2005","66 and older","college entrance qualification","","","",""
"4","2005","66 and older","Other degree","","","",""
"4","2005","66 and older","no degree/no degree yet","","","",""
"5","2005","16-34 y.","lower secondary degree","","","",""
"5","2005","16-34 y.","secondary school degree","","","",""
"5","2005","16-34 y.","college entrance qualification","","","",""
"5","2005","16-34 y.","Other degree","","","",""
"5","2005","16-34 y.","no degree/no degree yet","","","",""
"5","2005","35-65 y.","lower secondary degree","","","",""
"5","2005","35-65 y.","secondary school degree","","","",""
"5","2005","35-65 y.","college entrance qualification","","","",""
"5","2005","35-65 y.","Other degree","","","",""
"5","2005","35-65 y.","no degree/no degree yet","","","",""
"5","2005","66 and older","lower secondary degree","","","",""
"5","2005","66 and older","secondary school degree","","","",""
"5","2005","66 and older","college entrance qualification","","","",""
"5","2005","66 and older","Other degree","","","",""
"5","2005","66 and older","no degree/no degree yet","","","",""
"6","2005","16-34 y.","lower secondary degree","","","",""
"6","2005","16-34 y.","secondary school degree","","","",""
"6","2005","16-34 y.","college entrance qualification","","","",""
"6","2005","16-34 y.","Other degree","","","",""
"6","2005","16-34 y.","no degree/no degree yet","","","",""
"6","2005","35-65 y.","lower secondary degree","","","",""
"6","2005","35-65 y.","secondary school degree","","","",""
"6","2005","35-65 y.","college entrance qualification","","","",""
"6","2005","35-65 y.","Other degree","","","",""
"6","2005","35-65 y.","no degree/no degree yet","","","",""
"6","2005","66 and older","lower secondary degree","","","",""
"6","2005","66 and older","secondary school degree","","","",""
"6","2005","66 and older","college entrance qualification","","","",""
"6","2005","66 and older","Other degree","","","",""
"6","2005","66 and older","no degree/no degree yet","","","",""
"7","2005","16-34 y.","lower secondary degree","","","",""
"7","2005","16-34 y.","secondary school degree","","","",""
"7","2005","16-34 y.","college entrance qualification","","","",""
"7","2005","16-34 y.","Other degree","","","",""
"7","2005","16-34 y.","no degree/no degree yet","","","",""
"7","2005","35-65 y.","lower secondary degree","","","",""
"7","2005","35-65 y.","secondary school degree","","","",""
"7","2005","35-65 y.","college entrance qualification","","","",""
