"plh0204_h","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"9","2004","35-65 y.","(2b) intermediate general qualification","","","",""
"9","2004","35-65 y.","(2a) intermediate vocational","53","0.0131211669187308","0.00926027063738553","0.0169820632000761"
"9","2004","35-65 y.","(2c_gen) general maturity certificate","1","","",""
"9","2004","35-65 y.","(2c_voc) vocational maturity certificate","18","","",""
"9","2004","35-65 y.","(3a) lower tertiary education","27","","",""
"9","2004","35-65 y.","(3b) higher tertiary education","42","0.0228276637497655","0.0161453491390247","0.0295099783605064"
"9","2004","66 and older","(0) in school","","","",""
"9","2004","66 and older","(1a) inadequately completed","","","",""
"9","2004","66 and older","(1b) general elementary school","3","","",""
"9","2004","66 and older","(1c) basic vocational qualification","7","","",""
"9","2004","66 and older","(2b) intermediate general qualification","1","","",""
"9","2004","66 and older","(2a) intermediate vocational","3","","",""
"9","2004","66 and older","(2c_gen) general maturity certificate","1","","",""
"9","2004","66 and older","(2c_voc) vocational maturity certificate","1","","",""
"9","2004","66 and older","(3a) lower tertiary education","2","","",""
"9","2004","66 and older","(3b) higher tertiary education","4","","",""
"10 Very willing to take risks","2004","16-34 y.","(0) in school","11","","",""
"10 Very willing to take risks","2004","16-34 y.","(1a) inadequately completed","3","","",""
"10 Very willing to take risks","2004","16-34 y.","(1b) general elementary school","17","","",""
"10 Very willing to take risks","2004","16-34 y.","(1c) basic vocational qualification","18","","",""
"10 Very willing to take risks","2004","16-34 y.","(2b) intermediate general qualification","6","","",""
"10 Very willing to take risks","2004","16-34 y.","(2a) intermediate vocational","12","","",""
"10 Very willing to take risks","2004","16-34 y.","(2c_gen) general maturity certificate","12","","",""
"10 Very willing to take risks","2004","16-34 y.","(2c_voc) vocational maturity certificate","1","","",""
"10 Very willing to take risks","2004","16-34 y.","(3a) lower tertiary education","1","","",""
"10 Very willing to take risks","2004","16-34 y.","(3b) higher tertiary education","","","",""
"10 Very willing to take risks","2004","35-65 y.","(0) in school","","","",""
"10 Very willing to take risks","2004","35-65 y.","(1a) inadequately completed","1","","",""
"10 Very willing to take risks","2004","35-65 y.","(1b) general elementary school","8","","",""
"10 Very willing to take risks","2004","35-65 y.","(1c) basic vocational qualification","36","0.00889432889126982","0.00584715820161921","0.0119414995809204"
"10 Very willing to take risks","2004","35-65 y.","(2b) intermediate general qualification","","","",""
"10 Very willing to take risks","2004","35-65 y.","(2a) intermediate vocational","24","","",""
"10 Very willing to take risks","2004","35-65 y.","(2c_gen) general maturity certificate","2","","",""
"10 Very willing to take risks","2004","35-65 y.","(2c_voc) vocational maturity certificate","5","","",""
"10 Very willing to take risks","2004","35-65 y.","(3a) lower tertiary education","8","","",""
"10 Very willing to take risks","2004","35-65 y.","(3b) higher tertiary education","18","","",""
"10 Very willing to take risks","2004","66 and older","(0) in school","","","",""
