"plh0204_h","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"9","2013","1-pers.-HH","(2a) intermediate vocational","16","","",""
"9","2013","1-pers.-HH","(2c_gen) general maturity certificate","5","","",""
"9","2013","1-pers.-HH","(2c_voc) vocational maturity certificate","8","","",""
"9","2013","1-pers.-HH","(3a) lower tertiary education","8","","",""
"9","2013","1-pers.-HH","(3b) higher tertiary education","11","","",""
"9","2013","(Married) couple without C. ","(0) in school","","","",""
"9","2013","(Married) couple without C. ","(1a) inadequately completed","4","","",""
"9","2013","(Married) couple without C. ","(1b) general elementary school","11","","",""
"9","2013","(Married) couple without C. ","(1c) basic vocational qualification","47","0.0180310350241039","0.0128244019845436","0.0232376680636642"
"9","2013","(Married) couple without C. ","(2b) intermediate general qualification","6","","",""
"9","2013","(Married) couple without C. ","(2a) intermediate vocational","42","0.0304314213070226","0.0225764627592416","0.0382863798548035"
"9","2013","(Married) couple without C. ","(2c_gen) general maturity certificate","7","","",""
"9","2013","(Married) couple without C. ","(2c_voc) vocational maturity certificate","15","","",""
"9","2013","(Married) couple without C. ","(3a) lower tertiary education","15","","",""
"9","2013","(Married) couple without C. ","(3b) higher tertiary education","38","0.0223140808935628","0.0148194049195574","0.0298087568675682"
"9","2013","Single parent ","(0) in school","10","","",""
"9","2013","Single parent ","(1a) inadequately completed","1","","",""
"9","2013","Single parent ","(1b) general elementary school","6","","",""
"9","2013","Single parent ","(1c) basic vocational qualification","3","","",""
"9","2013","Single parent ","(2b) intermediate general qualification","4","","",""
"9","2013","Single parent ","(2a) intermediate vocational","8","","",""
"9","2013","Single parent ","(2c_gen) general maturity certificate","3","","",""
"9","2013","Single parent ","(2c_voc) vocational maturity certificate","3","","",""
"9","2013","Single parent ","(3a) lower tertiary education","2","","",""
"9","2013","Single parent ","(3b) higher tertiary education","6","","",""
"9","2013","Couple + C. LE 16 ","(0) in school","","","",""
"9","2013","Couple + C. LE 16 ","(1a) inadequately completed","2","","",""
"9","2013","Couple + C. LE 16 ","(1b) general elementary school","12","","",""
"9","2013","Couple + C. LE 16 ","(1c) basic vocational qualification","24","","",""
"9","2013","Couple + C. LE 16 ","(2b) intermediate general qualification","5","","",""
"9","2013","Couple + C. LE 16 ","(2a) intermediate vocational","17","","",""
"9","2013","Couple + C. LE 16 ","(2c_gen) general maturity certificate","4","","",""
"9","2013","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","13","","",""
"9","2013","Couple + C. LE 16 ","(3a) lower tertiary education","7","","",""
"9","2013","Couple + C. LE 16 ","(3b) higher tertiary education","15","","",""
"9","2013","Couple + C. GT 16 ","(0) in school","10","","",""
"9","2013","Couple + C. GT 16 ","(1a) inadequately completed","1","","",""
"9","2013","Couple + C. GT 16 ","(1b) general elementary school","7","","",""
"9","2013","Couple + C. GT 16 ","(1c) basic vocational qualification","17","","",""
"9","2013","Couple + C. GT 16 ","(2b) intermediate general qualification","8","","",""
"9","2013","Couple + C. GT 16 ","(2a) intermediate vocational","15","","",""
"9","2013","Couple + C. GT 16 ","(2c_gen) general maturity certificate","13","","",""
"9","2013","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","6","","",""
"9","2013","Couple + C. GT 16 ","(3a) lower tertiary education","1","","",""
"9","2013","Couple + C. GT 16 ","(3b) higher tertiary education","12","","",""
"9","2013","Couple + C. LE and GT 16","(0) in school","11","","",""
"9","2013","Couple + C. LE and GT 16","(1a) inadequately completed","3","","",""
"9","2013","Couple + C. LE and GT 16","(1b) general elementary school","8","","",""
"9","2013","Couple + C. LE and GT 16","(1c) basic vocational qualification","15","","",""
"9","2013","Couple + C. LE and GT 16","(2b) intermediate general qualification","5","","",""
"9","2013","Couple + C. LE and GT 16","(2a) intermediate vocational","5","","",""
"9","2013","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","5","","",""
"9","2013","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","2","","",""
"9","2013","Couple + C. LE and GT 16","(3a) lower tertiary education","1","","",""
"9","2013","Couple + C. LE and GT 16","(3b) higher tertiary education","7","","",""
"10 Very willing to take risks","2013","1-pers.-HH","(0) in school","","","",""
"10 Very willing to take risks","2013","1-pers.-HH","(1a) inadequately completed","5","","",""
"10 Very willing to take risks","2013","1-pers.-HH","(1b) general elementary school","12","","",""
"10 Very willing to take risks","2013","1-pers.-HH","(1c) basic vocational qualification","16","","",""
"10 Very willing to take risks","2013","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"10 Very willing to take risks","2013","1-pers.-HH","(2a) intermediate vocational","14","","",""
"10 Very willing to take risks","2013","1-pers.-HH","(2c_gen) general maturity certificate","4","","",""
"10 Very willing to take risks","2013","1-pers.-HH","(2c_voc) vocational maturity certificate","6","","",""
"10 Very willing to take risks","2013","1-pers.-HH","(3a) lower tertiary education","1","","",""
"10 Very willing to take risks","2013","1-pers.-HH","(3b) higher tertiary education","8","","",""
"10 Very willing to take risks","2013","(Married) couple without C. ","(0) in school","3","","",""
"10 Very willing to take risks","2013","(Married) couple without C. ","(1a) inadequately completed","5","","",""
"10 Very willing to take risks","2013","(Married) couple without C. ","(1b) general elementary school","12","","",""
"10 Very willing to take risks","2013","(Married) couple without C. ","(1c) basic vocational qualification","29","","",""
"10 Very willing to take risks","2013","(Married) couple without C. ","(2b) intermediate general qualification","2","","",""
"10 Very willing to take risks","2013","(Married) couple without C. ","(2a) intermediate vocational","20","","",""
"10 Very willing to take risks","2013","(Married) couple without C. ","(2c_gen) general maturity certificate","3","","",""
"10 Very willing to take risks","2013","(Married) couple without C. ","(2c_voc) vocational maturity certificate","10","","",""
"10 Very willing to take risks","2013","(Married) couple without C. ","(3a) lower tertiary education","8","","",""
"10 Very willing to take risks","2013","(Married) couple without C. ","(3b) higher tertiary education","19","","",""
"10 Very willing to take risks","2013","Single parent ","(0) in school","2","","",""
"10 Very willing to take risks","2013","Single parent ","(1a) inadequately completed","5","","",""
"10 Very willing to take risks","2013","Single parent ","(1b) general elementary school","7","","",""
"10 Very willing to take risks","2013","Single parent ","(1c) basic vocational qualification","6","","",""
"10 Very willing to take risks","2013","Single parent ","(2b) intermediate general qualification","2","","",""
"10 Very willing to take risks","2013","Single parent ","(2a) intermediate vocational","5","","",""
"10 Very willing to take risks","2013","Single parent ","(2c_gen) general maturity certificate","1","","",""
"10 Very willing to take risks","2013","Single parent ","(2c_voc) vocational maturity certificate","5","","",""
"10 Very willing to take risks","2013","Single parent ","(3a) lower tertiary education","1","","",""
"10 Very willing to take risks","2013","Single parent ","(3b) higher tertiary education","2","","",""
"10 Very willing to take risks","2013","Couple + C. LE 16 ","(0) in school","","","",""
"10 Very willing to take risks","2013","Couple + C. LE 16 ","(1a) inadequately completed","8","","",""
"10 Very willing to take risks","2013","Couple + C. LE 16 ","(1b) general elementary school","10","","",""
"10 Very willing to take risks","2013","Couple + C. LE 16 ","(1c) basic vocational qualification","20","","",""
"10 Very willing to take risks","2013","Couple + C. LE 16 ","(2b) intermediate general qualification","2","","",""
"10 Very willing to take risks","2013","Couple + C. LE 16 ","(2a) intermediate vocational","13","","",""
"10 Very willing to take risks","2013","Couple + C. LE 16 ","(2c_gen) general maturity certificate","6","","",""
"10 Very willing to take risks","2013","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","9","","",""
"10 Very willing to take risks","2013","Couple + C. LE 16 ","(3a) lower tertiary education","1","","",""
"10 Very willing to take risks","2013","Couple + C. LE 16 ","(3b) higher tertiary education","15","","",""
"10 Very willing to take risks","2013","Couple + C. GT 16 ","(0) in school","1","","",""
"10 Very willing to take risks","2013","Couple + C. GT 16 ","(1a) inadequately completed","2","","",""
"10 Very willing to take risks","2013","Couple + C. GT 16 ","(1b) general elementary school","6","","",""
"10 Very willing to take risks","2013","Couple + C. GT 16 ","(1c) basic vocational qualification","11","","",""
"10 Very willing to take risks","2013","Couple + C. GT 16 ","(2b) intermediate general qualification","4","","",""
"10 Very willing to take risks","2013","Couple + C. GT 16 ","(2a) intermediate vocational","6","","",""
"10 Very willing to take risks","2013","Couple + C. GT 16 ","(2c_gen) general maturity certificate","4","","",""
"10 Very willing to take risks","2013","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","3","","",""
"10 Very willing to take risks","2013","Couple + C. GT 16 ","(3a) lower tertiary education","3","","",""
"10 Very willing to take risks","2013","Couple + C. GT 16 ","(3b) higher tertiary education","4","","",""
"10 Very willing to take risks","2013","Couple + C. LE and GT 16","(0) in school","8","","",""
"10 Very willing to take risks","2013","Couple + C. LE and GT 16","(1a) inadequately completed","4","","",""
"10 Very willing to take risks","2013","Couple + C. LE and GT 16","(1b) general elementary school","9","","",""
"10 Very willing to take risks","2013","Couple + C. LE and GT 16","(1c) basic vocational qualification","6","","",""
"10 Very willing to take risks","2013","Couple + C. LE and GT 16","(2b) intermediate general qualification","7","","",""
"10 Very willing to take risks","2013","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"10 Very willing to take risks","2013","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","2","","",""
"10 Very willing to take risks","2013","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","2","","",""
"10 Very willing to take risks","2013","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"10 Very willing to take risks","2013","Couple + C. LE and GT 16","(3b) higher tertiary education","2","","",""
"0 Not at all Willing to take risks","2014","1-pers.-HH","(0) in school","","","",""
"0 Not at all Willing to take risks","2014","1-pers.-HH","(1a) inadequately completed","6","","",""
"0 Not at all Willing to take risks","2014","1-pers.-HH","(1b) general elementary school","58","0.140850737843735","0.106281710170185","0.175419765517286"
"0 Not at all Willing to take risks","2014","1-pers.-HH","(1c) basic vocational qualification","80","0.0802833125573501","0.0629766718952589","0.0975899532194412"
"0 Not at all Willing to take risks","2014","1-pers.-HH","(2b) intermediate general qualification","8","","",""
"0 Not at all Willing to take risks","2014","1-pers.-HH","(2a) intermediate vocational","40","0.054641306317423","0.0382437640863855","0.0710388485484605"
"0 Not at all Willing to take risks","2014","1-pers.-HH","(2c_gen) general maturity certificate","7","","",""
"0 Not at all Willing to take risks","2014","1-pers.-HH","(2c_voc) vocational maturity certificate","18","","",""
"0 Not at all Willing to take risks","2014","1-pers.-HH","(3a) lower tertiary education","9","","",""
"0 Not at all Willing to take risks","2014","1-pers.-HH","(3b) higher tertiary education","17","","",""
"0 Not at all Willing to take risks","2014","(Married) couple without C. ","(0) in school","","","",""
"0 Not at all Willing to take risks","2014","(Married) couple without C. ","(1a) inadequately completed","13","","",""
"0 Not at all Willing to take risks","2014","(Married) couple without C. ","(1b) general elementary school","82","0.143941653901246","0.114815984296684","0.173067323505808"
"0 Not at all Willing to take risks","2014","(Married) couple without C. ","(1c) basic vocational qualification","200","0.0825617716517534","0.0714721012389417","0.0936514420645651"
"0 Not at all Willing to take risks","2014","(Married) couple without C. ","(2b) intermediate general qualification","5","","",""
"0 Not at all Willing to take risks","2014","(Married) couple without C. ","(2a) intermediate vocational","70","0.0434518140542776","0.0339808219999596","0.0529228061085957"
"0 Not at all Willing to take risks","2014","(Married) couple without C. ","(2c_gen) general maturity certificate","15","","",""
"0 Not at all Willing to take risks","2014","(Married) couple without C. ","(2c_voc) vocational maturity certificate","24","","",""
"0 Not at all Willing to take risks","2014","(Married) couple without C. ","(3a) lower tertiary education","22","","",""
"0 Not at all Willing to take risks","2014","(Married) couple without C. ","(3b) higher tertiary education","35","0.0210328840945547","0.0134178058146042","0.0286479623745051"
"0 Not at all Willing to take risks","2014","Single parent ","(0) in school","1","","",""
"0 Not at all Willing to take risks","2014","Single parent ","(1a) inadequately completed","6","","",""
"0 Not at all Willing to take risks","2014","Single parent ","(1b) general elementary school","20","","",""
"0 Not at all Willing to take risks","2014","Single parent ","(1c) basic vocational qualification","25","","",""
"0 Not at all Willing to take risks","2014","Single parent ","(2b) intermediate general qualification","1","","",""
"0 Not at all Willing to take risks","2014","Single parent ","(2a) intermediate vocational","24","","",""
"0 Not at all Willing to take risks","2014","Single parent ","(2c_gen) general maturity certificate","4","","",""
"0 Not at all Willing to take risks","2014","Single parent ","(2c_voc) vocational maturity certificate","10","","",""
"0 Not at all Willing to take risks","2014","Single parent ","(3a) lower tertiary education","1","","",""
"0 Not at all Willing to take risks","2014","Single parent ","(3b) higher tertiary education","10","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE 16 ","(0) in school","","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE 16 ","(1a) inadequately completed","17","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE 16 ","(1b) general elementary school","55","0.0899898318986073","0.0654643759876222","0.114515287809592"
"0 Not at all Willing to take risks","2014","Couple + C. LE 16 ","(1c) basic vocational qualification","56","0.0501599434554827","0.0369887350776628","0.0633311518333026"
"0 Not at all Willing to take risks","2014","Couple + C. LE 16 ","(2b) intermediate general qualification","6","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE 16 ","(2a) intermediate vocational","61","0.0256526954301471","0.0182581883057519","0.0330472025545423"
"0 Not at all Willing to take risks","2014","Couple + C. LE 16 ","(2c_gen) general maturity certificate","17","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","38","0.0430157220908583","0.02981157183331","0.0562198723484065"
"0 Not at all Willing to take risks","2014","Couple + C. LE 16 ","(3a) lower tertiary education","9","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE 16 ","(3b) higher tertiary education","33","0.0183549740164849","0.0112677264344693","0.0254422215985006"
"0 Not at all Willing to take risks","2014","Couple + C. GT 16 ","(0) in school","6","","",""
"0 Not at all Willing to take risks","2014","Couple + C. GT 16 ","(1a) inadequately completed","8","","",""
"0 Not at all Willing to take risks","2014","Couple + C. GT 16 ","(1b) general elementary school","23","","",""
"0 Not at all Willing to take risks","2014","Couple + C. GT 16 ","(1c) basic vocational qualification","56","0.0763565298515108","0.0549458910888519","0.0977671686141696"
"0 Not at all Willing to take risks","2014","Couple + C. GT 16 ","(2b) intermediate general qualification","9","","",""
"0 Not at all Willing to take risks","2014","Couple + C. GT 16 ","(2a) intermediate vocational","32","0.0322355194271487","0.0188011827844388","0.0456698560698586"
"0 Not at all Willing to take risks","2014","Couple + C. GT 16 ","(2c_gen) general maturity certificate","20","","",""
"0 Not at all Willing to take risks","2014","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","18","","",""
"0 Not at all Willing to take risks","2014","Couple + C. GT 16 ","(3a) lower tertiary education","6","","",""
"0 Not at all Willing to take risks","2014","Couple + C. GT 16 ","(3b) higher tertiary education","23","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE and GT 16","(0) in school","1","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE and GT 16","(1a) inadequately completed","7","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE and GT 16","(1b) general elementary school","22","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE and GT 16","(1c) basic vocational qualification","18","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE and GT 16","(2b) intermediate general qualification","1","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE and GT 16","(2a) intermediate vocational","5","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","13","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","4","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE and GT 16","(3a) lower tertiary education","4","","",""
"0 Not at all Willing to take risks","2014","Couple + C. LE and GT 16","(3b) higher tertiary education","5","","",""
"1","2014","1-pers.-HH","(0) in school","","","",""
"1","2014","1-pers.-HH","(1a) inadequately completed","5","","",""
"1","2014","1-pers.-HH","(1b) general elementary school","41","0.102787577791525","0.0726095228211737","0.132965632761876"
"1","2014","1-pers.-HH","(1c) basic vocational qualification","73","0.0733551255648761","0.0567498916476761","0.0899603594820761"
"1","2014","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"1","2014","1-pers.-HH","(2a) intermediate vocational","32","0.0422251773428332","0.0277161813939773","0.0567341732916891"
"1","2014","1-pers.-HH","(2c_gen) general maturity certificate","4","","",""
"1","2014","1-pers.-HH","(2c_voc) vocational maturity certificate","13","","",""
"1","2014","1-pers.-HH","(3a) lower tertiary education","9","","",""
"1","2014","1-pers.-HH","(3b) higher tertiary education","31","0.0577145071301854","0.0382427098424458","0.077186304417925"
"1","2014","(Married) couple without C. ","(0) in school","","","",""
"1","2014","(Married) couple without C. ","(1a) inadequately completed","4","","",""
"1","2014","(Married) couple without C. ","(1b) general elementary school","45","0.0897537278746258","0.0660379871373936","0.113469468611858"
"1","2014","(Married) couple without C. ","(1c) basic vocational qualification","132","0.0532115394044318","0.0441673403844832","0.0622557384243804"
"1","2014","(Married) couple without C. ","(2b) intermediate general qualification","9","","",""
"1","2014","(Married) couple without C. ","(2a) intermediate vocational","73","0.0458487730747156","0.0361322574009301","0.0555652887485011"
"1","2014","(Married) couple without C. ","(2c_gen) general maturity certificate","6","","",""
"1","2014","(Married) couple without C. ","(2c_voc) vocational maturity certificate","21","","",""
"1","2014","(Married) couple without C. ","(3a) lower tertiary education","21","","",""
"1","2014","(Married) couple without C. ","(3b) higher tertiary education","48","0.0306573029004068","0.0215088733164807","0.0398057324843329"
"1","2014","Single parent ","(0) in school","4","","",""
"1","2014","Single parent ","(1a) inadequately completed","6","","",""
"1","2014","Single parent ","(1b) general elementary school","21","","",""
"1","2014","Single parent ","(1c) basic vocational qualification","23","","",""
"1","2014","Single parent ","(2b) intermediate general qualification","4","","",""
"1","2014","Single parent ","(2a) intermediate vocational","26","","",""
"1","2014","Single parent ","(2c_gen) general maturity certificate","6","","",""
"1","2014","Single parent ","(2c_voc) vocational maturity certificate","11","","",""
"1","2014","Single parent ","(3a) lower tertiary education","1","","",""
"1","2014","Single parent ","(3b) higher tertiary education","8","","",""
"1","2014","Couple + C. LE 16 ","(0) in school","","","",""
"1","2014","Couple + C. LE 16 ","(1a) inadequately completed","16","","",""
"1","2014","Couple + C. LE 16 ","(1b) general elementary school","35","0.0621839419335867","0.0414875231496929","0.0828803607174804"
"1","2014","Couple + C. LE 16 ","(1c) basic vocational qualification","46","0.0467668551110988","0.0340262366058943","0.0595074736163032"
"1","2014","Couple + C. LE 16 ","(2b) intermediate general qualification","5","","",""
"1","2014","Couple + C. LE 16 ","(2a) intermediate vocational","79","0.0346972888929318","0.0261374543663864","0.0432571234194772"
"1","2014","Couple + C. LE 16 ","(2c_gen) general maturity certificate","13","","",""
"1","2014","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","37","0.0404186373058246","0.0276019383548121","0.053235336256837"
"1","2014","Couple + C. LE 16 ","(3a) lower tertiary education","16","","",""
"1","2014","Couple + C. LE 16 ","(3b) higher tertiary education","41","0.0459338763351582","0.0348808992818681","0.0569868533884484"
"1","2014","Couple + C. GT 16 ","(0) in school","1","","",""
"1","2014","Couple + C. GT 16 ","(1a) inadequately completed","3","","",""
"1","2014","Couple + C. GT 16 ","(1b) general elementary school","19","","",""
"1","2014","Couple + C. GT 16 ","(1c) basic vocational qualification","29","","",""
"1","2014","Couple + C. GT 16 ","(2b) intermediate general qualification","3","","",""
"1","2014","Couple + C. GT 16 ","(2a) intermediate vocational","20","","",""
"1","2014","Couple + C. GT 16 ","(2c_gen) general maturity certificate","10","","",""
"1","2014","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","8","","",""
"1","2014","Couple + C. GT 16 ","(3a) lower tertiary education","5","","",""
"1","2014","Couple + C. GT 16 ","(3b) higher tertiary education","16","","",""
"1","2014","Couple + C. LE and GT 16","(0) in school","1","","",""
"1","2014","Couple + C. LE and GT 16","(1a) inadequately completed","4","","",""
"1","2014","Couple + C. LE and GT 16","(1b) general elementary school","11","","",""
"1","2014","Couple + C. LE and GT 16","(1c) basic vocational qualification","13","","",""
"1","2014","Couple + C. LE and GT 16","(2b) intermediate general qualification","4","","",""
"1","2014","Couple + C. LE and GT 16","(2a) intermediate vocational","19","","",""
"1","2014","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","6","","",""
"1","2014","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","6","","",""
"1","2014","Couple + C. LE and GT 16","(3a) lower tertiary education","4","","",""
"1","2014","Couple + C. LE and GT 16","(3b) higher tertiary education","11","","",""
"2","2014","1-pers.-HH","(0) in school","","","",""
"2","2014","1-pers.-HH","(1a) inadequately completed","8","","",""
"2","2014","1-pers.-HH","(1b) general elementary school","66","0.160148084672227","0.123703288694265","0.19659288065019"
"2","2014","1-pers.-HH","(1c) basic vocational qualification","112","0.126749649568266","0.10556038568936","0.147938913447173"
"2","2014","1-pers.-HH","(2b) intermediate general qualification","3","","",""
"2","2014","1-pers.-HH","(2a) intermediate vocational","62","0.087233418875523","0.0668751323449658","0.10759170540608"
"2","2014","1-pers.-HH","(2c_gen) general maturity certificate","10","","",""
"2","2014","1-pers.-HH","(2c_voc) vocational maturity certificate","16","","",""
"2","2014","1-pers.-HH","(3a) lower tertiary education","28","","",""
"2","2014","1-pers.-HH","(3b) higher tertiary education","42","0.0871442413643939","0.0635941433956141","0.110694339333174"
"2","2014","(Married) couple without C. ","(0) in school","1","","",""
"2","2014","(Married) couple without C. ","(1a) inadequately completed","12","","",""
"2","2014","(Married) couple without C. ","(1b) general elementary school","82","0.126254827626799","0.0986968474884276","0.153812807765169"
"2","2014","(Married) couple without C. ","(1c) basic vocational qualification","264","0.115044514282685","0.102187669785619","0.12790135877975"
"2","2014","(Married) couple without C. ","(2b) intermediate general qualification","6","","",""
"2","2014","(Married) couple without C. ","(2a) intermediate vocational","180","0.0899573157316271","0.0766654111426724","0.103249220320582"
"2","2014","(Married) couple without C. ","(2c_gen) general maturity certificate","16","","",""
"2","2014","(Married) couple without C. ","(2c_voc) vocational maturity certificate","52","0.0972581299425559","0.0732057218401118","0.121310538045"
"2","2014","(Married) couple without C. ","(3a) lower tertiary education","62","0.0595027353426372","0.0426952401237061","0.0763102305615682"
"2","2014","(Married) couple without C. ","(3b) higher tertiary education","119","0.0879693416778023","0.0729375310580571","0.103001152297547"
"2","2014","Single parent ","(0) in school","7","","",""
"2","2014","Single parent ","(1a) inadequately completed","8","","",""
"2","2014","Single parent ","(1b) general elementary school","20","","",""
"2","2014","Single parent ","(1c) basic vocational qualification","46","0.0952169059228002","0.0657831502422077","0.124650661603393"
"2","2014","Single parent ","(2b) intermediate general qualification","14","","",""
"2","2014","Single parent ","(2a) intermediate vocational","59","0.0768091863209929","0.0555727352631527","0.0980456373788332"
"2","2014","Single parent ","(2c_gen) general maturity certificate","10","","",""
"2","2014","Single parent ","(2c_voc) vocational maturity certificate","22","","",""
"2","2014","Single parent ","(3a) lower tertiary education","11","","",""
"2","2014","Single parent ","(3b) higher tertiary education","20","","",""
"2","2014","Couple + C. LE 16 ","(0) in school","","","",""
"2","2014","Couple + C. LE 16 ","(1a) inadequately completed","19","","",""
"2","2014","Couple + C. LE 16 ","(1b) general elementary school","46","0.10936828629697","0.0826202423604413","0.136116330233499"
"2","2014","Couple + C. LE 16 ","(1c) basic vocational qualification","89","0.0888698198306192","0.0716990713266822","0.106040568334556"
"2","2014","Couple + C. LE 16 ","(2b) intermediate general qualification","7","","",""
"2","2014","Couple + C. LE 16 ","(2a) intermediate vocational","185","0.113388374850476","0.0985585230388262","0.128218226662127"
"2","2014","Couple + C. LE 16 ","(2c_gen) general maturity certificate","34","0.120972295420667","0.0829796866521697","0.158964904189165"
"2","2014","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","124","0.123848058353763","0.102410330049769","0.145285786657756"
"2","2014","Couple + C. LE 16 ","(3a) lower tertiary education","43","0.0905304281895906","0.0658203235159871","0.115240532863194"
"2","2014","Couple + C. LE 16 ","(3b) higher tertiary education","132","0.0856368137903029","0.0708623033704456","0.10041132421016"
"2","2014","Couple + C. GT 16 ","(0) in school","5","","",""
"2","2014","Couple + C. GT 16 ","(1a) inadequately completed","5","","",""
"2","2014","Couple + C. GT 16 ","(1b) general elementary school","19","","",""
"2","2014","Couple + C. GT 16 ","(1c) basic vocational qualification","64","0.11334142938963","0.0877834272906067","0.138899431488653"
"2","2014","Couple + C. GT 16 ","(2b) intermediate general qualification","14","","",""
"2","2014","Couple + C. GT 16 ","(2a) intermediate vocational","72","0.0922272647885155","0.0702191783519038","0.114235351225127"
"2","2014","Couple + C. GT 16 ","(2c_gen) general maturity certificate","28","","",""
"2","2014","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","26","","",""
"2","2014","Couple + C. GT 16 ","(3a) lower tertiary education","13","","",""
"2","2014","Couple + C. GT 16 ","(3b) higher tertiary education","30","0.0925338392792473","0.0623046674821076","0.122763011076387"
"2","2014","Couple + C. LE and GT 16","(0) in school","8","","",""
"2","2014","Couple + C. LE and GT 16","(1a) inadequately completed","8","","",""
"2","2014","Couple + C. LE and GT 16","(1b) general elementary school","20","","",""
"2","2014","Couple + C. LE and GT 16","(1c) basic vocational qualification","32","0.0487706320126055","0.0259097638885944","0.0716315001366166"
"2","2014","Couple + C. LE and GT 16","(2b) intermediate general qualification","6","","",""
"2","2014","Couple + C. LE and GT 16","(2a) intermediate vocational","48","0.115707879346355","0.0842425572105027","0.147173201482206"
"2","2014","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","22","","",""
"2","2014","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","25","","",""
"2","2014","Couple + C. LE and GT 16","(3a) lower tertiary education","15","","",""
"2","2014","Couple + C. LE and GT 16","(3b) higher tertiary education","19","","",""
"3","2014","1-pers.-HH","(0) in school","","","",""
"3","2014","1-pers.-HH","(1a) inadequately completed","6","","",""
"3","2014","1-pers.-HH","(1b) general elementary school","46","0.0945411816599235","0.0654662866727668","0.12361607664708"
"3","2014","1-pers.-HH","(1c) basic vocational qualification","116","0.122427447861253","0.101551124494491","0.143303771228015"
"3","2014","1-pers.-HH","(2b) intermediate general qualification","5","","",""
"3","2014","1-pers.-HH","(2a) intermediate vocational","76","0.107106584242295","0.0847951337576786","0.129418034726911"
"3","2014","1-pers.-HH","(2c_gen) general maturity certificate","23","","",""
"3","2014","1-pers.-HH","(2c_voc) vocational maturity certificate","32","0.136877898852187","0.0967610954196135","0.17699470228476"
"3","2014","1-pers.-HH","(3a) lower tertiary education","39","0.100567857485375","0.06735497147711","0.13378074349364"
"3","2014","1-pers.-HH","(3b) higher tertiary education","67","0.134683165943478","0.106178462554397","0.16318786933256"
"3","2014","(Married) couple without C. ","(0) in school","","","",""
"3","2014","(Married) couple without C. ","(1a) inadequately completed","7","","",""
"3","2014","(Married) couple without C. ","(1b) general elementary school","60","0.0941540297186826","0.0699226788617076","0.118385380575658"
"3","2014","(Married) couple without C. ","(1c) basic vocational qualification","314","0.128372876183343","0.114894340122232","0.141851412244454"
"3","2014","(Married) couple without C. ","(2b) intermediate general qualification","17","","",""
"3","2014","(Married) couple without C. ","(2a) intermediate vocational","202","0.121116269176008","0.105959555560573","0.136272982791444"
"3","2014","(Married) couple without C. ","(2c_gen) general maturity certificate","33","0.0965411505188577","0.0581221921760024","0.134960108861713"
"3","2014","(Married) couple without C. ","(2c_voc) vocational maturity certificate","79","0.114697459778717","0.0888310252712291","0.140563894286205"
"3","2014","(Married) couple without C. ","(3a) lower tertiary education","97","0.157130976892899","0.131274656866392","0.182987296919405"
"3","2014","(Married) couple without C. ","(3b) higher tertiary education","182","0.141398449895348","0.12290750671023","0.159889393080467"
"3","2014","Single parent ","(0) in school","10","","",""
"3","2014","Single parent ","(1a) inadequately completed","2","","",""
"3","2014","Single parent ","(1b) general elementary school","18","","",""
