"plh0204_h","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"8","2011","(3b) higher tertiary education","middle vocational","","","",""
"8","2011","(3b) higher tertiary education","vocational + Abi","","","",""
"8","2011","(3b) higher tertiary education","higher vocational","","","",""
"8","2011","(3b) higher tertiary education","higher education","217","0.0858864205123907","0.0755795284834102","0.0961933125413713"
"9","2011","(0) in school","in school","17","","",""
"9","2011","(0) in school","inadequately","","","",""
"9","2011","(0) in school","general elemantary","","","",""
"9","2011","(0) in school","middle vocational","","","",""
"9","2011","(0) in school","vocational + Abi","","","",""
"9","2011","(0) in school","higher vocational","","","",""
"9","2011","(0) in school","higher education","","","",""
"9","2011","(1a) inadequately completed","in school","","","",""
"9","2011","(1a) inadequately completed","inadequately","3","","",""
"9","2011","(1a) inadequately completed","general elemantary","","","",""
"9","2011","(1a) inadequately completed","middle vocational","1","","",""
"9","2011","(1a) inadequately completed","vocational + Abi","","","",""
"9","2011","(1a) inadequately completed","higher vocational","","","",""
"9","2011","(1a) inadequately completed","higher education","","","",""
"9","2011","(1b) general elementary school","in school","","","",""
"9","2011","(1b) general elementary school","inadequately","","","",""
"9","2011","(1b) general elementary school","general elemantary","19","","",""
"9","2011","(1b) general elementary school","middle vocational","","","",""
"9","2011","(1b) general elementary school","vocational + Abi","","","",""
"9","2011","(1b) general elementary school","higher vocational","","","",""
"9","2011","(1b) general elementary school","higher education","","","",""
"9","2011","(1c) basic vocational qualification","in school","","","",""
"9","2011","(1c) basic vocational qualification","inadequately","","","",""
"9","2011","(1c) basic vocational qualification","general elemantary","","","",""
"9","2011","(1c) basic vocational qualification","middle vocational","70","0.0127057918661295","0.00962525858013862","0.0157863251521205"
"9","2011","(1c) basic vocational qualification","vocational + Abi","","","",""
"9","2011","(1c) basic vocational qualification","higher vocational","3","","",""
"9","2011","(1c) basic vocational qualification","higher education","","","",""
"9","2011","(2b) intermediate general qualification","in school","","","",""
"9","2011","(2b) intermediate general qualification","inadequately","","","",""
"9","2011","(2b) intermediate general qualification","general elemantary","19","","",""
"9","2011","(2b) intermediate general qualification","middle vocational","","","",""
"9","2011","(2b) intermediate general qualification","vocational + Abi","","","",""
"9","2011","(2b) intermediate general qualification","higher vocational","","","",""
"9","2011","(2b) intermediate general qualification","higher education","","","",""
"9","2011","(2a) intermediate vocational","in school","","","",""
"9","2011","(2a) intermediate vocational","inadequately","","","",""
"9","2011","(2a) intermediate vocational","general elemantary","","","",""
"9","2011","(2a) intermediate vocational","middle vocational","75","0.0161980738408303","0.0124432574680465","0.0199528902136141"
"9","2011","(2a) intermediate vocational","vocational + Abi","","","",""
"9","2011","(2a) intermediate vocational","higher vocational","7","","",""
"9","2011","(2a) intermediate vocational","higher education","","","",""
"9","2011","(2c_gen) general maturity certificate","in school","","","",""
"9","2011","(2c_gen) general maturity certificate","inadequately","","","",""
"9","2011","(2c_gen) general maturity certificate","general elemantary","","","",""
"9","2011","(2c_gen) general maturity certificate","middle vocational","16","","",""
"9","2011","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"9","2011","(2c_gen) general maturity certificate","higher vocational","","","",""
"9","2011","(2c_gen) general maturity certificate","higher education","","","",""
"9","2011","(2c_voc) vocational maturity certificate","in school","","","",""
"9","2011","(2c_voc) vocational maturity certificate","inadequately","","","",""
"9","2011","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"9","2011","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"9","2011","(2c_voc) vocational maturity certificate","vocational + Abi","15","","",""
"9","2011","(2c_voc) vocational maturity certificate","higher vocational","3","","",""
"9","2011","(2c_voc) vocational maturity certificate","higher education","","","",""
"9","2011","(3a) lower tertiary education","in school","","","",""
"9","2011","(3a) lower tertiary education","inadequately","","","",""
"9","2011","(3a) lower tertiary education","general elemantary","","","",""
"9","2011","(3a) lower tertiary education","middle vocational","","","",""
"9","2011","(3a) lower tertiary education","vocational + Abi","","","",""
"9","2011","(3a) lower tertiary education","higher vocational","","","",""
"9","2011","(3a) lower tertiary education","higher education","16","","",""
"9","2011","(3b) higher tertiary education","in school","","","",""
"9","2011","(3b) higher tertiary education","inadequately","","","",""
"9","2011","(3b) higher tertiary education","general elemantary","","","",""
"9","2011","(3b) higher tertiary education","middle vocational","","","",""
"9","2011","(3b) higher tertiary education","vocational + Abi","","","",""
"9","2011","(3b) higher tertiary education","higher vocational","","","",""
"9","2011","(3b) higher tertiary education","higher education","42","0.016281486077155","0.0116261843079821","0.0209367878463279"
"10 Very willing to take risks","2011","(0) in school","in school","2","","",""
"10 Very willing to take risks","2011","(0) in school","inadequately","","","",""
"10 Very willing to take risks","2011","(0) in school","general elemantary","","","",""
"10 Very willing to take risks","2011","(0) in school","middle vocational","","","",""
"10 Very willing to take risks","2011","(0) in school","vocational + Abi","","","",""
"10 Very willing to take risks","2011","(0) in school","higher vocational","","","",""
"10 Very willing to take risks","2011","(0) in school","higher education","","","",""
"10 Very willing to take risks","2011","(1a) inadequately completed","in school","","","",""
"10 Very willing to take risks","2011","(1a) inadequately completed","inadequately","8","","",""
"10 Very willing to take risks","2011","(1a) inadequately completed","general elemantary","","","",""
"10 Very willing to take risks","2011","(1a) inadequately completed","middle vocational","2","","",""
"10 Very willing to take risks","2011","(1a) inadequately completed","vocational + Abi","","","",""
"10 Very willing to take risks","2011","(1a) inadequately completed","higher vocational","","","",""
"10 Very willing to take risks","2011","(1a) inadequately completed","higher education","","","",""
"10 Very willing to take risks","2011","(1b) general elementary school","in school","","","",""
"10 Very willing to take risks","2011","(1b) general elementary school","inadequately","1","","",""
"10 Very willing to take risks","2011","(1b) general elementary school","general elemantary","21","","",""
"10 Very willing to take risks","2011","(1b) general elementary school","middle vocational","","","",""
"10 Very willing to take risks","2011","(1b) general elementary school","vocational + Abi","","","",""
"10 Very willing to take risks","2011","(1b) general elementary school","higher vocational","","","",""
"10 Very willing to take risks","2011","(1b) general elementary school","higher education","","","",""
"10 Very willing to take risks","2011","(1c) basic vocational qualification","in school","","","",""
"10 Very willing to take risks","2011","(1c) basic vocational qualification","inadequately","","","",""
"10 Very willing to take risks","2011","(1c) basic vocational qualification","general elemantary","","","",""
"10 Very willing to take risks","2011","(1c) basic vocational qualification","middle vocational","49","0.012405192506107","0.00936085431623932","0.0154495306959748"
"10 Very willing to take risks","2011","(1c) basic vocational qualification","vocational + Abi","","","",""
"10 Very willing to take risks","2011","(1c) basic vocational qualification","higher vocational","2","","",""
"10 Very willing to take risks","2011","(1c) basic vocational qualification","higher education","","","",""
"10 Very willing to take risks","2011","(2b) intermediate general qualification","in school","","","",""
"10 Very willing to take risks","2011","(2b) intermediate general qualification","inadequately","","","",""
"10 Very willing to take risks","2011","(2b) intermediate general qualification","general elemantary","11","","",""
"10 Very willing to take risks","2011","(2b) intermediate general qualification","middle vocational","","","",""
"10 Very willing to take risks","2011","(2b) intermediate general qualification","vocational + Abi","","","",""
"10 Very willing to take risks","2011","(2b) intermediate general qualification","higher vocational","","","",""
"10 Very willing to take risks","2011","(2b) intermediate general qualification","higher education","","","",""
"10 Very willing to take risks","2011","(2a) intermediate vocational","in school","","","",""
"10 Very willing to take risks","2011","(2a) intermediate vocational","inadequately","","","",""
"10 Very willing to take risks","2011","(2a) intermediate vocational","general elemantary","","","",""
"10 Very willing to take risks","2011","(2a) intermediate vocational","middle vocational","50","0.011969003616982","0.0087344268315701","0.0152035804023939"
"10 Very willing to take risks","2011","(2a) intermediate vocational","vocational + Abi","","","",""
"10 Very willing to take risks","2011","(2a) intermediate vocational","higher vocational","2","","",""
"10 Very willing to take risks","2011","(2a) intermediate vocational","higher education","","","",""
"10 Very willing to take risks","2011","(2c_gen) general maturity certificate","in school","","","",""
"10 Very willing to take risks","2011","(2c_gen) general maturity certificate","inadequately","","","",""
"10 Very willing to take risks","2011","(2c_gen) general maturity certificate","general elemantary","","","",""
"10 Very willing to take risks","2011","(2c_gen) general maturity certificate","middle vocational","7","","",""
"10 Very willing to take risks","2011","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"10 Very willing to take risks","2011","(2c_gen) general maturity certificate","higher vocational","","","",""
"10 Very willing to take risks","2011","(2c_gen) general maturity certificate","higher education","","","",""
"10 Very willing to take risks","2011","(2c_voc) vocational maturity certificate","in school","","","",""
"10 Very willing to take risks","2011","(2c_voc) vocational maturity certificate","inadequately","","","",""
"10 Very willing to take risks","2011","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"10 Very willing to take risks","2011","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"10 Very willing to take risks","2011","(2c_voc) vocational maturity certificate","vocational + Abi","6","","",""
"10 Very willing to take risks","2011","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"10 Very willing to take risks","2011","(2c_voc) vocational maturity certificate","higher education","","","",""
"10 Very willing to take risks","2011","(3a) lower tertiary education","in school","","","",""
"10 Very willing to take risks","2011","(3a) lower tertiary education","inadequately","","","",""
"10 Very willing to take risks","2011","(3a) lower tertiary education","general elemantary","","","",""
"10 Very willing to take risks","2011","(3a) lower tertiary education","middle vocational","","","",""
"10 Very willing to take risks","2011","(3a) lower tertiary education","vocational + Abi","","","",""
"10 Very willing to take risks","2011","(3a) lower tertiary education","higher vocational","","","",""
"10 Very willing to take risks","2011","(3a) lower tertiary education","higher education","17","","",""
"10 Very willing to take risks","2011","(3b) higher tertiary education","in school","","","",""
"10 Very willing to take risks","2011","(3b) higher tertiary education","inadequately","","","",""
"10 Very willing to take risks","2011","(3b) higher tertiary education","general elemantary","","","",""
"10 Very willing to take risks","2011","(3b) higher tertiary education","middle vocational","","","",""
"10 Very willing to take risks","2011","(3b) higher tertiary education","vocational + Abi","","","",""
"10 Very willing to take risks","2011","(3b) higher tertiary education","higher vocational","","","",""
"10 Very willing to take risks","2011","(3b) higher tertiary education","higher education","18","","",""
"0 Not at all Willing to take risks","2012","(0) in school","in school","","","",""
"0 Not at all Willing to take risks","2012","(0) in school","inadequately","","","",""
"0 Not at all Willing to take risks","2012","(0) in school","general elemantary","","","",""
"0 Not at all Willing to take risks","2012","(0) in school","middle vocational","","","",""
"0 Not at all Willing to take risks","2012","(0) in school","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2012","(0) in school","higher vocational","","","",""
"0 Not at all Willing to take risks","2012","(0) in school","higher education","","","",""
"0 Not at all Willing to take risks","2012","(1a) inadequately completed","in school","","","",""
"0 Not at all Willing to take risks","2012","(1a) inadequately completed","inadequately","32","0.133719602914484","0.0964870892626477","0.170952116566321"
"0 Not at all Willing to take risks","2012","(1a) inadequately completed","general elemantary","","","",""
"0 Not at all Willing to take risks","2012","(1a) inadequately completed","middle vocational","9","","",""
"0 Not at all Willing to take risks","2012","(1a) inadequately completed","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2012","(1a) inadequately completed","higher vocational","","","",""
"0 Not at all Willing to take risks","2012","(1a) inadequately completed","higher education","","","",""
"0 Not at all Willing to take risks","2012","(1b) general elementary school","in school","","","",""
"0 Not at all Willing to take risks","2012","(1b) general elementary school","inadequately","6","","",""
"0 Not at all Willing to take risks","2012","(1b) general elementary school","general elemantary","177","0.0962702814541933","0.0837732573611397","0.108767305547247"
"0 Not at all Willing to take risks","2012","(1b) general elementary school","middle vocational","","","",""
"0 Not at all Willing to take risks","2012","(1b) general elementary school","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2012","(1b) general elementary school","higher vocational","","","",""
"0 Not at all Willing to take risks","2012","(1b) general elementary school","higher education","","","",""
"0 Not at all Willing to take risks","2012","(1c) basic vocational qualification","in school","","","",""
"0 Not at all Willing to take risks","2012","(1c) basic vocational qualification","inadequately","","","",""
"0 Not at all Willing to take risks","2012","(1c) basic vocational qualification","general elemantary","","","",""
"0 Not at all Willing to take risks","2012","(1c) basic vocational qualification","middle vocational","310","0.057849028097998","0.0519487203678884","0.0637493358281077"
"0 Not at all Willing to take risks","2012","(1c) basic vocational qualification","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2012","(1c) basic vocational qualification","higher vocational","20","","",""
"0 Not at all Willing to take risks","2012","(1c) basic vocational qualification","higher education","","","",""
"0 Not at all Willing to take risks","2012","(2b) intermediate general qualification","in school","","","",""
"0 Not at all Willing to take risks","2012","(2b) intermediate general qualification","inadequately","","","",""
"0 Not at all Willing to take risks","2012","(2b) intermediate general qualification","general elemantary","22","","",""
"0 Not at all Willing to take risks","2012","(2b) intermediate general qualification","middle vocational","","","",""
"0 Not at all Willing to take risks","2012","(2b) intermediate general qualification","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2012","(2b) intermediate general qualification","higher vocational","","","",""
"0 Not at all Willing to take risks","2012","(2b) intermediate general qualification","higher education","","","",""
"0 Not at all Willing to take risks","2012","(2a) intermediate vocational","in school","","","",""
"0 Not at all Willing to take risks","2012","(2a) intermediate vocational","inadequately","","","",""
"0 Not at all Willing to take risks","2012","(2a) intermediate vocational","general elemantary","","","",""
"0 Not at all Willing to take risks","2012","(2a) intermediate vocational","middle vocational","173","0.0275868364948088","0.0235020363542892","0.0316716366353285"
"0 Not at all Willing to take risks","2012","(2a) intermediate vocational","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2012","(2a) intermediate vocational","higher vocational","17","","",""
"0 Not at all Willing to take risks","2012","(2a) intermediate vocational","higher education","","","",""
"0 Not at all Willing to take risks","2012","(2c_gen) general maturity certificate","in school","","","",""
"0 Not at all Willing to take risks","2012","(2c_gen) general maturity certificate","inadequately","","","",""
"0 Not at all Willing to take risks","2012","(2c_gen) general maturity certificate","general elemantary","","","",""
"0 Not at all Willing to take risks","2012","(2c_gen) general maturity certificate","middle vocational","26","","",""
"0 Not at all Willing to take risks","2012","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2012","(2c_gen) general maturity certificate","higher vocational","","","",""
"0 Not at all Willing to take risks","2012","(2c_gen) general maturity certificate","higher education","","","",""
"0 Not at all Willing to take risks","2012","(2c_voc) vocational maturity certificate","in school","","","",""
"0 Not at all Willing to take risks","2012","(2c_voc) vocational maturity certificate","inadequately","","","",""
"0 Not at all Willing to take risks","2012","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"0 Not at all Willing to take risks","2012","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"0 Not at all Willing to take risks","2012","(2c_voc) vocational maturity certificate","vocational + Abi","59","0.032380514254011","0.0245541332338914","0.0402068952741307"
"0 Not at all Willing to take risks","2012","(2c_voc) vocational maturity certificate","higher vocational","8","","",""
"0 Not at all Willing to take risks","2012","(2c_voc) vocational maturity certificate","higher education","","","",""
"0 Not at all Willing to take risks","2012","(3a) lower tertiary education","in school","","","",""
"0 Not at all Willing to take risks","2012","(3a) lower tertiary education","inadequately","","","",""
"0 Not at all Willing to take risks","2012","(3a) lower tertiary education","general elemantary","","","",""
"0 Not at all Willing to take risks","2012","(3a) lower tertiary education","middle vocational","","","",""
"0 Not at all Willing to take risks","2012","(3a) lower tertiary education","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2012","(3a) lower tertiary education","higher vocational","","","",""
"0 Not at all Willing to take risks","2012","(3a) lower tertiary education","higher education","39","0.0174377155102735","0.0120037372613968","0.0228716937591501"
"0 Not at all Willing to take risks","2012","(3b) higher tertiary education","in school","","","",""
"0 Not at all Willing to take risks","2012","(3b) higher tertiary education","inadequately","","","",""
"0 Not at all Willing to take risks","2012","(3b) higher tertiary education","general elemantary","","","",""
"0 Not at all Willing to take risks","2012","(3b) higher tertiary education","middle vocational","","","",""
"0 Not at all Willing to take risks","2012","(3b) higher tertiary education","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2012","(3b) higher tertiary education","higher vocational","","","",""
"0 Not at all Willing to take risks","2012","(3b) higher tertiary education","higher education","65","0.0198165001143105","0.015450845451933","0.0241821547766879"
"1","2012","(0) in school","in school","8","","",""
"1","2012","(0) in school","inadequately","","","",""
"1","2012","(0) in school","general elemantary","","","",""
"1","2012","(0) in school","middle vocational","","","",""
"1","2012","(0) in school","vocational + Abi","","","",""
"1","2012","(0) in school","higher vocational","","","",""
"1","2012","(0) in school","higher education","","","",""
"1","2012","(1a) inadequately completed","in school","","","",""
"1","2012","(1a) inadequately completed","inadequately","26","","",""
"1","2012","(1a) inadequately completed","general elemantary","","","",""
"1","2012","(1a) inadequately completed","middle vocational","5","","",""
"1","2012","(1a) inadequately completed","vocational + Abi","","","",""
"1","2012","(1a) inadequately completed","higher vocational","","","",""
"1","2012","(1a) inadequately completed","higher education","","","",""
"1","2012","(1b) general elementary school","in school","","","",""
"1","2012","(1b) general elementary school","inadequately","2","","",""
"1","2012","(1b) general elementary school","general elemantary","127","0.071228659932258","0.0603312573831195","0.0821260624813964"
"1","2012","(1b) general elementary school","middle vocational","","","",""
"1","2012","(1b) general elementary school","vocational + Abi","","","",""
"1","2012","(1b) general elementary school","higher vocational","","","",""
"1","2012","(1b) general elementary school","higher education","","","",""
"1","2012","(1c) basic vocational qualification","in school","","","",""
"1","2012","(1c) basic vocational qualification","inadequately","","","",""
"1","2012","(1c) basic vocational qualification","general elemantary","","","",""
"1","2012","(1c) basic vocational qualification","middle vocational","255","0.046480849943389","0.041160157945097","0.051801541941681"
"1","2012","(1c) basic vocational qualification","vocational + Abi","","","",""
"1","2012","(1c) basic vocational qualification","higher vocational","17","","",""
"1","2012","(1c) basic vocational qualification","higher education","","","",""
"1","2012","(2b) intermediate general qualification","in school","","","",""
"1","2012","(2b) intermediate general qualification","inadequately","","","",""
"1","2012","(2b) intermediate general qualification","general elemantary","33","0.0426738895425195","0.0283510726464544","0.0569967064385845"
"1","2012","(2b) intermediate general qualification","middle vocational","","","",""
"1","2012","(2b) intermediate general qualification","vocational + Abi","","","",""
"1","2012","(2b) intermediate general qualification","higher vocational","","","",""
"1","2012","(2b) intermediate general qualification","higher education","","","",""
"1","2012","(2a) intermediate vocational","in school","","","",""
"1","2012","(2a) intermediate vocational","inadequately","","","",""
"1","2012","(2a) intermediate vocational","general elemantary","","","",""
"1","2012","(2a) intermediate vocational","middle vocational","205","0.0335331796136381","0.029043397252655","0.0380229619746211"
"1","2012","(2a) intermediate vocational","vocational + Abi","","","",""
"1","2012","(2a) intermediate vocational","higher vocational","22","","",""
"1","2012","(2a) intermediate vocational","higher education","","","",""
"1","2012","(2c_gen) general maturity certificate","in school","","","",""
"1","2012","(2c_gen) general maturity certificate","inadequately","","","",""
"1","2012","(2c_gen) general maturity certificate","general elemantary","","","",""
"1","2012","(2c_gen) general maturity certificate","middle vocational","36","0.035317187655364","0.0243745167834367","0.0462598585272913"
"1","2012","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"1","2012","(2c_gen) general maturity certificate","higher vocational","","","",""
"1","2012","(2c_gen) general maturity certificate","higher education","","","",""
"1","2012","(2c_voc) vocational maturity certificate","in school","","","",""
"1","2012","(2c_voc) vocational maturity certificate","inadequately","","","",""
"1","2012","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"1","2012","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"1","2012","(2c_voc) vocational maturity certificate","vocational + Abi","73","0.0383630675623849","0.029870694888869","0.0468554402359008"
"1","2012","(2c_voc) vocational maturity certificate","higher vocational","11","","",""
"1","2012","(2c_voc) vocational maturity certificate","higher education","","","",""
"1","2012","(3a) lower tertiary education","in school","","","",""
"1","2012","(3a) lower tertiary education","inadequately","","","",""
"1","2012","(3a) lower tertiary education","general elemantary","","","",""
"1","2012","(3a) lower tertiary education","middle vocational","","","",""
"1","2012","(3a) lower tertiary education","vocational + Abi","","","",""
"1","2012","(3a) lower tertiary education","higher vocational","","","",""
"1","2012","(3a) lower tertiary education","higher education","63","0.0258534528611413","0.0192652876515964","0.0324416180706862"
"1","2012","(3b) higher tertiary education","in school","","","",""
"1","2012","(3b) higher tertiary education","inadequately","","","",""
"1","2012","(3b) higher tertiary education","general elemantary","","","",""
"1","2012","(3b) higher tertiary education","middle vocational","","","",""
"1","2012","(3b) higher tertiary education","vocational + Abi","","","",""
"1","2012","(3b) higher tertiary education","higher vocational","","","",""
"1","2012","(3b) higher tertiary education","higher education","104","0.0254756608148217","0.0205400457405151","0.0304112758891283"
"2","2012","(0) in school","in school","20","","",""
"2","2012","(0) in school","inadequately","","","",""
"2","2012","(0) in school","general elemantary","","","",""
"2","2012","(0) in school","middle vocational","","","",""
"2","2012","(0) in school","vocational + Abi","","","",""
"2","2012","(0) in school","higher vocational","","","",""
"2","2012","(0) in school","higher education","","","",""
"2","2012","(1a) inadequately completed","in school","","","",""
"2","2012","(1a) inadequately completed","inadequately","35","0.140096914367733","0.102127437506544","0.178066391228922"
"2","2012","(1a) inadequately completed","general elemantary","","","",""
"2","2012","(1a) inadequately completed","middle vocational","10","","",""
"2","2012","(1a) inadequately completed","vocational + Abi","","","",""
"2","2012","(1a) inadequately completed","higher vocational","","","",""
"2","2012","(1a) inadequately completed","higher education","","","",""
"2","2012","(1b) general elementary school","in school","","","",""
"2","2012","(1b) general elementary school","inadequately","3","","",""
"2","2012","(1b) general elementary school","general elemantary","233","0.123713744095419","0.109763777112612","0.137663711078226"
"2","2012","(1b) general elementary school","middle vocational","","","",""
"2","2012","(1b) general elementary school","vocational + Abi","","","",""
"2","2012","(1b) general elementary school","higher vocational","","","",""
"2","2012","(1b) general elementary school","higher education","","","",""
"2","2012","(1c) basic vocational qualification","in school","","","",""
"2","2012","(1c) basic vocational qualification","inadequately","","","",""
"2","2012","(1c) basic vocational qualification","general elemantary","","","",""
"2","2012","(1c) basic vocational qualification","middle vocational","612","0.109220187589727","0.101336978943473","0.117103396235982"
"2","2012","(1c) basic vocational qualification","vocational + Abi","","","",""
"2","2012","(1c) basic vocational qualification","higher vocational","47","0.109223088349101","0.0809935762748712","0.137452600423332"
"2","2012","(1c) basic vocational qualification","higher education","","","",""
"2","2012","(2b) intermediate general qualification","in school","","","",""
"2","2012","(2b) intermediate general qualification","inadequately","","","",""
"2","2012","(2b) intermediate general qualification","general elemantary","60","0.0792102353201769","0.060072600344268","0.0983478702960857"
"2","2012","(2b) intermediate general qualification","middle vocational","","","",""
"2","2012","(2b) intermediate general qualification","vocational + Abi","","","",""
"2","2012","(2b) intermediate general qualification","higher vocational","","","",""
"2","2012","(2b) intermediate general qualification","higher education","","","",""
"2","2012","(2a) intermediate vocational","in school","","","",""
"2","2012","(2a) intermediate vocational","inadequately","","","",""
"2","2012","(2a) intermediate vocational","general elemantary","","","",""
"2","2012","(2a) intermediate vocational","middle vocational","548","0.0863446047298904","0.079339683407025","0.0933495260527558"
"2","2012","(2a) intermediate vocational","vocational + Abi","","","",""
"2","2012","(2a) intermediate vocational","higher vocational","87","0.107702410607199","0.0863404356312311","0.129064385583166"
"2","2012","(2a) intermediate vocational","higher education","","","",""
"2","2012","(2c_gen) general maturity certificate","in school","","","",""
"2","2012","(2c_gen) general maturity certificate","inadequately","","","",""
"2","2012","(2c_gen) general maturity certificate","general elemantary","","","",""
"2","2012","(2c_gen) general maturity certificate","middle vocational","77","0.0641952802424803","0.0496647261606524","0.0787258343243081"
"2","2012","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"2","2012","(2c_gen) general maturity certificate","higher vocational","","","",""
"2","2012","(2c_gen) general maturity certificate","higher education","","","",""
"2","2012","(2c_voc) vocational maturity certificate","in school","","","",""
"2","2012","(2c_voc) vocational maturity certificate","inadequately","","","",""
"2","2012","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"2","2012","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"2","2012","(2c_voc) vocational maturity certificate","vocational + Abi","210","0.0924812812416091","0.0796720953469703","0.105290467136248"
"2","2012","(2c_voc) vocational maturity certificate","higher vocational","48","0.0924200775818274","0.0671353413728591","0.117704813790796"
"2","2012","(2c_voc) vocational maturity certificate","higher education","","","",""
"2","2012","(3a) lower tertiary education","in school","","","",""
"2","2012","(3a) lower tertiary education","inadequately","","","",""
"2","2012","(3a) lower tertiary education","general elemantary","","","",""
"2","2012","(3a) lower tertiary education","middle vocational","","","",""
"2","2012","(3a) lower tertiary education","vocational + Abi","","","",""
"2","2012","(3a) lower tertiary education","higher vocational","","","",""
"2","2012","(3a) lower tertiary education","higher education","181","0.0801655356071738","0.0688924775175871","0.0914385936967604"
"2","2012","(3b) higher tertiary education","in school","","","",""
"2","2012","(3b) higher tertiary education","inadequately","","","",""
"2","2012","(3b) higher tertiary education","general elemantary","","","",""
"2","2012","(3b) higher tertiary education","middle vocational","","","",""
"2","2012","(3b) higher tertiary education","vocational + Abi","","","",""
"2","2012","(3b) higher tertiary education","higher vocational","","","",""
"2","2012","(3b) higher tertiary education","higher education","371","0.0831157838627363","0.0744684702743228","0.0917630974511499"
"3","2012","(0) in school","in school","37","0.0658615441867418","0.0434847085579758","0.0882383798155078"
"3","2012","(0) in school","inadequately","","","",""
"3","2012","(0) in school","general elemantary","","","",""
"3","2012","(0) in school","middle vocational","","","",""
"3","2012","(0) in school","vocational + Abi","","","",""
"3","2012","(0) in school","higher vocational","","","",""
"3","2012","(0) in school","higher education","","","",""
"3","2012","(1a) inadequately completed","in school","","","",""
"3","2012","(1a) inadequately completed","inadequately","33","0.0735495304650781","0.0449935793393985","0.102105481590758"
"3","2012","(1a) inadequately completed","general elemantary","","","",""
"3","2012","(1a) inadequately completed","middle vocational","9","","",""
"3","2012","(1a) inadequately completed","vocational + Abi","","","",""
"3","2012","(1a) inadequately completed","higher vocational","1","","",""
"3","2012","(1a) inadequately completed","higher education","","","",""
"3","2012","(1b) general elementary school","in school","","","",""
"3","2012","(1b) general elementary school","inadequately","6","","",""
"3","2012","(1b) general elementary school","general elemantary","249","0.112544484714201","0.0991546070453788","0.125934362383024"
"3","2012","(1b) general elementary school","middle vocational","","","",""
"3","2012","(1b) general elementary school","vocational + Abi","","","",""
"3","2012","(1b) general elementary school","higher vocational","","","",""
"3","2012","(1b) general elementary school","higher education","","","",""
"3","2012","(1c) basic vocational qualification","in school","","","",""
"3","2012","(1c) basic vocational qualification","inadequately","","","",""
"3","2012","(1c) basic vocational qualification","general elemantary","","","",""
"3","2012","(1c) basic vocational qualification","middle vocational","734","0.117621245421358","0.109479138759442","0.125763352083273"
"3","2012","(1c) basic vocational qualification","vocational + Abi","","","",""
"3","2012","(1c) basic vocational qualification","higher vocational","52","0.114153664704109","0.0853739956698887","0.142933333738329"
"3","2012","(1c) basic vocational qualification","higher education","","","",""
"3","2012","(2b) intermediate general qualification","in school","","","",""
"3","2012","(2b) intermediate general qualification","inadequately","","","",""
"3","2012","(2b) intermediate general qualification","general elemantary","78","0.106747019044309","0.0848652470435235","0.128628791045095"
"3","2012","(2b) intermediate general qualification","middle vocational","","","",""
"3","2012","(2b) intermediate general qualification","vocational + Abi","","","",""
"3","2012","(2b) intermediate general qualification","higher vocational","","","",""
"3","2012","(2b) intermediate general qualification","higher education","","","",""
"3","2012","(2a) intermediate vocational","in school","","","",""
"3","2012","(2a) intermediate vocational","inadequately","","","",""
"3","2012","(2a) intermediate vocational","general elemantary","","","",""
"3","2012","(2a) intermediate vocational","middle vocational","825","0.130526646703707","0.122124849857346","0.138928443550069"
"3","2012","(2a) intermediate vocational","vocational + Abi","","","",""
"3","2012","(2a) intermediate vocational","higher vocational","98","0.111801806155838","0.0900871386986361","0.133516473613039"
"3","2012","(2a) intermediate vocational","higher education","","","",""
"3","2012","(2c_gen) general maturity certificate","in school","","","",""
"3","2012","(2c_gen) general maturity certificate","inadequately","","","",""
"3","2012","(2c_gen) general maturity certificate","general elemantary","","","",""
"3","2012","(2c_gen) general maturity certificate","middle vocational","129","0.120694638158059","0.101381543935751","0.140007732380367"
"3","2012","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"3","2012","(2c_gen) general maturity certificate","higher vocational","","","",""
