"ple0081_h","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","2009","college entrance qualification","(3b) higher tertiary education","","","",""
"No","2009","Other degree","(0) in school","","","",""
"No","2009","Other degree","(1a) inadequately completed","","","",""
"No","2009","Other degree","(1b) general elementary school","","","",""
"No","2009","Other degree","(1c) basic vocational qualification","","","",""
"No","2009","Other degree","(2b) intermediate general qualification","","","",""
"No","2009","Other degree","(2a) intermediate vocational","","","",""
"No","2009","Other degree","(2c_gen) general maturity certificate","","","",""
"No","2009","Other degree","(2c_voc) vocational maturity certificate","","","",""
"No","2009","Other degree","(3a) lower tertiary education","","","",""
"No","2009","Other degree","(3b) higher tertiary education","","","",""
"No","2009","no degree/no degree yet","(0) in school","","","",""
"No","2009","no degree/no degree yet","(1a) inadequately completed","","","",""
"No","2009","no degree/no degree yet","(1b) general elementary school","","","",""
"No","2009","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","2009","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","2009","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","2009","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","2009","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","2009","no degree/no degree yet","(3a) lower tertiary education","","","",""
"No","2009","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Yes","2010","lower secondary degree","(0) in school","","","",""
"Yes","2010","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2010","lower secondary degree","(1b) general elementary school","279","0.243720581191963","0.21770284581665","0.269738316567277"
"Yes","2010","lower secondary degree","(1c) basic vocational qualification","1204","0.291046969914337","0.277235088225066","0.304858851603608"
"Yes","2010","lower secondary degree","(2b) intermediate general qualification","1","","",""
"Yes","2010","lower secondary degree","(2a) intermediate vocational","4","","",""
"Yes","2010","lower secondary degree","(2c_gen) general maturity certificate","5","","",""
"Yes","2010","lower secondary degree","(2c_voc) vocational maturity certificate","3","","",""
"Yes","2010","lower secondary degree","(3a) lower tertiary education","13","","",""
"Yes","2010","lower secondary degree","(3b) higher tertiary education","5","","",""
"Yes","2010","secondary school degree","(0) in school","","","",""
"Yes","2010","secondary school degree","(1a) inadequately completed","","","",""
"Yes","2010","secondary school degree","(1b) general elementary school","","","",""
"Yes","2010","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","2010","secondary school degree","(2b) intermediate general qualification","149","0.433319144396797","0.384878682746931","0.481759606046663"
"Yes","2010","secondary school degree","(2a) intermediate vocational","1229","0.313196454721445","0.298924933422359","0.327467976020531"
"Yes","2010","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","2010","secondary school degree","(2c_voc) vocational maturity certificate","4","","",""
"Yes","2010","secondary school degree","(3a) lower tertiary education","85","0.167141692600647","0.13274578033352","0.201537604867774"
"Yes","2010","secondary school degree","(3b) higher tertiary education","24","","",""
"Yes","2010","college entrance qualification","(0) in school","","","",""
"Yes","2010","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","2010","college entrance qualification","(1b) general elementary school","","","",""
"Yes","2010","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","2010","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","2010","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","2010","college entrance qualification","(2c_gen) general maturity certificate","139","0.183840603322079","0.153101486575386","0.214579720068773"
"Yes","2010","college entrance qualification","(2c_voc) vocational maturity certificate","278","0.271620097218645","0.24573191891704","0.297508275520251"
"Yes","2010","college entrance qualification","(3a) lower tertiary education","186","0.262131865775628","0.23336720811879","0.290896523432466"
"Yes","2010","college entrance qualification","(3b) higher tertiary education","313","0.150203464994913","0.134673271907298","0.165733658082528"
"Yes","2010","Other degree","(0) in school","","","",""
"Yes","2010","Other degree","(1a) inadequately completed","","","",""
"Yes","2010","Other degree","(1b) general elementary school","49","0.264991376464395","0.205862000972969","0.32412075195582"
"Yes","2010","Other degree","(1c) basic vocational qualification","62","0.268962789958004","0.21127936953735","0.326646210378658"
"Yes","2010","Other degree","(2b) intermediate general qualification","","","",""
"Yes","2010","Other degree","(2a) intermediate vocational","","","",""
"Yes","2010","Other degree","(2c_gen) general maturity certificate","9","","",""
"Yes","2010","Other degree","(2c_voc) vocational maturity certificate","27","","",""
"Yes","2010","Other degree","(3a) lower tertiary education","3","","",""
"Yes","2010","Other degree","(3b) higher tertiary education","23","","",""
"Yes","2010","no degree/no degree yet","(0) in school","34","0.14997037204801","0.107617142345742","0.192323601750277"
"Yes","2010","no degree/no degree yet","(1a) inadequately completed","55","0.365205323433044","0.287104277344082","0.443306369522006"
"Yes","2010","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","2010","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","2010","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","2010","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","2010","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","2010","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","2010","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","2010","lower secondary degree","(0) in school","","","",""
"No","2010","lower secondary degree","(1a) inadequately completed","","","",""
"No","2010","lower secondary degree","(1b) general elementary school","767","0.756279418808037","0.730261683432723","0.78229715418335"
"No","2010","lower secondary degree","(1c) basic vocational qualification","2951","0.708953030085663","0.695141148396392","0.722764911774934"
"No","2010","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","2010","lower secondary degree","(2a) intermediate vocational","11","","",""
"No","2010","lower secondary degree","(2c_gen) general maturity certificate","2","","",""
"No","2010","lower secondary degree","(2c_voc) vocational maturity certificate","12","","",""
"No","2010","lower secondary degree","(3a) lower tertiary education","98","0.877640884600403","0.816678325565394","0.938603443635412"
"No","2010","lower secondary degree","(3b) higher tertiary education","30","0.859721933383705","0.744671579732516","0.974772287034893"
"No","2010","secondary school degree","(0) in school","","","",""
"No","2010","secondary school degree","(1a) inadequately completed","","","",""
"No","2010","secondary school degree","(1b) general elementary school","","","",""
"No","2010","secondary school degree","(1c) basic vocational qualification","","","",""
"No","2010","secondary school degree","(2b) intermediate general qualification","253","0.566680855603203","0.518240393953337","0.61512131725307"
"No","2010","secondary school degree","(2a) intermediate vocational","2828","0.686803545278555","0.672532023979469","0.701075066577641"
"No","2010","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"No","2010","secondary school degree","(2c_voc) vocational maturity certificate","26","","",""
"No","2010","secondary school degree","(3a) lower tertiary education","367","0.832858307399353","0.798462395132226","0.86725421966648"
"No","2010","secondary school degree","(3b) higher tertiary education","79","0.777349244922879","0.697005946869495","0.857692542976264"
"No","2010","college entrance qualification","(0) in school","","","",""
"No","2010","college entrance qualification","(1a) inadequately completed","","","",""
"No","2010","college entrance qualification","(1b) general elementary school","","","",""
"No","2010","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","2010","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","2010","college entrance qualification","(2a) intermediate vocational","","","",""
"No","2010","college entrance qualification","(2c_gen) general maturity certificate","471","0.816159396677921","0.785420279931227","0.846898513424614"
"No","2010","college entrance qualification","(2c_voc) vocational maturity certificate","856","0.728379902781354","0.702491724479749","0.75426808108296"
"No","2010","college entrance qualification","(3a) lower tertiary education","712","0.737868134224372","0.709103476567534","0.76663279188121"
"No","2010","college entrance qualification","(3b) higher tertiary education","1720","0.849796535005087","0.834266341917472","0.865326728092702"
"No","2010","Other degree","(0) in school","","","",""
"No","2010","Other degree","(1a) inadequately completed","","","",""
"No","2010","Other degree","(1b) general elementary school","165","0.735008623535605","0.67587924804418","0.794137999027031"
"No","2010","Other degree","(1c) basic vocational qualification","165","0.731037210041996","0.673353789621342","0.78872063046265"
"No","2010","Other degree","(2b) intermediate general qualification","","","",""
"No","2010","Other degree","(2a) intermediate vocational","","","",""
"No","2010","Other degree","(2c_gen) general maturity certificate","26","","",""
"No","2010","Other degree","(2c_voc) vocational maturity certificate","62","0.660233488624494","0.561834157182098","0.75863282006689"
"No","2010","Other degree","(3a) lower tertiary education","24","","",""
"No","2010","Other degree","(3b) higher tertiary education","108","0.825664944949926","0.760695863306766","0.890634026593085"
"No","2010","no degree/no degree yet","(0) in school","239","0.85002962795199","0.807676398249723","0.892382857654258"
"No","2010","no degree/no degree yet","(1a) inadequately completed","91","0.634794676566956","0.556693630477994","0.712895722655918"
"No","2010","no degree/no degree yet","(1b) general elementary school","","","",""
"No","2010","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","2010","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","2010","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","2010","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","2010","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","2010","no degree/no degree yet","(3a) lower tertiary education","1","","",""
"No","2010","no degree/no degree yet","(3b) higher tertiary education","1","","",""
"Yes","2011","lower secondary degree","(0) in school","","","",""
"Yes","2011","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2011","lower secondary degree","(1b) general elementary school","","","",""
"Yes","2011","lower secondary degree","(1c) basic vocational qualification","","","",""
"Yes","2011","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","2011","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes","2011","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes","2011","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2011","lower secondary degree","(3a) lower tertiary education","","","",""
"Yes","2011","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes","2011","secondary school degree","(0) in school","","","",""
"Yes","2011","secondary school degree","(1a) inadequately completed","","","",""
"Yes","2011","secondary school degree","(1b) general elementary school","","","",""
"Yes","2011","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","2011","secondary school degree","(2b) intermediate general qualification","","","",""
"Yes","2011","secondary school degree","(2a) intermediate vocational","","","",""
"Yes","2011","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","2011","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2011","secondary school degree","(3a) lower tertiary education","","","",""
"Yes","2011","secondary school degree","(3b) higher tertiary education","","","",""
"Yes","2011","college entrance qualification","(0) in school","","","",""
"Yes","2011","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","2011","college entrance qualification","(1b) general elementary school","","","",""
"Yes","2011","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","2011","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","2011","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","2011","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Yes","2011","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Yes","2011","college entrance qualification","(3a) lower tertiary education","","","",""
"Yes","2011","college entrance qualification","(3b) higher tertiary education","","","",""
"Yes","2011","Other degree","(0) in school","","","",""
"Yes","2011","Other degree","(1a) inadequately completed","","","",""
"Yes","2011","Other degree","(1b) general elementary school","","","",""
"Yes","2011","Other degree","(1c) basic vocational qualification","","","",""
"Yes","2011","Other degree","(2b) intermediate general qualification","","","",""
"Yes","2011","Other degree","(2a) intermediate vocational","","","",""
"Yes","2011","Other degree","(2c_gen) general maturity certificate","","","",""
"Yes","2011","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2011","Other degree","(3a) lower tertiary education","","","",""
"Yes","2011","Other degree","(3b) higher tertiary education","","","",""
"Yes","2011","no degree/no degree yet","(0) in school","","","",""
"Yes","2011","no degree/no degree yet","(1a) inadequately completed","","","",""
"Yes","2011","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","2011","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","2011","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","2011","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","2011","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","2011","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","2011","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","2011","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","2011","lower secondary degree","(0) in school","","","",""
"No","2011","lower secondary degree","(1a) inadequately completed","","","",""
"No","2011","lower secondary degree","(1b) general elementary school","","","",""
"No","2011","lower secondary degree","(1c) basic vocational qualification","","","",""
"No","2011","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","2011","lower secondary degree","(2a) intermediate vocational","","","",""
"No","2011","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"No","2011","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"No","2011","lower secondary degree","(3a) lower tertiary education","","","",""
"No","2011","lower secondary degree","(3b) higher tertiary education","","","",""
"No","2011","secondary school degree","(0) in school","","","",""
"No","2011","secondary school degree","(1a) inadequately completed","","","",""
"No","2011","secondary school degree","(1b) general elementary school","","","",""
"No","2011","secondary school degree","(1c) basic vocational qualification","","","",""
"No","2011","secondary school degree","(2b) intermediate general qualification","","","",""
"No","2011","secondary school degree","(2a) intermediate vocational","","","",""
"No","2011","secondary school degree","(2c_gen) general maturity certificate","","","",""
"No","2011","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"No","2011","secondary school degree","(3a) lower tertiary education","","","",""
"No","2011","secondary school degree","(3b) higher tertiary education","","","",""
"No","2011","college entrance qualification","(0) in school","","","",""
"No","2011","college entrance qualification","(1a) inadequately completed","","","",""
"No","2011","college entrance qualification","(1b) general elementary school","","","",""
"No","2011","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","2011","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","2011","college entrance qualification","(2a) intermediate vocational","","","",""
"No","2011","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"No","2011","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"No","2011","college entrance qualification","(3a) lower tertiary education","","","",""
"No","2011","college entrance qualification","(3b) higher tertiary education","","","",""
"No","2011","Other degree","(0) in school","","","",""
"No","2011","Other degree","(1a) inadequately completed","","","",""
"No","2011","Other degree","(1b) general elementary school","","","",""
"No","2011","Other degree","(1c) basic vocational qualification","","","",""
"No","2011","Other degree","(2b) intermediate general qualification","","","",""
"No","2011","Other degree","(2a) intermediate vocational","","","",""
"No","2011","Other degree","(2c_gen) general maturity certificate","","","",""
"No","2011","Other degree","(2c_voc) vocational maturity certificate","","","",""
"No","2011","Other degree","(3a) lower tertiary education","","","",""
"No","2011","Other degree","(3b) higher tertiary education","","","",""
"No","2011","no degree/no degree yet","(0) in school","","","",""
"No","2011","no degree/no degree yet","(1a) inadequately completed","","","",""
"No","2011","no degree/no degree yet","(1b) general elementary school","","","",""
"No","2011","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","2011","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","2011","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","2011","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","2011","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","2011","no degree/no degree yet","(3a) lower tertiary education","","","",""
"No","2011","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Yes","2012","lower secondary degree","(0) in school","","","",""
"Yes","2012","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2012","lower secondary degree","(1b) general elementary school","380","0.270721881806964","0.246806099009909","0.294637664604019"
"Yes","2012","lower secondary degree","(1c) basic vocational qualification","1408","0.281479292070713","0.269007662176095","0.293950921965332"
"Yes","2012","lower secondary degree","(2b) intermediate general qualification","1","","",""
"Yes","2012","lower secondary degree","(2a) intermediate vocational","5","","",""
"Yes","2012","lower secondary degree","(2c_gen) general maturity certificate","2","","",""
"Yes","2012","lower secondary degree","(2c_voc) vocational maturity certificate","1","","",""
"Yes","2012","lower secondary degree","(3a) lower tertiary education","17","","",""
"Yes","2012","lower secondary degree","(3b) higher tertiary education","7","","",""
"Yes","2012","secondary school degree","(0) in school","","","",""
"Yes","2012","secondary school degree","(1a) inadequately completed","","","",""
"Yes","2012","secondary school degree","(1b) general elementary school","","","",""
"Yes","2012","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","2012","secondary school degree","(2b) intermediate general qualification","176","0.343092772558658","0.302713486564079","0.383472058553237"
"Yes","2012","secondary school degree","(2a) intermediate vocational","1491","0.313040993960569","0.300050138203802","0.326031849717335"
"Yes","2012","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","2012","secondary school degree","(2c_voc) vocational maturity certificate","4","","",""
"Yes","2012","secondary school degree","(3a) lower tertiary education","90","0.187533350254272","0.152829953610696","0.222236746897849"
"Yes","2012","secondary school degree","(3b) higher tertiary education","21","","",""
"Yes","2012","college entrance qualification","(0) in school","","","",""
"Yes","2012","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","2012","college entrance qualification","(1b) general elementary school","","","",""
"Yes","2012","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","2012","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","2012","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","2012","college entrance qualification","(2c_gen) general maturity certificate","142","0.177311584138755","0.149849092977603","0.204774075299907"
"Yes","2012","college entrance qualification","(2c_voc) vocational maturity certificate","350","0.263599726983944","0.240496144030369","0.286703309937519"
"Yes","2012","college entrance qualification","(3a) lower tertiary education","217","0.221938846511047","0.197448549274468","0.246429143747626"
"Yes","2012","college entrance qualification","(3b) higher tertiary education","363","0.147908257053296","0.13381053846438","0.162005975642212"
"Yes","2012","Other degree","(0) in school","","","",""
"Yes","2012","Other degree","(1a) inadequately completed","","","",""
"Yes","2012","Other degree","(1b) general elementary school","83","0.2732347822731","0.222809014145705","0.323660550400496"
"Yes","2012","Other degree","(1c) basic vocational qualification","98","0.317002017563443","0.268461828690253","0.365542206436633"
"Yes","2012","Other degree","(2b) intermediate general qualification","","","",""
"Yes","2012","Other degree","(2a) intermediate vocational","","","",""
"Yes","2012","Other degree","(2c_gen) general maturity certificate","29","","",""
"Yes","2012","Other degree","(2c_voc) vocational maturity certificate","40","0.266542025815779","0.199280841280351","0.333803210351208"
"Yes","2012","Other degree","(3a) lower tertiary education","3","","",""
"Yes","2012","Other degree","(3b) higher tertiary education","38","0.191625973706081","0.140761150919537","0.242490796492624"
"Yes","2012","no degree/no degree yet","(0) in school","46","0.173460143030695","0.129653609009491","0.2172666770519"
"Yes","2012","no degree/no degree yet","(1a) inadequately completed","104","0.394355086932665","0.334489000419231","0.4542211734461"
"Yes","2012","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","2012","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","2012","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","2012","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","2012","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","2012","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","2012","no degree/no degree yet","(3b) higher tertiary education","1","","",""
"No","2012","lower secondary degree","(0) in school","","","",""
"No","2012","lower secondary degree","(1a) inadequately completed","","","",""
"No","2012","lower secondary degree","(1b) general elementary school","946","0.729278118193036","0.705362335395981","0.753193900990091"
"No","2012","lower secondary degree","(1c) basic vocational qualification","3587","0.718520707929287","0.706049078034668","0.730992337823905"
"No","2012","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","2012","lower secondary degree","(2a) intermediate vocational","9","","",""
"No","2012","lower secondary degree","(2c_gen) general maturity certificate","4","","",""
"No","2012","lower secondary degree","(2c_voc) vocational maturity certificate","7","","",""
"No","2012","lower secondary degree","(3a) lower tertiary education","112","0.855616822054619","0.794963975012484","0.916269669096755"
"No","2012","lower secondary degree","(3b) higher tertiary education","31","0.604246037577458","0.448765571361657","0.759726503793259"
"No","2012","secondary school degree","(0) in school","","","",""
"No","2012","secondary school degree","(1a) inadequately completed","","","",""
"No","2012","secondary school degree","(1b) general elementary school","","","",""
"No","2012","secondary school degree","(1c) basic vocational qualification","","","",""
"No","2012","secondary school degree","(2b) intermediate general qualification","355","0.656907227441342","0.616527941446763","0.697286513435921"
"No","2012","secondary school degree","(2a) intermediate vocational","3404","0.686959006039431","0.673968150282665","0.699949861796198"
"No","2012","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"No","2012","secondary school degree","(2c_voc) vocational maturity certificate","19","","",""
"No","2012","secondary school degree","(3a) lower tertiary education","396","0.812466649745728","0.777763253102151","0.847170046389304"
"No","2012","secondary school degree","(3b) higher tertiary education","101","0.857908929788544","0.795954528773626","0.919863330803462"
"No","2012","college entrance qualification","(0) in school","","","",""
"No","2012","college entrance qualification","(1a) inadequately completed","","","",""
"No","2012","college entrance qualification","(1b) general elementary school","","","",""
"No","2012","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","2012","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","2012","college entrance qualification","(2a) intermediate vocational","","","",""
"No","2012","college entrance qualification","(2c_gen) general maturity certificate","601","0.822688415861245","0.795225924700093","0.850150907022397"
"No","2012","college entrance qualification","(2c_voc) vocational maturity certificate","1047","0.736400273016056","0.713296690062481","0.759503855969631"
"No","2012","college entrance qualification","(3a) lower tertiary education","889","0.778061153488952","0.753570856252373","0.802551450725531"
"No","2012","college entrance qualification","(3b) higher tertiary education","2073","0.852091742946704","0.837994024357788","0.86618946153562"
"No","2012","Other degree","(0) in school","","","",""
"No","2012","Other degree","(1a) inadequately completed","","","",""
"No","2012","Other degree","(1b) general elementary school","217","0.726765217726899","0.676339449599504","0.777190985854295"
"No","2012","Other degree","(1c) basic vocational qualification","255","0.682997982436557","0.634457793563367","0.731538171309747"
"No","2012","Other degree","(2b) intermediate general qualification","","","",""
"No","2012","Other degree","(2a) intermediate vocational","","","",""
"No","2012","Other degree","(2c_gen) general maturity certificate","69","0.644597939040666","0.54983479081372","0.739361087267613"
"No","2012","Other degree","(2c_voc) vocational maturity certificate","126","0.733457974184221","0.666196789648792","0.800719158719649"
"No","2012","Other degree","(3a) lower tertiary education","24","","",""
"No","2012","Other degree","(3b) higher tertiary education","192","0.808374026293919","0.757509203507376","0.859238849080463"
"No","2012","no degree/no degree yet","(0) in school","241","0.826539856969305","0.7827333229481","0.870346390990509"
"No","2012","no degree/no degree yet","(1a) inadequately completed","152","0.605644913067335","0.5457788265539","0.665510999580769"
"No","2012","no degree/no degree yet","(1b) general elementary school","","","",""
"No","2012","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","2012","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","2012","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","2012","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","2012","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","2012","no degree/no degree yet","(3a) lower tertiary education","3","","",""
"No","2012","no degree/no degree yet","(3b) higher tertiary education","2","","",""
"Yes","2013","lower secondary degree","(0) in school","","","",""
"Yes","2013","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2013","lower secondary degree","(1b) general elementary school","","","",""
"Yes","2013","lower secondary degree","(1c) basic vocational qualification","","","",""
"Yes","2013","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","2013","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes","2013","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes","2013","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2013","lower secondary degree","(3a) lower tertiary education","","","",""
"Yes","2013","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes","2013","secondary school degree","(0) in school","","","",""
"Yes","2013","secondary school degree","(1a) inadequately completed","","","",""
"Yes","2013","secondary school degree","(1b) general elementary school","","","",""
"Yes","2013","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","2013","secondary school degree","(2b) intermediate general qualification","","","",""
"Yes","2013","secondary school degree","(2a) intermediate vocational","","","",""
"Yes","2013","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","2013","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2013","secondary school degree","(3a) lower tertiary education","","","",""
"Yes","2013","secondary school degree","(3b) higher tertiary education","","","",""
"Yes","2013","college entrance qualification","(0) in school","","","",""
"Yes","2013","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","2013","college entrance qualification","(1b) general elementary school","","","",""
"Yes","2013","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","2013","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","2013","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","2013","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Yes","2013","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Yes","2013","college entrance qualification","(3a) lower tertiary education","","","",""
"Yes","2013","college entrance qualification","(3b) higher tertiary education","","","",""
"Yes","2013","Other degree","(0) in school","","","",""
"Yes","2013","Other degree","(1a) inadequately completed","","","",""
"Yes","2013","Other degree","(1b) general elementary school","","","",""
"Yes","2013","Other degree","(1c) basic vocational qualification","","","",""
"Yes","2013","Other degree","(2b) intermediate general qualification","","","",""
"Yes","2013","Other degree","(2a) intermediate vocational","","","",""
"Yes","2013","Other degree","(2c_gen) general maturity certificate","","","",""
"Yes","2013","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2013","Other degree","(3a) lower tertiary education","","","",""
"Yes","2013","Other degree","(3b) higher tertiary education","","","",""
"Yes","2013","no degree/no degree yet","(0) in school","","","",""
"Yes","2013","no degree/no degree yet","(1a) inadequately completed","","","",""
"Yes","2013","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","2013","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","2013","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","2013","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","2013","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","2013","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","2013","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","2013","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","2013","lower secondary degree","(0) in school","","","",""
"No","2013","lower secondary degree","(1a) inadequately completed","","","",""
"No","2013","lower secondary degree","(1b) general elementary school","","","",""
"No","2013","lower secondary degree","(1c) basic vocational qualification","","","",""
"No","2013","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","2013","lower secondary degree","(2a) intermediate vocational","","","",""
"No","2013","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"No","2013","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"No","2013","lower secondary degree","(3a) lower tertiary education","","","",""
"No","2013","lower secondary degree","(3b) higher tertiary education","","","",""
"No","2013","secondary school degree","(0) in school","","","",""
"No","2013","secondary school degree","(1a) inadequately completed","","","",""
"No","2013","secondary school degree","(1b) general elementary school","","","",""
"No","2013","secondary school degree","(1c) basic vocational qualification","","","",""
"No","2013","secondary school degree","(2b) intermediate general qualification","","","",""
"No","2013","secondary school degree","(2a) intermediate vocational","","","",""
"No","2013","secondary school degree","(2c_gen) general maturity certificate","","","",""
"No","2013","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"No","2013","secondary school degree","(3a) lower tertiary education","","","",""
"No","2013","secondary school degree","(3b) higher tertiary education","","","",""
"No","2013","college entrance qualification","(0) in school","","","",""
"No","2013","college entrance qualification","(1a) inadequately completed","","","",""
