"ple0081_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2010","Not Working","in school","191","0.871038681152749","0.826238753277935","0.915838609027563"
"No","2010","Not Working","inadequately","60","0.632559187314185","0.533505265468524","0.731613109159845"
"No","2010","Not Working","general elemantary","794","0.842010160631906","0.818841396850628","0.865178924413183"
"No","2010","Not Working","middle vocational","2597","0.789085288101648","0.775126092717123","0.803044483486174"
"No","2010","Not Working","vocational + Abi","187","0.830209422265221","0.781042309740636","0.879376534789807"
"No","2010","Not Working","higher vocational","350","0.8301540692912","0.793493222539949","0.866814916042451"
"No","2010","Not Working","higher education","955","0.887620397975697","0.868836290680518","0.906404505270876"
"Yes","2011","Full Time","in school","","","",""
"Yes","2011","Full Time","inadequately","","","",""
"Yes","2011","Full Time","general elemantary","","","",""
"Yes","2011","Full Time","middle vocational","","","",""
"Yes","2011","Full Time","vocational + Abi","","","",""
"Yes","2011","Full Time","higher vocational","","","",""
"Yes","2011","Full Time","higher education","","","",""
"Yes","2011","Part Time","in school","","","",""
"Yes","2011","Part Time","inadequately","","","",""
"Yes","2011","Part Time","general elemantary","","","",""
"Yes","2011","Part Time","middle vocational","","","",""
"Yes","2011","Part Time","vocational + Abi","","","",""
"Yes","2011","Part Time","higher vocational","","","",""
"Yes","2011","Part Time","higher education","","","",""
"Yes","2011","Not Working","in school","","","",""
"Yes","2011","Not Working","inadequately","","","",""
"Yes","2011","Not Working","general elemantary","","","",""
"Yes","2011","Not Working","middle vocational","","","",""
"Yes","2011","Not Working","vocational + Abi","","","",""
"Yes","2011","Not Working","higher vocational","","","",""
"Yes","2011","Not Working","higher education","","","",""
"No","2011","Full Time","in school","","","",""
"No","2011","Full Time","inadequately","","","",""
"No","2011","Full Time","general elemantary","","","",""
"No","2011","Full Time","middle vocational","","","",""
"No","2011","Full Time","vocational + Abi","","","",""
"No","2011","Full Time","higher vocational","","","",""
"No","2011","Full Time","higher education","","","",""
"No","2011","Part Time","in school","","","",""
"No","2011","Part Time","inadequately","","","",""
"No","2011","Part Time","general elemantary","","","",""
"No","2011","Part Time","middle vocational","","","",""
"No","2011","Part Time","vocational + Abi","","","",""
"No","2011","Part Time","higher vocational","","","",""
"No","2011","Part Time","higher education","","","",""
"No","2011","Not Working","in school","","","",""
"No","2011","Not Working","inadequately","","","",""
"No","2011","Not Working","general elemantary","","","",""
"No","2011","Not Working","middle vocational","","","",""
"No","2011","Not Working","vocational + Abi","","","",""
"No","2011","Not Working","higher vocational","","","",""
"No","2011","Not Working","higher education","","","",""
"Yes","2012","Full Time","in school","","","",""
