"ple0081_h","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Yes","2003","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Yes","2003","Baden-Württemberg","lower secondary degree","","","",""
"Yes","2003","Baden-Württemberg","secondary school degree","","","",""
"Yes","2003","Baden-Württemberg","college entrance qualification","","","",""
"Yes","2003","Baden-Württemberg","Other degree","","","",""
"Yes","2003","Baden-Württemberg","no degree/no degree yet","","","",""
"Yes","2003","Bavaria","lower secondary degree","","","",""
"Yes","2003","Bavaria","secondary school degree","","","",""
"Yes","2003","Bavaria","college entrance qualification","","","",""
"Yes","2003","Bavaria","Other degree","","","",""
"Yes","2003","Bavaria","no degree/no degree yet","","","",""
"Yes","2003","Berlin","lower secondary degree","","","",""
"Yes","2003","Berlin","secondary school degree","","","",""
"Yes","2003","Berlin","college entrance qualification","","","",""
"Yes","2003","Berlin","Other degree","","","",""
"Yes","2003","Berlin","no degree/no degree yet","","","",""
"Yes","2003","Brandenburg","lower secondary degree","","","",""
"Yes","2003","Brandenburg","secondary school degree","","","",""
"Yes","2003","Brandenburg","college entrance qualification","","","",""
"Yes","2003","Brandenburg","Other degree","","","",""
"Yes","2003","Brandenburg","no degree/no degree yet","","","",""
"Yes","2003","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Yes","2003","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Yes","2003","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Yes","2003","Mecklenburg-Western Pomerania","Other degree","","","",""
"Yes","2003","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Yes","2003","Saxony","lower secondary degree","","","",""
"Yes","2003","Saxony","secondary school degree","","","",""
"Yes","2003","Saxony","college entrance qualification","","","",""
"Yes","2003","Saxony","Other degree","","","",""
"Yes","2003","Saxony","no degree/no degree yet","","","",""
"Yes","2003","Saxony-Anhalt","lower secondary degree","","","",""
"Yes","2003","Saxony-Anhalt","secondary school degree","","","",""
"Yes","2003","Saxony-Anhalt","college entrance qualification","","","",""
"Yes","2003","Saxony-Anhalt","Other degree","","","",""
"Yes","2003","Saxony-Anhalt","no degree/no degree yet","","","",""
"Yes","2003","Thuringia","lower secondary degree","","","",""
"Yes","2003","Thuringia","secondary school degree","","","",""
"Yes","2003","Thuringia","college entrance qualification","","","",""
"Yes","2003","Thuringia","Other degree","","","",""
"Yes","2003","Thuringia","no degree/no degree yet","","","",""
"No","2003","Schleswig-Holstein","lower secondary degree","","","",""
"No","2003","Schleswig-Holstein","secondary school degree","","","",""
"No","2003","Schleswig-Holstein","college entrance qualification","","","",""
"No","2003","Schleswig-Holstein","Other degree","","","",""
"No","2003","Schleswig-Holstein","no degree/no degree yet","","","",""
"No","2003","Hamburg","lower secondary degree","","","",""
"No","2003","Hamburg","secondary school degree","","","",""
"No","2003","Hamburg","college entrance qualification","","","",""
"No","2003","Hamburg","Other degree","","","",""
"No","2003","Hamburg","no degree/no degree yet","","","",""
"No","2003","Lower Saxony","lower secondary degree","","","",""
"No","2003","Lower Saxony","secondary school degree","","","",""
"No","2003","Lower Saxony","college entrance qualification","","","",""
"No","2003","Lower Saxony","Other degree","","","",""
"No","2003","Lower Saxony","no degree/no degree yet","","","",""
"No","2003","Bremen","lower secondary degree","","","",""
"No","2003","Bremen","secondary school degree","","","",""
"No","2003","Bremen","college entrance qualification","","","",""
"No","2003","Bremen","Other degree","","","",""
"No","2003","Bremen","no degree/no degree yet","","","",""
"No","2003","North Rhine-Westphalia","lower secondary degree","","","",""
"No","2003","North Rhine-Westphalia","secondary school degree","","","",""
"No","2003","North Rhine-Westphalia","college entrance qualification","","","",""
"No","2003","North Rhine-Westphalia","Other degree","","","",""
"No","2003","North Rhine-Westphalia","no degree/no degree yet","","","",""
"No","2003","Hesse","lower secondary degree","","","",""
"No","2003","Hesse","secondary school degree","","","",""
"No","2003","Hesse","college entrance qualification","","","",""
"No","2003","Hesse","Other degree","","","",""
"No","2003","Hesse","no degree/no degree yet","","","",""
"No","2003","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"No","2003","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"No","2003","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"No","2003","Rhineland-Palatinate,Saarland","Other degree","","","",""
"No","2003","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"No","2003","Baden-Württemberg","lower secondary degree","","","",""
"No","2003","Baden-Württemberg","secondary school degree","","","",""
"No","2003","Baden-Württemberg","college entrance qualification","","","",""
"No","2003","Baden-Württemberg","Other degree","","","",""
"No","2003","Baden-Württemberg","no degree/no degree yet","","","",""
"No","2003","Bavaria","lower secondary degree","","","",""
"No","2003","Bavaria","secondary school degree","","","",""
"No","2003","Bavaria","college entrance qualification","","","",""
"No","2003","Bavaria","Other degree","","","",""
"No","2003","Bavaria","no degree/no degree yet","","","",""
"No","2003","Berlin","lower secondary degree","","","",""
"No","2003","Berlin","secondary school degree","","","",""
"No","2003","Berlin","college entrance qualification","","","",""
"No","2003","Berlin","Other degree","","","",""
"No","2003","Berlin","no degree/no degree yet","","","",""
"No","2003","Brandenburg","lower secondary degree","","","",""
"No","2003","Brandenburg","secondary school degree","","","",""
"No","2003","Brandenburg","college entrance qualification","","","",""
"No","2003","Brandenburg","Other degree","","","",""
"No","2003","Brandenburg","no degree/no degree yet","","","",""
"No","2003","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"No","2003","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"No","2003","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"No","2003","Mecklenburg-Western Pomerania","Other degree","","","",""
"No","2003","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"No","2003","Saxony","lower secondary degree","","","",""
"No","2003","Saxony","secondary school degree","","","",""
"No","2003","Saxony","college entrance qualification","","","",""
"No","2003","Saxony","Other degree","","","",""
"No","2003","Saxony","no degree/no degree yet","","","",""
"No","2003","Saxony-Anhalt","lower secondary degree","","","",""
"No","2003","Saxony-Anhalt","secondary school degree","","","",""
"No","2003","Saxony-Anhalt","college entrance qualification","","","",""
"No","2003","Saxony-Anhalt","Other degree","","","",""
"No","2003","Saxony-Anhalt","no degree/no degree yet","","","",""
"No","2003","Thuringia","lower secondary degree","","","",""
"No","2003","Thuringia","secondary school degree","","","",""
"No","2003","Thuringia","college entrance qualification","","","",""
"No","2003","Thuringia","Other degree","","","",""
"No","2003","Thuringia","no degree/no degree yet","","","",""
"Yes","2004","Schleswig-Holstein","lower secondary degree","102","0.389669849595406","0.331500122910331","0.44783957628048"
"Yes","2004","Schleswig-Holstein","secondary school degree","60","0.342391399717543","0.271477881342602","0.413304918092484"
"Yes","2004","Schleswig-Holstein","college entrance qualification","25","","",""
"Yes","2004","Schleswig-Holstein","Other degree","5","","",""
"Yes","2004","Schleswig-Holstein","no degree/no degree yet","7","","",""
