"pli0080","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","2010","Employed","Urban Area","","","",""
"Daily","2010","Employed","Rural Area","","","",""
"Min 1x per week","2010","Not Employed","Urban Area","","","",""
"Min 1x per week","2010","Not Employed","Rural Area","","","",""
"Min 1x per week","2010","Employed","Urban Area","","","",""
"Min 1x per week","2010","Employed","Rural Area","","","",""
"Min 1x per month","2010","Not Employed","Urban Area","","","",""
"Min 1x per month","2010","Not Employed","Rural Area","","","",""
"Min 1x per month","2010","Employed","Urban Area","","","",""
"Min 1x per month","2010","Employed","Rural Area","","","",""
"Rarely","2010","Not Employed","Urban Area","","","",""
"Rarely","2010","Not Employed","Rural Area","","","",""
"Rarely","2010","Employed","Urban Area","","","",""
"Rarely","2010","Employed","Rural Area","","","",""
"Never","2010","Not Employed","Urban Area","","","",""
"Never","2010","Not Employed","Rural Area","","","",""
"Never","2010","Employed","Urban Area","","","",""
"Never","2010","Employed","Rural Area","","","",""
"Daily","2011","Not Employed","Urban Area","","","",""
"Daily","2011","Not Employed","Rural Area","","","",""
"Daily","2011","Employed","Urban Area","","","",""
"Daily","2011","Employed","Rural Area","","","",""
"Min 1x per week","2011","Not Employed","Urban Area","","","",""
"Min 1x per week","2011","Not Employed","Rural Area","","","",""
"Min 1x per week","2011","Employed","Urban Area","","","",""
"Min 1x per week","2011","Employed","Rural Area","","","",""
"Min 1x per month","2011","Not Employed","Urban Area","","","",""
"Min 1x per month","2011","Not Employed","Rural Area","","","",""
"Min 1x per month","2011","Employed","Urban Area","","","",""
"Min 1x per month","2011","Employed","Rural Area","","","",""
"Rarely","2011","Not Employed","Urban Area","","","",""
"Rarely","2011","Not Employed","Rural Area","","","",""
"Rarely","2011","Employed","Urban Area","","","",""
"Rarely","2011","Employed","Rural Area","","","",""
"Never","2011","Not Employed","Urban Area","","","",""
"Never","2011","Not Employed","Rural Area","","","",""
"Never","2011","Employed","Urban Area","","","",""
"Never","2011","Employed","Rural Area","","","",""
"Daily","2012","Not Employed","Urban Area","","","",""
"Daily","2012","Not Employed","Rural Area","","","",""
"Daily","2012","Employed","Urban Area","","","",""
"Daily","2012","Employed","Rural Area","","","",""
"Min 1x per week","2012","Not Employed","Urban Area","","","",""
"Min 1x per week","2012","Not Employed","Rural Area","","","",""
"Min 1x per week","2012","Employed","Urban Area","","","",""
"Min 1x per week","2012","Employed","Rural Area","","","",""
"Min 1x per month","2012","Not Employed","Urban Area","","","",""
