"pli0080","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Rarely","1995","Not Working","indirect migration background","10","","",""
"Never","1995","Full Time","no migration background","90","0.0211614635567331","0.0169722190096401","0.0253507081038261"
"Never","1995","Full Time","direct migration background","26","","",""
"Never","1995","Full Time","indirect migration background","2","","",""
"Never","1995","Part Time","no migration background","46","0.0251104944957894","0.0181193079998567","0.032101680991722"
"Never","1995","Part Time","direct migration background","14","","",""
"Never","1995","Part Time","indirect migration background","1","","",""
"Never","1995","Not Working","no migration background","161","0.0544411432535362","0.0469607794469111","0.0619215070601614"
"Never","1995","Not Working","direct migration background","40","0.0578200587838853","0.0440208102635403","0.0716193073042303"
"Never","1995","Not Working","indirect migration background","2","","",""
"Daily","1996","Full Time","no migration background","","","",""
"Daily","1996","Full Time","direct migration background","","","",""
"Daily","1996","Full Time","indirect migration background","","","",""
"Daily","1996","Part Time","no migration background","","","",""
"Daily","1996","Part Time","direct migration background","","","",""
"Daily","1996","Part Time","indirect migration background","","","",""
"Daily","1996","Not Working","no migration background","","","",""
"Daily","1996","Not Working","direct migration background","","","",""
"Daily","1996","Not Working","indirect migration background","","","",""
"Min 1x per week","1996","Full Time","no migration background","","","",""
"Min 1x per week","1996","Full Time","direct migration background","","","",""
"Min 1x per week","1996","Full Time","indirect migration background","","","",""
"Min 1x per week","1996","Part Time","no migration background","","","",""
"Min 1x per week","1996","Part Time","direct migration background","","","",""
"Min 1x per week","1996","Part Time","indirect migration background","","","",""
"Min 1x per week","1996","Not Working","no migration background","","","",""
"Min 1x per week","1996","Not Working","direct migration background","","","",""
"Min 1x per week","1996","Not Working","indirect migration background","","","",""
"Min 1x per month","1996","Full Time","no migration background","","","",""
"Min 1x per month","1996","Full Time","direct migration background","","","",""
"Min 1x per month","1996","Full Time","indirect migration background","","","",""
"Min 1x per month","1996","Part Time","no migration background","","","",""
"Min 1x per month","1996","Part Time","direct migration background","","","",""
"Min 1x per month","1996","Part Time","indirect migration background","","","",""
"Min 1x per month","1996","Not Working","no migration background","","","",""
"Min 1x per month","1996","Not Working","direct migration background","","","",""
"Min 1x per month","1996","Not Working","indirect migration background","","","",""
"Rarely","1996","Full Time","no migration background","","","",""
"Rarely","1996","Full Time","direct migration background","","","",""
"Rarely","1996","Full Time","indirect migration background","","","",""
"Rarely","1996","Part Time","no migration background","","","",""
"Rarely","1996","Part Time","direct migration background","","","",""
"Rarely","1996","Part Time","indirect migration background","","","",""
"Rarely","1996","Not Working","no migration background","","","",""
"Rarely","1996","Not Working","direct migration background","","","",""
