"ple0098_v5","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Yes","2006","1-pers.-HH","middle vocational","188","0.126663844710247","0.110143434082465","0.143184255338028","1"
"Yes","2006","1-pers.-HH","vocational + Abi","36","0.240116932970805","0.176280495135368","0.303953370806241","1"
"Yes","2006","1-pers.-HH","higher vocational","33","0.180541433255123","0.126693133124425","0.234389733385822","1"
"Yes","2006","1-pers.-HH","higher education","100","0.273990882893033","0.231080426287304","0.316901339498762","1"
"Yes","2006","(Married) couple without C. ","in school","1","","","","1"
"Yes","2006","(Married) couple without C. ","inadequately","","","","","1"
"Yes","2006","(Married) couple without C. ","general elemantary","43","0.0556097520400158","0.0387293537946713","0.0724901502853603","1"
"Yes","2006","(Married) couple without C. ","middle vocational","583","0.143239856161985","0.13202607861704","0.154453633706931","1"
"Yes","2006","(Married) couple without C. ","vocational + Abi","88","0.239242435771593","0.192055093825572","0.286429777717614","1"
"Yes","2006","(Married) couple without C. ","higher vocational","87","0.145535399210539","0.115874826355119","0.175195972065958","1"
"Yes","2006","(Married) couple without C. ","higher education","314","0.238986005633455","0.214907078946755","0.263064932320155","1"
"Yes","2006","Single parent ","in school","3","","","","1"
"Yes","2006","Single parent ","inadequately","1","","","","1"
"Yes","2006","Single parent ","general elemantary","10","","","","1"
"Yes","2006","Single parent ","middle vocational","61","0.12117594875378","0.09375339966814","0.148598497839419","1"
"Yes","2006","Single parent ","vocational + Abi","5","","","","1"
"Yes","2006","Single parent ","higher vocational","7","","","","1"
"Yes","2006","Single parent ","higher education","26","","","","1"
"Yes","2006","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2006","Couple + C. LE 16 ","inadequately","1","","","","1"
"Yes","2006","Couple + C. LE 16 ","general elemantary","11","","","","1"
"Yes","2006","Couple + C. LE 16 ","middle vocational","313","0.166027760247918","0.148457766611138","0.183597753884697","1"
"Yes","2006","Couple + C. LE 16 ","vocational + Abi","92","0.257644420965178","0.210951665852519","0.304337176077837","1"
"Yes","2006","Couple + C. LE 16 ","higher vocational","62","0.209215484774655","0.164857396518711","0.253573573030598","1"
"Yes","2006","Couple + C. LE 16 ","higher education","128","0.198558476997323","0.165607064948046","0.2315098890466","1"
"Yes","2006","Couple + C. GT 16 ","in school","10","","","","1"
"Yes","2006","Couple + C. GT 16 ","inadequately","1","","","","1"
"Yes","2006","Couple + C. GT 16 ","general elemantary","22","","","","1"
"Yes","2006","Couple + C. GT 16 ","middle vocational","232","0.12633787002623","0.110418031756185","0.142257708296274","1"
"Yes","2006","Couple + C. GT 16 ","vocational + Abi","35","0.233939816606865","0.166193454501114","0.301686178712616","1"
"Yes","2006","Couple + C. GT 16 ","higher vocational","23","","","","1"
"Yes","2006","Couple + C. GT 16 ","higher education","92","0.209564165448965","0.170311885578637","0.248816445319293","1"
"Yes","2006","Couple + C. LE and GT 16","in school","7","","","","1"
"Yes","2006","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2006","Couple + C. LE and GT 16","general elemantary","11","","","","1"
"Yes","2006","Couple + C. LE and GT 16","middle vocational","79","0.140451265069284","0.111253694178351","0.169648835960217","1"
"Yes","2006","Couple + C. LE and GT 16","vocational + Abi","8","","","","1"
"Yes","2006","Couple + C. LE and GT 16","higher vocational","20","","","","1"
"Yes","2006","Couple + C. LE and GT 16","higher education","36","0.248366391782064","0.184168173329917","0.312564610234211","1"
"No","2007","1-pers.-HH","in school","1","","","","2"
"No","2007","1-pers.-HH","inadequately","23","","","","2"
"No","2007","1-pers.-HH","general elemantary","393","0.940092770755802","0.917287963865821","0.962897577645784","2"
"No","2007","1-pers.-HH","middle vocational","1288","0.865875918314685","0.848560705376099","0.883191131253272","2"
"No","2007","1-pers.-HH","vocational + Abi","128","0.804934445861415","0.744289206256751","0.865579685466079","2"
"No","2007","1-pers.-HH","higher vocational","142","0.749686730672181","0.687263811392886","0.812109649951475","2"
"No","2007","1-pers.-HH","higher education","307","0.721086892707909","0.677517736501474","0.764656048914344","2"
"No","2007","(Married) couple without C. ","in school","1","","","","2"
"No","2007","(Married) couple without C. ","inadequately","58","1","1","1","2"
"No","2007","(Married) couple without C. ","general elemantary","592","0.927823484398582","0.90780592096018","0.947841047836983","2"
"No","2007","(Married) couple without C. ","middle vocational","2870","0.834431338380023","0.822103261167895","0.846759415592152","2"
"No","2007","(Married) couple without C. ","vocational + Abi","202","0.685515559156738","0.632974877418972","0.738056240894503","2"
"No","2007","(Married) couple without C. ","higher vocational","409","0.821049050468728","0.787281695230015","0.854816405707441","2"
"No","2007","(Married) couple without C. ","higher education","831","0.730238751764315","0.704839477700309","0.755638025828321","2"
"No","2007","Couple + C. GT 16 ","in school","110","0.922219268701884","0.873895567040107","0.97054297036366","2"
"No","2007","Couple + C. GT 16 ","inadequately","43","0.976965490498205","0.933135545042085","1.02079543595432","2"
"No","2007","Couple + C. GT 16 ","general elemantary","355","0.955876910729445","0.935118786335075","0.976635035123815","2"
"No","2007","Couple + C. GT 16 ","middle vocational","1369","0.861388402364283","0.84445192235497","0.878324882373597","2"
"No","2007","Couple + C. GT 16 ","vocational + Abi","95","0.60976670884769","0.524928743623438","0.694604674071943","2"
"No","2007","Couple + C. GT 16 ","higher vocational","136","0.827161914389421","0.770490373090916","0.883833455687926","2"
"No","2007","Couple + C. GT 16 ","higher education","320","0.751249627914449","0.709456855250681","0.793042400578216","2"
"No","2007","Couple + C. LE and GT 16","in school","84","0.880876697125278","0.81539196006644","0.946361434184117","2"
"No","2007","Couple + C. LE and GT 16","inadequately","25","","","","2"
"No","2007","Couple + C. LE and GT 16","general elemantary","169","0.979558788131882","0.958653299181812","1.00046427708195","2"
"No","2007","Couple + C. LE and GT 16","middle vocational","440","0.88288995694666","0.85498294350131","0.910796970392009","2"
"No","2007","Couple + C. LE and GT 16","vocational + Abi","52","0.929531675474126","0.864225965552227","0.994837385396024","2"
"No","2007","Couple + C. LE and GT 16","higher vocational","73","0.683162229556708","0.588606681844185","0.77771777726923","2"
"No","2007","Couple + C. LE and GT 16","higher education","118","0.724035238067791","0.652262151431318","0.795808324704265","2"
"No","2007","Single parent ","in school","38","0.975359487602077","0.927317018541196","1.02340195666296","2"
"No","2007","Single parent ","inadequately","19","","","","2"
"No","2007","Single parent ","general elemantary","178","0.964883153752028","0.938213482568714","0.991552824935342","2"
"No","2007","Single parent ","middle vocational","458","0.870438505895402","0.841406733342593","0.899470278448211","2"
"No","2007","Single parent ","vocational + Abi","38","0.851650216364059","0.747797963215823","0.955502469512295","2"
"No","2007","Single parent ","higher vocational","26","","","","2"
"No","2007","Single parent ","higher education","81","0.736646108752024","0.653577768581591","0.819714448922456","2"
"No","2007","Couple + C. LE 16 ","in school","","","","","2"
"No","2007","Couple + C. LE 16 ","inadequately","24","","","","2"
"No","2007","Couple + C. LE 16 ","general elemantary","218","0.943670134367766","0.914192432456824","0.973147836278707","2"
"No","2007","Couple + C. LE 16 ","middle vocational","1266","0.821777302139128","0.80271914253086","0.840835461747396","2"
"No","2007","Couple + C. LE 16 ","vocational + Abi","242","0.740313430356783","0.692862609685699","0.787764251027866","2"
"No","2007","Couple + C. LE 16 ","higher vocational","233","0.81944726799955","0.775023603035709","0.863870932963391","2"
"No","2007","Couple + C. LE 16 ","higher education","395","0.808197438228269","0.774709626685188","0.841685249771349","2"
"Yes","2007","1-pers.-HH","in school","","","","","1"
"Yes","2007","1-pers.-HH","inadequately","","","","","1"
"Yes","2007","1-pers.-HH","general elemantary","23","","","","1"
"Yes","2007","1-pers.-HH","middle vocational","200","0.134124081685315","0.116808868746728","0.151439294623901","1"
"Yes","2007","1-pers.-HH","vocational + Abi","36","0.195065554138585","0.134420314533921","0.255710793743249","1"
"Yes","2007","1-pers.-HH","higher vocational","43","0.250313269327819","0.187890350048525","0.312736188607114","1"
"Yes","2007","1-pers.-HH","higher education","100","0.278913107292091","0.235343951085656","0.322482263498526","1"
"Yes","2007","(Married) couple without C. ","in school","","","","","1"
"Yes","2007","(Married) couple without C. ","inadequately","","","","","1"
"Yes","2007","(Married) couple without C. ","general elemantary","50","0.0721765156014184","0.0521589521630171","0.0921940790398197","1"
"Yes","2007","(Married) couple without C. ","middle vocational","622","0.165568661619977","0.153240584407848","0.177896738832106","1"
"Yes","2007","(Married) couple without C. ","vocational + Abi","98","0.314484440843262","0.261943759105497","0.367025122581028","1"
"Yes","2007","(Married) couple without C. ","higher vocational","86","0.178950949531272","0.145183594292559","0.212718304769985","1"
"Yes","2007","(Married) couple without C. ","higher education","342","0.269761248235685","0.244361974171679","0.295160522299691","1"
"Yes","2007","Single parent ","in school","2","","","","1"
"Yes","2007","Single parent ","inadequately","","","","","1"
"Yes","2007","Single parent ","general elemantary","5","","","","1"
"Yes","2007","Single parent ","middle vocational","56","0.129561494104598","0.100529721551789","0.158593266657407","1"
"Yes","2007","Single parent ","vocational + Abi","7","","","","1"
"Yes","2007","Single parent ","higher vocational","9","","","","1"
"Yes","2007","Single parent ","higher education","27","","","","1"
"Yes","2007","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2007","Couple + C. LE 16 ","inadequately","2","","","","1"
"Yes","2007","Couple + C. LE 16 ","general elemantary","17","","","","1"
"Yes","2007","Couple + C. LE 16 ","middle vocational","283","0.178222697860872","0.159164538252604","0.19728085746914","1"
"Yes","2007","Couple + C. LE 16 ","vocational + Abi","86","0.259686569643217","0.212235748972134","0.307137390314301","1"
"Yes","2007","Couple + C. LE 16 ","higher vocational","55","0.180552732000449","0.136129067036609","0.22497639696429","1"
"Yes","2007","Couple + C. LE 16 ","higher education","136","0.191802561771731","0.158314750228651","0.225290373314812","1"
"Yes","2007","Couple + C. GT 16 ","in school","8","","","","1"
"Yes","2007","Couple + C. GT 16 ","inadequately","2","","","","1"
"Yes","2007","Couple + C. GT 16 ","general elemantary","21","","","","1"
"Yes","2007","Couple + C. GT 16 ","middle vocational","230","0.138611597635717","0.121675117626403","0.15554807764503","1"
"Yes","2007","Couple + C. GT 16 ","vocational + Abi","32","0.39023329115231","0.305395325928057","0.475071256376562","1"
"Yes","2007","Couple + C. GT 16 ","higher vocational","35","0.172838085610579","0.116166544312074","0.229509626909084","1"
"Yes","2007","Couple + C. GT 16 ","higher education","91","0.248750372085551","0.206957599421784","0.290543144749319","1"
"Yes","2007","Couple + C. LE and GT 16","in school","10","","","","1"
"Yes","2007","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2007","Couple + C. LE and GT 16","general elemantary","7","","","","1"
"Yes","2007","Couple + C. LE and GT 16","middle vocational","70","0.11711004305334","0.0892030296079909","0.14501705649869","1"
"Yes","2007","Couple + C. LE and GT 16","vocational + Abi","7","","","","1"
"Yes","2007","Couple + C. LE and GT 16","higher vocational","20","","","","1"
"Yes","2007","Couple + C. LE and GT 16","higher education","31","0.275964761932209","0.204191675295735","0.347737848568682","1"
"No","2008","1-pers.-HH","in school","3","","","","2"
"No","2008","1-pers.-HH","inadequately","22","","","","2"
"No","2008","1-pers.-HH","general elemantary","369","0.914922874935871","0.887513116957033","0.94233263291471","2"
"No","2008","1-pers.-HH","middle vocational","1216","0.839163296513682","0.820194843095217","0.858131749932146","2"
"No","2008","1-pers.-HH","vocational + Abi","114","0.674769243423414","0.603719371468729","0.745819115378099","2"
"No","2008","1-pers.-HH","higher vocational","135","0.739437630593774","0.673839647105731","0.805035614081817","2"
"No","2008","1-pers.-HH","higher education","293","0.658801257320879","0.613131485558964","0.704471029082794","2"
"No","2008","(Married) couple without C. ","in school","","","","","2"
"No","2008","(Married) couple without C. ","inadequately","59","1","1","1","2"
"No","2008","(Married) couple without C. ","general elemantary","537","0.910278501897099","0.887296372273407","0.93326063152079","2"
"No","2008","(Married) couple without C. ","middle vocational","2702","0.796488014761386","0.782905011017797","0.810071018504975","2"
"No","2008","(Married) couple without C. ","vocational + Abi","173","0.690449227161587","0.634469694873634","0.746428759449539","2"
"No","2008","(Married) couple without C. ","higher vocational","376","0.786932156398418","0.749714483383703","0.824149829413133","2"
"No","2008","(Married) couple without C. ","higher education","800","0.682147117202679","0.655397122383135","0.708897112022223","2"
"No","2008","Couple + C. GT 16 ","in school","109","0.959737827935312","0.923965763607185","0.995509892263438","2"
"No","2008","Couple + C. GT 16 ","inadequately","35","0.981896238455343","0.938343642215784","1.0254488346949","2"
"No","2008","Couple + C. GT 16 ","general elemantary","345","0.91973958787478","0.892130010821672","0.947349164927887","2"
"No","2008","Couple + C. GT 16 ","middle vocational","1293","0.844860098106257","0.826825072273032","0.862895123939483","2"
"No","2008","Couple + C. GT 16 ","vocational + Abi","98","0.724790555297892","0.648600365551126","0.800980745044658","2"
"No","2008","Couple + C. GT 16 ","higher vocational","130","0.827693687149448","0.769359846761816","0.886027527537081","2"
"No","2008","Couple + C. GT 16 ","higher education","279","0.773763505151772","0.731529441630896","0.815997568672649","2"
"No","2008","Couple + C. LE and GT 16","in school","90","0.862794824851981","0.796669101873336","0.928920547830626","2"
"No","2008","Couple + C. LE and GT 16","inadequately","13","","","","2"
"No","2008","Couple + C. LE and GT 16","general elemantary","133","0.935202553880476","0.894713679287883","0.975691428473069","2"
"No","2008","Couple + C. LE and GT 16","middle vocational","367","0.857637282919263","0.825352951694082","0.889921614144445","2"
"No","2008","Couple + C. LE and GT 16","vocational + Abi","50","0.859222032445825","0.772651060362254","0.945793004529396","2"
"No","2008","Couple + C. LE and GT 16","higher vocational","59","0.772168918248506","0.680827400052405","0.863510436444606","2"
"No","2008","Couple + C. LE and GT 16","higher education","105","0.650206403883273","0.571489123144831","0.728923684621715","2"
"No","2008","Single parent ","in school","45","0.85177071915913","0.754251243614295","0.949290194703966","2"
"No","2008","Single parent ","inadequately","18","","","","2"
"No","2008","Single parent ","general elemantary","169","0.953247822207355","0.922407729687456","0.984087914727255","2"
"No","2008","Single parent ","middle vocational","437","0.870054460720613","0.840699146754683","0.899409774686544","2"
"No","2008","Single parent ","vocational + Abi","35","0.794175078558086","0.678588803399218","0.909761353716955","2"
"No","2008","Single parent ","higher vocational","26","","","","2"
"No","2008","Single parent ","higher education","82","0.727912408064493","0.645121903124276","0.810702913004709","2"
"No","2008","Couple + C. LE 16 ","in school","1","","","","2"
"No","2008","Couple + C. LE 16 ","inadequately","23","","","","2"
"No","2008","Couple + C. LE 16 ","general elemantary","191","0.917782414016605","0.880451497713159","0.955113330320051","2"
"No","2008","Couple + C. LE 16 ","middle vocational","1114","0.792578349178675","0.771384805650688","0.813771892706663","2"
"No","2008","Couple + C. LE 16 ","vocational + Abi","216","0.733363743471359","0.683408145425828","0.783319341516891","2"
"No","2008","Couple + C. LE 16 ","higher vocational","202","0.760983206098624","0.709242829919293","0.812723582277956","2"
"No","2008","Couple + C. LE 16 ","higher education","354","0.73757159342395","0.698969991214798","0.776173195633102","2"
"Yes","2008","Single parent ","in school","6","","","","1"
"Yes","2008","Single parent ","inadequately","","","","","1"
"Yes","2008","Single parent ","general elemantary","11","","","","1"
"Yes","2008","Single parent ","middle vocational","67","0.129945539279387","0.100590225313456","0.159300853245317","1"
"Yes","2008","Single parent ","vocational + Abi","12","","","","1"
"Yes","2008","Single parent ","higher vocational","7","","","","1"
"Yes","2008","Single parent ","higher education","29","","","","1"
"Yes","2008","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2008","Couple + C. LE 16 ","inadequately","2","","","","1"
"Yes","2008","Couple + C. LE 16 ","general elemantary","17","","","","1"
"Yes","2008","Couple + C. LE 16 ","middle vocational","292","0.207421650821325","0.186228107293337","0.228615194349312","1"
"Yes","2008","Couple + C. LE 16 ","vocational + Abi","85","0.266636256528641","0.21668065848311","0.316591854574172","1"
"Yes","2008","Couple + C. LE 16 ","higher vocational","59","0.239016793901376","0.187276417722044","0.290757170080707","1"
"Yes","2008","Couple + C. LE 16 ","higher education","145","0.26242840657605","0.223826804366898","0.301030008785202","1"
"Yes","2008","1-pers.-HH","in school","","","","","1"
"Yes","2008","1-pers.-HH","inadequately","1","","","","1"
"Yes","2008","1-pers.-HH","general elemantary","29","","","","1"
"Yes","2008","1-pers.-HH","middle vocational","225","0.160836703486318","0.141868250067854","0.179805156904783","1"
"Yes","2008","1-pers.-HH","vocational + Abi","53","0.325230756576586","0.254180884621901","0.396280628531271","1"
"Yes","2008","1-pers.-HH","higher vocational","37","0.260562369406226","0.194964385918183","0.326160352894269","1"
"Yes","2008","1-pers.-HH","higher education","121","0.341198742679121","0.295528970917206","0.386868514441036","1"
"Yes","2008","(Married) couple without C. ","in school","","","","","1"
"Yes","2008","(Married) couple without C. ","inadequately","","","","","1"
"Yes","2008","(Married) couple without C. ","general elemantary","57","0.0897214981029014","0.0667393684792095","0.112703627726593","1"
"Yes","2008","(Married) couple without C. ","middle vocational","673","0.203511985238614","0.189928981495025","0.217094988982203","1"
"Yes","2008","(Married) couple without C. ","vocational + Abi","89","0.309550772838413","0.253571240550461","0.365530305126366","1"
"Yes","2008","(Married) couple without C. ","higher vocational","89","0.213067843601582","0.175850170586867","0.250285516616297","1"
"Yes","2008","(Married) couple without C. ","higher education","364","0.317852882797321","0.291102887977777","0.344602877616865","1"
"Yes","2008","Couple + C. GT 16 ","in school","7","","","","1"
"Yes","2008","Couple + C. GT 16 ","inadequately","1","","","","1"
"Yes","2008","Couple + C. GT 16 ","general elemantary","27","","","","1"
"Yes","2008","Couple + C. GT 16 ","middle vocational","255","0.155139901893742","0.137104876060517","0.173174927726968","1"
"Yes","2008","Couple + C. GT 16 ","vocational + Abi","34","0.275209444702108","0.199019254955342","0.351399634448874","1"
"Yes","2008","Couple + C. GT 16 ","higher vocational","31","0.172306312850552","0.113972472462919","0.230640153238184","1"
"Yes","2008","Couple + C. GT 16 ","higher education","98","0.226236494848228","0.184002431327351","0.268470558369104","1"
"Yes","2008","Couple + C. LE and GT 16","in school","14","","","","1"
"Yes","2008","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2008","Couple + C. LE and GT 16","general elemantary","9","","","","1"
"Yes","2008","Couple + C. LE and GT 16","middle vocational","83","0.142362717080737","0.110078385855555","0.174647048305918","1"
"Yes","2008","Couple + C. LE and GT 16","vocational + Abi","12","","","","1"
"Yes","2008","Couple + C. LE and GT 16","higher vocational","22","","","","1"
"Yes","2008","Couple + C. LE and GT 16","higher education","36","0.349793596116727","0.271076315378285","0.428510876855169","1"
"No","2009","1-pers.-HH","in school","","","","","2"
"No","2009","1-pers.-HH","inadequately","","","","","2"
"No","2009","1-pers.-HH","general elemantary","","","","","2"
"No","2009","1-pers.-HH","middle vocational","","","","","2"
"No","2009","1-pers.-HH","vocational + Abi","","","","","2"
"No","2009","1-pers.-HH","higher vocational","","","","","2"
"No","2009","1-pers.-HH","higher education","","","","","2"
"No","2009","(Married) couple without C. ","in school","","","","","2"
"No","2009","(Married) couple without C. ","inadequately","","","","","2"
"No","2009","(Married) couple without C. ","general elemantary","","","","","2"
"No","2009","(Married) couple without C. ","middle vocational","","","","","2"
"No","2009","(Married) couple without C. ","vocational + Abi","","","","","2"
"No","2009","(Married) couple without C. ","higher vocational","","","","","2"
"No","2009","(Married) couple without C. ","higher education","","","","","2"
"No","2009","Couple + C. GT 16 ","in school","","","","","2"
"No","2009","Couple + C. GT 16 ","inadequately","","","","","2"
"No","2009","Couple + C. GT 16 ","general elemantary","","","","","2"
"No","2009","Couple + C. GT 16 ","middle vocational","","","","","2"
"No","2009","Couple + C. GT 16 ","vocational + Abi","","","","","2"
"No","2009","Couple + C. GT 16 ","higher vocational","","","","","2"
"No","2009","Couple + C. GT 16 ","higher education","","","","","2"
"No","2009","Couple + C. LE and GT 16","in school","","","","","2"
"No","2009","Couple + C. LE and GT 16","inadequately","","","","","2"
"No","2009","Couple + C. LE and GT 16","general elemantary","","","","","2"
"No","2009","Couple + C. LE and GT 16","middle vocational","","","","","2"
"No","2009","Couple + C. LE and GT 16","vocational + Abi","","","","","2"
"No","2009","Couple + C. LE and GT 16","higher vocational","","","","","2"
"No","2009","Couple + C. LE and GT 16","higher education","","","","","2"
"No","2009","Single parent ","in school","","","","","2"
"No","2009","Single parent ","inadequately","","","","","2"
"No","2009","Single parent ","general elemantary","","","","","2"
"No","2009","Single parent ","middle vocational","","","","","2"
"No","2009","Single parent ","vocational + Abi","","","","","2"
"No","2009","Single parent ","higher vocational","","","","","2"
"No","2009","Single parent ","higher education","","","","","2"
"No","2009","Couple + C. LE 16 ","in school","","","","","2"
"No","2009","Couple + C. LE 16 ","inadequately","","","","","2"
"No","2009","Couple + C. LE 16 ","general elemantary","","","","","2"
"No","2009","Couple + C. LE 16 ","middle vocational","","","","","2"
"No","2009","Couple + C. LE 16 ","vocational + Abi","","","","","2"
"No","2009","Couple + C. LE 16 ","higher vocational","","","","","2"
"No","2009","Couple + C. LE 16 ","higher education","","","","","2"
"Yes","2009","Single parent ","in school","","","","","1"
"Yes","2009","Single parent ","inadequately","","","","","1"
"Yes","2009","Single parent ","general elemantary","","","","","1"
"Yes","2009","Single parent ","middle vocational","","","","","1"
"Yes","2009","Single parent ","vocational + Abi","","","","","1"
"Yes","2009","Single parent ","higher vocational","","","","","1"
"Yes","2009","Single parent ","higher education","","","","","1"
"Yes","2009","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2009","Couple + C. LE 16 ","inadequately","","","","","1"
"Yes","2009","Couple + C. LE 16 ","general elemantary","","","","","1"
"Yes","2009","Couple + C. LE 16 ","middle vocational","","","","","1"
"Yes","2009","Couple + C. LE 16 ","vocational + Abi","","","","","1"
"Yes","2009","Couple + C. LE 16 ","higher vocational","","","","","1"
"Yes","2009","Couple + C. LE 16 ","higher education","","","","","1"
"Yes","2009","1-pers.-HH","in school","","","","","1"
"Yes","2009","1-pers.-HH","inadequately","","","","","1"
"Yes","2009","1-pers.-HH","general elemantary","","","","","1"
"Yes","2009","1-pers.-HH","middle vocational","","","","","1"
"Yes","2009","1-pers.-HH","vocational + Abi","","","","","1"
"Yes","2009","1-pers.-HH","higher vocational","","","","","1"
"Yes","2009","1-pers.-HH","higher education","","","","","1"
"Yes","2009","(Married) couple without C. ","in school","","","","","1"
"Yes","2009","(Married) couple without C. ","inadequately","","","","","1"
"Yes","2009","(Married) couple without C. ","general elemantary","","","","","1"
"Yes","2009","(Married) couple without C. ","middle vocational","","","","","1"
"Yes","2009","(Married) couple without C. ","vocational + Abi","","","","","1"
"Yes","2009","(Married) couple without C. ","higher vocational","","","","","1"
"Yes","2009","(Married) couple without C. ","higher education","","","","","1"
"Yes","2009","Couple + C. GT 16 ","in school","","","","","1"
"Yes","2009","Couple + C. GT 16 ","inadequately","","","","","1"
"Yes","2009","Couple + C. GT 16 ","general elemantary","","","","","1"
"Yes","2009","Couple + C. GT 16 ","middle vocational","","","","","1"
"Yes","2009","Couple + C. GT 16 ","vocational + Abi","","","","","1"
"Yes","2009","Couple + C. GT 16 ","higher vocational","","","","","1"
"Yes","2009","Couple + C. GT 16 ","higher education","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","in school","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","general elemantary","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","middle vocational","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","higher vocational","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","higher education","","","","","1"
"No","2010","1-pers.-HH","in school","","","","","2"
"No","2010","1-pers.-HH","inadequately","20","","","","2"
"No","2010","1-pers.-HH","general elemantary","340","0.915541077450869","0.887207010574171","0.943875144327567","2"
"No","2010","1-pers.-HH","middle vocational","1079","0.829272941174722","0.808803279177055","0.849742603172389","2"
"No","2010","1-pers.-HH","vocational + Abi","80","0.666147425550933","0.581417436161487","0.750877414940378","2"
"No","2010","1-pers.-HH","higher vocational","121","0.73669541213635","0.668451911642256","0.804938912630444","2"
"No","2010","1-pers.-HH","higher education","271","0.679881638607974","0.633816548086414","0.725946729129535","2"
"No","2010","(Married) couple without C. ","in school","2","","","","2"
"No","2010","(Married) couple without C. ","inadequately","44","0.985994382747501","0.951659925909128","1.02032883958587","2"
"No","2010","(Married) couple without C. ","general elemantary","404","0.916227953022277","0.890687405324905","0.941768500719648","2"
"No","2010","(Married) couple without C. ","middle vocational","2311","0.790172007542704","0.775505678634831","0.804838336450577","2"
"No","2010","(Married) couple without C. ","vocational + Abi","152","0.624888680021772","0.564993393864329","0.684783966179215","2"
"No","2010","(Married) couple without C. ","higher vocational","335","0.775975167685176","0.736521131631483","0.815429203738869","2"
"No","2010","(Married) couple without C. ","higher education","720","0.629105184137058","0.600637145861238","0.657573222412879","2"
"No","2010","Single parent ","in school","62","0.904309379514714","0.837734458117805","0.970884300911622","2"
"No","2010","Single parent ","inadequately","56","1","1","1","2"
"No","2010","Single parent ","general elemantary","332","0.950073383834482","0.927417627956339","0.972729139712625","2"
"No","2010","Single parent ","middle vocational","898","0.842021548403019","0.820219144135962","0.863823952670076","2"
"No","2010","Single parent ","vocational + Abi","142","0.826446337797779","0.772452846581787","0.88043982901377","2"
"No","2010","Single parent ","higher vocational","56","0.746793739985279","0.649029765604294","0.844557714366264","2"
"No","2010","Single parent ","higher education","185","0.706969942209794","0.650774074587862","0.763165809831725","2"
"No","2010","Couple + C. LE 16 ","in school","3","","","","2"
"No","2010","Couple + C. LE 16 ","inadequately","151","0.965694006442292","0.937131878468816","0.994256134415769","2"
"No","2010","Couple + C. LE 16 ","general elemantary","577","0.938157356958223","0.919074023225195","0.957240690691251","2"
"No","2010","Couple + C. LE 16 ","middle vocational","2759","0.799793694253142","0.786382640541894","0.81320474796439","2"
"No","2010","Couple + C. LE 16 ","vocational + Abi","555","0.717282379984467","0.685475267276605","0.74908949269233","2"
"No","2010","Couple + C. LE 16 ","higher vocational","309","0.708988839601804","0.666205107652922","0.751772571550685","2"
"No","2010","Couple + C. LE 16 ","higher education","949","0.729545119772088","0.705482009719939","0.753608229824237","2"
"No","2010","Couple + C. GT 16 ","in school","86","0.893852845133408","0.832867955024609","0.954837735242208","2"
"No","2010","Couple + C. GT 16 ","inadequately","19","","","","2"
"No","2010","Couple + C. GT 16 ","general elemantary","281","0.874958822881722","0.838019148158206","0.911898497605238","2"
"No","2010","Couple + C. GT 16 ","middle vocational","1081","0.833060954074506","0.812734286634382","0.853387621514631","2"
"No","2010","Couple + C. GT 16 ","vocational + Abi","93","0.683084283554865","0.603409392485881","0.762759174623849","2"
"No","2010","Couple + C. GT 16 ","higher vocational","127","0.807710786369559","0.74757797317837","0.867843599560749","2"
"No","2010","Couple + C. GT 16 ","higher education","236","0.705590887795288","0.65749691547629","0.753684860114286","2"
"No","2010","Couple + C. LE and GT 16","in school","129","0.888607009065095","0.838258540965725","0.938955477164465","2"
"No","2010","Couple + C. LE and GT 16","inadequately","29","","","","2"
"No","2010","Couple + C. LE and GT 16","general elemantary","211","0.931415137907221","0.898608143211084","0.964222132603359","2"
"No","2010","Couple + C. LE and GT 16","middle vocational","499","0.830495264244074","0.800720888012429","0.860269640475719","2"
"No","2010","Couple + C. LE and GT 16","vocational + Abi","75","0.705808848893609","0.614177381675754","0.797440316111464","2"
"No","2010","Couple + C. LE and GT 16","higher vocational","74","0.849932165140088","0.778115996946096","0.92174833333408","2"
"No","2010","Couple + C. LE and GT 16","higher education","118","0.671421179863543","0.598868667755345","0.743973691971742","2"
"Yes","2010","Single parent ","in school","13","","","","1"
"Yes","2010","Single parent ","inadequately","","","","","1"
"Yes","2010","Single parent ","general elemantary","23","","","","1"
"Yes","2010","Single parent ","middle vocational","177","0.157978451596981","0.136176047329924","0.179780855864038","1"
"Yes","2010","Single parent ","vocational + Abi","47","0.173553662202221","0.11956017098623","0.227547153418212","1"
