"ple0098_v5","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No","2015","66 and older","Couple + C. LE 16 ","","","",""
"No","2015","66 and older","Couple + C. GT 16 ","","","",""
"No","2015","66 and older","Couple + C. LE and GT 16","","","",""
"Yes","2016","16-34 y.","1-pers.-HH","86","0.135255067835117","0.108634075026379","0.161876060643855"
"Yes","2016","16-34 y.","(Married) couple without C. ","139","0.161536089314129","0.136483778264434","0.186588400363824"
"Yes","2016","16-34 y.","Single parent ","70","0.0918848241611317","0.0704090885006262","0.113360559821637"
"Yes","2016","16-34 y.","Couple + C. LE 16 ","187","0.162011505846158","0.142363776195853","0.181659235496464"
"Yes","2016","16-34 y.","Couple + C. GT 16 ","97","0.132543578587007","0.10922117773033","0.155865979443684"
"Yes","2016","16-34 y.","Couple + C. LE and GT 16","51","0.0859996656839619","0.0638054699135794","0.108193861454344"
"Yes","2016","35-65 y.","1-pers.-HH","262","0.219162640244672","0.196420105348899","0.241905175140445"
"Yes","2016","35-65 y.","(Married) couple without C. ","774","0.299372314714756","0.282616844985501","0.316127784444011"
"Yes","2016","35-65 y.","Single parent ","255","0.180591038914829","0.159154153133486","0.202027924696173"
"Yes","2016","35-65 y.","Couple + C. LE 16 ","989","0.314810212093663","0.299998527842545","0.32962189634478"
"Yes","2016","35-65 y.","Couple + C. GT 16 ","331","0.204865041576396","0.184126846932365","0.225603236220427"
"Yes","2016","35-65 y.","Couple + C. LE and GT 16","252","0.218203117649431","0.195469638421986","0.240936596876876"
"Yes","2016","66 and older","1-pers.-HH","209","0.18854969542003","0.166136744426003","0.210962646414056"
"Yes","2016","66 and older","(Married) couple without C. ","557","0.210475527813409","0.194508851158064","0.226442204468753"
"Yes","2016","66 and older","Single parent ","3","","",""
"Yes","2016","66 and older","Couple + C. LE 16 ","1","","",""
"Yes","2016","66 and older","Couple + C. GT 16 ","26","","",""
"Yes","2016","66 and older","Couple + C. LE and GT 16","","","",""
"No","2016","16-34 y.","1-pers.-HH","548","0.864744932164883","0.838123939356145","0.891365924973621"
"No","2016","16-34 y.","(Married) couple without C. ","690","0.838463910685871","0.813411599636176","0.863516221735566"
"No","2016","16-34 y.","Single parent ","625","0.908115175838868","0.886639440178363","0.929590911499374"
"No","2016","16-34 y.","Couple + C. LE 16 ","1164","0.837988494153842","0.818340764503536","0.857636223804148"
"No","2016","16-34 y.","Couple + C. GT 16 ","715","0.867456421412993","0.844134020556316","0.89077882226967"
"No","2016","16-34 y.","Couple + C. LE and GT 16","562","0.914000334316038","0.891806138545656","0.936194530086421"
"No","2016","35-65 y.","1-pers.-HH","1009","0.780837359755328","0.758094824859555","0.803579894651101"
"No","2016","35-65 y.","(Married) couple without C. ","2096","0.700627685285244","0.683872215555989","0.717383155014499"
"No","2016","35-65 y.","Single parent ","982","0.819408961085171","0.797972075303827","0.840845846866514"
"No","2016","35-65 y.","Couple + C. LE 16 ","2788","0.685189787906337","0.67037810365522","0.700001472157455"
"No","2016","35-65 y.","Couple + C. GT 16 ","1124","0.795134958423604","0.774396763779573","0.815873153067635"
"No","2016","35-65 y.","Couple + C. LE and GT 16","1016","0.781796882350569","0.759063403123124","0.804530361578014"
"No","2016","66 and older","1-pers.-HH","961","0.811450304579971","0.789037353585944","0.833863255573997"
"No","2016","66 and older","(Married) couple without C. ","1947","0.789524472186591","0.773557795531247","0.805491148841936"
"No","2016","66 and older","Single parent ","58","0.961473825901283","0.913175747968377","1.00977190383419"
"No","2016","66 and older","Couple + C. LE 16 ","5","","",""
"No","2016","66 and older","Couple + C. GT 16 ","130","0.845956570457723","0.789308983433375","0.90260415748207"
"No","2016","66 and older","Couple + C. LE and GT 16","2","","",""
"Yes","2017","16-34 y.","1-pers.-HH","","","",""
"Yes","2017","16-34 y.","(Married) couple without C. ","","","",""
"Yes","2017","16-34 y.","Single parent ","","","",""
"Yes","2017","16-34 y.","Couple + C. LE 16 ","","","",""
"Yes","2017","16-34 y.","Couple + C. GT 16 ","","","",""
"Yes","2017","16-34 y.","Couple + C. LE and GT 16","","","",""
"Yes","2017","35-65 y.","1-pers.-HH","","","",""
"Yes","2017","35-65 y.","(Married) couple without C. ","","","",""
"Yes","2017","35-65 y.","Single parent ","","","",""
"Yes","2017","35-65 y.","Couple + C. LE 16 ","","","",""
"Yes","2017","35-65 y.","Couple + C. GT 16 ","","","",""
"Yes","2017","35-65 y.","Couple + C. LE and GT 16","","","",""
"Yes","2017","66 and older","1-pers.-HH","","","",""
"Yes","2017","66 and older","(Married) couple without C. ","","","",""
"Yes","2017","66 and older","Single parent ","","","",""
"Yes","2017","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2017","66 and older","Couple + C. GT 16 ","","","",""
"Yes","2017","66 and older","Couple + C. LE and GT 16","","","",""
"No","2017","16-34 y.","1-pers.-HH","","","",""
"No","2017","16-34 y.","(Married) couple without C. ","","","",""
"No","2017","16-34 y.","Single parent ","","","",""
"No","2017","16-34 y.","Couple + C. LE 16 ","","","",""
"No","2017","16-34 y.","Couple + C. GT 16 ","","","",""
"No","2017","16-34 y.","Couple + C. LE and GT 16","","","",""
"No","2017","35-65 y.","1-pers.-HH","","","",""
"No","2017","35-65 y.","(Married) couple without C. ","","","",""
"No","2017","35-65 y.","Single parent ","","","",""
"No","2017","35-65 y.","Couple + C. LE 16 ","","","",""
"No","2017","35-65 y.","Couple + C. GT 16 ","","","",""
"No","2017","35-65 y.","Couple + C. LE and GT 16","","","",""
"No","2017","66 and older","1-pers.-HH","","","",""
"No","2017","66 and older","(Married) couple without C. ","","","",""
"No","2017","66 and older","Single parent ","","","",""
"No","2017","66 and older","Couple + C. LE 16 ","","","",""
"No","2017","66 and older","Couple + C. GT 16 ","","","",""
"No","2017","66 and older","Couple + C. LE and GT 16","","","",""
"Yes","2018","16-34 y.","1-pers.-HH","128","0.160602470898456","0.135563410835412","0.1856415309615"
"Yes","2018","16-34 y.","(Married) couple without C. ","188","0.198912689862048","0.173515471319574","0.224309908404523"
"Yes","2018","16-34 y.","Single parent ","78","0.131950011066585","0.107951820639479","0.15594820149369"
"Yes","2018","16-34 y.","Couple + C. LE 16 ","141","0.138487936869233","0.118524476360434","0.158451397378032"
"Yes","2018","16-34 y.","Couple + C. GT 16 ","111","0.151897451950602","0.128590347047056","0.175204556854147"
"Yes","2018","16-34 y.","Couple + C. LE and GT 16","46","0.071153979643288","0.0514057096256861","0.0909022496608898"
"Yes","2018","35-65 y.","1-pers.-HH","314","0.210062093415613","0.190145710173958","0.229978476657268"
"Yes","2018","35-65 y.","(Married) couple without C. ","911","0.294946585554033","0.279092038431836","0.31080113267623"
"Yes","2018","35-65 y.","Single parent ","251","0.198867254382402","0.176414344756719","0.221320164008085"
"Yes","2018","35-65 y.","Couple + C. LE 16 ","994","0.296162598825229","0.281397413460076","0.310927784190382"
"Yes","2018","35-65 y.","Couple + C. GT 16 ","412","0.252458183754957","0.231284054809849","0.273632312700066"
"Yes","2018","35-65 y.","Couple + C. LE and GT 16","271","0.205016022314685","0.183170910952085","0.226861133677286"
"Yes","2018","66 and older","1-pers.-HH","233","0.195703293192238","0.173385771796962","0.218020814587514"
"Yes","2018","66 and older","(Married) couple without C. ","618","0.22588781231889","0.209939591412787","0.241836033224992"
"Yes","2018","66 and older","Single parent ","6","","",""
"Yes","2018","66 and older","Couple + C. LE 16 ","1","","",""
"Yes","2018","66 and older","Couple + C. GT 16 ","24","","",""
"Yes","2018","66 and older","Couple + C. LE and GT 16","","","",""
"No","2018","16-34 y.","1-pers.-HH","698","0.839397529101544","0.8143584690385","0.864436589164588"
"No","2018","16-34 y.","(Married) couple without C. ","761","0.801087310137952","0.775690091595477","0.826484528680426"
"No","2018","16-34 y.","Single parent ","686","0.868049988933415","0.84405179850631","0.89204817936052"
"No","2018","16-34 y.","Couple + C. LE 16 ","1009","0.861512063130767","0.841548602621968","0.881475523639566"
"No","2018","16-34 y.","Couple + C. GT 16 ","800","0.848102548049398","0.824795443145853","0.871409652952944"
"No","2018","16-34 y.","Couple + C. LE and GT 16","605","0.928846020356712","0.90909775033911","0.948594290374314"
"No","2018","35-65 y.","1-pers.-HH","1293","0.789937906584387","0.770021523342732","0.809854289826042"
"No","2018","35-65 y.","(Married) couple without C. ","2267","0.705053414445967","0.68919886732377","0.720907961568164"
"No","2018","35-65 y.","Single parent ","963","0.801132745617598","0.778679835991915","0.823585655243281"
"No","2018","35-65 y.","Couple + C. LE 16 ","2679","0.703837401174771","0.689072215809619","0.718602586539924"
"No","2018","35-65 y.","Couple + C. GT 16 ","1205","0.747541816245043","0.726367687299934","0.768715945190151"
"No","2018","35-65 y.","Couple + C. LE and GT 16","1041","0.794983977685315","0.773138866322714","0.816829089047915"
"No","2018","66 and older","1-pers.-HH","981","0.804296706807762","0.781979185412486","0.826614228203038"
"No","2018","66 and older","(Married) couple without C. ","2023","0.77411218768111","0.758163966775008","0.790060408587213"
"No","2018","66 and older","Single parent ","63","0.909344647005059","0.841598511009418","0.9770907830007"
"No","2018","66 and older","Couple + C. LE 16 ","6","","",""
"No","2018","66 and older","Couple + C. GT 16 ","135","0.856981900419663","0.802565369089774","0.911398431749553"
"No","2018","66 and older","Couple + C. LE and GT 16","5","","",""
