"plh0038","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No worries","1985","Couple + C. GT 16 ","general elemantary","67","0.089026273556519","0.0664269626525848","0.111625584460453","3"
"No worries","1985","Single parent ","general elemantary","30","0.132847994165389","0.0844594778299712","0.181236510500807","3"
"No worries","1985","Couple + C. GT 16 ","higher vocational","11","","","","3"
"No worries","1985","Couple + C. LE and GT 16","general elemantary","72","0.120300322736492","0.0919834868444547","0.14861715862853","3"
"No worries","1985","(Married) couple without C. ","vocational + Abi","5","","","","3"
"No worries","1985","Single parent ","inadequately","7","","","","3"
"No worries","1985","Couple + C. LE and GT 16","in school","18","","","","3"
"No worries","1985","Couple + C. LE and GT 16","middle vocational","66","0.107749854483337","0.0822731284009607","0.133226580565714","3"
"No worries","1985","Couple + C. GT 16 ","in school","11","","","","3"
"No worries","1985","Couple + C. GT 16 ","middle vocational","92","0.0872236193039368","0.0690204717660742","0.105426766841799","3"
"No worries","1985","Couple + C. GT 16 ","vocational + Abi","3","","","","3"
"No worries","1985","Couple + C. LE and GT 16","inadequately","46","0.228584859720481","0.169796970745087","0.287372748695876","3"
"No worries","1985","Single parent ","higher vocational","2","","","","3"
"No worries","1985","Single parent ","higher education","1","","","","3"
"No worries","1985","Couple + C. LE 16 ","general elemantary","67","0.124310277876432","0.0966862847905749","0.151934270962289","3"
"No worries","1985","Couple + C. LE 16 ","middle vocational","122","0.0868791681065854","0.0716732608189935","0.102085075394177","3"
"No worries","1985","Couple + C. LE 16 ","higher vocational","20","","","","3"
"No worries","1985","Couple + C. LE 16 ","higher education","17","","","","3"
"No worries","1985","Single parent ","in school","2","","","","3"
"No worries","1985","Single parent ","middle vocational","19","","","","3"
"No worries","1985","Couple + C. LE 16 ","inadequately","45","0.195937484335819","0.146636897416918","0.245238071254721","3"
"No worries","1985","Couple + C. LE and GT 16","higher education","3","","","","3"
"No worries","1985","Single parent ","vocational + Abi","","","","","3"
"No worries","1985","(Married) couple without C. ","inadequately","20","","","","3"
"No worries","1985","(Married) couple without C. ","higher vocational","12","","","","3"
"No worries","1985","1-pers.-HH","general elemantary","47","0.130483393093914","0.0940308585270276","0.166935927660801","3"
"No worries","1985","1-pers.-HH","higher vocational","8","","","","3"
"No worries","1985","1-pers.-HH","higher education","7","","","","3"
"No worries","1985","(Married) couple without C. ","in school","","","","","3"
"No worries","1985","(Married) couple without C. ","general elemantary","59","0.0979006336912754","0.073921028660956","0.121880238721595","3"
"No worries","1985","(Married) couple without C. ","middle vocational","134","0.101316667423689","0.0848119014451056","0.117821433402273","3"
"No worries","1985","(Married) couple without C. ","higher education","22","","","","3"
"No worries","1985","1-pers.-HH","in school","","","","","3"
"No worries","1985","1-pers.-HH","inadequately","14","","","","3"
"No worries","1985","1-pers.-HH","middle vocational","72","0.13067333289114","0.10245425639145","0.158892409390829","3"
"No worries","1985","1-pers.-HH","vocational + Abi","3","","","","3"
"No worries","1985","Couple + C. LE and GT 16","vocational + Abi","3","","","","3"
"No worries","1985","Couple + C. LE and GT 16","higher vocational","4","","","","3"
"Some worries","1985","Couple + C. GT 16 ","general elemantary","235","0.408034728587105","0.369033359543573","0.447036097630636","2"
"Some worries","1985","Couple + C. LE and GT 16","middle vocational","243","0.432342575877573","0.391637448156798","0.473047703598347","2"
"Some worries","1985","Couple + C. LE 16 ","vocational + Abi","32","0.490077406907104","0.379138148672109","0.6010166651421","2"
"Some worries","1985","Couple + C. LE 16 ","higher vocational","83","0.454202008878962","0.382839882944041","0.525564134813884","2"
"Some worries","1985","Couple + C. GT 16 ","middle vocational","376","0.413887128878181","0.382112621196488","0.445661636559873","2"
"Some worries","1985","Couple + C. GT 16 ","higher education","47","0.456920415924894","0.36340421354841","0.550436618301379","2"
"Some worries","1985","Couple + C. LE and GT 16","in school","28","","","","2"
"Some worries","1985","Couple + C. LE and GT 16","vocational + Abi","8","","","","2"
"Some worries","1985","Couple + C. GT 16 ","higher vocational","47","0.48859125729242","0.390125003874233","0.587057510710607","2"
"Some worries","1985","Couple + C. LE and GT 16","inadequately","76","0.355739879539255","0.288717945365477","0.422761813713032","2"
"Some worries","1985","Couple + C. GT 16 ","in school","32","0.40520792970689","0.297629636335303","0.512786223078477","2"
"Some worries","1985","Couple + C. GT 16 ","inadequately","43","0.419685850687554","0.333171763837157","0.50619993753795","2"
"Some worries","1985","Couple + C. GT 16 ","vocational + Abi","15","","","","2"
"Some worries","1985","Couple + C. LE and GT 16","general elemantary","209","0.415789585825761","0.372888768886263","0.458690402765259","2"
"Some worries","1985","Couple + C. LE and GT 16","higher education","23","","","","2"
"Some worries","1985","Single parent ","general elemantary","78","0.400890281520514","0.331021505494342","0.470759057546687","2"
"Some worries","1985","Single parent ","middle vocational","98","0.425996669485018","0.36304108997032","0.488952248999715","2"
"Some worries","1985","Single parent ","higher vocational","11","","","","2"
"Some worries","1985","Single parent ","higher education","8","","","","2"
"Some worries","1985","Couple + C. LE 16 ","inadequately","90","0.392425361645761","0.331775925223662","0.45307479806786","2"
"Some worries","1985","Couple + C. LE 16 ","general elemantary","196","0.365615292245085","0.325292895297198","0.405937689192973","2"
"Some worries","1985","Couple + C. LE 16 ","in school","1","","","","2"
"Some worries","1985","Couple + C. LE 16 ","middle vocational","544","0.431057994991674","0.404322253238481","0.457793736744867","2"
"Some worries","1985","(Married) couple without C. ","vocational + Abi","21","","","","2"
"Some worries","1985","(Married) couple without C. ","higher vocational","78","0.49719476358266","0.418481954632641","0.57590757253268","2"
"Some worries","1985","Single parent ","in school","9","","","","2"
"Some worries","1985","Single parent ","inadequately","16","","","","2"
"Some worries","1985","Single parent ","vocational + Abi","1","","","","2"
"Some worries","1985","Couple + C. LE 16 ","higher education","98","0.431773799514701","0.369750649550518","0.493796949478884","2"
"Some worries","1985","1-pers.-HH","general elemantary","121","0.355210210882824","0.303418177067396","0.407002244698252","2"
"Some worries","1985","1-pers.-HH","middle vocational","199","0.359018876418357","0.318854680810155","0.39918307202656","2"
"Some worries","1985","1-pers.-HH","higher vocational","37","0.467260317785727","0.358607109336934","0.57591352623452","2"
"Some worries","1985","1-pers.-HH","higher education","39","0.358363919899028","0.267078443568729","0.449649396229327","2"
"Some worries","1985","(Married) couple without C. ","in school","","","","","2"
"Some worries","1985","(Married) couple without C. ","inadequately","29","","","","2"
"Some worries","1985","(Married) couple without C. ","general elemantary","237","0.423725192953023","0.383852180785169","0.463598205120877","2"
"Some worries","1985","(Married) couple without C. ","middle vocational","486","0.38080643867736","0.354246263419057","0.407366613935664","2"
"Some worries","1985","(Married) couple without C. ","higher education","69","0.36005709756843","0.292159598443198","0.427954596693661","2"
"Some worries","1985","1-pers.-HH","in school","","","","","2"
"Some worries","1985","1-pers.-HH","inadequately","20","","","","2"
"Some worries","1985","1-pers.-HH","vocational + Abi","17","","","","2"
"Some worries","1985","Couple + C. LE and GT 16","higher vocational","15","","","","2"
"Big worries","1986","1-pers.-HH","in school","1","","","","1"
"Big worries","1986","1-pers.-HH","inadequately","10","","","","1"
"Big worries","1986","1-pers.-HH","general elemantary","130","0.418786992470221","0.363144205515953","0.47442977942449","1"
"Big worries","1986","1-pers.-HH","middle vocational","248","0.458635680032914","0.416724787485439","0.500546572580389","1"
"Big worries","1986","1-pers.-HH","vocational + Abi","15","","","","1"
"Big worries","1986","1-pers.-HH","higher vocational","40","0.586840757514157","0.472305871640534","0.70137564338778","1"
"Big worries","1986","1-pers.-HH","higher education","55","0.497470264111668","0.404033843262892","0.590906684960443","1"
"Big worries","1986","(Married) couple without C. ","in school","","","","","1"
"Big worries","1986","(Married) couple without C. ","inadequately","34","0.441035625854916","0.338457269297428","0.543613982412403","1"
"Big worries","1986","(Married) couple without C. ","general elemantary","285","0.488410032214831","0.44790365006121","0.528916414368452","1"
"Big worries","1986","(Married) couple without C. ","middle vocational","605","0.474162648944913","0.44660260322442","0.501722694665405","1"
"Big worries","1986","(Married) couple without C. ","vocational + Abi","42","0.612818534962875","0.501835791390672","0.723801278535079","1"
"Big worries","1986","(Married) couple without C. ","higher vocational","69","0.43229439608944","0.354052543666309","0.51053624851257","1"
"Big worries","1986","(Married) couple without C. ","higher education","93","0.463849476272432","0.39349344405855","0.534205508486314","1"
"Big worries","1986","Single parent ","in school","9","","","","1"
"Big worries","1986","Single parent ","inadequately","13","","","","1"
"Big worries","1986","Single parent ","general elemantary","85","0.510430674906713","0.435505887731889","0.585355462081536","1"
"Big worries","1986","Single parent ","middle vocational","110","0.476118397643837","0.410715327243423","0.541521468044251","1"
"Big worries","1986","Single parent ","vocational + Abi","7","","","","1"
"Big worries","1986","Single parent ","higher vocational","8","","","","1"
"Big worries","1986","Single parent ","higher education","8","","","","1"
"Big worries","1986","Couple + C. LE 16 ","in school","","","","","1"
"Big worries","1986","Couple + C. LE 16 ","inadequately","87","0.381106455809041","0.316637449944783","0.4455754616733","1"
"Big worries","1986","Couple + C. LE 16 ","general elemantary","205","0.412259832412153","0.368224054804428","0.456295610019877","1"
"Big worries","1986","Couple + C. LE 16 ","middle vocational","513","0.425608948631481","0.397362160820222","0.453855736442741","1"
"Big worries","1986","Couple + C. LE 16 ","vocational + Abi","42","0.557927118911377","0.448412973603336","0.667441264219418","1"
