"plj0587","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","2015","35-65 y.","general elemantary","","","",""
"Never","2015","35-65 y.","middle vocational","","","",""
"Never","2015","35-65 y.","vocational + Abi","","","",""
"Never","2015","35-65 y.","higher vocational","","","",""
"Never","2015","35-65 y.","higher education","","","",""
"Never","2015","66 and older","in school","","","",""
"Never","2015","66 and older","inadequately","","","",""
"Never","2015","66 and older","general elemantary","","","",""
"Never","2015","66 and older","middle vocational","","","",""
"Never","2015","66 and older","vocational + Abi","","","",""
"Never","2015","66 and older","higher vocational","","","",""
"Never","2015","66 and older","higher education","","","",""
"Very often","2016","16-34 y.","in school","4","","",""
"Very often","2016","16-34 y.","inadequately","148","0.208224315447569","0.181578288329926","0.234870342565212"
"Very often","2016","16-34 y.","general elemantary","55","0.111298452366108","0.0836486247776424","0.138948279954574"
"Very often","2016","16-34 y.","middle vocational","62","0.151296646003684","0.116903439045554","0.185689852961815"
"Very often","2016","16-34 y.","vocational + Abi","8","","",""
"Very often","2016","16-34 y.","higher vocational","","","",""
"Very often","2016","16-34 y.","higher education","65","0.179385438143974","0.142427211625231","0.216343664662718"
"Very often","2016","35-65 y.","in school","","","",""
"Very often","2016","35-65 y.","inadequately","117","0.223009087545283","0.190530086629001","0.255488088461565"
"Very often","2016","35-65 y.","general elemantary","60","0.232539035892543","0.186107760601939","0.278970311183147"
"Very often","2016","35-65 y.","middle vocational","51","0.150054586137041","0.111754917923837","0.188354254350244"
"Very often","2016","35-65 y.","vocational + Abi","5","","",""
"Very often","2016","35-65 y.","higher vocational","","","",""
"Very often","2016","35-65 y.","higher education","52","0.180477341667758","0.138983566771777","0.221971116563739"
"Very often","2016","66 and older","in school","","","",""
"Very often","2016","66 and older","inadequately","4","","",""
"Very often","2016","66 and older","general elemantary","","","",""
"Very often","2016","66 and older","middle vocational","","","",""
"Very often","2016","66 and older","vocational + Abi","","","",""
"Very often","2016","66 and older","higher vocational","","","",""
"Very often","2016","66 and older","higher education","1","","",""
"Often","2016","16-34 y.","in school","2","","",""
"Often","2016","16-34 y.","inadequately","172","0.202419711331937","0.176051585011034","0.228787837652839"
"Often","2016","16-34 y.","general elemantary","90","0.20875606424841","0.173025107593377","0.244487020903444"
"Often","2016","16-34 y.","middle vocational","91","0.250052054357966","0.208488676362122","0.29161543235381"
"Often","2016","16-34 y.","vocational + Abi","10","","",""
"Often","2016","16-34 y.","higher vocational","","","",""
"Often","2016","16-34 y.","higher education","60","0.157719819100097","0.122610747416653","0.192828890783542"
"Often","2016","35-65 y.","in school","1","","",""
"Often","2016","35-65 y.","inadequately","107","0.209029834119664","0.177303667494013","0.240756000745316"
"Often","2016","35-65 y.","general elemantary","54","0.197040016863412","0.153322176486675","0.240757857240149"
"Often","2016","35-65 y.","middle vocational","66","0.233488202472982","0.188118414439786","0.278857990506177"
"Often","2016","35-65 y.","vocational + Abi","7","","",""
"Often","2016","35-65 y.","higher vocational","","","",""
"Often","2016","35-65 y.","higher education","64","0.219766178328844","0.175089185318447","0.264443171339241"
"Often","2016","66 and older","in school","","","",""
"Often","2016","66 and older","inadequately","1","","",""
"Often","2016","66 and older","general elemantary","1","","",""
"Often","2016","66 and older","middle vocational","1","","",""
"Often","2016","66 and older","vocational + Abi","","","",""
"Often","2016","66 and older","higher vocational","","","",""
"Often","2016","66 and older","higher education","","","",""
"Sometimes","2016","16-34 y.","in school","6","","",""
"Sometimes","2016","16-34 y.","inadequately","238","0.296462041353736","0.266491542046091","0.326432540661381"
"Sometimes","2016","16-34 y.","general elemantary","168","0.356379052860817","0.314273335939948","0.398484769781687"
"Sometimes","2016","16-34 y.","middle vocational","133","0.289487937228554","0.245958702989673","0.333017171467435"
"Sometimes","2016","16-34 y.","vocational + Abi","13","","",""
"Sometimes","2016","16-34 y.","higher vocational","","","",""
"Sometimes","2016","16-34 y.","higher education","123","0.262556130393752","0.220170027621616","0.304942233165887"
"Sometimes","2016","35-65 y.","in school","","","",""
"Sometimes","2016","35-65 y.","inadequately","171","0.266178608199107","0.231694804018141","0.300662412380074"
"Sometimes","2016","35-65 y.","general elemantary","102","0.312968625301198","0.26200348578846","0.363933764813936"
"Sometimes","2016","35-65 y.","middle vocational","109","0.315546841419856","0.265706771574933","0.365386911264779"
"Sometimes","2016","35-65 y.","vocational + Abi","19","","",""
"Sometimes","2016","35-65 y.","higher vocational","","","",""
"Sometimes","2016","35-65 y.","higher education","91","0.289854277350871","0.240904049727859","0.338804504973882"
"Sometimes","2016","66 and older","in school","","","",""
"Sometimes","2016","66 and older","inadequately","5","","",""
"Sometimes","2016","66 and older","general elemantary","1","","",""
"Sometimes","2016","66 and older","middle vocational","","","",""
"Sometimes","2016","66 and older","vocational + Abi","","","",""
"Sometimes","2016","66 and older","higher vocational","","","",""
"Sometimes","2016","66 and older","higher education","3","","",""
"Rarely ","2016","16-34 y.","in school","2","","",""
"Rarely ","2016","16-34 y.","inadequately","134","0.122019502176434","0.100540073633255","0.143498930719613"
"Rarely ","2016","16-34 y.","general elemantary","68","0.129319673248291","0.0998190248328995","0.158820321663683"
"Rarely ","2016","16-34 y.","middle vocational","63","0.133733692647631","0.101065418355281","0.16640196693998"
"Rarely ","2016","16-34 y.","vocational + Abi","10","","",""
"Rarely ","2016","16-34 y.","higher vocational","","","",""
"Rarely ","2016","16-34 y.","higher education","77","0.189253768846532","0.151521522764694","0.226986014928371"
"Rarely ","2016","35-65 y.","in school","3","","",""
"Rarely ","2016","35-65 y.","inadequately","87","0.0942126891929958","0.0714197029815974","0.117005675404394"
"Rarely ","2016","35-65 y.","general elemantary","42","0.111666989035776","0.0770503551741018","0.146283622897449"
"Rarely ","2016","35-65 y.","middle vocational","55","0.152833331685377","0.11424390485816","0.191422758512593"
"Rarely ","2016","35-65 y.","vocational + Abi","3","","",""
"Rarely ","2016","35-65 y.","higher vocational","","","",""
"Rarely ","2016","35-65 y.","higher education","57","0.127533687522786","0.0915440134901185","0.163523361555453"
"Rarely ","2016","66 and older","in school","","","",""
"Rarely ","2016","66 and older","inadequately","3","","",""
"Rarely ","2016","66 and older","general elemantary","","","",""
"Rarely ","2016","66 and older","middle vocational","","","",""
"Rarely ","2016","66 and older","vocational + Abi","","","",""
"Rarely ","2016","66 and older","higher vocational","","","",""
"Rarely ","2016","66 and older","higher education","","","",""
"Never","2016","16-34 y.","in school","6","","",""
