"plj0587","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Never","2017","(1a) inadequately completed","331","0.186994858050218","0.168663920265653","0.205325795834783"
"Never","2017","(1b) general elementary school","529","0.212315525661719","0.196402422554541","0.228228628768897"
"Never","2017","(1c) basic vocational qualification","1141","0.20714898837591","0.196186588494642","0.218111388257179"
"Never","2017","(2b) intermediate general qualification","154","0.173351480121736","0.147441600924254","0.199261359319218"
"Never","2017","(2a) intermediate vocational","1226","0.184532872473643","0.174829127487429","0.194236617459856"
"Never","2017","(2c_gen) general maturity certificate","351","0.211340833512181","0.192935081148404","0.229746585875958"
"Never","2017","(2c_voc) vocational maturity certificate","562","0.201915428038301","0.186879141999608","0.216951714076994"
"Never","2017","(3a) lower tertiary education","363","0.17342393275058","0.157034380504937","0.189813484996223"
"Never","2017","(3b) higher tertiary education","914","0.174187306936509","0.163622765347108","0.184751848525909"
"Very often","2018","(0) in school","","","",""
"Very often","2018","(1a) inadequately completed","","","",""
"Very often","2018","(1b) general elementary school","","","",""
"Very often","2018","(1c) basic vocational qualification","","","",""
"Very often","2018","(2b) intermediate general qualification","","","",""
"Very often","2018","(2a) intermediate vocational","","","",""
"Very often","2018","(2c_gen) general maturity certificate","","","",""
"Very often","2018","(2c_voc) vocational maturity certificate","","","",""
"Very often","2018","(3a) lower tertiary education","","","",""
"Very often","2018","(3b) higher tertiary education","","","",""
"Often","2018","(0) in school","","","",""
"Often","2018","(1a) inadequately completed","33","0.139920501540179","0.087148444717763","0.192692558362595"
"Often","2018","(1b) general elementary school","","","",""
"Often","2018","(1c) basic vocational qualification","","","",""
"Often","2018","(2b) intermediate general qualification","","","",""
"Often","2018","(2a) intermediate vocational","","","",""
"Often","2018","(2c_gen) general maturity certificate","","","",""
"Often","2018","(2c_voc) vocational maturity certificate","","","",""
"Often","2018","(3a) lower tertiary education","","","",""
"Often","2018","(3b) higher tertiary education","","","",""
"Sometimes","2018","(0) in school","","","",""
"Sometimes","2018","(1a) inadequately completed","51","0.414512386895749","0.339571011532512","0.489453762258986"
"Sometimes","2018","(1b) general elementary school","31","0.275264707893047","0.185449214433245","0.365080201352849"
"Sometimes","2018","(1c) basic vocational qualification","","","",""
"Sometimes","2018","(2b) intermediate general qualification","","","",""
"Sometimes","2018","(2a) intermediate vocational","","","",""
"Sometimes","2018","(2c_gen) general maturity certificate","","","",""
"Sometimes","2018","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2018","(3a) lower tertiary education","","","",""
"Sometimes","2018","(3b) higher tertiary education","","","",""
"Rarely ","2018","(0) in school","","","",""
"Rarely ","2018","(1a) inadequately completed","","","",""
"Rarely ","2018","(1b) general elementary school","","","",""
"Rarely ","2018","(1c) basic vocational qualification","","","",""
"Rarely ","2018","(2b) intermediate general qualification","","","",""
"Rarely ","2018","(2a) intermediate vocational","","","",""
"Rarely ","2018","(2c_gen) general maturity certificate","","","",""
"Rarely ","2018","(2c_voc) vocational maturity certificate","","","",""
"Rarely ","2018","(3a) lower tertiary education","","","",""
"Rarely ","2018","(3b) higher tertiary education","","","",""
"Never","2018","(0) in school","","","",""
"Never","2018","(1a) inadequately completed","42","0.25490124504108","0.188605303294887","0.321197186787274"
"Never","2018","(1b) general elementary school","","","",""
"Never","2018","(1c) basic vocational qualification","","","",""
"Never","2018","(2b) intermediate general qualification","","","",""
"Never","2018","(2a) intermediate vocational","","","",""
"Never","2018","(2c_gen) general maturity certificate","","","",""
"Never","2018","(2c_voc) vocational maturity certificate","","","",""
"Never","2018","(3a) lower tertiary education","","","",""
"Never","2018","(3b) higher tertiary education","","","",""
"Very often","2019","(0) in school","","","",""
"Very often","2019","(1a) inadequately completed","","","",""
"Very often","2019","(1b) general elementary school","","","",""
"Very often","2019","(1c) basic vocational qualification","","","",""
"Very often","2019","(2b) intermediate general qualification","","","",""
"Very often","2019","(2a) intermediate vocational","","","",""
"Very often","2019","(2c_gen) general maturity certificate","","","",""
"Very often","2019","(2c_voc) vocational maturity certificate","","","",""
"Very often","2019","(3a) lower tertiary education","","","",""
"Very often","2019","(3b) higher tertiary education","","","",""
"Often","2019","(0) in school","","","",""
"Often","2019","(1a) inadequately completed","32","0.211497423354601","0.14286446238763","0.280130384321573"
"Often","2019","(1b) general elementary school","","","",""
