"plj0587","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Often","2016","Mecklenburg-Western Pomerania","Single parent ","3","","",""
"Often","2016","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","3","","",""
"Often","2016","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Often","2016","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Often","2016","Saxony","1-pers.-HH","4","","",""
"Often","2016","Saxony","(Married) couple without C. ","","","",""
"Often","2016","Saxony","Single parent ","3","","",""
"Often","2016","Saxony","Couple + C. LE 16 ","13","","",""
"Often","2016","Saxony","Couple + C. GT 16 ","","","",""
"Often","2016","Saxony","Couple + C. LE and GT 16","3","","",""
"Often","2016","Saxony-Anhalt","1-pers.-HH","5","","",""
"Often","2016","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Often","2016","Saxony-Anhalt","Single parent ","3","","",""
"Often","2016","Saxony-Anhalt","Couple + C. LE 16 ","11","","",""
"Often","2016","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Often","2016","Saxony-Anhalt","Couple + C. LE and GT 16","1","","",""
"Often","2016","Thuringia","1-pers.-HH","11","","",""
"Often","2016","Thuringia","(Married) couple without C. ","","","",""
"Often","2016","Thuringia","Single parent ","3","","",""
"Often","2016","Thuringia","Couple + C. LE 16 ","5","","",""
"Often","2016","Thuringia","Couple + C. GT 16 ","","","",""
"Often","2016","Thuringia","Couple + C. LE and GT 16","1","","",""
"Sometimes","2016","Schleswig-Holstein","1-pers.-HH","13","","",""
"Sometimes","2016","Schleswig-Holstein","(Married) couple without C. ","1","","",""
"Sometimes","2016","Schleswig-Holstein","Single parent ","5","","",""
"Sometimes","2016","Schleswig-Holstein","Couple + C. LE 16 ","23","","",""
"Sometimes","2016","Schleswig-Holstein","Couple + C. GT 16 ","","","",""
"Sometimes","2016","Schleswig-Holstein","Couple + C. LE and GT 16","8","","",""
"Sometimes","2016","Hamburg","1-pers.-HH","13","","",""
"Sometimes","2016","Hamburg","(Married) couple without C. ","2","","",""
"Sometimes","2016","Hamburg","Single parent ","1","","",""
"Sometimes","2016","Hamburg","Couple + C. LE 16 ","2","","",""
"Sometimes","2016","Hamburg","Couple + C. GT 16 ","","","",""
"Sometimes","2016","Hamburg","Couple + C. LE and GT 16","4","","",""
"Sometimes","2016","Lower Saxony","1-pers.-HH","17","","",""
"Sometimes","2016","Lower Saxony","(Married) couple without C. ","5","","",""
"Sometimes","2016","Lower Saxony","Single parent ","5","","",""
"Sometimes","2016","Lower Saxony","Couple + C. LE 16 ","25","","",""
"Sometimes","2016","Lower Saxony","Couple + C. GT 16 ","5","","",""
"Sometimes","2016","Lower Saxony","Couple + C. LE and GT 16","16","","",""
"Sometimes","2016","Bremen","1-pers.-HH","4","","",""
"Sometimes","2016","Bremen","(Married) couple without C. ","2","","",""
"Sometimes","2016","Bremen","Single parent ","3","","",""
"Sometimes","2016","Bremen","Couple + C. LE 16 ","13","","",""
"Sometimes","2016","Bremen","Couple + C. GT 16 ","","","",""
"Sometimes","2016","Bremen","Couple + C. LE and GT 16","2","","",""
"Sometimes","2016","North Rhine-Westphalia","1-pers.-HH","45","0.302244055800626","0.230180373726379","0.374307737874874"
"Sometimes","2016","North Rhine-Westphalia","(Married) couple without C. ","7","","",""
"Sometimes","2016","North Rhine-Westphalia","Single parent ","15","","",""
"Sometimes","2016","North Rhine-Westphalia","Couple + C. LE 16 ","116","0.279011001878889","0.233433385968554","0.324588617789223"
"Sometimes","2016","North Rhine-Westphalia","Couple + C. GT 16 ","2","","",""
"Sometimes","2016","North Rhine-Westphalia","Couple + C. LE and GT 16","28","","",""
"Sometimes","2016","Hesse","1-pers.-HH","12","","",""
"Sometimes","2016","Hesse","(Married) couple without C. ","5","","",""
"Sometimes","2016","Hesse","Single parent ","7","","",""
"Sometimes","2016","Hesse","Couple + C. LE 16 ","34","0.291528073268444","0.208466398217066","0.374589748319822"
"Sometimes","2016","Hesse","Couple + C. GT 16 ","1","","",""
"Sometimes","2016","Hesse","Couple + C. LE and GT 16","12","","",""
"Sometimes","2016","Rhineland-Palatinate,Saarland","1-pers.-HH","17","","",""
"Sometimes","2016","Rhineland-Palatinate,Saarland","(Married) couple without C. ","2","","",""
"Sometimes","2016","Rhineland-Palatinate,Saarland","Single parent ","4","","",""
"Sometimes","2016","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","30","0.248244960194535","0.167880321608981","0.32860959878009"
"Sometimes","2016","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","3","","",""
"Sometimes","2016","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","8","","",""
"Sometimes","2016","Baden-Württemberg","1-pers.-HH","41","0.289502715535911","0.212712970799901","0.366292460271922"
"Sometimes","2016","Baden-Württemberg","(Married) couple without C. ","5","","",""
"Sometimes","2016","Baden-Württemberg","Single parent ","17","","",""
"Sometimes","2016","Baden-Württemberg","Couple + C. LE 16 ","81","0.310061768220808","0.256737072619556","0.363386463822061"
"Sometimes","2016","Baden-Württemberg","Couple + C. GT 16 ","4","","",""
"Sometimes","2016","Baden-Württemberg","Couple + C. LE and GT 16","10","","",""
"Sometimes","2016","Bavaria","1-pers.-HH","55","0.357091378140196","0.283759894080265","0.430422862200128"
"Sometimes","2016","Bavaria","(Married) couple without C. ","6","","",""
"Sometimes","2016","Bavaria","Single parent ","11","","",""
"Sometimes","2016","Bavaria","Couple + C. LE 16 ","81","0.376753255271299","0.318629859886704","0.434876650655895"
"Sometimes","2016","Bavaria","Couple + C. GT 16 ","","","",""
"Sometimes","2016","Bavaria","Couple + C. LE and GT 16","11","","",""
"Sometimes","2016","Berlin","1-pers.-HH","18","","",""
"Sometimes","2016","Berlin","(Married) couple without C. ","1","","",""
"Sometimes","2016","Berlin","Single parent ","8","","",""
"Sometimes","2016","Berlin","Couple + C. LE 16 ","31","0.270454010859678","0.190979014205345","0.349929007514011"
"Sometimes","2016","Berlin","Couple + C. GT 16 ","4","","",""
"Sometimes","2016","Berlin","Couple + C. LE and GT 16","11","","",""
"Sometimes","2016","Brandenburg","1-pers.-HH","22","","",""
"Sometimes","2016","Brandenburg","(Married) couple without C. ","","","",""
"Sometimes","2016","Brandenburg","Single parent ","4","","",""
"Sometimes","2016","Brandenburg","Couple + C. LE 16 ","25","","",""
"Sometimes","2016","Brandenburg","Couple + C. GT 16 ","","","",""
"Sometimes","2016","Brandenburg","Couple + C. LE and GT 16","6","","",""
"Sometimes","2016","Mecklenburg-Western Pomerania","1-pers.-HH","4","","",""
"Sometimes","2016","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Sometimes","2016","Mecklenburg-Western Pomerania","Single parent ","6","","",""
"Sometimes","2016","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","9","","",""
"Sometimes","2016","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Sometimes","2016","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","2","","",""
"Sometimes","2016","Saxony","1-pers.-HH","17","","",""
"Sometimes","2016","Saxony","(Married) couple without C. ","1","","",""
"Sometimes","2016","Saxony","Single parent ","9","","",""
"Sometimes","2016","Saxony","Couple + C. LE 16 ","29","","",""
"Sometimes","2016","Saxony","Couple + C. GT 16 ","","","",""
"Sometimes","2016","Saxony","Couple + C. LE and GT 16","5","","",""
"Sometimes","2016","Saxony-Anhalt","1-pers.-HH","5","","",""
"Sometimes","2016","Saxony-Anhalt","(Married) couple without C. ","2","","",""
"Sometimes","2016","Saxony-Anhalt","Single parent ","2","","",""
"Sometimes","2016","Saxony-Anhalt","Couple + C. LE 16 ","25","","",""
"Sometimes","2016","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Sometimes","2016","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Sometimes","2016","Thuringia","1-pers.-HH","19","","",""
"Sometimes","2016","Thuringia","(Married) couple without C. ","","","",""
"Sometimes","2016","Thuringia","Single parent ","2","","",""
"Sometimes","2016","Thuringia","Couple + C. LE 16 ","7","","",""
"Sometimes","2016","Thuringia","Couple + C. GT 16 ","","","",""
"Sometimes","2016","Thuringia","Couple + C. LE and GT 16","","","",""
"Rarely ","2016","Schleswig-Holstein","1-pers.-HH","3","","",""
"Rarely ","2016","Schleswig-Holstein","(Married) couple without C. ","1","","",""
"Rarely ","2016","Schleswig-Holstein","Single parent ","","","",""
"Rarely ","2016","Schleswig-Holstein","Couple + C. LE 16 ","12","","",""
"Rarely ","2016","Schleswig-Holstein","Couple + C. GT 16 ","","","",""
"Rarely ","2016","Schleswig-Holstein","Couple + C. LE and GT 16","","","",""
"Rarely ","2016","Hamburg","1-pers.-HH","6","","",""
"Rarely ","2016","Hamburg","(Married) couple without C. ","","","",""
"Rarely ","2016","Hamburg","Single parent ","3","","",""
"Rarely ","2016","Hamburg","Couple + C. LE 16 ","6","","",""
"Rarely ","2016","Hamburg","Couple + C. GT 16 ","","","",""
"Rarely ","2016","Hamburg","Couple + C. LE and GT 16","2","","",""
"Rarely ","2016","Lower Saxony","1-pers.-HH","8","","",""
"Rarely ","2016","Lower Saxony","(Married) couple without C. ","2","","",""
"Rarely ","2016","Lower Saxony","Single parent ","5","","",""
"Rarely ","2016","Lower Saxony","Couple + C. LE 16 ","34","0.210617094307043","0.144019657853265","0.277214530760822"
"Rarely ","2016","Lower Saxony","Couple + C. GT 16 ","1","","",""
"Rarely ","2016","Lower Saxony","Couple + C. LE and GT 16","11","","",""
"Rarely ","2016","Bremen","1-pers.-HH","","","",""
"Rarely ","2016","Bremen","(Married) couple without C. ","","","",""
"Rarely ","2016","Bremen","Single parent ","","","",""
"Rarely ","2016","Bremen","Couple + C. LE 16 ","2","","",""
"Rarely ","2016","Bremen","Couple + C. GT 16 ","","","",""
"Rarely ","2016","Bremen","Couple + C. LE and GT 16","3","","",""
"Rarely ","2016","North Rhine-Westphalia","1-pers.-HH","21","","",""
"Rarely ","2016","North Rhine-Westphalia","(Married) couple without C. ","","","",""
"Rarely ","2016","North Rhine-Westphalia","Single parent ","8","","",""
"Rarely ","2016","North Rhine-Westphalia","Couple + C. LE 16 ","59","0.170973229825897","0.13271499254508","0.209231467106713"
"Rarely ","2016","North Rhine-Westphalia","Couple + C. GT 16 ","2","","",""
"Rarely ","2016","North Rhine-Westphalia","Couple + C. LE and GT 16","15","","",""
"Rarely ","2016","Hesse","1-pers.-HH","7","","",""
"Rarely ","2016","Hesse","(Married) couple without C. ","","","",""
"Rarely ","2016","Hesse","Single parent ","","","",""
"Rarely ","2016","Hesse","Couple + C. LE 16 ","18","","",""
"Rarely ","2016","Hesse","Couple + C. GT 16 ","1","","",""
"Rarely ","2016","Hesse","Couple + C. LE and GT 16","4","","",""
"Rarely ","2016","Rhineland-Palatinate,Saarland","1-pers.-HH","9","","",""
"Rarely ","2016","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","",""
"Rarely ","2016","Rhineland-Palatinate,Saarland","Single parent ","1","","",""
"Rarely ","2016","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","19","","",""
"Rarely ","2016","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","1","","",""
"Rarely ","2016","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","4","","",""
"Rarely ","2016","Baden-Württemberg","1-pers.-HH","17","","",""
"Rarely ","2016","Baden-Württemberg","(Married) couple without C. ","2","","",""
"Rarely ","2016","Baden-Württemberg","Single parent ","13","","",""
"Rarely ","2016","Baden-Württemberg","Couple + C. LE 16 ","48","0.174062791792912","0.130348277457303","0.21777730612852"
"Rarely ","2016","Baden-Württemberg","Couple + C. GT 16 ","3","","",""
"Rarely ","2016","Baden-Württemberg","Couple + C. LE and GT 16","11","","",""
"Rarely ","2016","Bavaria","1-pers.-HH","18","","",""
"Rarely ","2016","Bavaria","(Married) couple without C. ","","","",""
"Rarely ","2016","Bavaria","Single parent ","6","","",""
"Rarely ","2016","Bavaria","Couple + C. LE 16 ","32","0.137013765909503","0.095768273188588","0.178259258630417"
"Rarely ","2016","Bavaria","Couple + C. GT 16 ","1","","",""
"Rarely ","2016","Bavaria","Couple + C. LE and GT 16","13","","",""
"Rarely ","2016","Berlin","1-pers.-HH","6","","",""
"Rarely ","2016","Berlin","(Married) couple without C. ","1","","",""
"Rarely ","2016","Berlin","Single parent ","6","","",""
"Rarely ","2016","Berlin","Couple + C. LE 16 ","19","","",""
"Rarely ","2016","Berlin","Couple + C. GT 16 ","","","",""
"Rarely ","2016","Berlin","Couple + C. LE and GT 16","1","","",""
"Rarely ","2016","Brandenburg","1-pers.-HH","12","","",""
"Rarely ","2016","Brandenburg","(Married) couple without C. ","","","",""
"Rarely ","2016","Brandenburg","Single parent ","4","","",""
"Rarely ","2016","Brandenburg","Couple + C. LE 16 ","7","","",""
"Rarely ","2016","Brandenburg","Couple + C. GT 16 ","1","","",""
"Rarely ","2016","Brandenburg","Couple + C. LE and GT 16","3","","",""
"Rarely ","2016","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Rarely ","2016","Mecklenburg-Western Pomerania","(Married) couple without C. ","1","","",""
"Rarely ","2016","Mecklenburg-Western Pomerania","Single parent ","3","","",""
"Rarely ","2016","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","5","","",""
"Rarely ","2016","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Rarely ","2016","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","1","","",""
"Rarely ","2016","Saxony","1-pers.-HH","2","","",""
"Rarely ","2016","Saxony","(Married) couple without C. ","","","",""
"Rarely ","2016","Saxony","Single parent ","3","","",""
"Rarely ","2016","Saxony","Couple + C. LE 16 ","17","","",""
"Rarely ","2016","Saxony","Couple + C. GT 16 ","","","",""
"Rarely ","2016","Saxony","Couple + C. LE and GT 16","1","","",""
"Rarely ","2016","Saxony-Anhalt","1-pers.-HH","1","","",""
"Rarely ","2016","Saxony-Anhalt","(Married) couple without C. ","1","","",""
"Rarely ","2016","Saxony-Anhalt","Single parent ","1","","",""
"Rarely ","2016","Saxony-Anhalt","Couple + C. LE 16 ","5","","",""
"Rarely ","2016","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Rarely ","2016","Saxony-Anhalt","Couple + C. LE and GT 16","3","","",""
"Rarely ","2016","Thuringia","1-pers.-HH","2","","",""
"Rarely ","2016","Thuringia","(Married) couple without C. ","","","",""
"Rarely ","2016","Thuringia","Single parent ","1","","",""
"Rarely ","2016","Thuringia","Couple + C. LE 16 ","4","","",""
"Rarely ","2016","Thuringia","Couple + C. GT 16 ","","","",""
"Rarely ","2016","Thuringia","Couple + C. LE and GT 16","2","","",""
"Never","2016","Schleswig-Holstein","1-pers.-HH","13","","",""
"Never","2016","Schleswig-Holstein","(Married) couple without C. ","1","","",""
"Never","2016","Schleswig-Holstein","Single parent ","5","","",""
"Never","2016","Schleswig-Holstein","Couple + C. LE 16 ","17","","",""
"Never","2016","Schleswig-Holstein","Couple + C. GT 16 ","","","",""
"Never","2016","Schleswig-Holstein","Couple + C. LE and GT 16","4","","",""
"Never","2016","Hamburg","1-pers.-HH","2","","",""
"Never","2016","Hamburg","(Married) couple without C. ","","","",""
"Never","2016","Hamburg","Single parent ","2","","",""
"Never","2016","Hamburg","Couple + C. LE 16 ","10","","",""
"Never","2016","Hamburg","Couple + C. GT 16 ","","","",""
"Never","2016","Hamburg","Couple + C. LE and GT 16","8","","",""
"Never","2016","Lower Saxony","1-pers.-HH","15","","",""
"Never","2016","Lower Saxony","(Married) couple without C. ","2","","",""
"Never","2016","Lower Saxony","Single parent ","4","","",""
"Never","2016","Lower Saxony","Couple + C. LE 16 ","54","0.368911056010947","0.290102573264719","0.447719538757176"
"Never","2016","Lower Saxony","Couple + C. GT 16 ","2","","",""
"Never","2016","Lower Saxony","Couple + C. LE and GT 16","15","","",""
"Never","2016","Bremen","1-pers.-HH","","","",""
"Never","2016","Bremen","(Married) couple without C. ","","","",""
"Never","2016","Bremen","Single parent ","","","",""
"Never","2016","Bremen","Couple + C. LE 16 ","4","","",""
"Never","2016","Bremen","Couple + C. GT 16 ","","","",""
"Never","2016","Bremen","Couple + C. LE and GT 16","1","","",""
"Never","2016","North Rhine-Westphalia","1-pers.-HH","25","","",""
"Never","2016","North Rhine-Westphalia","(Married) couple without C. ","6","","",""
"Never","2016","North Rhine-Westphalia","Single parent ","9","","",""
"Never","2016","North Rhine-Westphalia","Couple + C. LE 16 ","66","0.174867732612294","0.136267204549837","0.213468260674752"
"Never","2016","North Rhine-Westphalia","Couple + C. GT 16 ","3","","",""
"Never","2016","North Rhine-Westphalia","Couple + C. LE and GT 16","18","","",""
"Never","2016","Hesse","1-pers.-HH","9","","",""
"Never","2016","Hesse","(Married) couple without C. ","4","","",""
"Never","2016","Hesse","Single parent ","7","","",""
"Never","2016","Hesse","Couple + C. LE 16 ","34","0.24943131433859","0.170350728293376","0.328511900383803"
"Never","2016","Hesse","Couple + C. GT 16 ","1","","",""
"Never","2016","Hesse","Couple + C. LE and GT 16","8","","",""
"Never","2016","Rhineland-Palatinate,Saarland","1-pers.-HH","10","","",""
"Never","2016","Rhineland-Palatinate,Saarland","(Married) couple without C. ","1","","",""
"Never","2016","Rhineland-Palatinate,Saarland","Single parent ","","","",""
"Never","2016","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","24","","",""
"Never","2016","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","2","","",""
"Never","2016","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","4","","",""
"Never","2016","Baden-Württemberg","1-pers.-HH","31","0.234014162477797","0.162329353447767","0.305698971507827"
"Never","2016","Baden-Württemberg","(Married) couple without C. ","2","","",""
"Never","2016","Baden-Württemberg","Single parent ","6","","",""
"Never","2016","Baden-Württemberg","Couple + C. LE 16 ","74","0.247854173642474","0.198074927789356","0.297633419495592"
"Never","2016","Baden-Württemberg","Couple + C. GT 16 ","3","","",""
"Never","2016","Baden-Württemberg","Couple + C. LE and GT 16","8","","",""
"Never","2016","Bavaria","1-pers.-HH","30","0.17702925650556","0.11861203620099","0.235446476810131"
"Never","2016","Bavaria","(Married) couple without C. ","7","","",""
"Never","2016","Bavaria","Single parent ","9","","",""
"Never","2016","Bavaria","Couple + C. LE 16 ","60","0.166501026634695","0.121816881596656","0.211185171672734"
"Never","2016","Bavaria","Couple + C. GT 16 ","2","","",""
"Never","2016","Bavaria","Couple + C. LE and GT 16","17","","",""
"Never","2016","Berlin","1-pers.-HH","6","","",""
"Never","2016","Berlin","(Married) couple without C. ","","","",""
"Never","2016","Berlin","Single parent ","7","","",""
"Never","2016","Berlin","Couple + C. LE 16 ","18","","",""
"Never","2016","Berlin","Couple + C. GT 16 ","1","","",""
"Never","2016","Berlin","Couple + C. LE and GT 16","12","","",""
"Never","2016","Brandenburg","1-pers.-HH","5","","",""
"Never","2016","Brandenburg","(Married) couple without C. ","1","","",""
"Never","2016","Brandenburg","Single parent ","3","","",""
"Never","2016","Brandenburg","Couple + C. LE 16 ","16","","",""
"Never","2016","Brandenburg","Couple + C. GT 16 ","","","",""
"Never","2016","Brandenburg","Couple + C. LE and GT 16","8","","",""
"Never","2016","Mecklenburg-Western Pomerania","1-pers.-HH","2","","",""
"Never","2016","Mecklenburg-Western Pomerania","(Married) couple without C. ","3","","",""
"Never","2016","Mecklenburg-Western Pomerania","Single parent ","1","","",""
"Never","2016","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","14","","",""
"Never","2016","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Never","2016","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","3","","",""
"Never","2016","Saxony","1-pers.-HH","5","","",""
"Never","2016","Saxony","(Married) couple without C. ","1","","",""
"Never","2016","Saxony","Single parent ","4","","",""
"Never","2016","Saxony","Couple + C. LE 16 ","20","","",""
"Never","2016","Saxony","Couple + C. GT 16 ","","","",""
"Never","2016","Saxony","Couple + C. LE and GT 16","2","","",""
"Never","2016","Saxony-Anhalt","1-pers.-HH","2","","",""
"Never","2016","Saxony-Anhalt","(Married) couple without C. ","3","","",""
"Never","2016","Saxony-Anhalt","Single parent ","1","","",""
"Never","2016","Saxony-Anhalt","Couple + C. LE 16 ","6","","",""
"Never","2016","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Never","2016","Saxony-Anhalt","Couple + C. LE and GT 16","1","","",""
"Never","2016","Thuringia","1-pers.-HH","2","","",""
"Never","2016","Thuringia","(Married) couple without C. ","","","",""
"Never","2016","Thuringia","Single parent ","2","","",""
"Never","2016","Thuringia","Couple + C. LE 16 ","9","","",""
"Never","2016","Thuringia","Couple + C. GT 16 ","","","",""
"Never","2016","Thuringia","Couple + C. LE and GT 16","1","","",""
"Very often","2017","Schleswig-Holstein","1-pers.-HH","6","","",""
"Very often","2017","Schleswig-Holstein","(Married) couple without C. ","2","","",""
"Very often","2017","Schleswig-Holstein","Single parent ","2","","",""
"Very often","2017","Schleswig-Holstein","Couple + C. LE 16 ","6","","",""
"Very often","2017","Schleswig-Holstein","Couple + C. GT 16 ","1","","",""
"Very often","2017","Schleswig-Holstein","Couple + C. LE and GT 16","1","","",""
"Very often","2017","Hamburg","1-pers.-HH","1","","",""
"Very often","2017","Hamburg","(Married) couple without C. ","","","",""
"Very often","2017","Hamburg","Single parent ","3","","",""
"Very often","2017","Hamburg","Couple + C. LE 16 ","3","","",""
"Very often","2017","Hamburg","Couple + C. GT 16 ","","","",""
"Very often","2017","Hamburg","Couple + C. LE and GT 16","","","",""
"Very often","2017","Lower Saxony","1-pers.-HH","32","0.0308981690756585","0.0143883260044971","0.0474080121468199"
"Very often","2017","Lower Saxony","(Married) couple without C. ","12","","",""
"Very often","2017","Lower Saxony","Single parent ","12","","",""
"Very often","2017","Lower Saxony","Couple + C. LE 16 ","22","","",""
"Very often","2017","Lower Saxony","Couple + C. GT 16 ","1","","",""
"Very often","2017","Lower Saxony","Couple + C. LE and GT 16","11","","",""
"Very often","2017","Bremen","1-pers.-HH","3","","",""
"Very often","2017","Bremen","(Married) couple without C. ","1","","",""
"Very often","2017","Bremen","Single parent ","4","","",""
"Very often","2017","Bremen","Couple + C. LE 16 ","2","","",""
"Very often","2017","Bremen","Couple + C. GT 16 ","","","",""
"Very often","2017","Bremen","Couple + C. LE and GT 16","1","","",""
"Very often","2017","North Rhine-Westphalia","1-pers.-HH","66","0.0397536392427583","0.0269319441496127","0.0525753343359039"
"Very often","2017","North Rhine-Westphalia","(Married) couple without C. ","24","","",""
"Very often","2017","North Rhine-Westphalia","Single parent ","29","","",""
"Very often","2017","North Rhine-Westphalia","Couple + C. LE 16 ","79","0.0174543378051438","0.01087736268292","0.0240313129273677"
"Very often","2017","North Rhine-Westphalia","Couple + C. GT 16 ","10","","",""
"Very often","2017","North Rhine-Westphalia","Couple + C. LE and GT 16","18","","",""
"Very often","2017","Hesse","1-pers.-HH","30","0.0454960057047975","0.0225920739522279","0.068399937457367"
"Very often","2017","Hesse","(Married) couple without C. ","7","","",""
"Very often","2017","Hesse","Single parent ","11","","",""
"Very often","2017","Hesse","Couple + C. LE 16 ","23","","",""
"Very often","2017","Hesse","Couple + C. GT 16 ","6","","",""
"Very often","2017","Hesse","Couple + C. LE and GT 16","9","","",""
"Very often","2017","Rhineland-Palatinate,Saarland","1-pers.-HH","13","","",""
"Very often","2017","Rhineland-Palatinate,Saarland","(Married) couple without C. ","7","","",""
"Very often","2017","Rhineland-Palatinate,Saarland","Single parent ","6","","",""
"Very often","2017","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","11","","",""
"Very often","2017","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","5","","",""
"Very often","2017","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","1","","",""
"Very often","2017","Baden-Württemberg","1-pers.-HH","27","","",""
"Very often","2017","Baden-Württemberg","(Married) couple without C. ","10","","",""
"Very often","2017","Baden-Württemberg","Single parent ","11","","",""
"Very often","2017","Baden-Württemberg","Couple + C. LE 16 ","20","","",""
"Very often","2017","Baden-Württemberg","Couple + C. GT 16 ","5","","",""
"Very often","2017","Baden-Württemberg","Couple + C. LE and GT 16","8","","",""
"Very often","2017","Bavaria","1-pers.-HH","27","","",""
"Very often","2017","Bavaria","(Married) couple without C. ","21","","",""
"Very often","2017","Bavaria","Single parent ","10","","",""
"Very often","2017","Bavaria","Couple + C. LE 16 ","34","0.0173419742594127","0.00973739222856449","0.0249465562902609"
"Very often","2017","Bavaria","Couple + C. GT 16 ","12","","",""
"Very often","2017","Bavaria","Couple + C. LE and GT 16","11","","",""
"Very often","2017","Berlin","1-pers.-HH","13","","",""
"Very often","2017","Berlin","(Married) couple without C. ","3","","",""
"Very often","2017","Berlin","Single parent ","4","","",""
"Very often","2017","Berlin","Couple + C. LE 16 ","8","","",""
"Very often","2017","Berlin","Couple + C. GT 16 ","","","",""
"Very often","2017","Berlin","Couple + C. LE and GT 16","","","",""
"Very often","2017","Brandenburg","1-pers.-HH","14","","",""
"Very often","2017","Brandenburg","(Married) couple without C. ","3","","",""
"Very often","2017","Brandenburg","Single parent ","1","","",""
"Very often","2017","Brandenburg","Couple + C. LE 16 ","8","","",""
"Very often","2017","Brandenburg","Couple + C. GT 16 ","2","","",""
"Very often","2017","Brandenburg","Couple + C. LE and GT 16","7","","",""
"Very often","2017","Mecklenburg-Western Pomerania","1-pers.-HH","2","","",""
"Very often","2017","Mecklenburg-Western Pomerania","(Married) couple without C. ","1","","",""
"Very often","2017","Mecklenburg-Western Pomerania","Single parent ","3","","",""
"Very often","2017","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","5","","",""
"Very often","2017","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Very often","2017","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","2","","",""
"Very often","2017","Saxony","1-pers.-HH","10","","",""
"Very often","2017","Saxony","(Married) couple without C. ","6","","",""
"Very often","2017","Saxony","Single parent ","3","","",""
"Very often","2017","Saxony","Couple + C. LE 16 ","4","","",""
"Very often","2017","Saxony","Couple + C. GT 16 ","","","",""
"Very often","2017","Saxony","Couple + C. LE and GT 16","1","","",""
"Very often","2017","Saxony-Anhalt","1-pers.-HH","11","","",""
"Very often","2017","Saxony-Anhalt","(Married) couple without C. ","1","","",""
"Very often","2017","Saxony-Anhalt","Single parent ","3","","",""
"Very often","2017","Saxony-Anhalt","Couple + C. LE 16 ","2","","",""
"Very often","2017","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Very often","2017","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Very often","2017","Thuringia","1-pers.-HH","12","","",""
"Very often","2017","Thuringia","(Married) couple without C. ","4","","",""
"Very often","2017","Thuringia","Single parent ","3","","",""
"Very often","2017","Thuringia","Couple + C. LE 16 ","7","","",""
"Very often","2017","Thuringia","Couple + C. GT 16 ","2","","",""
"Very often","2017","Thuringia","Couple + C. LE and GT 16","3","","",""
"Often","2017","Schleswig-Holstein","1-pers.-HH","18","","",""
"Often","2017","Schleswig-Holstein","(Married) couple without C. ","19","","",""
"Often","2017","Schleswig-Holstein","Single parent ","8","","",""
"Often","2017","Schleswig-Holstein","Couple + C. LE 16 ","37","0.113193909291754","0.0783164915526069","0.148071327030901"
"Often","2017","Schleswig-Holstein","Couple + C. GT 16 ","12","","",""
"Often","2017","Schleswig-Holstein","Couple + C. LE and GT 16","10","","",""
"Often","2017","Hamburg","1-pers.-HH","15","","",""
"Often","2017","Hamburg","(Married) couple without C. ","7","","",""
"Often","2017","Hamburg","Single parent ","5","","",""
"Often","2017","Hamburg","Couple + C. LE 16 ","6","","",""
