"plb0218","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Yes, every 2 weeks","2010","16-34 y.","no migration background","202","0.216578455219582","0.191048298997933","0.242108611441231"
"Yes, every 2 weeks","2010","16-34 y.","direct migration background","69","0.22898886501028","0.179860485593733","0.278117244426826"
"Yes, every 2 weeks","2010","16-34 y.","indirect migration background","24","","",""
"Yes, every 2 weeks","2010","35-65 y.","no migration background","367","0.134508041949261","0.121252122956189","0.147763960942334"
"Yes, every 2 weeks","2010","35-65 y.","direct migration background","75","0.166985881278888","0.13197759078829","0.201994171769487"
"Yes, every 2 weeks","2010","35-65 y.","indirect migration background","22","","",""
"Yes, every 2 weeks","2010","66 and older","no migration background","","","",""
"Yes, every 2 weeks","2010","66 and older","direct migration background","","","",""
"Yes, every 2 weeks","2010","66 and older","indirect migration background","","","",""
"Yes, every 3-4 weeks","2010","16-34 y.","no migration background","90","0.084291801406507","0.0670723500489569","0.101511252764057"
"Yes, every 3-4 weeks","2010","16-34 y.","direct migration background","28","","",""
"Yes, every 3-4 weeks","2010","16-34 y.","indirect migration background","13","","",""
"Yes, every 3-4 weeks","2010","35-65 y.","no migration background","237","0.0909755922544345","0.0798029880054704","0.102148196503399"
"Yes, every 3-4 weeks","2010","35-65 y.","direct migration background","55","0.141575463406961","0.108852705173198","0.174298221640724"
"Yes, every 3-4 weeks","2010","35-65 y.","indirect migration background","10","","",""
"Yes, every 3-4 weeks","2010","66 and older","no migration background","","","",""
"Yes, every 3-4 weeks","2010","66 and older","direct migration background","","","",""
"Yes, every 3-4 weeks","2010","66 and older","indirect migration background","","","",""
"Rarely","2010","16-34 y.","no migration background","238","0.229640215997476","0.203571546519406","0.255708885475547"
"Rarely","2010","16-34 y.","direct migration background","58","0.215136271559554","0.167091196133397","0.263181346985711"
"Rarely","2010","16-34 y.","indirect migration background","30","0.240853735791732","0.1692513933224","0.312456078261064"
"Rarely","2010","35-65 y.","no migration background","697","0.270915468612197","0.253648740870369","0.288182196354025"
"Rarely","2010","35-65 y.","direct migration background","112","0.254833403322836","0.213929974723104","0.295736831922568"
"Rarely","2010","35-65 y.","indirect migration background","27","","",""
"Rarely","2010","66 and older","no migration background","1","","",""
"Rarely","2010","66 and older","direct migration background","","","",""
"Rarely","2010","66 and older","indirect migration background","","","",""
"No, never","2011","16-34 y.","no migration background","1244","0.385471791153696","0.368746515974004","0.402197066333388"
"No, never","2011","16-34 y.","direct migration background","180","0.397436600933279","0.352618788360783","0.442254413505774"
"No, never","2011","16-34 y.","indirect migration background","167","0.379748528546036","0.333876725100129","0.425620331991943"
"No, never","2011","35-65 y.","no migration background","4000","0.362036233735651","0.352935281505908","0.371137185965394"
"No, never","2011","35-65 y.","direct migration background","504","0.387403775874054","0.36085051201662","0.413957039731487"
"No, never","2011","35-65 y.","indirect migration background","146","0.371187601483891","0.323422677090894","0.418952525876888"
"No, never","2011","66 and older","no migration background","73","0.390792309053213","0.323836432488879","0.457748185617546"
"No, never","2011","66 and older","direct migration background","5","","",""
"No, never","2011","66 and older","indirect migration background","","","",""
"Yes, every week","2011","16-34 y.","no migration background","429","0.129242250086659","0.11771416989625","0.140770330277068"
"Yes, every week","2011","16-34 y.","direct migration background","72","0.153030036269089","0.120058612806714","0.186001459731463"
"Yes, every week","2011","16-34 y.","indirect migration background","78","0.204825776096729","0.166680802851484","0.242970749341974"
"Yes, every week","2011","35-65 y.","no migration background","1564","0.149306847418853","0.142557851891557","0.15605584294615"
"Yes, every week","2011","35-65 y.","direct migration background","187","0.142396079404662","0.123348437248829","0.161443721560494"
"Yes, every week","2011","35-65 y.","indirect migration background","58","0.168156771864559","0.13117993652616","0.205133607202959"
"Yes, every week","2011","66 and older","no migration background","45","0.22197784936086","0.164950418340001","0.27900528038172"
"Yes, every week","2011","66 and older","direct migration background","7","","",""
"Yes, every week","2011","66 and older","indirect migration background","","","",""
"Yes, every 2 weeks","2011","16-34 y.","no migration background","595","0.16321957812227","0.150519747169485","0.175919409075055"
"Yes, every 2 weeks","2011","16-34 y.","direct migration background","84","0.213517073304099","0.175987268502947","0.251046878105251"
"Yes, every 2 weeks","2011","16-34 y.","indirect migration background","74","0.177626983328546","0.141502407253047","0.213751559404045"
"Yes, every 2 weeks","2011","35-65 y.","no migration background","1576","0.148743362050326","0.142004883324649","0.155481840776003"
"Yes, every 2 weeks","2011","35-65 y.","direct migration background","220","0.167899716443058","0.147526404028619","0.188273028857497"
"Yes, every 2 weeks","2011","35-65 y.","indirect migration background","55","0.153279242087288","0.117661729090927","0.18889675508365"
"Yes, every 2 weeks","2011","66 and older","no migration background","18","","",""
"Yes, every 2 weeks","2011","66 and older","direct migration background","","","",""
"Yes, every 2 weeks","2011","66 and older","indirect migration background","","","",""
"Yes, every 3-4 weeks","2011","16-34 y.","no migration background","300","0.0808648254788788","0.0714962064385518","0.0902334445192057"
"Yes, every 3-4 weeks","2011","16-34 y.","direct migration background","40","0.0605377164765831","0.038696941511661","0.0823784914415053"
"Yes, every 3-4 weeks","2011","16-34 y.","indirect migration background","47","0.0996334289945698","0.0713243276669071","0.127942530322233"
"Yes, every 3-4 weeks","2011","35-65 y.","no migration background","985","0.0930562384631626","0.0875548066484195","0.0985576702779057"
"Yes, every 3-4 weeks","2011","35-65 y.","direct migration background","125","0.11243483887576","0.0952161767971988","0.129653500954321"
"Yes, every 3-4 weeks","2011","35-65 y.","indirect migration background","35","0.0638510135048508","0.0396792576432902","0.0880227693664114"
"Yes, every 3-4 weeks","2011","66 and older","no migration background","20","","",""
"Yes, every 3-4 weeks","2011","66 and older","direct migration background","1","","",""
"Yes, every 3-4 weeks","2011","66 and older","indirect migration background","","","",""
"Rarely","2011","16-34 y.","no migration background","685","0.241201555158497","0.226500133727535","0.255902976589458"
"Rarely","2011","16-34 y.","direct migration background","82","0.17547857301695","0.140642565774611","0.21031458025929"
"Rarely","2011","16-34 y.","indirect migration background","64","0.138165283034119","0.105549686879595","0.170780879188644"
"Rarely","2011","35-65 y.","no migration background","2587","0.246857318332007","0.238691975146812","0.255022661517202"
"Rarely","2011","35-65 y.","direct migration background","257","0.189865589402467","0.168488405216998","0.211242773587936"
"Rarely","2011","35-65 y.","indirect migration background","99","0.24352537105941","0.201090673989761","0.28596006812906"
"Rarely","2011","66 and older","no migration background","48","0.216645254692547","0.160114232682159","0.273176276702935"
"Rarely","2011","66 and older","direct migration background","3","","",""
"Rarely","2011","66 and older","indirect migration background","","","",""
"No, never","2012","16-34 y.","no migration background","364","0.421390491375228","0.388840033088607","0.453940949661848"
"No, never","2012","16-34 y.","direct migration background","72","0.337363790581449","0.274455911990027","0.40027166917287"
"No, never","2012","16-34 y.","indirect migration background","47","0.391645956544461","0.303945948466417","0.479345964622505"
"No, never","2012","35-65 y.","no migration background","1294","0.397040577724482","0.380195614559709","0.413885540889254"
"No, never","2012","35-65 y.","direct migration background","201","0.408984056862042","0.36593317861289","0.452034935111194"
"No, never","2012","35-65 y.","indirect migration background","70","0.393455618538192","0.32417518843791","0.462736048638474"
"No, never","2012","66 and older","no migration background","1","","",""
"No, never","2012","66 and older","direct migration background","","","",""
"No, never","2012","66 and older","indirect migration background","","","",""
"Yes, every week","2012","16-34 y.","no migration background","141","0.149558835755905","0.126048970877447","0.173068700634363"
"Yes, every week","2012","16-34 y.","direct migration background","32","0.151092022378398","0.103441320866261","0.198742723890534"
"Yes, every week","2012","16-34 y.","indirect migration background","17","","",""
"Yes, every week","2012","35-65 y.","no migration background","457","0.136878994525196","0.125045505245409","0.148712483804982"
