"m11125","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"7 on Scale 1 to 10","1986","inadequately","Urban Area","70","0.115359149034116","0.0913837733702867","0.139334524697946","7"
"7 on Scale 1 to 10","1986","in school","Rural Area","2","","","","7"
"7 on Scale 1 to 10","1986","in school","Urban Area","18","","","","7"
"7 on Scale 1 to 10","1986","inadequately","Rural Area","7","","","","7"
"7 on Scale 1 to 10","1986","general elemantary","Urban Area","268","0.120658678448046","0.107139394723912","0.13417796217218","7"
"7 on Scale 1 to 10","1986","general elemantary","Rural Area","84","0.125524354903661","0.100677261217973","0.15037144858935","7"
"7 on Scale 1 to 10","1986","middle vocational","Urban Area","563","0.139658361201495","0.128833457473975","0.150483264929016","7"
"7 on Scale 1 to 10","1986","middle vocational","Rural Area","146","0.137430529688851","0.116752367438705","0.158108691938997","7"
"7 on Scale 1 to 10","1986","vocational + Abi","Urban Area","29","","","","7"
"7 on Scale 1 to 10","1986","vocational + Abi","Rural Area","5","","","","7"
"7 on Scale 1 to 10","1986","higher vocational","Urban Area","75","0.152952668604067","0.12009551054618","0.185809826661953","7"
"7 on Scale 1 to 10","1986","higher education","Urban Area","88","0.145784634386876","0.118228557875989","0.173340710897763","7"
"7 on Scale 1 to 10","1986","higher education","Rural Area","12","","","","7"
"7 on Scale 1 to 10","1986","higher vocational","Rural Area","22","","","","7"
"8 on Scale 1 to 10","1986","inadequately","Rural Area","22","","","","8"
"8 on Scale 1 to 10","1986","general elemantary","Urban Area","404","0.169852317419446","0.154267235917482","0.185437398921411","8"
"8 on Scale 1 to 10","1986","higher vocational","Rural Area","33","0.282150159728347","0.201961609789643","0.362338709667052","8"
"8 on Scale 1 to 10","1986","in school","Urban Area","41","0.252384366303795","0.186105277234647","0.318663455372942","8"
"8 on Scale 1 to 10","1986","in school","Rural Area","3","","","","8"
"8 on Scale 1 to 10","1986","vocational + Abi","Rural Area","10","","","","8"
"8 on Scale 1 to 10","1986","inadequately","Urban Area","111","0.175749082913299","0.147184219159316","0.204313946667281","8"
"8 on Scale 1 to 10","1986","general elemantary","Rural Area","132","0.185476199328841","0.156326523946613","0.214625874711068","8"
"8 on Scale 1 to 10","1986","middle vocational","Urban Area","806","0.197454446343742","0.185022950016993","0.20988594267049","8"
"8 on Scale 1 to 10","1986","vocational + Abi","Urban Area","50","0.208598175389804","0.156315491354816","0.260880859424792","8"
"8 on Scale 1 to 10","1986","higher vocational","Urban Area","119","0.253371775734308","0.213668261608486","0.29307528986013","8"
"8 on Scale 1 to 10","1986","middle vocational","Rural Area","247","0.225961990788461","0.200844738552611","0.251079243024311","8"
"8 on Scale 1 to 10","1986","higher education","Urban Area","175","0.271901819216538","0.237157896851638","0.306645741581437","8"
"8 on Scale 1 to 10","1986","higher education","Rural Area","33","0.267060210152352","0.187901955333441","0.346218464971264","8"
"9 on Scale 1 to 10","1986","general elemantary","Urban Area","243","0.094519955750838","0.0823777704583583","0.106662141043318","9"
"9 on Scale 1 to 10","1986","middle vocational","Rural Area","116","0.0996970980812956","0.0817038788782574","0.117690317284334","9"
"9 on Scale 1 to 10","1986","higher education","Urban Area","109","0.163569391712016","0.13468629236299","0.192452491061042","9"
"9 on Scale 1 to 10","1986","in school","Urban Area","38","0.230984116045383","0.166676141374528","0.295292090716238","9"
"9 on Scale 1 to 10","1986","inadequately","Rural Area","14","","","","9"
"9 on Scale 1 to 10","1986","general elemantary","Rural Area","72","0.100637131703035","0.0780747812421184","0.123199482163952","9"
"9 on Scale 1 to 10","1986","higher vocational","Urban Area","51","0.104978258477268","0.0769972023384355","0.132959314616101","9"
"9 on Scale 1 to 10","1986","higher vocational","Rural Area","12","","","","9"
"9 on Scale 1 to 10","1986","in school","Rural Area","4","","","","9"
"9 on Scale 1 to 10","1986","inadequately","Urban Area","71","0.108718989389696","0.0853566712406442","0.132081307538748","9"
