"m11125","year","migback","n","percent","lower_confidence","upper_confidence"
"2 on Scale 1 to 10","2002","no migration background","522","0.0307363859613055","0.0283144888904829","0.033158283032128"
"2 on Scale 1 to 10","2002","direct migration background","92","0.0406305802623366","0.0333320213803066","0.0479291391443665"
"2 on Scale 1 to 10","2002","indirect migration background","7","","",""
"3 on Scale 1 to 10","2002","no migration background","919","0.0523923720157615","0.049265884987403","0.05551885904412"
"3 on Scale 1 to 10","2002","direct migration background","143","0.0527905104198555","0.0445240684957191","0.061056952343992"
"3 on Scale 1 to 10","2002","indirect migration background","23","","",""
"4 on Scale 1 to 10","2002","no migration background","1037","0.0571729645744795","0.0539152000005755","0.0604307291483836"
"4 on Scale 1 to 10","2002","direct migration background","172","0.0603731313235521","0.0515683772021709","0.0691778854449333"
"4 on Scale 1 to 10","2002","indirect migration background","21","","",""
"5 on Scale 1 to 10","2002","no migration background","2661","0.149099613728356","0.144101732327806","0.154097495128906"
"5 on Scale 1 to 10","2002","direct migration background","412","0.157739964766587","0.14426549652814","0.171214433005034"
"5 on Scale 1 to 10","2002","indirect migration background","63","0.117767021349981","0.0951608995372802","0.140373143162683"
"6 on Scale 1 to 10","2002","no migration background","1986","0.103069229374427","0.0988029204193056","0.107335538329549"
"6 on Scale 1 to 10","2002","direct migration background","281","0.0942573829637638","0.0834560399427621","0.105058725984765"
"6 on Scale 1 to 10","2002","indirect migration background","44","0.0509844993011638","0.0355576120163617","0.0664113865859659"
"7 on Scale 1 to 10","2002","no migration background","3346","0.168991908491654","0.163733626071885","0.174250190911423"
"7 on Scale 1 to 10","2002","direct migration background","484","0.159043405441835","0.145523853719439","0.172562957164231"
"7 on Scale 1 to 10","2002","indirect migration background","119","0.160657224965268","0.134903361861118","0.186411088069419"
"8 on Scale 1 to 10","2002","no migration background","4694","0.222758107537965","0.216919581966636","0.228596633109293"
"8 on Scale 1 to 10","2002","direct migration background","604","0.198476154501177","0.183731654146295","0.21322065485606"
"8 on Scale 1 to 10","2002","indirect migration background","188","0.249375823108665","0.219032648125634","0.279718998091695"
"9 on Scale 1 to 10","2002","no migration background","2400","0.111101248077687","0.106691701406195","0.115510794749179"
"9 on Scale 1 to 10","2002","direct migration background","307","0.115024444670163","0.10322997607775","0.126818913262577"
"9 on Scale 1 to 10","2002","indirect migration background","169","0.167849913419752","0.141638890739973","0.194060936099531"
"10 Completely satisfied","2002","no migration background","1527","0.0781776681933067","0.0744108618304436","0.0819444745561698"
"10 Completely satisfied","2002","direct migration background","248","0.0929999491460585","0.0822634503569145","0.103736447935203"
"10 Completely satisfied","2002","indirect migration background","138","0.155455790274421","0.130043885462956","0.180867695085886"
"0 Completely dissatisfied","2003","no migration background","197","0.0120180712006864","0.0104616114912201","0.0135745309101528"
"0 Completely dissatisfied","2003","direct migration background","30","0.0125754000212143","0.0083239089467883","0.0168268910956402"
"0 Completely dissatisfied","2003","indirect migration background","5","","",""
"1 on Scale 1 to 10","2003","no migration background","219","0.0150416555973109","0.0133030432947301","0.0167802678998917"
"1 on Scale 1 to 10","2003","direct migration background","38","0.0169434853872385","0.0120194743820541","0.021867496392423"
"1 on Scale 1 to 10","2003","indirect migration background","7","","",""
"2 on Scale 1 to 10","2003","no migration background","504","0.0327040215714141","0.0301634802233126","0.0352445629195155"
"2 on Scale 1 to 10","2003","direct migration background","76","0.0290379501651876","0.0226315730277228","0.0354443273026523"
"2 on Scale 1 to 10","2003","indirect migration background","4","","",""
"3 on Scale 1 to 10","2003","no migration background","898","0.0522878573999794","0.0491081684194535","0.0554675463805053"
"3 on Scale 1 to 10","2003","direct migration background","128","0.0482410211376758","0.0400657882492968","0.0564162540260548"
"3 on Scale 1 to 10","2003","indirect migration background","20","","",""
"4 on Scale 1 to 10","2003","no migration background","1047","0.0600431800611839","0.0566498055710591","0.0634365545513087"
"4 on Scale 1 to 10","2003","direct migration background","154","0.04978841346722","0.0414898541902465","0.0580869727441935"
"4 on Scale 1 to 10","2003","indirect migration background","26","","",""
"5 on Scale 1 to 10","2003","no migration background","2509","0.143842238337879","0.138829602998641","0.148854873677117"
"5 on Scale 1 to 10","2003","direct migration background","377","0.15977095990883","0.145791958072475","0.173749961745185"
"5 on Scale 1 to 10","2003","indirect migration background","64","0.10838775927391","0.0867100855406086","0.130065433007212"
"6 on Scale 1 to 10","2003","no migration background","1902","0.101517812140717","0.0972038944271128","0.105831729854322"
"6 on Scale 1 to 10","2003","direct migration background","285","0.108343081676407","0.096484632956432","0.120201530396383"
"6 on Scale 1 to 10","2003","indirect migration background","48","0.0697361032904651","0.0519751420421135","0.0874970645388168"
"7 on Scale 1 to 10","2003","no migration background","3206","0.167211071415943","0.161880841008742","0.172541301823144"
"7 on Scale 1 to 10","2003","direct migration background","463","0.154044814565507","0.140271907526332","0.167817721604682"
"7 on Scale 1 to 10","2003","indirect migration background","101","0.139700966233058","0.115526384544519","0.163875547921597"
"8 on Scale 1 to 10","2003","no migration background","4789","0.236591982038202","0.230521483400774","0.24266248067563"
"8 on Scale 1 to 10","2003","direct migration background","563","0.209488712113032","0.193962598951648","0.225014825274415"
"8 on Scale 1 to 10","2003","indirect migration background","223","0.274253170359588","0.243142960022633","0.305363380696542"
"9 on Scale 1 to 10","2003","no migration background","2255","0.110613362508088","0.106133186319189","0.115093538696986"
"9 on Scale 1 to 10","2003","direct migration background","295","0.11260684629404","0.100546248608265","0.124667443979815"
"9 on Scale 1 to 10","2003","indirect migration background","167","0.173363219492626","0.146965258083529","0.199761180901723"
"10 Completely satisfied","2003","no migration background","1302","0.0681287477285965","0.064529687151938","0.0717278083052549"
"10 Completely satisfied","2003","direct migration background","230","0.0991593152636471","0.0877563145505036","0.110562315976791"
"10 Completely satisfied","2003","indirect migration background","125","0.133388404454075","0.109679808680459","0.157097000227691"
"0 Completely dissatisfied","2004","no migration background","260","0.0196671071140103","0.0176556610535356","0.021678553174485"
"0 Completely dissatisfied","2004","direct migration background","32","0.0206411364242005","0.0151151140096194","0.0261671588387816"
"0 Completely dissatisfied","2004","indirect migration background","3","","",""
"1 on Scale 1 to 10","2004","no migration background","226","0.0153901986494601","0.013606976080295","0.0171734212186251"
"1 on Scale 1 to 10","2004","direct migration background","25","","",""
"1 on Scale 1 to 10","2004","indirect migration background","5","","",""
"2 on Scale 1 to 10","2004","no migration background","571","0.0380001192315306","0.035230428034065","0.0407698104289963"
"2 on Scale 1 to 10","2004","direct migration background","85","0.0371674482958315","0.0298150052976772","0.0445198912939859"
"2 on Scale 1 to 10","2004","indirect migration background","5","","",""
"3 on Scale 1 to 10","2004","no migration background","967","0.0588128174924501","0.0554046152590884","0.0622210197258118"
"3 on Scale 1 to 10","2004","direct migration background","131","0.054375348850437","0.0455621142334367","0.0631885834674374"
"3 on Scale 1 to 10","2004","indirect migration background","25","","",""
"4 on Scale 1 to 10","2004","no migration background","1005","0.0568231310752727","0.0534695368513826","0.0601767252991627"
"4 on Scale 1 to 10","2004","direct migration background","143","0.0582442808086365","0.0491415712134354","0.0673469904038375"
"4 on Scale 1 to 10","2004","indirect migration background","25","","",""
"5 on Scale 1 to 10","2004","no migration background","2606","0.151900217059915","0.146700807417356","0.157099626702475"
"5 on Scale 1 to 10","2004","direct migration background","384","0.158351622138474","0.144162631094027","0.17254061318292"
"5 on Scale 1 to 10","2004","indirect migration background","69","0.122821045672654","0.100146914863958","0.145495176481351"
"6 on Scale 1 to 10","2004","no migration background","1884","0.101670134232894","0.0972922327963993","0.106048035669389"
"6 on Scale 1 to 10","2004","direct migration background","287","0.109705341181373","0.0975587145795498","0.121851967783196"
"6 on Scale 1 to 10","2004","indirect migration background","46","0.0621980143935667","0.0455142524237615","0.0788817763633719"
"7 on Scale 1 to 10","2004","no migration background","3139","0.166586427356771","0.161188817954784","0.171984036758759"
"7 on Scale 1 to 10","2004","direct migration background","433","0.161190272418871","0.146898830300701","0.175481714537041"
"7 on Scale 1 to 10","2004","indirect migration background","113","0.152915775062219","0.128053572928612","0.177777977195827"
"8 on Scale 1 to 10","2004","no migration background","4381","0.223655764359083","0.217619495485701","0.229692033232466"
"8 on Scale 1 to 10","2004","direct migration background","538","0.196693023223944","0.181243675142257","0.212142371305631"
"8 on Scale 1 to 10","2004","indirect migration background","229","0.266386238251702","0.235848295391004","0.296924181112401"
"9 on Scale 1 to 10","2004","no migration background","2080","0.101010076433258","0.0966448063021155","0.105375346564401"
"9 on Scale 1 to 10","2004","direct migration background","254","0.098803771275657","0.0872060850552936","0.11040145749602"
"9 on Scale 1 to 10","2004","indirect migration background","157","0.143698411562611","0.119466397665304","0.167930425459918"
"10 Completely satisfied","2004","no migration background","1187","0.066484006995354","0.0628751403310462","0.0700928736596618"
"10 Completely satisfied","2004","direct migration background","231","0.0968768407291925","0.0853805328944265","0.108373148563959"
"10 Completely satisfied","2004","indirect migration background","128","0.151747778538972","0.12696364019025","0.176531916887693"
"0 Completely dissatisfied","2005","no migration background","197","0.0135116551575831","0.011802887252747","0.0152204230624192"
"0 Completely dissatisfied","2005","direct migration background","37","0.0160537946470958","0.0110055206010111","0.0211020686931804"
"0 Completely dissatisfied","2005","indirect migration background","2","","",""
"1 on Scale 1 to 10","2005","no migration background","238","0.016816244239326","0.0149131308134698","0.0187193576651822"
"1 on Scale 1 to 10","2005","direct migration background","38","0.0168695243023287","0.011696727832738","0.0220423207719193"
"1 on Scale 1 to 10","2005","indirect migration background","4","","",""
"2 on Scale 1 to 10","2005","no migration background","490","0.034836975904238","0.0321230162668913","0.0375509355415846"
"2 on Scale 1 to 10","2005","direct migration background","80","0.0349921176341389","0.0276110542205654","0.0423731810477123"
"2 on Scale 1 to 10","2005","indirect migration background","13","","",""
"3 on Scale 1 to 10","2005","no migration background","930","0.0597517122054096","0.0562435531494228","0.0632598712613964"
"3 on Scale 1 to 10","2005","direct migration background","135","0.0664624024876017","0.0564572821127336","0.0764675228624697"
"3 on Scale 1 to 10","2005","indirect migration background","20","","",""
"4 on Scale 1 to 10","2005","no migration background","1057","0.0624392499395673","0.0588581918144821","0.0660203080646525"
"4 on Scale 1 to 10","2005","direct migration background","149","0.0634219638763044","0.0536324704136475","0.0732114573389614"
"4 on Scale 1 to 10","2005","indirect migration background","20","","",""
"5 on Scale 1 to 10","2005","no migration background","2364","0.146067107348666","0.140839885790736","0.151294328906595"
"5 on Scale 1 to 10","2005","direct migration background","342","0.143462368272662","0.129382110184105","0.15754262636122"
"5 on Scale 1 to 10","2005","indirect migration background","62","0.0991126699615408","0.0787962394785829","0.119429100444499"
"6 on Scale 1 to 10","2005","no migration background","1820","0.100279078139954","0.0958333602660509","0.104724796013857"
"6 on Scale 1 to 10","2005","direct migration background","269","0.118312566239286","0.105339544194529","0.131285588284043"
"6 on Scale 1 to 10","2005","indirect migration background","65","0.0850474591593736","0.0660813810608072","0.10401353725794"
"7 on Scale 1 to 10","2005","no migration background","3022","0.167453212001963","0.161926919238012","0.172979504765913"
"7 on Scale 1 to 10","2005","direct migration background","399","0.156920041953474","0.142310318888734","0.171529765018213"
"7 on Scale 1 to 10","2005","indirect migration background","116","0.126708511305879","0.104091767055547","0.149325255556212"
"8 on Scale 1 to 10","2005","no migration background","4177","0.22482965856549","0.218650800814284","0.231008516316696"
"8 on Scale 1 to 10","2005","direct migration background","486","0.194031142525743","0.178147019418651","0.209915265632834"
"8 on Scale 1 to 10","2005","indirect migration background","215","0.23684622651083","0.207940303472877","0.265752149548784"
"9 on Scale 1 to 10","2005","no migration background","2032","0.10316980629374","0.0986677155865524","0.107671897000928"
"9 on Scale 1 to 10","2005","direct migration background","241","0.101939523665785","0.0897862721736127","0.114092775157958"
"9 on Scale 1 to 10","2005","indirect migration background","171","0.1996465205751","0.172468403153348","0.226824637996853"
"10 Completely satisfied","2005","no migration background","1209","0.0708453002040642","0.0670479350654906","0.0746426653426378"
"10 Completely satisfied","2005","direct migration background","205","0.0875345543955805","0.07618271156764","0.098886397223521"
"10 Completely satisfied","2005","indirect migration background","143","0.165573517179457","0.140301665974067","0.190845368384846"
"0 Completely dissatisfied","2006","no migration background","240","0.0158737928756382","0.0140881112300802","0.0176594745211961"
"0 Completely dissatisfied","2006","direct migration background","42","0.0173418852957697","0.0121006283981386","0.0225831421934008"
"0 Completely dissatisfied","2006","indirect migration background","2","","",""
"1 on Scale 1 to 10","2006","no migration background","224","0.0162261384683334","0.014421070705772","0.0180312062308947"
"1 on Scale 1 to 10","2006","direct migration background","21","","",""
"1 on Scale 1 to 10","2006","indirect migration background","3","","",""
"2 on Scale 1 to 10","2006","no migration background","525","0.0329213073141046","0.0303720849182638","0.0354705297099454"
"2 on Scale 1 to 10","2006","direct migration background","79","0.0353525733371627","0.0279380900458204","0.0427670566285051"
"2 on Scale 1 to 10","2006","indirect migration background","14","","",""
"3 on Scale 1 to 10","2006","no migration background","983","0.0571094341231669","0.0537941339589752","0.0604247342873587"
"3 on Scale 1 to 10","2006","direct migration background","148","0.0682253688134277","0.0581022471383951","0.0783484904884602"
"3 on Scale 1 to 10","2006","indirect migration background","30","0.0548436674018832","0.0392983514394292","0.0703889833643372"
"4 on Scale 1 to 10","2006","no migration background","1126","0.0663553699304469","0.062799325974047","0.0699114138868468"
"4 on Scale 1 to 10","2006","direct migration background","139","0.067147131132039","0.0570985122089232","0.0771957500551547"
"4 on Scale 1 to 10","2006","indirect migration background","23","","",""
"5 on Scale 1 to 10","2006","no migration background","2595","0.144697709334723","0.139671634773089","0.149723783896357"
"5 on Scale 1 to 10","2006","direct migration background","335","0.138306991827646","0.124446315497318","0.152167668157974"
"5 on Scale 1 to 10","2006","indirect migration background","67","0.0877395768921365","0.0684224883648221","0.107056665419451"
"6 on Scale 1 to 10","2006","no migration background","1905","0.0969239960159625","0.0926971532940047","0.10115083873792"
"6 on Scale 1 to 10","2006","direct migration background","271","0.110187100853961","0.0976152043627002","0.122758997345222"
"6 on Scale 1 to 10","2006","indirect migration background","56","0.0673927879517007","0.0502752782985724","0.0845102976048291"
"7 on Scale 1 to 10","2006","no migration background","3182","0.163287779665843","0.158006937599152","0.168568621732535"
"7 on Scale 1 to 10","2006","direct migration background","416","0.164676793832892","0.149785599040864","0.179567988624919"
"7 on Scale 1 to 10","2006","indirect migration background","135","0.167296094912638","0.141811796161256","0.192780393664019"
"8 on Scale 1 to 10","2006","no migration background","4574","0.231904614711106","0.225874847374988","0.237934382047224"
"8 on Scale 1 to 10","2006","direct migration background","489","0.195783651490842","0.179852002454948","0.211715300526736"
"8 on Scale 1 to 10","2006","indirect migration background","207","0.248927833556176","0.21940472734806","0.278450939764291"
"9 on Scale 1 to 10","2006","no migration background","2172","0.106776670926427","0.102364457637337","0.111188884215517"
"9 on Scale 1 to 10","2006","direct migration background","237","0.103807415089656","0.0915612268343731","0.116053603344939"
"9 on Scale 1 to 10","2006","indirect migration background","157","0.178550648473132","0.15240161767102","0.204699679275244"
"10 Completely satisfied","2006","no migration background","1294","0.0679231866342477","0.0643283996539318","0.0715179736145636"
"10 Completely satisfied","2006","direct migration background","206","0.0893855555893156","0.0779307688187236","0.100840342359908"
"10 Completely satisfied","2006","indirect migration background","130","0.140715285644859","0.116972937627571","0.164457633662146"
"0 Completely dissatisfied","2007","no migration background","199","0.0135413769620765","0.0118369656270247","0.0152457882971282"
"0 Completely dissatisfied","2007","direct migration background","30","0.0110831559757254","0.00663923732201121","0.0155270746294396"
"0 Completely dissatisfied","2007","indirect migration background","1","","",""
"1 on Scale 1 to 10","2007","no migration background","228","0.0154882718658323","0.0136672486118766","0.017309295119788"
"1 on Scale 1 to 10","2007","direct migration background","22","","",""
"1 on Scale 1 to 10","2007","indirect migration background","4","","",""
"2 on Scale 1 to 10","2007","no migration background","518","0.0335952782672736","0.0309380907356436","0.0362524657989036"
"2 on Scale 1 to 10","2007","direct migration background","87","0.0402587349844607","0.0319149781831115","0.0486024917858099"
"2 on Scale 1 to 10","2007","indirect migration background","16","","",""
"3 on Scale 1 to 10","2007","no migration background","970","0.0569003898119631","0.053484215941846","0.0603165636820802"
"3 on Scale 1 to 10","2007","direct migration background","125","0.0700695315434213","0.0592341468102491","0.0809049162765934"
"3 on Scale 1 to 10","2007","indirect migration background","14","","",""
"4 on Scale 1 to 10","2007","no migration background","1076","0.0651042888525565","0.06146606056338","0.0687425171417329"
"4 on Scale 1 to 10","2007","direct migration background","122","0.0677521577466313","0.0570841886295807","0.0784201268636819"
"4 on Scale 1 to 10","2007","indirect migration background","31","0.0344806895542037","0.0217087012276786","0.0472526778807287"
"5 on Scale 1 to 10","2007","no migration background","2357","0.140821540018297","0.135691983751979","0.145951096284614"
"5 on Scale 1 to 10","2007","direct migration background","323","0.170891053887766","0.1549131444414","0.186868963334131"
"5 on Scale 1 to 10","2007","indirect migration background","73","0.104829334468485","0.0833863912777318","0.126272277659239"
"6 on Scale 1 to 10","2007","no migration background","1940","0.109295298679334","0.104694097992751","0.113896499365917"
"6 on Scale 1 to 10","2007","direct migration background","238","0.105533527448555","0.0924919011547255","0.118575153742384"
"6 on Scale 1 to 10","2007","indirect migration background","52","0.0690981126851341","0.0513449755515349","0.0868512498187334"
"7 on Scale 1 to 10","2007","no migration background","3142","0.168445710629685","0.162926476147668","0.173964945111702"
"7 on Scale 1 to 10","2007","direct migration background","375","0.166602309866467","0.150785417973891","0.182419201759043"
"7 on Scale 1 to 10","2007","indirect migration background","125","0.162739530815746","0.136901055517061","0.188578006114432"
"8 on Scale 1 to 10","2007","no migration background","4240","0.235110200673441","0.228856476337199","0.241363925009683"
"8 on Scale 1 to 10","2007","direct migration background","445","0.185345624468749","0.168851382663119","0.201839866274379"
"8 on Scale 1 to 10","2007","indirect migration background","215","0.254735957339556","0.22423662938972","0.285235285289393"
"9 on Scale 1 to 10","2007","no migration background","1976","0.103883129181087","0.0993836898392345","0.10838256852294"
"9 on Scale 1 to 10","2007","direct migration background","225","0.0944423012528327","0.0820287559116428","0.106855846594023"
"9 on Scale 1 to 10","2007","indirect migration background","161","0.188808848915522","0.161414383228326","0.216203314602718"
"10 Completely satisfied","2007","no migration background","1018","0.0578145150584542","0.0543726787536655","0.0612563513632429"
"10 Completely satisfied","2007","direct migration background","140","0.0768872417929614","0.0655786374831768","0.088195846102746"
"10 Completely satisfied","2007","indirect migration background","92","0.132809629119108","0.109054244572132","0.156565013666084"
"0 Completely dissatisfied","2008","no migration background","181","0.0135826571092818","0.0118278975426376","0.0153374166759261"
"0 Completely dissatisfied","2008","direct migration background","30","0.0139175243647614","0.00867064212139468","0.0191644066081282"
"0 Completely dissatisfied","2008","indirect migration background","5","","",""
"1 on Scale 1 to 10","2008","no migration background","183","0.0127754638744403","0.0110729478432977","0.0144779799055829"
"1 on Scale 1 to 10","2008","direct migration background","21","","",""
"1 on Scale 1 to 10","2008","indirect migration background","4","","",""
"2 on Scale 1 to 10","2008","no migration background","474","0.0309382529850106","0.0283133181945177","0.0335631877755035"
"2 on Scale 1 to 10","2008","direct migration background","73","0.0452829615235002","0.0359704151244746","0.0545955079225259"
"2 on Scale 1 to 10","2008","indirect migration background","16","","",""
"3 on Scale 1 to 10","2008","no migration background","906","0.0555756068282265","0.0521024803004781","0.0590487333559748"
"3 on Scale 1 to 10","2008","direct migration background","121","0.0621523504004415","0.0513390410527823","0.0729656597481007"
"3 on Scale 1 to 10","2008","indirect migration background","21","","",""
"4 on Scale 1 to 10","2008","no migration background","1079","0.0646158890838467","0.0608888876747299","0.0683428904929635"
"4 on Scale 1 to 10","2008","direct migration background","140","0.0885961883744306","0.0758691708804523","0.101323205868409"
"4 on Scale 1 to 10","2008","indirect migration background","25","","",""
"5 on Scale 1 to 10","2008","no migration background","2285","0.147799603405681","0.142419354090403","0.153179852720959"
"5 on Scale 1 to 10","2008","direct migration background","277","0.153574621047662","0.137426657277044","0.16972258481828"
"5 on Scale 1 to 10","2008","indirect migration background","71","0.117295545922526","0.0946122184020413","0.139978873443011"
"6 on Scale 1 to 10","2008","no migration background","1850","0.116099256187261","0.111242890645592","0.12095562172893"
"6 on Scale 1 to 10","2008","direct migration background","200","0.090864917693218","0.0779920285552624","0.103737806831174"
"6 on Scale 1 to 10","2008","indirect migration background","61","0.0768900395296174","0.0581089793324662","0.0956710997267686"
"7 on Scale 1 to 10","2008","no migration background","3084","0.177108841429897","0.171321405186851","0.182896277672943"
"7 on Scale 1 to 10","2008","direct migration background","318","0.149624867978818","0.133648764395829","0.165600971561807"
"7 on Scale 1 to 10","2008","indirect migration background","120","0.152099904553369","0.126783900478985","0.177415908627752"
"8 on Scale 1 to 10","2008","no migration background","4006","0.22444728821134","0.218122328809838","0.230772247612842"
"8 on Scale 1 to 10","2008","direct migration background","400","0.19477939476042","0.177041884987304","0.212516904533536"
"8 on Scale 1 to 10","2008","indirect migration background","198","0.241513276449454","0.211341363877047","0.271685189021861"
"9 on Scale 1 to 10","2008","no migration background","1780","0.103140616429822","0.0985298625529902","0.107751370306653"
"9 on Scale 1 to 10","2008","direct migration background","214","0.116616365806997","0.102241025716535","0.13099170589746"
"9 on Scale 1 to 10","2008","indirect migration background","142","0.164835712031906","0.138679794704746","0.190991629359066"
"10 Completely satisfied","2008","no migration background","887","0.0539165244551925","0.0504926283839129","0.0573404205264721"
"10 Completely satisfied","2008","direct migration background","121","0.0679182462675625","0.0566492836880857","0.0791872088470393"
"10 Completely satisfied","2008","indirect migration background","110","0.144552488136226","0.119762985493173","0.16934199077928"
"0 Completely dissatisfied","2009","no migration background","180","0.0139794625448771","0.0121437412174798","0.0158151838722743"
"0 Completely dissatisfied","2009","direct migration background","22","","",""
"0 Completely dissatisfied","2009","indirect migration background","1","","",""
"1 on Scale 1 to 10","2009","no migration background","187","0.012849409651742","0.0110884401759032","0.0146103791275808"
"1 on Scale 1 to 10","2009","direct migration background","23","","",""
"1 on Scale 1 to 10","2009","indirect migration background","2","","",""
"2 on Scale 1 to 10","2009","no migration background","499","0.035580189232419","0.032683808004922","0.0384765704599161"
"2 on Scale 1 to 10","2009","direct migration background","69","0.0537382831070033","0.0429132852351304","0.0645632809788761"
"2 on Scale 1 to 10","2009","indirect migration background","15","","",""
"3 on Scale 1 to 10","2009","no migration background","945","0.065748523085507","0.0618733292273409","0.0696237169436731"
"3 on Scale 1 to 10","2009","direct migration background","91","0.061906089035192","0.0503377732930492","0.0734744047773348"
"3 on Scale 1 to 10","2009","indirect migration background","27","","",""
"4 on Scale 1 to 10","2009","no migration background","1011","0.0634749348407858","0.0596627024213873","0.0672871672601843"
"4 on Scale 1 to 10","2009","direct migration background","117","0.0690472769604632","0.0568765258207608","0.0812180281001656"
"4 on Scale 1 to 10","2009","indirect migration background","29","","",""
"5 on Scale 1 to 10","2009","no migration background","2188","0.145005690144114","0.139500242076855","0.150511138211374"
"5 on Scale 1 to 10","2009","direct migration background","255","0.154599351952938","0.137244719759048","0.171953984146827"
"5 on Scale 1 to 10","2009","indirect migration background","61","0.0929466981061664","0.0716639131180566","0.114229483094276"
"6 on Scale 1 to 10","2009","no migration background","1711","0.112368258346121","0.10743019368309","0.117306323009153"
"6 on Scale 1 to 10","2009","direct migration background","164","0.099849420559468","0.0854577685812759","0.11424107253766"
"6 on Scale 1 to 10","2009","indirect migration background","56","0.0851197866000797","0.0646651178543418","0.105574455345818"
"7 on Scale 1 to 10","2009","no migration background","2859","0.177668066791362","0.171691568470325","0.183644565112399"
"7 on Scale 1 to 10","2009","direct migration background","297","0.165783397153306","0.147931259660552","0.18363553464606"
"7 on Scale 1 to 10","2009","indirect migration background","99","0.121490434537339","0.0975440826487653","0.145436786425913"
"8 on Scale 1 to 10","2009","no migration background","3641","0.21926371112923","0.212794458679043","0.225732963579418"
"8 on Scale 1 to 10","2009","direct migration background","359","0.205420209748479","0.186026064999232","0.224814354497726"
"8 on Scale 1 to 10","2009","indirect migration background","197","0.260411609743164","0.228243889451325","0.292579330035003"
"9 on Scale 1 to 10","2009","no migration background","1643","0.096827406646324","0.0922035638413771","0.101451249451271"
"9 on Scale 1 to 10","2009","direct migration background","183","0.0917024844717542","0.0778481743374637","0.105556794606045"
"9 on Scale 1 to 10","2009","indirect migration background","135","0.199770243496522","0.170463482815851","0.229077004177193"
"10 Completely satisfied","2009","no migration background","849","0.0572343475875173","0.0536023229998689","0.0608663721751658"
"10 Completely satisfied","2009","direct migration background","87","0.0695184891493744","0.0573093701267166","0.0817276081720322"
"10 Completely satisfied","2009","indirect migration background","93","0.123565608298742","0.0994441488194019","0.147687067778081"
"0 Completely dissatisfied","2010","no migration background","235","0.0138410615679165","0.0122210047559456","0.0154611183798873"
"0 Completely dissatisfied","2010","direct migration background","34","0.0124466629360099","0.00841502273139991","0.0164783031406198"
"0 Completely dissatisfied","2010","indirect migration background","6","","",""
"1 on Scale 1 to 10","2010","no migration background","211","0.0146196335645689","0.0129552926765105","0.0162839744526273"
"1 on Scale 1 to 10","2010","direct migration background","40","0.0239603421922754","0.018399311874933","0.0295213725096179"
"1 on Scale 1 to 10","2010","indirect migration background","5","","",""
"2 on Scale 1 to 10","2010","no migration background","591","0.0357874272749778","0.033211558580892","0.0383632959690635"
"2 on Scale 1 to 10","2010","direct migration background","68","0.0303573248047017","0.02411835861832","0.0365962909910834"
"2 on Scale 1 to 10","2010","indirect migration background","18","","",""
"3 on Scale 1 to 10","2010","no migration background","1014","0.0593459509178377","0.0560696589448505","0.0626222428908249"
"3 on Scale 1 to 10","2010","direct migration background","110","0.048209630384193","0.0404200766652299","0.055999184103156"
"3 on Scale 1 to 10","2010","indirect migration background","34","0.0378715872416949","0.0268247067493657","0.0489184677340242"
"4 on Scale 1 to 10","2010","no migration background","1153","0.0665751260346215","0.0631183776372266","0.0700318744320164"
"4 on Scale 1 to 10","2010","direct migration background","143","0.0579614301153099","0.0494641700347782","0.0664586901958415"
"4 on Scale 1 to 10","2010","indirect migration background","30","0.0355267139455475","0.0248142591282794","0.0462391687628156"
"5 on Scale 1 to 10","2010","no migration background","2528","0.144480536115283","0.139605344317925","0.149355727912641"
"5 on Scale 1 to 10","2010","direct migration background","372","0.147017149887892","0.134139720654289","0.159894579121494"
"5 on Scale 1 to 10","2010","indirect migration background","115","0.0965378857040284","0.0794467766077305","0.113628994800326"
"6 on Scale 1 to 10","2010","no migration background","1912","0.107492240336066","0.103197205959452","0.111787274712681"
"6 on Scale 1 to 10","2010","direct migration background","253","0.0801471009303201","0.0702734419747991","0.0900207598858411"
"6 on Scale 1 to 10","2010","indirect migration background","78","0.0621486101424844","0.048176914848363","0.0761203054366059"
"7 on Scale 1 to 10","2010","no migration background","3415","0.169137534302931","0.16393929038332","0.174335778222541"
"7 on Scale 1 to 10","2010","direct migration background","480","0.185270741075581","0.17114259753712","0.199398884614042"
"7 on Scale 1 to 10","2010","indirect migration background","171","0.137551318296999","0.117618652190073","0.157483984403925"
"8 on Scale 1 to 10","2010","no migration background","4834","0.222356543145253","0.216590374973468","0.228122711317038"
"8 on Scale 1 to 10","2010","direct migration background","636","0.203985122613476","0.189331842154179","0.218638403072774"
"8 on Scale 1 to 10","2010","indirect migration background","273","0.219187442887617","0.195246149339016","0.243128736436218"
"9 on Scale 1 to 10","2010","no migration background","2514","0.105650076022377","0.101387611956309","0.109912540088445"
"9 on Scale 1 to 10","2010","direct migration background","379","0.117340837846325","0.105637866763995","0.129043808928656"
"9 on Scale 1 to 10","2010","indirect migration background","218","0.223361887778986","0.199258379037623","0.24746539652035"
"10 Completely satisfied","2010","no migration background","1571","0.0607138707181674","0.0574024451182475","0.0640252963180873"
"10 Completely satisfied","2010","direct migration background","390","0.0933036572139152","0.0827268329581965","0.103880481469634"
"10 Completely satisfied","2010","indirect migration background","199","0.156109269979704","0.135104214323129","0.177114325636278"
"0 Completely dissatisfied","2011","no migration background","258","0.0140814799202217","0.0125158350923899","0.0156471247480534"
