"plb0219","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes, every 3-4 weeks","2009","(Married) couple without C. ","West Germany","119","0.0562816212623456","0.0465625286257671","0.066000713898924"
"Yes, every 3-4 weeks","2009","(Married) couple without C. ","East Germany","41","0.117087002043457","0.0927774613783227","0.141396542708592"
"Yes, every 3-4 weeks","2009","Single parent ","West Germany","21","","",""
"Yes, every 3-4 weeks","2009","Single parent ","East Germany","5","","",""
"Yes, every 3-4 weeks","2009","Couple + C. LE 16 ","West Germany","92","0.0716524557987814","0.0593778938114826","0.0839270177860801"
"Yes, every 3-4 weeks","2009","Couple + C. LE 16 ","East Germany","31","0.0706060059564997","0.0471711384998284","0.094040873413171"
"Yes, every 3-4 weeks","2009","Couple + C. GT 16 ","West Germany","82","0.0451660375117691","0.0346144804992939","0.0557175945242443"
"Yes, every 3-4 weeks","2009","Couple + C. GT 16 ","East Germany","39","0.0613933255147344","0.0412766214891718","0.081510029540297"
"Yes, every 3-4 weeks","2009","Couple + C. LE and GT 16","West Germany","37","0.0466640530939751","0.0304991379134356","0.0628289682745147"
"Yes, every 3-4 weeks","2009","Couple + C. LE and GT 16","East Germany","7","","",""
"Rarely","2009","1-pers.-HH","West Germany","187","0.199542892514447","0.174495309313019","0.224590475715875"
"Rarely","2009","1-pers.-HH","East Germany","56","0.190753318449255","0.145218711828236","0.236287925070274"
"Rarely","2009","(Married) couple without C. ","West Germany","444","0.212163947540313","0.194922451985263","0.229405443095363"
"Rarely","2009","(Married) couple without C. ","East Germany","133","0.173717907672643","0.145072835571243","0.202362979774042"
"Rarely","2009","Single parent ","West Germany","66","0.125221516642847","0.0946420180527174","0.155801015232976"
"Rarely","2009","Single parent ","East Germany","20","","",""
"Rarely","2009","Couple + C. LE 16 ","West Germany","338","0.202630530832168","0.18350042337631","0.221760638288025"
"Rarely","2009","Couple + C. LE 16 ","East Germany","99","0.250772285119713","0.211118154391102","0.290426415848323"
"Rarely","2009","Couple + C. GT 16 ","West Germany","234","0.165896493398141","0.146995910328123","0.184797076468159"
"Rarely","2009","Couple + C. GT 16 ","East Germany","106","0.202688163133222","0.168999581456217","0.236376744810226"
"Rarely","2009","Couple + C. LE and GT 16","West Germany","126","0.201596590253123","0.170848935250092","0.232344245256153"
"Rarely","2009","Couple + C. LE and GT 16","East Germany","30","0.247948957312784","0.179073512063","0.316824402562568"
"No, never","2010","1-pers.-HH","West Germany","","","",""
"No, never","2010","1-pers.-HH","East Germany","","","",""
"No, never","2010","(Married) couple without C. ","West Germany","","","",""
