"year","pgcasmin","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2016","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","(3a) lower tertiary education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","(3b) higher tertiary education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","(3b) higher tertiary education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2017","(0) in school","Ostdeutschland, neue Bundeslaender","5.28","5.49","68","4.95","5.61","3.33333325386047","4.66666650772095","6","6.66666650772095"
"2017","(0) in school","Westdeutschland, alte Bundeslaender","5.02","5","348","4.89","5.15","3.33333325386047","4.33333349227905","6","6.66666650772095"
"2017","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","4.73","4.67","245","4.59","4.87","3.66666674613953","4","5.33333349227905","6.33333349227905"
"2017","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","4.89","5","1207","4.82","4.96","3.33333325386047","4.33333349227905","5.66666650772095","6.33333349227905"
"2017","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","4.8","4.7","329","4.67","4.93","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","(1b) general elementary school","Westdeutschland, alte Bundeslaender","4.76","4.67","2194","4.71","4.81","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","4.72","4.67","887","4.65","4.79","3.33333325386047","4","5.33333349227905","6.33333349227905"
"2017","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","4.82","5","4386","4.79","4.85","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","4.87","5","2046","4.82","4.92","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","4.99","5","4097","4.96","5.02","3.66666674613953","4.33333349227905","5.66666650772095","6.33333349227905"
"2017","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","4.77","5","157","4.57","4.97","3","4.33333349227905","5.66666650772095","6.33333349227905"
"2017","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","4.93","5","670","4.84","5.02","3.33333325386047","4.33333349227905","5.66666650772095","6.33333349227905"
"2017","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","4.86","5","261","4.72","5","3.66666674613953","4","5.66666650772095","6"
"2017","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","4.88","5","1623","4.82","4.94","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","4.92","5","416","4.81","5.03","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","4.88","5","2321","4.83","4.93","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","4.81","5","574","4.72","4.9","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","(3a) lower tertiary education","Westdeutschland, alte Bundeslaender","4.85","5","1476","4.79","4.91","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","(3b) higher tertiary education","Ostdeutschland, neue Bundeslaender","4.85","5","950","4.78","4.92","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","(3b) higher tertiary education","Westdeutschland, alte Bundeslaender","4.81","5","4022","4.77","4.85","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2018","(0) in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2018","(0) in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
