"pgoeffd","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","2011","Couple + C. GT 16 ","(2a) intermediate vocational","463","0.761751208885822","0.72791658340424","0.795585834367405"
"No","2011","Couple + C. GT 16 ","(2c_gen) general maturity certificate","87","0.832786569112647","0.763365861407519","0.902207276817774"
"No","2011","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","134","0.798758119965099","0.739693381692885","0.857822858237313"
"No","2011","Couple + C. GT 16 ","(3a) lower tertiary education","113","0.643156692182695","0.572580433453321","0.71373295091207"
"No","2011","Couple + C. GT 16 ","(3b) higher tertiary education","177","0.579592130168512","0.523919559131582","0.635264701205443"
"No","2011","Couple + C. LE and GT 16","(0) in school","18","","",""
"No","2011","Couple + C. LE and GT 16","(1a) inadequately completed","15","","",""
"No","2011","Couple + C. LE and GT 16","(1b) general elementary school","96","0.819802342860742","0.745933623644324","0.893671062077161"
"No","2011","Couple + C. LE and GT 16","(1c) basic vocational qualification","249","0.892152096594704","0.85607644163178","0.928227751557628"
"No","2011","Couple + C. LE and GT 16","(2b) intermediate general qualification","63","0.923471834759099","0.862066752061782","0.984876917456416"
"No","2011","Couple + C. LE and GT 16","(2a) intermediate vocational","255","0.744976982385901","0.697878028680013","0.79207593609179"
"No","2011","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","47","0.80319906499633","0.700879362180724","0.905518767811935"
"No","2011","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","89","0.817350851286931","0.747339534505656","0.887362168068205"
"No","2011","Couple + C. LE and GT 16","(3a) lower tertiary education","78","0.75511447976772","0.677526393541383","0.832702565994056"
"No","2011","Couple + C. LE and GT 16","(3b) higher tertiary education","102","0.683094038389301","0.609847400627301","0.7563406761513"
"Yes","2012","1-pers.-HH","(0) in school","","","",""
"Yes","2012","1-pers.-HH","(1a) inadequately completed","1","","",""
"Yes","2012","1-pers.-HH","(1b) general elementary school","10","","",""
"Yes","2012","1-pers.-HH","(1c) basic vocational qualification","54","0.182097421330468","0.135097092588116","0.22909775007282"
"Yes","2012","1-pers.-HH","(2b) intermediate general qualification","5","","",""
"Yes","2012","1-pers.-HH","(2a) intermediate vocational","107","0.233789111605933","0.194421152042017","0.273157071169849"
"Yes","2012","1-pers.-HH","(2c_gen) general maturity certificate","26","","",""
"Yes","2012","1-pers.-HH","(2c_voc) vocational maturity certificate","52","0.299003135596405","0.231556954100324","0.366449317092486"
"Yes","2012","1-pers.-HH","(3a) lower tertiary education","68","0.359246263524988","0.289156669886761","0.429335857163215"
"Yes","2012","1-pers.-HH","(3b) higher tertiary education","132","0.444342277749174","0.387153398223465","0.501531157274883"
"Yes","2012","(Married) couple without C. ","(0) in school","","","",""
"Yes","2012","(Married) couple without C. ","(1a) inadequately completed","2","","",""
"Yes","2012","(Married) couple without C. ","(1b) general elementary school","21","","",""
"Yes","2012","(Married) couple without C. ","(1c) basic vocational qualification","119","0.158040808924998","0.13056288608056","0.185518731769435"
"Yes","2012","(Married) couple without C. ","(2b) intermediate general qualification","8","","",""
"Yes","2012","(Married) couple without C. ","(2a) intermediate vocational","261","0.255890911653135","0.228804826023812","0.282976997282458"
"Yes","2012","(Married) couple without C. ","(2c_gen) general maturity certificate","15","","",""
"Yes","2012","(Married) couple without C. ","(2c_voc) vocational maturity certificate","85","0.228326467282671","0.182620751261993","0.274032183303348"
"Yes","2012","(Married) couple without C. ","(3a) lower tertiary education","132","0.358995465437367","0.308882305136844","0.40910862573789"
"Yes","2012","(Married) couple without C. ","(3b) higher tertiary education","277","0.379839249789286","0.342755196014131","0.41692330356444"
"Yes","2012","Single parent ","(0) in school","","","",""
"Yes","2012","Single parent ","(1a) inadequately completed","1","","",""
"Yes","2012","Single parent ","(1b) general elementary school","25","","",""
"Yes","2012","Single parent ","(1c) basic vocational qualification","45","0.124034241388484","0.0857658661818806","0.162302616595087"
"Yes","2012","Single parent ","(2b) intermediate general qualification","14","","",""
"Yes","2012","Single parent ","(2a) intermediate vocational","132","0.201591004419923","0.16956979580181","0.233612213038035"
"Yes","2012","Single parent ","(2c_gen) general maturity certificate","11","","",""
"Yes","2012","Single parent ","(2c_voc) vocational maturity certificate","64","0.256177354614832","0.197963510064939","0.314391199164725"
"Yes","2012","Single parent ","(3a) lower tertiary education","56","0.479737645005923","0.393189810318572","0.566285479693275"
"Yes","2012","Single parent ","(3b) higher tertiary education","91","0.361676083892937","0.297746970980607","0.425605196805266"
"Yes","2012","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2012","Couple + C. LE 16 ","(1a) inadequately completed","7","","",""
"Yes","2012","Couple + C. LE 16 ","(1b) general elementary school","19","","",""
"Yes","2012","Couple + C. LE 16 ","(1c) basic vocational qualification","115","0.138132493000424","0.116191591524022","0.160073394476827"
"Yes","2012","Couple + C. LE 16 ","(2b) intermediate general qualification","13","","",""
"Yes","2012","Couple + C. LE 16 ","(2a) intermediate vocational","350","0.20544727882219","0.186364435972957","0.224530121671423"
"Yes","2012","Couple + C. LE 16 ","(2c_gen) general maturity certificate","23","","",""
"Yes","2012","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","146","0.227492017504803","0.196678033012168","0.258306001997439"
"Yes","2012","Couple + C. LE 16 ","(3a) lower tertiary education","141","0.280452800484248","0.241350379644162","0.319555221324335"
"Yes","2012","Couple + C. LE 16 ","(3b) higher tertiary education","381","0.308707585314707","0.280845047040686","0.336570123588729"
"Yes","2012","Couple + C. GT 16 ","(0) in school","1","","",""
"Yes","2012","Couple + C. GT 16 ","(1a) inadequately completed","2","","",""
"Yes","2012","Couple + C. GT 16 ","(1b) general elementary school","17","","",""
"Yes","2012","Couple + C. GT 16 ","(1c) basic vocational qualification","80","0.175717882967012","0.139492658703563","0.21194310723046"
"Yes","2012","Couple + C. GT 16 ","(2b) intermediate general qualification","10","","",""
"Yes","2012","Couple + C. GT 16 ","(2a) intermediate vocational","133","0.229896993593039","0.195624171660208","0.26416981552587"
"Yes","2012","Couple + C. GT 16 ","(2c_gen) general maturity certificate","24","","",""
"Yes","2012","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","43","0.250007577290322","0.18353242936325","0.316482725217395"
"Yes","2012","Couple + C. GT 16 ","(3a) lower tertiary education","67","0.348034375916037","0.27785897901876","0.418209772813313"
"Yes","2012","Couple + C. GT 16 ","(3b) higher tertiary education","106","0.390835265460971","0.331411186721639","0.450259344200302"
"Yes","2012","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","2012","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Yes","2012","Couple + C. LE and GT 16","(1b) general elementary school","8","","",""
"Yes","2012","Couple + C. LE and GT 16","(1c) basic vocational qualification","43","0.142638238053523","0.101231325659764","0.184045150447282"
"Yes","2012","Couple + C. LE and GT 16","(2b) intermediate general qualification","5","","",""
"Yes","2012","Couple + C. LE and GT 16","(2a) intermediate vocational","68","0.236515214943947","0.192185955748255","0.280844474139638"
"Yes","2012","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","9","","",""
"Yes","2012","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","31","0.17208039208892","0.113776851269622","0.230383932908217"
"Yes","2012","Couple + C. LE and GT 16","(3a) lower tertiary education","40","0.352530679378766","0.257941140225227","0.447120218532305"
"Yes","2012","Couple + C. LE and GT 16","(3b) higher tertiary education","54","0.330290559008771","0.256249344727372","0.40433177329017"
"No","2012","1-pers.-HH","(0) in school","1","","",""
"No","2012","1-pers.-HH","(1a) inadequately completed","7","","",""
"No","2012","1-pers.-HH","(1b) general elementary school","58","0.80759482212071","0.713903627777465","0.901286016463955"
"No","2012","1-pers.-HH","(1c) basic vocational qualification","205","0.817902578669532","0.77090224992718","0.864902907411884"
"No","2012","1-pers.-HH","(2b) intermediate general qualification","29","","",""
"No","2012","1-pers.-HH","(2a) intermediate vocational","337","0.766210888394067","0.726842928830151","0.805578847957983"
"No","2012","1-pers.-HH","(2c_gen) general maturity certificate","63","0.745937568121365","0.655494652714015","0.836380483528714"
"No","2012","1-pers.-HH","(2c_voc) vocational maturity certificate","125","0.700996864403595","0.633550682907513","0.768443045899676"
"No","2012","1-pers.-HH","(3a) lower tertiary education","112","0.640753736475012","0.570664142836785","0.710843330113239"
"No","2012","1-pers.-HH","(3b) higher tertiary education","158","0.555657722250826","0.498468842725117","0.612846601776535"
"No","2012","(Married) couple without C. ","(0) in school","2","","",""
"No","2012","(Married) couple without C. ","(1a) inadequately completed","22","","",""
"No","2012","(Married) couple without C. ","(1b) general elementary school","89","0.759739764828639","0.67989891952072","0.839580610136558"
"No","2012","(Married) couple without C. ","(1c) basic vocational qualification","558","0.841959191075002","0.814481268230565","0.86943711391944"
"No","2012","(Married) couple without C. ","(2b) intermediate general qualification","36","0.87527927213953","0.777653519949555","0.972905024329505"
"No","2012","(Married) couple without C. ","(2a) intermediate vocational","736","0.744109088346865","0.717023002717542","0.771195173976188"
"No","2012","(Married) couple without C. ","(2c_gen) general maturity certificate","59","0.74189206900895","0.642190206785678","0.841593931232223"
"No","2012","(Married) couple without C. ","(2c_voc) vocational maturity certificate","239","0.771673532717329","0.725967816696652","0.817379248738007"
"No","2012","(Married) couple without C. ","(3a) lower tertiary education","220","0.641004534562633","0.59089137426211","0.691117694863156"
"No","2012","(Married) couple without C. ","(3b) higher tertiary education","381","0.620160750210714","0.58307669643556","0.657244803985869"
"No","2012","Single parent ","(0) in school","15","","",""
"No","2012","Single parent ","(1a) inadequately completed","23","","",""
"No","2012","Single parent ","(1b) general elementary school","82","0.762506437600262","0.681875097016818","0.843137778183705"
"No","2012","Single parent ","(1c) basic vocational qualification","240","0.875965758611516","0.837697383404913","0.914234133818119"
"No","2012","Single parent ","(2b) intermediate general qualification","81","0.91575396884255","0.859900465572811","0.971607472112288"
"No","2012","Single parent ","(2a) intermediate vocational","471","0.798408995580077","0.766387786961965","0.83043020419819"
"No","2012","Single parent ","(2c_gen) general maturity certificate","46","0.695110452068217","0.575599187768007","0.814621716368427"
"No","2012","Single parent ","(2c_voc) vocational maturity certificate","152","0.743822645385168","0.685608800835275","0.802036489935061"
"No","2012","Single parent ","(3a) lower tertiary education","72","0.520262354994077","0.433714520306725","0.606810189681428"
"No","2012","Single parent ","(3b) higher tertiary education","126","0.638323916107063","0.574394803194734","0.702253029019392"
"No","2012","Couple + C. LE 16 ","(0) in school","","","",""
"No","2012","Couple + C. LE 16 ","(1a) inadequately completed","60","0.83378367528715","0.744643348645775","0.922924001928525"
"No","2012","Couple + C. LE 16 ","(1b) general elementary school","226","0.922358474087889","0.88884943678369","0.955867511392088"
"No","2012","Couple + C. LE 16 ","(1c) basic vocational qualification","835","0.861867506999576","0.839926605523174","0.883808408475979"
"No","2012","Couple + C. LE 16 ","(2b) intermediate general qualification","56","0.787668740597557","0.691174294233112","0.884163186962001"
"No","2012","Couple + C. LE 16 ","(2a) intermediate vocational","1372","0.79455272117781","0.775469878328577","0.813635564027043"
"No","2012","Couple + C. LE 16 ","(2c_gen) general maturity certificate","94","0.811847129336458","0.741028467828079","0.882665790844837"
"No","2012","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","565","0.772507982495196","0.741693998002561","0.803321966987832"
"No","2012","Couple + C. LE 16 ","(3a) lower tertiary education","366","0.719547199515752","0.680444778675665","0.758649620355838"
"No","2012","Couple + C. LE 16 ","(3b) higher tertiary education","675","0.691292414685293","0.663429876411271","0.719154952959314"
"No","2012","Couple + C. GT 16 ","(0) in school","18","","",""
"No","2012","Couple + C. GT 16 ","(1a) inadequately completed","11","","",""
"No","2012","Couple + C. GT 16 ","(1b) general elementary school","77","0.804829572360774","0.724709167745088","0.88494997697646"
"No","2012","Couple + C. GT 16 ","(1c) basic vocational qualification","344","0.824282117032988","0.78805689276954","0.860507341296436"
"No","2012","Couple + C. GT 16 ","(2b) intermediate general qualification","64","0.903864420389176","0.836702059925738","0.971026780852613"
"No","2012","Couple + C. GT 16 ","(2a) intermediate vocational","446","0.770103006406961","0.73583018447413","0.804375828339792"
"No","2012","Couple + C. GT 16 ","(2c_gen) general maturity certificate","80","0.799084450186019","0.72207668213226","0.876092218239778"
"No","2012","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","120","0.749992422709677","0.683517274782605","0.81646757063675"
"No","2012","Couple + C. GT 16 ","(3a) lower tertiary education","110","0.651965624083963","0.581790227186687","0.72214102098124"
"No","2012","Couple + C. GT 16 ","(3b) higher tertiary education","153","0.609164734539029","0.549740655799698","0.668588813278361"
"No","2012","Couple + C. LE and GT 16","(0) in school","22","","",""
"No","2012","Couple + C. LE and GT 16","(1a) inadequately completed","21","","",""
"No","2012","Couple + C. LE and GT 16","(1b) general elementary school","117","0.88143275549884","0.8247605595919","0.93810495140578"
"No","2012","Couple + C. LE and GT 16","(1c) basic vocational qualification","231","0.857361761946477","0.815954849552718","0.898768674340236"
"No","2012","Couple + C. LE and GT 16","(2b) intermediate general qualification","52","0.867370233170002","0.779319409461802","0.955421056878202"
"No","2012","Couple + C. LE and GT 16","(2a) intermediate vocational","285","0.763484785056053","0.719155525860361","0.807814044251745"
"No","2012","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","46","0.799468244708309","0.693650394803225","0.905286094613393"
"No","2012","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","130","0.82791960791108","0.769616067091783","0.886223148730378"
"No","2012","Couple + C. LE and GT 16","(3a) lower tertiary education","58","0.647469320621234","0.552879781467695","0.742058859774773"
"No","2012","Couple + C. LE and GT 16","(3b) higher tertiary education","101","0.669709440991229","0.59566822670983","0.743750655272628"
"Yes","2013","1-pers.-HH","(0) in school","","","",""
"Yes","2013","1-pers.-HH","(1a) inadequately completed","1","","",""
"Yes","2013","1-pers.-HH","(1b) general elementary school","9","","",""
"Yes","2013","1-pers.-HH","(1c) basic vocational qualification","49","0.196542660223076","0.148966375973519","0.244118944472633"
"Yes","2013","1-pers.-HH","(2b) intermediate general qualification","8","","",""
"Yes","2013","1-pers.-HH","(2a) intermediate vocational","107","0.245347853250685","0.204818592725","0.285877113776371"
"Yes","2013","1-pers.-HH","(2c_gen) general maturity certificate","24","","",""
"Yes","2013","1-pers.-HH","(2c_voc) vocational maturity certificate","60","0.33123713055497","0.26617090033963","0.39630336077031"
"Yes","2013","1-pers.-HH","(3a) lower tertiary education","59","0.380003890891296","0.306165444425132","0.45384233735746"
"Yes","2013","1-pers.-HH","(3b) higher tertiary education","136","0.427763830069814","0.373127377146064","0.482400282993564"
"Yes","2013","(Married) couple without C. ","(0) in school","1","","",""
"Yes","2013","(Married) couple without C. ","(1a) inadequately completed","4","","",""
"Yes","2013","(Married) couple without C. ","(1b) general elementary school","25","","",""
"Yes","2013","(Married) couple without C. ","(1c) basic vocational qualification","118","0.164343559975174","0.136156207988604","0.192530911961743"
"Yes","2013","(Married) couple without C. ","(2b) intermediate general qualification","13","","",""
"Yes","2013","(Married) couple without C. ","(2a) intermediate vocational","251","0.255719971914967","0.228007190036854","0.283432753793081"
"Yes","2013","(Married) couple without C. ","(2c_gen) general maturity certificate","24","","",""
"Yes","2013","(Married) couple without C. ","(2c_voc) vocational maturity certificate","93","0.244512484235993","0.201856501435943","0.287168467036044"
"Yes","2013","(Married) couple without C. ","(3a) lower tertiary education","117","0.315445716997517","0.265609952924459","0.365281481070574"
"Yes","2013","(Married) couple without C. ","(3b) higher tertiary education","307","0.446807210177204","0.410186243505368","0.483428176849041"
"Yes","2013","Single parent ","(0) in school","2","","",""
"Yes","2013","Single parent ","(1a) inadequately completed","5","","",""
"Yes","2013","Single parent ","(1b) general elementary school","23","","",""
"Yes","2013","Single parent ","(1c) basic vocational qualification","50","0.155975298865694","0.113324105733719","0.198626491997669"
"Yes","2013","Single parent ","(2b) intermediate general qualification","18","","",""
"Yes","2013","Single parent ","(2a) intermediate vocational","144","0.237929720731532","0.204055009232094","0.271804432230971"
"Yes","2013","Single parent ","(2c_gen) general maturity certificate","15","","",""
"Yes","2013","Single parent ","(2c_voc) vocational maturity certificate","58","0.236094981288273","0.179196029777289","0.292993932799257"
"Yes","2013","Single parent ","(3a) lower tertiary education","58","0.561185108336723","0.469689001123466","0.65268121554998"
"Yes","2013","Single parent ","(3b) higher tertiary education","89","0.386485294009118","0.320937340668956","0.45203324734928"
"Yes","2013","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2013","Couple + C. LE 16 ","(1a) inadequately completed","5","","",""
"Yes","2013","Couple + C. LE 16 ","(1b) general elementary school","34","0.103943947282593","0.0722416828973027","0.135646211667884"
"Yes","2013","Couple + C. LE 16 ","(1c) basic vocational qualification","112","0.115003234006602","0.0952400497002836","0.13476641831292"
"Yes","2013","Couple + C. LE 16 ","(2b) intermediate general qualification","17","","",""
"Yes","2013","Couple + C. LE 16 ","(2a) intermediate vocational","322","0.19995066364106","0.180480195521032","0.219421131761088"
"Yes","2013","Couple + C. LE 16 ","(2c_gen) general maturity certificate","29","","",""
"Yes","2013","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","162","0.232395778046131","0.202868758445531","0.261922797646731"
"Yes","2013","Couple + C. LE 16 ","(3a) lower tertiary education","145","0.307496583723617","0.267008341184665","0.347984826262569"
"Yes","2013","Couple + C. LE 16 ","(3b) higher tertiary education","422","0.330216883091516","0.303641348328096","0.356792417854936"
"Yes","2013","Couple + C. GT 16 ","(0) in school","2","","",""
"Yes","2013","Couple + C. GT 16 ","(1a) inadequately completed","5","","",""
"Yes","2013","Couple + C. GT 16 ","(1b) general elementary school","20","","",""
"Yes","2013","Couple + C. GT 16 ","(1c) basic vocational qualification","80","0.174912507509846","0.14103316602072","0.208791848998971"
"Yes","2013","Couple + C. GT 16 ","(2b) intermediate general qualification","15","","",""
"Yes","2013","Couple + C. GT 16 ","(2a) intermediate vocational","124","0.222058084478743","0.186538972488659","0.257577196468827"
"Yes","2013","Couple + C. GT 16 ","(2c_gen) general maturity certificate","33","0.249544883260768","0.180059788674109","0.319029977847426"
"Yes","2013","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","51","0.288601830697611","0.224173451959989","0.353030209435233"
"Yes","2013","Couple + C. GT 16 ","(3a) lower tertiary education","68","0.405842145946063","0.328784580134165","0.482899711757961"
"Yes","2013","Couple + C. GT 16 ","(3b) higher tertiary education","106","0.428247740352419","0.366786700698998","0.48970878000584"
"Yes","2013","Couple + C. LE and GT 16","(0) in school","1","","",""
"Yes","2013","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Yes","2013","Couple + C. LE and GT 16","(1b) general elementary school","14","","",""
"Yes","2013","Couple + C. LE and GT 16","(1c) basic vocational qualification","45","0.10152743130949","0.0686914106032243","0.134363452015756"
"Yes","2013","Couple + C. LE and GT 16","(2b) intermediate general qualification","14","","",""
"Yes","2013","Couple + C. LE and GT 16","(2a) intermediate vocational","69","0.173019437116092","0.133046692563738","0.212992181668447"
"Yes","2013","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","20","","",""
"Yes","2013","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","46","0.265945232352308","0.201037202645327","0.330853262059289"
"Yes","2013","Couple + C. LE and GT 16","(3a) lower tertiary education","39","0.456225469914069","0.357612452530823","0.554838487297315"
"Yes","2013","Couple + C. LE and GT 16","(3b) higher tertiary education","69","0.437247970399369","0.364781972913831","0.509713967884908"
"No","2013","1-pers.-HH","(0) in school","","","",""
"No","2013","1-pers.-HH","(1a) inadequately completed","21","","",""
"No","2013","1-pers.-HH","(1b) general elementary school","74","0.87636988262205","0.805556570539407","0.947183194704692"
"No","2013","1-pers.-HH","(1c) basic vocational qualification","219","0.803457339776924","0.755881055527367","0.851033624026481"
"No","2013","1-pers.-HH","(2b) intermediate general qualification","33","0.792371901339658","0.668217031386032","0.916526771293285"
"No","2013","1-pers.-HH","(2a) intermediate vocational","326","0.754652146749315","0.714122886223629","0.795181407275"
"No","2013","1-pers.-HH","(2c_gen) general maturity certificate","85","0.802090262973604","0.727293974999101","0.876886550948107"
"No","2013","1-pers.-HH","(2c_voc) vocational maturity certificate","141","0.66876286944503","0.60369663922969","0.73382909966037"
"No","2013","1-pers.-HH","(3a) lower tertiary education","107","0.619996109108704","0.54615766264254","0.693834555574867"
"No","2013","1-pers.-HH","(3b) higher tertiary education","179","0.572236169930186","0.517599717006436","0.626872622853936"
"No","2013","(Married) couple without C. ","(0) in school","4","","",""
"No","2013","(Married) couple without C. ","(1a) inadequately completed","33","0.854720698510857","0.741177477249142","0.968263919772573"
"No","2013","(Married) couple without C. ","(1b) general elementary school","139","0.723341055831851","0.654875824096342","0.791806287567359"
"No","2013","(Married) couple without C. ","(1c) basic vocational qualification","546","0.835656440024826","0.807469088038256","0.863843792011396"
"No","2013","(Married) couple without C. ","(2b) intermediate general qualification","42","0.830242755300189","0.731026358152852","0.929459152447525"
"No","2013","(Married) couple without C. ","(2a) intermediate vocational","701","0.744280028085033","0.716567246206919","0.771992809963146"
"No","2013","(Married) couple without C. ","(2c_gen) general maturity certificate","104","0.747723104956739","0.672482505820788","0.822963704092691"
"No","2013","(Married) couple without C. ","(2c_voc) vocational maturity certificate","297","0.755487515764007","0.712831532963956","0.798143498564057"
"No","2013","(Married) couple without C. ","(3a) lower tertiary education","217","0.684554283002483","0.634718518929426","0.734390047075541"
"No","2013","(Married) couple without C. ","(3b) higher tertiary education","401","0.553192789822796","0.516571823150959","0.589813756494632"
"No","2013","Single parent ","(0) in school","24","","",""
"No","2013","Single parent ","(1a) inadequately completed","20","","",""
"No","2013","Single parent ","(1b) general elementary school","124","0.817800674610057","0.755400394644776","0.880200954575337"
"No","2013","Single parent ","(1c) basic vocational qualification","228","0.844024701134306","0.801373508002331","0.886675894266281"
"No","2013","Single parent ","(2b) intermediate general qualification","98","0.829003680467366","0.760487884537085","0.897519476397647"
"No","2013","Single parent ","(2a) intermediate vocational","463","0.762070279268468","0.728195567769029","0.795944990767906"
"No","2013","Single parent ","(2c_gen) general maturity certificate","65","0.786626987992898","0.696851605818057","0.876402370167739"
"No","2013","Single parent ","(2c_voc) vocational maturity certificate","156","0.763905018711727","0.707006067200743","0.820803970222711"
"No","2013","Single parent ","(3a) lower tertiary education","55","0.438814891663277","0.34731878445002","0.530310998876534"
"No","2013","Single parent ","(3b) higher tertiary education","123","0.613514705990882","0.54796675265072","0.679062659331044"
"No","2013","Couple + C. LE 16 ","(0) in school","","","",""
"No","2013","Couple + C. LE 16 ","(1a) inadequately completed","86","0.913176479387447","0.855323803771511","0.971029155003383"
"No","2013","Couple + C. LE 16 ","(1b) general elementary school","322","0.896056052717407","0.864353788332116","0.927758317102697"
"No","2013","Couple + C. LE 16 ","(1c) basic vocational qualification","889","0.884996765993398","0.86523358168708","0.904759950299716"
"No","2013","Couple + C. LE 16 ","(2b) intermediate general qualification","61","0.76748968226982","0.673742509880062","0.861236854659577"
"No","2013","Couple + C. LE 16 ","(2a) intermediate vocational","1299","0.80004933635894","0.780578868238912","0.819519804478968"
"No","2013","Couple + C. LE 16 ","(2c_gen) general maturity certificate","172","0.851957308072004","0.80286058963852","0.901054026505488"
"No","2013","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","624","0.767604221953869","0.738077202353269","0.797131241554469"
"No","2013","Couple + C. LE 16 ","(3a) lower tertiary education","354","0.692503416276383","0.652015173737431","0.732991658815335"
"No","2013","Couple + C. LE 16 ","(3b) higher tertiary education","781","0.669783116908484","0.643207582145064","0.696358651671903"
"No","2013","Couple + C. GT 16 ","(0) in school","29","","",""
"No","2013","Couple + C. GT 16 ","(1a) inadequately completed","23","","",""
"No","2013","Couple + C. GT 16 ","(1b) general elementary school","144","0.891048044920686","0.843361677384746","0.938734412456625"
"No","2013","Couple + C. GT 16 ","(1c) basic vocational qualification","403","0.825087492490154","0.791208151001029","0.85896683397928"
"No","2013","Couple + C. GT 16 ","(2b) intermediate general qualification","93","0.861265011423908","0.79607251424061","0.926457508607207"
"No","2013","Couple + C. GT 16 ","(2a) intermediate vocational","402","0.777941915521257","0.742422803531173","0.813461027511341"
"No","2013","Couple + C. GT 16 ","(2c_gen) general maturity certificate","116","0.750455116739232","0.680970022152574","0.819940211325891"
"No","2013","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","139","0.711398169302389","0.646969790564767","0.775826548040011"
"No","2013","Couple + C. GT 16 ","(3a) lower tertiary education","88","0.594157854053937","0.517100288242039","0.671215419865835"
"No","2013","Couple + C. GT 16 ","(3b) higher tertiary education","143","0.571752259647581","0.51029121999416","0.633213299301002"
"No","2013","Couple + C. LE and GT 16","(0) in school","29","","",""
"No","2013","Couple + C. LE and GT 16","(1a) inadequately completed","43","1","1","1"
"No","2013","Couple + C. LE and GT 16","(1b) general elementary school","172","0.923815432986925","0.885689741669705","0.961941124304145"
"No","2013","Couple + C. LE and GT 16","(1c) basic vocational qualification","280","0.89847256869051","0.865636547984244","0.931308589396776"
"No","2013","Couple + C. LE and GT 16","(2b) intermediate general qualification","92","0.849659343611108","0.781620676324364","0.917698010897851"
"No","2013","Couple + C. LE and GT 16","(2a) intermediate vocational","275","0.826980562883908","0.787007818331553","0.866953307436262"
"No","2013","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","82","0.794558030798297","0.716150929107101","0.872965132489493"
"No","2013","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","132","0.734054767647692","0.669146737940711","0.798962797354673"
"No","2013","Couple + C. LE and GT 16","(3a) lower tertiary education","59","0.543774530085931","0.445161512702685","0.642387547469177"
"No","2013","Couple + C. LE and GT 16","(3b) higher tertiary education","111","0.562752029600631","0.490286032115092","0.635218027086169"
"Yes","2014","1-pers.-HH","(0) in school","","","",""
"Yes","2014","1-pers.-HH","(1a) inadequately completed","1","","",""
"Yes","2014","1-pers.-HH","(1b) general elementary school","9","","",""
"Yes","2014","1-pers.-HH","(1c) basic vocational qualification","57","0.222494216918066","0.17193822978318","0.273050204052952"
"Yes","2014","1-pers.-HH","(2b) intermediate general qualification","7","","",""
"Yes","2014","1-pers.-HH","(2a) intermediate vocational","96","0.23720045398919","0.19503831037561","0.279362597602769"
"Yes","2014","1-pers.-HH","(2c_gen) general maturity certificate","22","","",""
"Yes","2014","1-pers.-HH","(2c_voc) vocational maturity certificate","52","0.285295982585666","0.218393843103903","0.352198122067429"
"Yes","2014","1-pers.-HH","(3a) lower tertiary education","60","0.354575864984303","0.280909749424137","0.42824198054447"
"Yes","2014","1-pers.-HH","(3b) higher tertiary education","136","0.472722191078843","0.415162041799715","0.530282340357971"
"Yes","2014","(Married) couple without C. ","(0) in school","","","",""
"Yes","2014","(Married) couple without C. ","(1a) inadequately completed","3","","",""
"Yes","2014","(Married) couple without C. ","(1b) general elementary school","22","","",""
"Yes","2014","(Married) couple without C. ","(1c) basic vocational qualification","122","0.166371244737087","0.138044965785771","0.194697523688403"
"Yes","2014","(Married) couple without C. ","(2b) intermediate general qualification","6","","",""
"Yes","2014","(Married) couple without C. ","(2a) intermediate vocational","251","0.256853359326205","0.228923802230125","0.284782916422286"
"Yes","2014","(Married) couple without C. ","(2c_gen) general maturity certificate","27","","",""
"Yes","2014","(Married) couple without C. ","(2c_voc) vocational maturity certificate","91","0.239168603049558","0.19552592871459","0.282811277384526"
"Yes","2014","(Married) couple without C. ","(3a) lower tertiary education","128","0.434980460200818","0.381165143710007","0.488795776691629"
"Yes","2014","(Married) couple without C. ","(3b) higher tertiary education","287","0.425765697992163","0.38781199159522","0.463719404389106"
"Yes","2014","Single parent ","(0) in school","3","","",""
"Yes","2014","Single parent ","(1a) inadequately completed","5","","",""
"Yes","2014","Single parent ","(1b) general elementary school","15","","",""
"Yes","2014","Single parent ","(1c) basic vocational qualification","46","0.157694129574586","0.113049339493109","0.202338919656063"
