"pgoeffd","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2001","1-pers.-HH","higher vocational","92","0.708048798747491","0.630191528723524","0.785906068771458","2"
"No","2001","1-pers.-HH","higher education","204","0.666755771828011","0.61589817541459","0.717613368241433","2"
"No","2001","(Married) couple without C. ","in school","","","","","2"
"No","2001","(Married) couple without C. ","inadequately","10","","","","2"
"No","2001","(Married) couple without C. ","general elemantary","176","0.859979892106453","0.812126606845033","0.907833177367873","2"
"No","2001","Couple + C. GT 16 ","in school","18","","","","2"
"No","2001","Couple + C. GT 16 ","inadequately","20","","","","2"
"No","2001","Couple + C. GT 16 ","general elemantary","273","0.847706206218306","0.80827713622185","0.887135276214762","2"
"No","2001","Couple + C. GT 16 ","middle vocational","904","0.780158044333199","0.756263884114107","0.804052204552292","2"
"No","2001","Couple + C. GT 16 ","vocational + Abi","69","0.705338813426808","0.611152630980295","0.799524995873321","2"
"No","2001","Couple + C. GT 16 ","higher vocational","103","0.640476640667043","0.565175596950773","0.715777684383313","2"
"No","2001","Couple + C. GT 16 ","higher education","233","0.595215751557334","0.547703548032182","0.642727955082486","2"
"No","2001","Couple + C. LE and GT 16","in school","22","","","","2"
"No","2001","Couple + C. LE and GT 16","inadequately","13","","","","2"
"No","2001","Couple + C. LE and GT 16","general elemantary","184","0.824523795911566","0.773797642826713","0.875249948996419","2"
"No","2001","Couple + C. LE and GT 16","middle vocational","430","0.817045377901751","0.784314287182148","0.849776468621355","2"
"No","2001","Couple + C. LE and GT 16","vocational + Abi","31","0.846671965456214","0.733592391963206","0.959751538949222","2"
"No","2001","Couple + C. LE and GT 16","higher vocational","61","0.609686122812599","0.51210346878863","0.707268776836567","2"
"No","2001","Couple + C. LE and GT 16","higher education","105","0.605502448041262","0.534691133925022","0.676313762157502","2"
"No","2001","Single parent ","in school","8","","","","2"
"No","2001","Single parent ","inadequately","6","","","","2"
"No","2001","Single parent ","general elemantary","87","0.867825816464293","0.801445748613636","0.934205884314951","2"
"No","2001","Single parent ","middle vocational","278","0.809717009350673","0.768055258537449","0.851378760163897","2"
"No","2001","Single parent ","vocational + Abi","22","","","","2"
"No","2001","Single parent ","higher vocational","17","","","","2"
"No","2001","Single parent ","higher education","61","0.659171169032953","0.56435558185834","0.753986756207566","2"
"No","2001","Couple + C. LE 16 ","in school","","","","","2"
"No","2001","Couple + C. LE 16 ","inadequately","21","","","","2"
"No","2001","Couple + C. LE 16 ","general elemantary","167","0.850445635379558","0.800261083510181","0.900630187248934","2"
"No","2001","Couple + C. LE 16 ","middle vocational","1465","0.813163035073585","0.795161420846151","0.831164649301019","2"
"No","2001","Couple + C. LE 16 ","vocational + Abi","171","0.809632293748636","0.756279523619623","0.862985063877649","2"
"No","2001","Couple + C. LE 16 ","higher vocational","277","0.754985337932311","0.711042360750847","0.798928315113774","2"
"No","2001","Couple + C. LE 16 ","higher education","483","0.658724067435002","0.624210990112924","0.693237144757081","2"
"Yes","2001","Single parent ","in school","","","","","1"
"Yes","2001","Single parent ","inadequately","","","","","1"
"Yes","2001","Single parent ","general elemantary","13","","","","1"
"Yes","2001","Single parent ","middle vocational","63","0.190282990649327","0.148621239836103","0.231944741462551","1"
"Yes","2001","Single parent ","vocational + Abi","5","","","","1"
"Yes","2001","Single parent ","higher vocational","23","","","","1"
"Yes","2001","Single parent ","higher education","35","0.340828830967047","0.246013243792434","0.43564441814166","1"
"Yes","2001","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2001","Couple + C. LE 16 ","inadequately","3","","","","1"
"Yes","2001","Couple + C. LE 16 ","general elemantary","27","","","","1"
"Yes","2001","Couple + C. LE 16 ","middle vocational","336","0.186836964926415","0.168835350698981","0.204838579153849","1"
"Yes","2001","Couple + C. LE 16 ","vocational + Abi","37","0.190367706251364","0.137014936122351","0.243720476380378","1"
"Yes","2001","Couple + C. LE 16 ","higher vocational","91","0.245014662067689","0.201071684886226","0.288957639249153","1"
"Yes","2001","Couple + C. LE 16 ","higher education","242","0.341275932564998","0.306762855242919","0.375789009887076","1"
"Yes","2001","1-pers.-HH","in school","","","","","1"
"Yes","2001","1-pers.-HH","inadequately","1","","","","1"
"Yes","2001","1-pers.-HH","general elemantary","16","","","","1"
"Yes","2001","1-pers.-HH","middle vocational","152","0.196711048519573","0.16797317063811","0.225448926401035","1"
"Yes","2001","1-pers.-HH","vocational + Abi","18","","","","1"
"Yes","2001","1-pers.-HH","higher vocational","39","0.291951201252509","0.214093931228542","0.369808471276476","1"
"Yes","2001","1-pers.-HH","higher education","126","0.333244228171989","0.282386631758567","0.38410182458541","1"
"Yes","2001","(Married) couple without C. ","in school","","","","","1"
"Yes","2001","(Married) couple without C. ","inadequately","3","","","","1"
"Yes","2001","Couple + C. GT 16 ","vocational + Abi","21","","","","1"
"Yes","2001","Couple + C. GT 16 ","higher vocational","53","0.359523359332957","0.284222315616687","0.434824403049227","1"
"Yes","2001","Couple + C. GT 16 ","higher education","177","0.404784248442666","0.357272044917514","0.452296451967818","1"
"Yes","2001","Couple + C. LE and GT 16","in school","1","","","","1"
"Yes","2001","Couple + C. LE and GT 16","inadequately","2","","","","1"
"Yes","2001","Couple + C. LE and GT 16","general elemantary","32","0.175476204088434","0.124750051003581","0.226202357173287","1"
"Yes","2001","Couple + C. LE and GT 16","middle vocational","106","0.182954622098249","0.150223531378645","0.215685712817852","1"
"Yes","2001","Couple + C. LE and GT 16","vocational + Abi","8","","","","1"
"Yes","2001","Couple + C. LE and GT 16","higher vocational","35","0.390313877187401","0.292731223163433","0.48789653121137","1"
"Yes","2001","Couple + C. LE and GT 16","higher education","78","0.394497551958738","0.323686237842498","0.465308866074978","1"
"Yes","2001","(Married) couple without C. ","general elemantary","26","","","","1"
"Yes","2001","(Married) couple without C. ","middle vocational","340","0.209859232855349","0.189481696034794","0.230236769675903","1"
"Yes","2001","(Married) couple without C. ","vocational + Abi","36","0.187789068235715","0.131511957121182","0.244066179350248","1"
"Yes","2001","(Married) couple without C. ","higher vocational","88","0.313587023263137","0.257301122415671","0.369872924110602","1"
"Yes","2001","(Married) couple without C. ","higher education","267","0.369904221268376","0.333537706201703","0.406270736335049","1"
"Yes","2001","Couple + C. GT 16 ","in school","1","","","","1"
"Yes","2001","Couple + C. GT 16 ","inadequately","7","","","","1"
"Yes","2001","Couple + C. GT 16 ","general elemantary","46","0.152293793781694","0.112864723785238","0.19172286377815","1"
"Yes","2001","Couple + C. GT 16 ","middle vocational","250","0.219841955666801","0.195947795447708","0.243736115885893","1"
"No","2002","(Married) couple without C. ","middle vocational","1305","0.778248874522181","0.758384009558871","0.79811373948549","2"
"No","2002","(Married) couple without C. ","vocational + Abi","182","0.796283845381995","0.744004835367949","0.848562855396041","2"
"No","2002","(Married) couple without C. ","higher vocational","205","0.664204698155351","0.610312566457005","0.718096829853697","2"
"No","2002","(Married) couple without C. ","higher education","602","0.629107525367433","0.599707672040852","0.658507378694014","2"
"No","2002","Couple + C. GT 16 ","in school","22","","","","2"
"No","2002","Couple + C. GT 16 ","inadequately","17","","","","2"
"No","2002","Couple + C. GT 16 ","general elemantary","287","0.886903975058532","0.852887606734381","0.920920343382683","2"
"No","2002","Couple + C. GT 16 ","middle vocational","989","0.778752537854646","0.755896619818728","0.801608455890563","2"
"No","2002","Couple + C. GT 16 ","vocational + Abi","95","0.898652810300592","0.841470983492989","0.955834637108194","2"
"No","2002","1-pers.-HH","in school","","","","","2"
"No","2002","1-pers.-HH","inadequately","6","","","","2"
"No","2002","1-pers.-HH","general elemantary","79","0.895777509196325","0.831200241390824","0.960354777001827","2"
"No","2002","1-pers.-HH","middle vocational","549","0.795916683501242","0.766124112416626","0.825709254585858","2"
"No","2002","1-pers.-HH","vocational + Abi","93","0.804423284128663","0.732242767297001","0.876603800960325","2"
"No","2002","1-pers.-HH","higher vocational","93","0.7049085835846","0.626807487091773","0.783009680077426","2"
"No","2002","1-pers.-HH","higher education","233","0.660244667126456","0.611854204531259","0.708635129721654","2"
"No","2002","(Married) couple without C. ","in school","2","","","","2"
"No","2002","(Married) couple without C. ","inadequately","17","","","","2"
"No","2002","(Married) couple without C. ","general elemantary","168","0.817872900865882","0.764911044176784","0.870834757554981","2"
"No","2002","Couple + C. GT 16 ","higher vocational","137","0.696581600118634","0.630864843289437","0.762298356947831","2"
"No","2002","Couple + C. GT 16 ","higher education","331","0.618287306055463","0.578716738839112","0.657857873271814","2"
"No","2002","Couple + C. LE and GT 16","in school","26","","","","2"
"No","2002","Couple + C. LE and GT 16","inadequately","9","","","","2"
"No","2002","Couple + C. LE and GT 16","general elemantary","178","0.820472108024738","0.768930713372068","0.872013502677408","2"
"No","2002","Couple + C. LE and GT 16","middle vocational","430","0.790054305540295","0.756292618058194","0.823815993022395","2"
"No","2002","Couple + C. LE and GT 16","vocational + Abi","47","0.92448669514314","0.853353514567008","0.995619875719271","2"
"No","2002","Couple + C. LE and GT 16","higher vocational","79","0.743205432441628","0.663011221398944","0.823399643484312","2"
"No","2002","Couple + C. LE and GT 16","higher education","167","0.663397137036534","0.607848757740117","0.718945516332951","2"
"No","2002","Single parent ","in school","8","","","","2"
"No","2002","Single parent ","inadequately","6","","","","2"
"No","2002","Single parent ","general elemantary","109","0.869582203301049","0.809578347763708","0.92958605883839","2"
"No","2002","Single parent ","middle vocational","288","0.790338113546432","0.748634493431894","0.83204173366097","2"
"No","2002","Single parent ","vocational + Abi","22","","","","2"
"No","2002","Single parent ","higher vocational","28","","","","2"
"No","2002","Single parent ","higher education","53","0.546356750699071","0.451582460307627","0.641131041090515","2"
"No","2002","Couple + C. LE 16 ","in school","","","","","2"
"No","2002","Couple + C. LE 16 ","inadequately","18","","","","2"
"No","2002","Couple + C. LE 16 ","general elemantary","156","0.837619715931091","0.783288233878199","0.891951197983983","2"
"No","2002","Couple + C. LE 16 ","middle vocational","1430","0.80738595494491","0.789009203316695","0.825762706573126","2"
"No","2002","Couple + C. LE 16 ","vocational + Abi","185","0.790442340051119","0.737844120843277","0.843040559258962","2"
"No","2002","Couple + C. LE 16 ","higher vocational","311","0.785253431965796","0.745111053423852","0.825395810507739","2"
"No","2002","Couple + C. LE 16 ","higher education","632","0.668581492642831","0.638912663488841","0.698250321796822","2"
"Yes","2002","Single parent ","in school","1","","","","1"
"Yes","2002","Single parent ","inadequately","1","","","","1"
"Yes","2002","Single parent ","general elemantary","12","","","","1"
"Yes","2002","Single parent ","middle vocational","78","0.209661886453568","0.16795826633903","0.251365506568106","1"
"Yes","2002","Single parent ","vocational + Abi","9","","","","1"
"Yes","2002","Single parent ","higher vocational","18","","","","1"
"Yes","2002","Single parent ","higher education","53","0.453643249300929","0.358868958909485","0.548417539692373","1"
"Yes","2002","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2002","Couple + C. LE 16 ","inadequately","1","","","","1"
"Yes","2002","Couple + C. LE 16 ","general elemantary","21","","","","1"
"Yes","2002","Couple + C. LE 16 ","middle vocational","339","0.192614045055089","0.174237293426874","0.210990796683305","1"
"Yes","2002","Couple + C. LE 16 ","vocational + Abi","45","0.209557659948881","0.156959440741038","0.262155879156724","1"
"Yes","2002","Couple + C. LE 16 ","higher vocational","91","0.214746568034205","0.174604189492261","0.254888946576148","1"
"Yes","2002","Couple + C. LE 16 ","higher education","335","0.331418507357169","0.301749678203178","0.361087336511159","1"
"Yes","2002","1-pers.-HH","in school","","","","","1"
"Yes","2002","1-pers.-HH","inadequately","1","","","","1"
"Yes","2002","1-pers.-HH","general elemantary","7","","","","1"
"Yes","2002","1-pers.-HH","middle vocational","154","0.204083316498758","0.174290745414142","0.233875887583374","1"
"Yes","2002","1-pers.-HH","vocational + Abi","23","","","","1"
"Yes","2002","1-pers.-HH","higher vocational","38","0.2950914164154","0.216990319922574","0.373192512908227","1"
"Yes","2002","1-pers.-HH","higher education","135","0.339755332873544","0.291364870278346","0.388145795468741","1"
"Yes","2002","(Married) couple without C. ","in school","1","","","","1"
"Yes","2002","(Married) couple without C. ","inadequately","3","","","","1"
"Yes","2002","(Married) couple without C. ","general elemantary","36","0.182127099134118","0.129165242445019","0.235088955823216","1"
"Yes","2002","(Married) couple without C. ","middle vocational","375","0.221751125477819","0.20188626051451","0.241615990441129","1"
"Yes","2002","(Married) couple without C. ","vocational + Abi","46","0.203716154618005","0.151437144603959","0.255995164632051","1"
"Yes","2002","(Married) couple without C. ","higher vocational","90","0.335795301844649","0.281903170146303","0.389687433542995","1"
"Yes","2002","(Married) couple without C. ","higher education","435","0.370892474632567","0.341492621305986","0.400292327959148","1"
"Yes","2002","Couple + C. GT 16 ","vocational + Abi","12","","","","1"
"Yes","2002","Couple + C. GT 16 ","higher vocational","51","0.303418399881366","0.237701643052169","0.369135156710563","1"
"Yes","2002","Couple + C. GT 16 ","higher education","248","0.381712693944537","0.342142126728186","0.421283261160888","1"
"Yes","2002","Couple + C. LE and GT 16","in school","4","","","","1"
"Yes","2002","Couple + C. LE and GT 16","inadequately","3","","","","1"
"Yes","2002","Couple + C. LE and GT 16","general elemantary","35","0.179527891975262","0.127986497322592","0.231069286627932","1"
"Yes","2002","Couple + C. LE and GT 16","middle vocational","129","0.209945694459705","0.176184006977605","0.243707381941805","1"
"Yes","2002","Couple + C. LE and GT 16","vocational + Abi","6","","","","1"
"Yes","2002","Couple + C. LE and GT 16","higher vocational","35","0.256794567558372","0.176600356515688","0.336988778601056","1"
"Yes","2002","Couple + C. LE and GT 16","higher education","111","0.336602862963466","0.281054483667049","0.392151242259883","1"
"Yes","2002","Couple + C. GT 16 ","in school","1","","","","1"
"Yes","2002","Couple + C. GT 16 ","inadequately","7","","","","1"
"Yes","2002","Couple + C. GT 16 ","general elemantary","46","0.113096024941468","0.0790796566173169","0.147112393265619","1"
"Yes","2002","Couple + C. GT 16 ","middle vocational","278","0.221247462145354","0.198391544109437","0.244103380181271","1"
"No","2003","1-pers.-HH","in school","1","","","","2"
"No","2003","1-pers.-HH","inadequately","5","","","","2"
"No","2003","1-pers.-HH","general elemantary","70","0.892660925041349","0.823966265401719","0.961355584680979","2"
"No","2003","1-pers.-HH","middle vocational","500","0.766613247281873","0.734045565295761","0.799180929267985","2"
"No","2003","1-pers.-HH","vocational + Abi","75","0.784466300397065","0.703874134291626","0.865058466502504","2"
"No","2003","1-pers.-HH","higher vocational","78","0.694838026871099","0.61067794153443","0.778998112207768","2"
"No","2003","1-pers.-HH","higher education","219","0.666179117419849","0.616915191645896","0.715443043193803","2"
"No","2003","(Married) couple without C. ","in school","","","","","2"
"No","2003","(Married) couple without C. ","inadequately","13","","","","2"
"No","2003","(Married) couple without C. ","general elemantary","126","0.76942795586551","0.704366697515132","0.834489214215889","2"
"No","2003","(Married) couple without C. ","middle vocational","1160","0.75955715291409","0.737901641016596","0.781212664811584","2"
"No","2003","(Married) couple without C. ","vocational + Abi","167","0.752796456647597","0.694030062019006","0.811562851276188","2"
"No","2003","(Married) couple without C. ","higher vocational","188","0.661392117281029","0.605460190114121","0.717324044447938","2"
"No","2003","(Married) couple without C. ","higher education","536","0.627998216794629","0.597017318807705","0.658979114781553","2"
"No","2003","Couple + C. GT 16 ","in school","14","","","","2"
"No","2003","Couple + C. GT 16 ","inadequately","14","","","","2"
"No","2003","Couple + C. GT 16 ","general elemantary","245","0.869350221749691","0.83001557448647","0.908684869012912","2"
"No","2003","Couple + C. GT 16 ","middle vocational","896","0.785984921006876","0.76240326385298","0.809566578160773","2"
"No","2003","Couple + C. GT 16 ","vocational + Abi","94","0.854166555176753","0.788210967080801","0.920122143272705","2"
"No","2003","Couple + C. GT 16 ","higher vocational","125","0.656429401076633","0.586467199711276","0.72639160244199","2"
"No","2003","Couple + C. GT 16 ","higher education","312","0.650559743362549","0.609890959059596","0.691228527665503","2"
"No","2003","Couple + C. LE and GT 16","in school","13","","","","2"
"No","2003","Couple + C. LE and GT 16","inadequately","12","","","","2"
"No","2003","Couple + C. LE and GT 16","general elemantary","141","0.815096729901176","0.756216875581311","0.87397658422104","2"
"No","2003","Couple + C. LE and GT 16","middle vocational","396","0.788059864268929","0.75289972222394","0.823220006313918","2"
"No","2003","Couple + C. LE and GT 16","vocational + Abi","41","0.840557331494529","0.736992233669213","0.944122429319846","2"
"No","2003","Couple + C. LE and GT 16","higher vocational","66","0.752582776747258","0.665350689134962","0.839814864359554","2"
"No","2003","Couple + C. LE and GT 16","higher education","146","0.699525014472247","0.64127910933946","0.757770919605034","2"
"No","2003","Single parent ","in school","6","","","","2"
"No","2003","Single parent ","inadequately","5","","","","2"
"No","2003","Single parent ","general elemantary","85","0.839808555380887","0.768277075444564","0.91134003531721","2"
"No","2003","Single parent ","middle vocational","261","0.813753753667161","0.771363515888078","0.856143991446245","2"
"No","2003","Single parent ","vocational + Abi","20","","","","2"
"No","2003","Single parent ","higher vocational","21","","","","2"
"No","2003","Single parent ","higher education","46","0.563988831732784","0.463205044160642","0.664772619304927","2"
"No","2003","Couple + C. LE 16 ","in school","","","","","2"
"No","2003","Couple + C. LE 16 ","inadequately","13","","","","2"
"No","2003","Couple + C. LE 16 ","general elemantary","142","0.777328357474237","0.714229053682699","0.840427661265776","2"
"No","2003","Couple + C. LE 16 ","middle vocational","1181","0.788353491997036","0.767591995316231","0.809114988677841","2"
"No","2003","Couple + C. LE 16 ","vocational + Abi","177","0.77546842536662","0.720578533587235","0.830358317146005","2"
"No","2003","Couple + C. LE 16 ","higher vocational","261","0.772921283920153","0.728904904428916","0.81693766341139","2"
"No","2003","Couple + C. LE 16 ","higher education","557","0.674312350044558","0.642621079559696","0.706003620529419","2"
"Yes","2003","Single parent ","in school","","","","","1"
"Yes","2003","Single parent ","inadequately","1","","","","1"
"Yes","2003","Single parent ","general elemantary","16","","","","1"
"Yes","2003","Single parent ","middle vocational","63","0.186246246332839","0.143856008553755","0.228636484111922","1"
"Yes","2003","Single parent ","vocational + Abi","8","","","","1"
"Yes","2003","Single parent ","higher vocational","14","","","","1"
"Yes","2003","Single parent ","higher education","47","0.436011168267216","0.335227380695073","0.536794955839358","1"
"Yes","2003","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2003","Couple + C. LE 16 ","inadequately","","","","","1"
"Yes","2003","Couple + C. LE 16 ","general elemantary","25","","","","1"
"Yes","2003","Couple + C. LE 16 ","middle vocational","306","0.211646508002964","0.190885011322159","0.232408004683768","1"
"Yes","2003","Couple + C. LE 16 ","vocational + Abi","45","0.22453157463338","0.169641682853995","0.279421466412765","1"
"Yes","2003","Couple + C. LE 16 ","higher vocational","87","0.227078716079847","0.18306233658861","0.271095095571084","1"
"Yes","2003","Couple + C. LE 16 ","higher education","283","0.325687649955442","0.293996379470581","0.357378920440304","1"
"Yes","2003","1-pers.-HH","in school","","","","","1"
"Yes","2003","1-pers.-HH","inadequately","1","","","","1"
"Yes","2003","1-pers.-HH","general elemantary","8","","","","1"
"Yes","2003","1-pers.-HH","middle vocational","148","0.233386752718127","0.200819070732015","0.265954434704239","1"
"Yes","2003","1-pers.-HH","vocational + Abi","25","","","","1"
"Yes","2003","1-pers.-HH","higher vocational","37","0.305161973128901","0.221001887792232","0.38932205846557","1"
"Yes","2003","1-pers.-HH","higher education","133","0.333820882580151","0.284556956806197","0.383084808354104","1"
"Yes","2003","(Married) couple without C. ","in school","","","","","1"
"Yes","2003","(Married) couple without C. ","inadequately","3","","","","1"
"Yes","2003","(Married) couple without C. ","general elemantary","35","0.23057204413449","0.165510785784111","0.295633302484868","1"
"Yes","2003","(Married) couple without C. ","middle vocational","336","0.24044284708591","0.218787335188416","0.262098358983404","1"
"Yes","2003","(Married) couple without C. ","vocational + Abi","40","0.247203543352403","0.188437148723812","0.305969937980994","1"
"Yes","2003","(Married) couple without C. ","higher vocational","87","0.338607882718971","0.282675955552062","0.394539809885879","1"
"Yes","2003","(Married) couple without C. ","higher education","399","0.372001783205371","0.341020885218447","0.402982681192295","1"
"Yes","2003","Couple + C. GT 16 ","vocational + Abi","16","","","","1"
"Yes","2003","Couple + C. GT 16 ","higher vocational","52","0.343570598923367","0.27360839755801","0.413532800288724","1"
"Yes","2003","Couple + C. GT 16 ","higher education","216","0.349440256637451","0.308771472334497","0.390109040940404","1"
"Yes","2003","Couple + C. LE and GT 16","in school","2","","","","1"
"Yes","2003","Couple + C. LE and GT 16","inadequately","1","","","","1"
"Yes","2003","Couple + C. GT 16 ","in school","1","","","","1"
"Yes","2003","Couple + C. GT 16 ","inadequately","6","","","","1"
"Yes","2003","Couple + C. GT 16 ","general elemantary","37","0.130649778250309","0.091315130987088","0.16998442551353","1"
"Yes","2003","Couple + C. GT 16 ","middle vocational","266","0.214015078993124","0.190433421839227","0.23759673614702","1"
"Yes","2003","Couple + C. LE and GT 16","general elemantary","26","","","","1"
"Yes","2003","Couple + C. LE and GT 16","middle vocational","123","0.211940135731071","0.176779993686082","0.24710027777606","1"
"Yes","2003","Couple + C. LE and GT 16","vocational + Abi","7","","","","1"
"Yes","2003","Couple + C. LE and GT 16","higher vocational","28","","","","1"
"Yes","2003","Couple + C. LE and GT 16","higher education","92","0.300474985527753","0.242229080394966","0.35872089066054","1"
"No","2004","1-pers.-HH","in school","1","","","","2"
"No","2004","1-pers.-HH","inadequately","3","","","","2"
"No","2004","1-pers.-HH","general elemantary","68","0.831912395152154","0.749452802068092","0.914371988236215","2"
"No","2004","1-pers.-HH","middle vocational","514","0.761121691653481","0.728664814337901","0.79357856896906","2"
"No","2004","1-pers.-HH","vocational + Abi","75","0.751865016311899","0.667208181058786","0.836521851565012","2"
"No","2004","1-pers.-HH","higher vocational","71","0.645308133614784","0.554658639140459","0.735957628089109","2"
"No","2004","1-pers.-HH","higher education","222","0.64393027812143","0.594603726920952","0.693256829321908","2"
"No","2004","(Married) couple without C. ","in school","","","","","2"
"No","2004","(Married) couple without C. ","inadequately","10","","","","2"
"No","2004","(Married) couple without C. ","general elemantary","140","0.818925719744309","0.761543720051946","0.876307719436672","2"
"No","2004","(Married) couple without C. ","middle vocational","1257","0.769868967231963","0.74931496870749","0.790422965756436","2"
"No","2004","(Married) couple without C. ","vocational + Abi","183","0.789241759108888","0.735225644252354","0.843257873965423","2"
"No","2004","(Married) couple without C. ","higher vocational","209","0.698475726947873","0.64547416774869","0.751477286147056","2"
"No","2004","(Married) couple without C. ","higher education","587","0.637907155031258","0.607999596371409","0.667814713691108","2"
"No","2004","Couple + C. GT 16 ","in school","20","","","","2"
"No","2004","Couple + C. GT 16 ","inadequately","14","","","","2"
"No","2004","Couple + C. GT 16 ","general elemantary","235","0.827231219560988","0.782711307437632","0.871751131684344","2"
"No","2004","Couple + C. GT 16 ","middle vocational","957","0.814576338326602","0.792651170425934","0.836501506227269","2"
"No","2004","Couple + C. GT 16 ","vocational + Abi","105","0.750838300525786","0.677876581449378","0.823800019602194","2"
"No","2004","Couple + C. GT 16 ","higher vocational","132","0.658206501913852","0.590225075916238","0.726187927911467","2"
"No","2004","Couple + C. GT 16 ","higher education","314","0.615757474958732","0.575684882875588","0.655830067041876","2"
"No","2004","Couple + C. LE and GT 16","in school","13","","","","2"
"No","2004","Couple + C. LE and GT 16","inadequately","11","","","","2"
"No","2004","Couple + C. LE and GT 16","general elemantary","132","0.821135573870307","0.761378548876849","0.880892598863766","2"
"No","2004","Couple + C. LE and GT 16","middle vocational","390","0.830985302942022","0.798136314836439","0.863834291047605","2"
"No","2004","Couple + C. LE and GT 16","vocational + Abi","35","0.759593178597056","0.631867627738988","0.887318729455124","2"
"No","2004","Couple + C. LE and GT 16","higher vocational","70","0.795211137186984","0.714903542578987","0.875518731794982","2"
"No","2004","Couple + C. LE and GT 16","higher education","161","0.687184716874621","0.630054146749532","0.744315286999709","2"
"No","2004","Single parent ","in school","9","","","","2"
"No","2004","Single parent ","inadequately","6","","","","2"
"No","2004","Single parent ","general elemantary","98","0.888764541537953","0.830533566249941","0.946995516825964","2"
"No","2004","Single parent ","middle vocational","267","0.817056346432517","0.774893346106775","0.85921934675826","2"
"No","2004","Single parent ","vocational + Abi","23","","","","2"
"No","2004","Single parent ","higher vocational","28","","","","2"
"No","2004","Single parent ","higher education","42","0.486010993901658","0.382752259469179","0.589269728334137","2"
"No","2004","Couple + C. LE 16 ","in school","","","","","2"
"No","2004","Couple + C. LE 16 ","inadequately","11","","","","2"
"No","2004","Couple + C. LE 16 ","general elemantary","155","0.844750815732538","0.790942123106257","0.898559508358818","2"
"No","2004","Couple + C. LE 16 ","middle vocational","1184","0.808192110285207","0.787989337386624","0.828394883183791","2"
"No","2004","Couple + C. LE 16 ","vocational + Abi","198","0.831732123590982","0.784983063668264","0.878481183513699","2"
"No","2004","Couple + C. LE 16 ","higher vocational","259","0.742234010379101","0.696604693077708","0.787863327680495","2"
"No","2004","Couple + C. LE 16 ","higher education","520","0.663912523793012","0.631035454830149","0.696789592755875","2"
"Yes","2004","Single parent ","in school","1","","","","1"
"Yes","2004","Single parent ","inadequately","","","","","1"
"Yes","2004","Single parent ","general elemantary","14","","","","1"
"Yes","2004","Single parent ","middle vocational","56","0.182943653567483","0.14078065324174","0.225106653893225","1"
"Yes","2004","Single parent ","vocational + Abi","9","","","","1"
"Yes","2004","Single parent ","higher vocational","15","","","","1"
"Yes","2004","Single parent ","higher education","48","0.513989006098342","0.410730271665863","0.617247740530821","1"
"Yes","2004","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2004","Couple + C. LE 16 ","inadequately","","","","","1"
"Yes","2004","Couple + C. LE 16 ","general elemantary","19","","","","1"
"Yes","2004","Couple + C. LE 16 ","middle vocational","275","0.191807889714793","0.171605116816209","0.212010662613376","1"
"Yes","2004","Couple + C. LE 16 ","vocational + Abi","48","0.168267876409018","0.121518816486301","0.215016936331736","1"
"Yes","2004","Couple + C. LE 16 ","higher vocational","94","0.257765989620899","0.212136672319505","0.303395306922292","1"
"Yes","2004","Couple + C. LE 16 ","higher education","273","0.336087476206988","0.303210407244125","0.368964545169851","1"
"Yes","2004","1-pers.-HH","in school","","","","","1"
"Yes","2004","1-pers.-HH","inadequately","1","","","","1"
"Yes","2004","1-pers.-HH","general elemantary","11","","","","1"
"Yes","2004","1-pers.-HH","middle vocational","149","0.238878308346519","0.206421431030939","0.271335185662099","1"
"Yes","2004","1-pers.-HH","vocational + Abi","25","","","","1"
"Yes","2004","1-pers.-HH","higher vocational","36","0.354691866385216","0.264042371910891","0.445341360859541","1"
"Yes","2004","1-pers.-HH","higher education","140","0.35606972187857","0.306743170678092","0.405396273079048","1"
"Yes","2004","(Married) couple without C. ","in school","","","","","1"
"Yes","2004","(Married) couple without C. ","inadequately","4","","","","1"
"Yes","2004","(Married) couple without C. ","general elemantary","33","0.181074280255691","0.123692280563328","0.238456279948054","1"
"Yes","2004","(Married) couple without C. ","middle vocational","354","0.230131032768037","0.209577034243564","0.25068503129251","1"
"Yes","2004","(Married) couple without C. ","vocational + Abi","36","0.210758240891112","0.156742126034577","0.264774355747646","1"
"Yes","2004","(Married) couple without C. ","higher vocational","79","0.301524273052127","0.248522713852944","0.35452583225131","1"
"Yes","2004","(Married) couple without C. ","higher education","405","0.362092844968742","0.332185286308892","0.392000403628591","1"
"Yes","2004","Couple + C. GT 16 ","vocational + Abi","30","0.249161699474214","0.176199980397806","0.322123418550622","1"
"Yes","2004","Couple + C. GT 16 ","higher vocational","55","0.341793498086148","0.273812072088533","0.409774924083762","1"
"Yes","2004","Couple + C. GT 16 ","higher education","252","0.384242525041268","0.344169932958124","0.424315117124412","1"
"Yes","2004","Couple + C. LE and GT 16","in school","2","","","","1"
"Yes","2004","Couple + C. GT 16 ","in school","","","","","1"
"Yes","2004","Couple + C. GT 16 ","inadequately","6","","","","1"
"Yes","2004","Couple + C. GT 16 ","general elemantary","42","0.172768780439012","0.128248868315656","0.217288692562368","1"
