"pgoeffd","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","1993","35-65 y.","secondary school degree","399","0.335786045949446","0.308359472716216","0.363212619182677"
"Yes","1993","35-65 y.","college entrance qualification","307","0.441369558087568","0.404479702222572","0.478259413952563"
"Yes","1993","35-65 y.","Other degree","58","0.135883944374394","0.106375023975485","0.165392864773302"
"Yes","1993","35-65 y.","no degree/no degree yet","36","0.177969075818337","0.131743048969344","0.22419510266733"
"Yes","1993","66 and older","lower secondary degree","1","","",""
"Yes","1993","66 and older","secondary school degree","1","","",""
"Yes","1993","66 and older","college entrance qualification","1","","",""
"Yes","1993","66 and older","Other degree","","","",""
"Yes","1993","66 and older","no degree/no degree yet","","","",""
"No","1993","16-34 y.","lower secondary degree","918","0.858021283215393","0.837049375851473","0.878993190579313"
"No","1993","16-34 y.","secondary school degree","966","0.710420700845527","0.686653349075785","0.734188052615269"
"No","1993","16-34 y.","college entrance qualification","325","0.635498091532764","0.593971119172754","0.677025063892773"
"No","1993","16-34 y.","Other degree","127","0.928050926110609","0.884622194528908","0.971479657692309"
"No","1993","16-34 y.","no degree/no degree yet","59","0.736801976590746","0.634369984362868","0.839233968818624"
"No","1993","35-65 y.","lower secondary degree","1428","0.769973306078584","0.750837260819015","0.789109351338154"
"No","1993","35-65 y.","secondary school degree","740","0.664213954050554","0.636787380817323","0.691640527283784"
"No","1993","35-65 y.","college entrance qualification","389","0.558630441912432","0.521740586047437","0.595520297777428"
"No","1993","35-65 y.","Other degree","460","0.864116055625606","0.834607135226698","0.893624976024515"
"No","1993","35-65 y.","no degree/no degree yet","227","0.822030924181663","0.77580489733267","0.868256951030656"
"No","1993","66 and older","lower secondary degree","11","","",""
"No","1993","66 and older","secondary school degree","4","","",""
"No","1993","66 and older","college entrance qualification","8","","",""
"No","1993","66 and older","Other degree","1","","",""
"No","1993","66 and older","no degree/no degree yet","","","",""
"Yes","1994","16-34 y.","lower secondary degree","118","0.141402831334636","0.118838413510241","0.163967249159032"
"Yes","1994","16-34 y.","secondary school degree","379","0.289417772764651","0.264545102564073","0.314290442965228"
"Yes","1994","16-34 y.","college entrance qualification","198","0.371960142539002","0.331344769440072","0.412575515637932"
"Yes","1994","16-34 y.","Other degree","10","","",""
"Yes","1994","16-34 y.","no degree/no degree yet","7","","",""
"Yes","1994","35-65 y.","lower secondary degree","398","0.226621842570478","0.206848579169631","0.246395105971326"
"Yes","1994","35-65 y.","secondary school degree","408","0.347116871009465","0.319566847972148","0.374666894046782"
"Yes","1994","35-65 y.","college entrance qualification","304","0.433866557682005","0.396967186366566","0.470765928997444"
"Yes","1994","35-65 y.","Other degree","51","0.133924407070716","0.102527516475069","0.165321297666364"
"Yes","1994","35-65 y.","no degree/no degree yet","35","0.167259192697439","0.118922128274003","0.215596257120875"
"Yes","1994","66 and older","lower secondary degree","","","",""
"Yes","1994","66 and older","secondary school degree","","","",""
"Yes","1994","66 and older","college entrance qualification","1","","",""
"Yes","1994","66 and older","Other degree","","","",""
