"pgoeffd","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2016","college entrance qualification","Female","967","0.407959012607821","0.388255970128748","0.427662055086895"
"Yes","2016","college entrance qualification","Male","653","0.311284589542139","0.291270527269633","0.331298651814644"
"Yes","2016","lower secondary degree","Female","214","0.218573334803808","0.19367054746788","0.243476122139735"
"Yes","2016","lower secondary degree","Male","190","0.133678302159408","0.115990724926056","0.15136587939276"
"Yes","2016","no degree/no degree yet","Female","12","","",""
"Yes","2016","no degree/no degree yet","Male","20","","",""
"Yes","2016","Other degree","Female","214","0.196550582715626","0.172479745931347","0.220621419499904"
"Yes","2016","Other degree","Male","126","0.121616537793014","0.103533781834305","0.139699293751723"
"Yes","2016","secondary school degree","Female","673","0.277417066839748","0.259806628387397","0.2950275052921"
"Yes","2016","secondary school degree","Male","323","0.181291030293473","0.16330750344301","0.199274557143937"
"No","2017","college entrance qualification","Female","1664","0.590919097141972","0.572750063016063","0.609088131267881"
"No","2017","college entrance qualification","Male","1689","0.684279864365544","0.665904956404154","0.702654772326934"
"No","2017","lower secondary degree","Female","927","0.804875124275037","0.781980632802428","0.827769615747647"
"No","2017","lower secondary degree","Male","1362","0.864446874384258","0.84755730745609","0.881336441312427"
"No","2017","no degree/no degree yet","Female","142","0.840471266386763","0.784600193258694","0.896342339514831"
"No","2017","no degree/no degree yet","Male","317","0.922824653686263","0.894499662120817","0.951149645251709"
"No","2017","Other degree","Female","825","0.782867732692959","0.75749101234444","0.808244453041477"
"No","2017","Other degree","Male","1292","0.891467954596157","0.875272429702632","0.907663479489681"
"No","2017","secondary school degree","Female","2062","0.717512940438648","0.701044759015111","0.733981121862186"
"No","2017","secondary school degree","Male","1708","0.826206114290714","0.809941022806334","0.842471205775095"
"Yes","2017","college entrance qualification","Female","1149","0.409080902858028","0.390911868732119","0.427249936983937"
"Yes","2017","college entrance qualification","Male","769","0.315720135634456","0.297345227673066","0.334095043595846"
"Yes","2017","lower secondary degree","Female","224","0.195124875724963","0.172230384252353","0.218019367197572"
"Yes","2017","lower secondary degree","Male","216","0.135553125615742","0.118663558687573","0.15244269254391"
"Yes","2017","no degree/no degree yet","Female","23","","",""
"Yes","2017","no degree/no degree yet","Male","24","","",""
"Yes","2017","Other degree","Female","189","0.217132267307041","0.191755546958523","0.24250898765556"
"Yes","2017","Other degree","Male","125","0.108532045403843","0.0923365205103189","0.124727570297368"
"Yes","2017","secondary school degree","Female","809","0.282487059561352","0.266018878137814","0.29895524098489"
"Yes","2017","secondary school degree","Male","377","0.173793885709286","0.157528794224905","0.190058977193666"
"No","2018","college entrance qualification","Female","1573","0.595854422642637","0.577131769362229","0.614577075923044"
"No","2018","college entrance qualification","Male","1564","0.679864269755133","0.66082709587531","0.698901443634956"
"No","2018","lower secondary degree","Female","826","0.769339460488875","0.743823001464663","0.794855919513088"
"No","2018","lower secondary degree","Male","1204","0.850216432933263","0.831442719265125","0.868990146601401"
"No","2018","no degree/no degree yet","Female","142","0.909280980010485","0.864355110306577","0.954206849714392"
"No","2018","no degree/no degree yet","Male","354","0.919931877336566","0.892572270755546","0.947291483917585"
"No","2018","Other degree","Female","788","0.75520890256782","0.728613130963398","0.781804674172242"
"No","2018","Other degree","Male","1287","0.864868508790503","0.847168302721774","0.882568714859232"
"No","2018","secondary school degree","Female","1926","0.724659612550497","0.707694197217889","0.741625027883105"
"No","2018","secondary school degree","Male","1578","0.823424029186645","0.806412356969915","0.840435701403375"
"Yes","2018","college entrance qualification","Female","1066","0.404145577357363","0.385422924076956","0.422868230637771"
"Yes","2018","college entrance qualification","Male","743","0.320135730244867","0.301098556365044","0.33917290412469"
"Yes","2018","lower secondary degree","Female","221","0.230660539511125","0.205144080486912","0.256176998535337"
"Yes","2018","lower secondary degree","Male","184","0.149783567066737","0.131009853398599","0.168557280734875"
"Yes","2018","no degree/no degree yet","Female","15","","",""
"Yes","2018","no degree/no degree yet","Male","24","","",""
"Yes","2018","Other degree","Female","216","0.24479109743218","0.218195325827758","0.271386869036602"
"Yes","2018","Other degree","Male","146","0.135131491209497","0.117431285140768","0.152831697278226"
"Yes","2018","secondary school degree","Female","737","0.275340387449503","0.258374972116895","0.292305802782111"
"Yes","2018","secondary school degree","Male","352","0.176575970813355","0.159564298596625","0.193587643030085"
"No","2019","college entrance qualification","Female","1667","0.587234886701657","0.568786964408042","0.605682808995272"
"No","2019","college entrance qualification","Male","1613","0.685211302495483","0.66635750758488","0.704065097406086"
"No","2019","lower secondary degree","Female","750","0.772616502853272","0.745864659938354","0.799368345768189"
"No","2019","lower secondary degree","Male","1091","0.863849495684418","0.844898307696207","0.882800683672629"
"No","2019","no degree/no degree yet","Female","141","0.78533479378388","0.72230258335703","0.84836700421073"
"No","2019","no degree/no degree yet","Male","425","0.919152457016936","0.893710179499556","0.944594734534317"
"No","2019","Other degree","Female","686","0.766840316034363","0.738887031111163","0.794793600957562"
"No","2019","Other degree","Male","1161","0.876409096673846","0.858365240542261","0.894452952805432"
"No","2019","secondary school degree","Female","1880","0.722898141226134","0.705667998857029","0.740128283595239"
"No","2019","secondary school degree","Male","1506","0.805427394125987","0.787412563632579","0.823442224619396"
"Yes","2019","college entrance qualification","Female","1069","0.412765113298343","0.394317191004728","0.431213035591958"
"Yes","2019","college entrance qualification","Male","718","0.314788697504517","0.295934902593914","0.33364249241512"
"Yes","2019","lower secondary degree","Female","193","0.227383497146728","0.20063165423181","0.254135340061646"
"Yes","2019","lower secondary degree","Male","167","0.136150504315582","0.117199316327371","0.155101692303793"
"Yes","2019","no degree/no degree yet","Female","22","","",""
"Yes","2019","no degree/no degree yet","Male","16","","",""
"Yes","2019","Other degree","Female","193","0.233159683965637","0.205206399042438","0.261112968888837"
"Yes","2019","Other degree","Male","117","0.123590903326153","0.105547047194568","0.141634759457739"
"Yes","2019","secondary school degree","Female","712","0.277101858773866","0.259871716404761","0.294332001142971"
"Yes","2019","secondary school degree","Male","349","0.194572605874013","0.176557775380604","0.212587436367421"
