"pgoeffd","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"No","1991","Couple + C. LE 16 ","direct migration background","452","0.864282065979245","0.834470109262309","0.894094022696181"
"No","1991","Couple + C. LE 16 ","indirect migration background","22","","",""
"No","1991","Couple + C. GT 16 ","no migration background","1058","0.745175784006167","0.722715581921674","0.767635986090661"
"No","1991","Couple + C. GT 16 ","direct migration background","286","0.861631397721595","0.824149736923021","0.899113058520169"
"No","1991","Couple + C. GT 16 ","indirect migration background","69","0.85383701454996","0.777374714761319","0.930299314338601"
"No","1991","Couple + C. LE and GT 16","no migration background","393","0.751791629798347","0.715187662851491","0.788395596745204"
"No","1991","Couple + C. LE and GT 16","direct migration background","237","0.84437946706847","0.801536057539463","0.887222876597476"
"No","1991","Couple + C. LE and GT 16","indirect migration background","45","0.940054109752598","0.874255120535462","1.00585309896973"
"Yes","1992","1-pers.-HH","no migration background","154","0.311661391296664","0.269920656692961","0.353402125900367"
"Yes","1992","1-pers.-HH","direct migration background","15","","",""
"Yes","1992","1-pers.-HH","indirect migration background","8","","",""
"Yes","1992","(Married) couple without C. ","no migration background","422","0.314898397701513","0.29014915527404","0.339647640128986"
"Yes","1992","(Married) couple without C. ","direct migration background","39","0.234831019039017","0.184080895552091","0.285581142525943"
"Yes","1992","(Married) couple without C. ","indirect migration background","4","","",""
"Yes","1992","Single parent ","no migration background","102","0.328063891143144","0.275798951885173","0.380328830401114"
"Yes","1992","Single parent ","direct migration background","11","","",""
"Yes","1992","Single parent ","indirect migration background","2","","",""
"Yes","1992","Couple + C. LE 16 ","no migration background","619","0.299128396629738","0.278847376269756","0.31940941698972"
"Yes","1992","Couple + C. LE 16 ","direct migration background","49","0.145208893180115","0.111713873975382","0.178703912384847"
"Yes","1992","Couple + C. LE 16 ","indirect migration background","3","","",""
"Yes","1992","Couple + C. GT 16 ","no migration background","377","0.274477373380133","0.250284410875202","0.298670335885063"
"Yes","1992","Couple + C. GT 16 ","direct migration background","52","0.187072112142555","0.144477890029068","0.229666334256042"
"Yes","1992","Couple + C. GT 16 ","indirect migration background","11","","",""
"Yes","1992","Couple + C. LE and GT 16","no migration background","144","0.279701332886791","0.239630520672152","0.31977214510143"
"Yes","1992","Couple + C. LE and GT 16","direct migration background","35","0.151310706583426","0.107835963047734","0.194785450119117"
"Yes","1992","Couple + C. LE and GT 16","indirect migration background","6","","",""
"No","1992","1-pers.-HH","no migration background","319","0.688338608703336","0.646597874099633","0.730079343307039"
"No","1992","1-pers.-HH","direct migration background","88","0.822528332713515","0.74874310420156","0.896313561225469"
"No","1992","1-pers.-HH","indirect migration background","8","","",""
"No","1992","(Married) couple without C. ","no migration background","931","0.685101602298487","0.660352359871014","0.70985084472596"
"No","1992","(Married) couple without C. ","direct migration background","229","0.765168980960983","0.714418857474057","0.815919104447909"
"No","1992","(Married) couple without C. ","indirect migration background","13","","",""
"No","1992","Single parent ","no migration background","208","0.671936108856856","0.619671169598886","0.724201048114827"
"No","1992","Single parent ","direct migration background","54","0.815659462163353","0.721393202098668","0.909925722228037"
"No","1992","Single parent ","indirect migration background","16","","",""
"No","1992","Couple + C. LE 16 ","no migration background","1339","0.700871603370262","0.680590583010281","0.721152623730244"
"No","1992","Couple + C. LE 16 ","direct migration background","376","0.854791106819885","0.821296087615153","0.888286126024618"
"No","1992","Couple + C. LE 16 ","indirect migration background","24","","",""
"No","1992","Couple + C. GT 16 ","no migration background","930","0.725522626619867","0.701329664114937","0.749715589124798"
"No","1992","Couple + C. GT 16 ","direct migration background","270","0.812927887857445","0.770333665743958","0.855522109970932"
"No","1992","Couple + C. GT 16 ","indirect migration background","81","0.891572541000839","0.828039131877011","0.955105950124667"
"No","1992","Couple + C. LE and GT 16","no migration background","338","0.720298667113209","0.68022785489857","0.760369479327848"
