"pgoeffd","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2004","Bremen","middle vocational","8","","",""
"Yes","2004","Bremen","vocational + Abi","","","",""
"Yes","2004","Bremen","higher vocational","2","","",""
"Yes","2004","Bremen","higher education","15","","",""
"Yes","2004","North Rhine-Westphalia","in school","1","","",""
"Yes","2004","North Rhine-Westphalia","inadequately","8","","",""
"Yes","2004","North Rhine-Westphalia","general elemantary","25","","",""
"Yes","2004","North Rhine-Westphalia","middle vocational","271","0.216425742599247","0.192839205623994","0.240012279574501"
"Yes","2004","North Rhine-Westphalia","vocational + Abi","41","0.184952177497435","0.135933584668115","0.233970770326754"
"Yes","2004","North Rhine-Westphalia","higher vocational","66","0.26845190524187","0.210929722881143","0.325974087602596"
"Yes","2004","North Rhine-Westphalia","higher education","266","0.384813488584343","0.346940288026852","0.422686689141834"
"Yes","2004","Hesse","in school","","","",""
"Yes","2004","Hesse","inadequately","","","",""
"Yes","2004","Hesse","general elemantary","7","","",""
"Yes","2004","Hesse","middle vocational","83","0.218716211719696","0.17747804666036","0.259954376779032"
"Yes","2004","Hesse","vocational + Abi","14","","",""
"Yes","2004","Hesse","higher vocational","24","","",""
"Yes","2004","Hesse","higher education","84","0.310506149054607","0.253826335942226","0.367185962166988"
"Yes","2004","Rhineland-Palatinate,Saarland","in school","","","",""
"Yes","2004","Rhineland-Palatinate,Saarland","inadequately","1","","",""
"Yes","2004","Rhineland-Palatinate,Saarland","general elemantary","11","","",""
"Yes","2004","Rhineland-Palatinate,Saarland","middle vocational","91","0.26919533960438","0.224062198614233","0.314328480594528"
"Yes","2004","Rhineland-Palatinate,Saarland","vocational + Abi","9","","",""
"Yes","2004","Rhineland-Palatinate,Saarland","higher vocational","14","","",""
"Yes","2004","Rhineland-Palatinate,Saarland","higher education","59","0.341917257678295","0.260376042998565","0.423458472358025"
"Yes","2004","Baden-Württemberg","in school","","","",""
"Yes","2004","Baden-Württemberg","inadequately","3","","",""
"Yes","2004","Baden-Württemberg","general elemantary","26","","",""
"Yes","2004","Baden-Württemberg","middle vocational","121","0.165028753403427","0.137876777562455","0.1921807292444"
"Yes","2004","Baden-Württemberg","vocational + Abi","22","","",""
"Yes","2004","Baden-Württemberg","higher vocational","39","0.293727608314799","0.220838781348479","0.36661643528112"
"Yes","2004","Baden-Württemberg","higher education","109","0.284780347640961","0.237019089505565","0.332541605776358"
"Yes","2004","Bavaria","in school","","","",""
"Yes","2004","Bavaria","inadequately","2","","",""
"Yes","2004","Bavaria","general elemantary","29","","",""
"Yes","2004","Bavaria","middle vocational","183","0.18751527343566","0.16257626363429","0.212454283237029"
"Yes","2004","Bavaria","vocational + Abi","20","","",""
"Yes","2004","Bavaria","higher vocational","38","0.243891128155125","0.174234598881147","0.313547657429103"
"Yes","2004","Bavaria","higher education","145","0.265209598731595","0.222635111932011","0.30778408553118"
"Yes","2004","Berlin","in school","","","",""
"Yes","2004","Berlin","inadequately","","","",""
"Yes","2004","Berlin","general elemantary","3","","",""
"Yes","2004","Berlin","middle vocational","56","0.299368878679707","0.234756240492269","0.363981516867144"
"Yes","2004","Berlin","vocational + Abi","4","","",""
"Yes","2004","Berlin","higher vocational","14","","",""
"Yes","2004","Berlin","higher education","68","0.466113443443324","0.39156232304929","0.540664563837357"
"Yes","2004","Brandenburg","in school","","","",""
"Yes","2004","Brandenburg","inadequately","","","",""
"Yes","2004","Brandenburg","general elemantary","4","","",""
"Yes","2004","Brandenburg","middle vocational","49","0.20173215540775","0.148091911588846","0.255372399226654"
"Yes","2004","Brandenburg","vocational + Abi","3","","",""
"Yes","2004","Brandenburg","higher vocational","20","","",""
"Yes","2004","Brandenburg","higher education","72","0.496460243709526","0.41671243873335","0.576208048685702"
"Yes","2004","Mecklenburg-Western Pomerania","in school","","","",""
"Yes","2004","Mecklenburg-Western Pomerania","inadequately","1","","",""
"Yes","2004","Mecklenburg-Western Pomerania","general elemantary","4","","",""
"Yes","2004","Mecklenburg-Western Pomerania","middle vocational","26","","",""
"Yes","2004","Mecklenburg-Western Pomerania","vocational + Abi","1","","",""
"Yes","2004","Mecklenburg-Western Pomerania","higher vocational","8","","",""
"Yes","2004","Mecklenburg-Western Pomerania","higher education","40","0.348335584150335","0.24879099019715","0.447880178103521"
"Yes","2004","Saxony","in school","","","",""
"Yes","2004","Saxony","inadequately","","","",""
"Yes","2004","Saxony","general elemantary","8","","",""
"Yes","2004","Saxony","middle vocational","83","0.170832479084884","0.135300792827045","0.206364165342723"
"Yes","2004","Saxony","vocational + Abi","12","","",""
"Yes","2004","Saxony","higher vocational","23","","",""
"Yes","2004","Saxony","higher education","99","0.306263472539552","0.250870820938547","0.361656124140558"
"Yes","2004","Saxony-Anhalt","in school","","","",""
"Yes","2004","Saxony-Anhalt","inadequately","","","",""
"Yes","2004","Saxony-Anhalt","general elemantary","3","","",""
"Yes","2004","Saxony-Anhalt","middle vocational","32","0.147059885311001","0.0996086431264052","0.194511127495596"
"Yes","2004","Saxony-Anhalt","vocational + Abi","5","","",""
"Yes","2004","Saxony-Anhalt","higher vocational","14","","",""
"Yes","2004","Saxony-Anhalt","higher education","74","0.450092919987862","0.370741379243887","0.529444460731837"
"Yes","2004","Thuringia","in school","","","",""
"Yes","2004","Thuringia","inadequately","","","",""
"Yes","2004","Thuringia","general elemantary","2","","",""
"Yes","2004","Thuringia","middle vocational","48","0.163194289039073","0.120215545295554","0.206173032782591"
"Yes","2004","Thuringia","vocational + Abi","3","","",""
"Yes","2004","Thuringia","higher vocational","9","","",""
"Yes","2004","Thuringia","higher education","51","0.535988266369393","0.447494985187014","0.624481547551771"
"No","2004","Schleswig-Holstein","in school","","","",""
"No","2004","Schleswig-Holstein","inadequately","3","","",""
"No","2004","Schleswig-Holstein","general elemantary","21","","",""
"No","2004","Schleswig-Holstein","middle vocational","152","0.841040546519368","0.788494110377775","0.893586982660961"
"No","2004","Schleswig-Holstein","vocational + Abi","17","","",""
"No","2004","Schleswig-Holstein","higher vocational","28","","",""
"No","2004","Schleswig-Holstein","higher education","52","0.649493473383631","0.548061686020697","0.750925260746565"
"No","2004","Hamburg","in school","","","",""
"No","2004","Hamburg","inadequately","","","",""
"No","2004","Hamburg","general elemantary","8","","",""
"No","2004","Hamburg","middle vocational","57","0.810658811338678","0.717540468601674","0.903777154075683"
"No","2004","Hamburg","vocational + Abi","15","","",""
"No","2004","Hamburg","higher vocational","11","","",""
"No","2004","Hamburg","higher education","40","0.81412302402373","0.711315579515485","0.916930468531976"
"No","2004","Lower Saxony","in school","9","","",""
"No","2004","Lower Saxony","inadequately","7","","",""
"No","2004","Lower Saxony","general elemantary","72","0.79162971094589","0.707251166861684","0.876008255030097"
"No","2004","Lower Saxony","middle vocational","434","0.729320643056585","0.69252122942047","0.7661200566927"
"No","2004","Lower Saxony","vocational + Abi","57","0.820791285346098","0.732202698560369","0.909379872131827"
"No","2004","Lower Saxony","higher vocational","59","0.678898778362613","0.580220319554624","0.777577237170601"
"No","2004","Lower Saxony","higher education","122","0.548815404318083","0.48365041025484","0.613980398381326"
"No","2004","Bremen","in school","","","",""
"No","2004","Bremen","inadequately","","","",""
"No","2004","Bremen","general elemantary","4","","",""
"No","2004","Bremen","middle vocational","31","0.811982181348049","0.689354492891291","0.934609869804806"
"No","2004","Bremen","vocational + Abi","9","","",""
"No","2004","Bremen","higher vocational","4","","",""
"No","2004","Bremen","higher education","14","","",""
"No","2004","North Rhine-Westphalia","in school","8","","",""
"No","2004","North Rhine-Westphalia","inadequately","16","","",""
"No","2004","North Rhine-Westphalia","general elemantary","185","0.894401776552492","0.852836270133574","0.935967282971411"
"No","2004","North Rhine-Westphalia","middle vocational","900","0.783574257400753","0.759987720425499","0.807160794376006"
"No","2004","North Rhine-Westphalia","vocational + Abi","200","0.815047822502565","0.766029229673245","0.864066415331885"
"No","2004","North Rhine-Westphalia","higher vocational","162","0.73154809475813","0.674025912397404","0.789070277118857"
"No","2004","North Rhine-Westphalia","higher education","368","0.615186511415657","0.577313310858166","0.653059711973148"
"No","2004","Hesse","in school","6","","",""
"No","2004","Hesse","inadequately","3","","",""
"No","2004","Hesse","general elemantary","70","0.943774724165824","0.892322672530235","0.995226775801414"
"No","2004","Hesse","middle vocational","303","0.781283788280304","0.740045623220968","0.82252195333964"
"No","2004","Hesse","vocational + Abi","62","0.750385561592744","0.653084320300906","0.847686802884582"
"No","2004","Hesse","higher vocational","48","0.632351824729651","0.520979460697507","0.743724188761795"
"No","2004","Hesse","higher education","172","0.689493850945393","0.632814037833012","0.746173664057774"
"No","2004","Rhineland-Palatinate,Saarland","in school","2","","",""
"No","2004","Rhineland-Palatinate,Saarland","inadequately","6","","",""
"No","2004","Rhineland-Palatinate,Saarland","general elemantary","61","0.891833637886078","0.820092232668234","0.963575043103922"
"No","2004","Rhineland-Palatinate,Saarland","middle vocational","280","0.73080466039562","0.685671519405472","0.775937801385767"
"No","2004","Rhineland-Palatinate,Saarland","vocational + Abi","31","0.745965352160165","0.611061639932905","0.880869064387425"
"No","2004","Rhineland-Palatinate,Saarland","higher vocational","59","0.866065267121077","0.787936930192139","0.944193604050016"
"No","2004","Rhineland-Palatinate,Saarland","higher education","71","0.658082742321705","0.576541527641975","0.739623957001435"
"No","2004","Baden-Württemberg","in school","4","","",""
"No","2004","Baden-Württemberg","inadequately","15","","",""
"No","2004","Baden-Württemberg","general elemantary","155","0.771000102128855","0.709785692453992","0.832214511803718"
"No","2004","Baden-Württemberg","middle vocational","597","0.834971246596573","0.8078192707556","0.862123222437545"
"No","2004","Baden-Württemberg","vocational + Abi","80","0.800837756078043","0.723333816143119","0.878341696012968"
"No","2004","Baden-Württemberg","higher vocational","111","0.706272391685201","0.63338356471888","0.779161218651521"
"No","2004","Baden-Württemberg","higher education","234","0.715219652359039","0.667458394223642","0.762980910494435"
"No","2004","Bavaria","in school","5","","",""
"No","2004","Bavaria","inadequately","9","","",""
"No","2004","Bavaria","general elemantary","159","0.841720145608595","0.789544738280567","0.893895552936623"
"No","2004","Bavaria","middle vocational","758","0.81248472656434","0.787545716762971","0.83742373636571"
"No","2004","Bavaria","vocational + Abi","74","0.710331928160438","0.618632812707728","0.802031043613148"
"No","2004","Bavaria","higher vocational","108","0.756108871844875","0.686452342570897","0.825765401118853"
"No","2004","Bavaria","higher education","268","0.734790401268404","0.69221591446882","0.777364888067989"
"No","2004","Berlin","in school","4","","",""
"No","2004","Berlin","inadequately","1","","",""
"No","2004","Berlin","general elemantary","22","","",""
"No","2004","Berlin","middle vocational","137","0.700631121320293","0.636018483132856","0.765243759507731"
"No","2004","Berlin","vocational + Abi","18","","",""
"No","2004","Berlin","higher vocational","22","","",""
"No","2004","Berlin","higher education","104","0.533886556556676","0.459335436162643","0.60843767695071"
"No","2004","Brandenburg","in school","1","","",""
"No","2004","Brandenburg","inadequately","","","",""
"No","2004","Brandenburg","general elemantary","16","","",""
"No","2004","Brandenburg","middle vocational","166","0.79826784459225","0.744627600773346","0.851908088411154"
"No","2004","Brandenburg","vocational + Abi","11","","",""
"No","2004","Brandenburg","higher vocational","31","0.527728665008058","0.390714919548856","0.664742410467261"
"No","2004","Brandenburg","higher education","79","0.503539756290474","0.423791951314298","0.58328756126665"
"No","2004","Mecklenburg-Western Pomerania","in school","1","","",""
"No","2004","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","2004","Mecklenburg-Western Pomerania","general elemantary","17","","",""
"No","2004","Mecklenburg-Western Pomerania","middle vocational","104","0.819632205965437","0.753537691105195","0.885726720825678"
"No","2004","Mecklenburg-Western Pomerania","vocational + Abi","2","","",""
"No","2004","Mecklenburg-Western Pomerania","higher vocational","17","","",""
"No","2004","Mecklenburg-Western Pomerania","higher education","48","0.651664415849664","0.552119821896479","0.75120900980285"
"No","2004","Saxony","in school","3","","",""
"No","2004","Saxony","inadequately","","","",""
"No","2004","Saxony","general elemantary","29","","",""
"No","2004","Saxony","middle vocational","348","0.829167520915116","0.793635834657277","0.864699207172955"
"No","2004","Saxony","vocational + Abi","26","","",""
"No","2004","Saxony","higher vocational","53","0.711606557686621","0.609758217410808","0.813454897962433"
"No","2004","Saxony","higher education","167","0.693736527460447","0.638343875859442","0.749129179061453"
"No","2004","Saxony-Anhalt","in school","1","","",""
"No","2004","Saxony-Anhalt","inadequately","","","",""
"No","2004","Saxony-Anhalt","general elemantary","18","","",""
"No","2004","Saxony-Anhalt","middle vocational","182","0.852940114688999","0.805488872504404","0.900391356873595"
"No","2004","Saxony-Anhalt","vocational + Abi","17","","",""
"No","2004","Saxony-Anhalt","higher vocational","38","0.676481797026504","0.549329609122054","0.803633984930954"
"No","2004","Saxony-Anhalt","higher education","77","0.549907080012138","0.470555539268163","0.629258620756113"
"No","2004","Thuringia","in school","","","",""
"No","2004","Thuringia","inadequately","1","","",""
"No","2004","Thuringia","general elemantary","18","","",""
"No","2004","Thuringia","middle vocational","236","0.836805710960927","0.793826967217409","0.879784454704446"
"No","2004","Thuringia","vocational + Abi","14","","",""
"No","2004","Thuringia","higher vocational","32","0.833981479568475","0.720084387715853","0.947878571421096"
"No","2004","Thuringia","higher education","71","0.464011733630607","0.375518452448229","0.552505014812986"
"Yes","2005","Schleswig-Holstein","in school","","","",""
"Yes","2005","Schleswig-Holstein","inadequately","","","",""
"Yes","2005","Schleswig-Holstein","general elemantary","7","","",""
"Yes","2005","Schleswig-Holstein","middle vocational","33","0.1976330520014","0.138464659451022","0.256801444551777"
"Yes","2005","Schleswig-Holstein","vocational + Abi","7","","",""
"Yes","2005","Schleswig-Holstein","higher vocational","13","","",""
"Yes","2005","Schleswig-Holstein","higher education","31","0.361709544755842","0.25368300767271","0.469736081838974"
"Yes","2005","Hamburg","in school","","","",""
"Yes","2005","Hamburg","inadequately","","","",""
"Yes","2005","Hamburg","general elemantary","2","","",""
"Yes","2005","Hamburg","middle vocational","8","","",""
"Yes","2005","Hamburg","vocational + Abi","2","","",""
"Yes","2005","Hamburg","higher vocational","2","","",""
"Yes","2005","Hamburg","higher education","15","","",""
"Yes","2005","Lower Saxony","in school","","","",""
"Yes","2005","Lower Saxony","inadequately","","","",""
"Yes","2005","Lower Saxony","general elemantary","15","","",""
"Yes","2005","Lower Saxony","middle vocational","107","0.241601593365568","0.203739384408686","0.27946380232245"
"Yes","2005","Lower Saxony","vocational + Abi","13","","",""
"Yes","2005","Lower Saxony","higher vocational","26","","",""
"Yes","2005","Lower Saxony","higher education","83","0.403253073824106","0.335436787949434","0.471069359698779"
"Yes","2005","Bremen","in school","","","",""
"Yes","2005","Bremen","inadequately","","","",""
"Yes","2005","Bremen","general elemantary","2","","",""
"Yes","2005","Bremen","middle vocational","5","","",""
"Yes","2005","Bremen","vocational + Abi","","","",""
"Yes","2005","Bremen","higher vocational","1","","",""
"Yes","2005","Bremen","higher education","13","","",""
"Yes","2005","North Rhine-Westphalia","in school","","","",""
"Yes","2005","North Rhine-Westphalia","inadequately","6","","",""
"Yes","2005","North Rhine-Westphalia","general elemantary","20","","",""
"Yes","2005","North Rhine-Westphalia","middle vocational","252","0.229020203267672","0.203688231572626","0.254352174962718"
"Yes","2005","North Rhine-Westphalia","vocational + Abi","40","0.186769292939919","0.135958790055615","0.237579795824223"
"Yes","2005","North Rhine-Westphalia","higher vocational","64","0.294873450527983","0.232300825212349","0.357446075843618"
"Yes","2005","North Rhine-Westphalia","higher education","246","0.377281979198449","0.337732667257948","0.416831291138951"
"Yes","2005","Hesse","in school","","","",""
"Yes","2005","Hesse","inadequately","","","",""
"Yes","2005","Hesse","general elemantary","7","","",""
"Yes","2005","Hesse","middle vocational","73","0.196431912543817","0.155673334721463","0.237190490366171"
"Yes","2005","Hesse","vocational + Abi","10","","",""
"Yes","2005","Hesse","higher vocational","18","","",""
"Yes","2005","Hesse","higher education","84","0.340599098310463","0.279748248771901","0.401449947849025"
"Yes","2005","Rhineland-Palatinate,Saarland","in school","","","",""
"Yes","2005","Rhineland-Palatinate,Saarland","inadequately","1","","",""
"Yes","2005","Rhineland-Palatinate,Saarland","general elemantary","12","","",""
"Yes","2005","Rhineland-Palatinate,Saarland","middle vocational","82","0.215785335472554","0.17262708603629","0.258943584908819"
"Yes","2005","Rhineland-Palatinate,Saarland","vocational + Abi","10","","",""
"Yes","2005","Rhineland-Palatinate,Saarland","higher vocational","13","","",""
"Yes","2005","Rhineland-Palatinate,Saarland","higher education","57","0.393322862737485","0.303652469259662","0.482993256215308"
"Yes","2005","Baden-Württemberg","in school","","","",""
"Yes","2005","Baden-Württemberg","inadequately","3","","",""
"Yes","2005","Baden-Württemberg","general elemantary","24","","",""
"Yes","2005","Baden-Württemberg","middle vocational","102","0.168506988234623","0.139161161951683","0.197852814517563"
"Yes","2005","Baden-Württemberg","vocational + Abi","24","","",""
"Yes","2005","Baden-Württemberg","higher vocational","33","0.287462764395913","0.213284844029979","0.361640684761847"
"Yes","2005","Baden-Württemberg","higher education","107","0.310032775947993","0.258296288705207","0.361769263190779"
"Yes","2005","Bavaria","in school","","","",""
"Yes","2005","Bavaria","inadequately","2","","",""
"Yes","2005","Bavaria","general elemantary","24","","",""
"Yes","2005","Bavaria","middle vocational","168","0.197698377644673","0.170924639220693","0.224472116068654"
"Yes","2005","Bavaria","vocational + Abi","19","","",""
"Yes","2005","Bavaria","higher vocational","36","0.221111368534131","0.152121723616829","0.290101013451432"
"Yes","2005","Bavaria","higher education","131","0.266154360244204","0.222123034663837","0.310185685824571"
"Yes","2005","Berlin","in school","","","",""
"Yes","2005","Berlin","inadequately","","","",""
"Yes","2005","Berlin","general elemantary","3","","",""
"Yes","2005","Berlin","middle vocational","54","0.33240943799269","0.259187487070239","0.405631388915142"
"Yes","2005","Berlin","vocational + Abi","4","","",""
"Yes","2005","Berlin","higher vocational","10","","",""
"Yes","2005","Berlin","higher education","58","0.388503398243702","0.312017701583747","0.464989094903657"
"Yes","2005","Brandenburg","in school","","","",""
"Yes","2005","Brandenburg","inadequately","","","",""
"Yes","2005","Brandenburg","general elemantary","3","","",""
"Yes","2005","Brandenburg","middle vocational","43","0.211579390633207","0.153351259143269","0.269807522123145"
"Yes","2005","Brandenburg","vocational + Abi","2","","",""
"Yes","2005","Brandenburg","higher vocational","19","","",""
"Yes","2005","Brandenburg","higher education","66","0.473739910665426","0.391615148793356","0.555864672537496"
"Yes","2005","Mecklenburg-Western Pomerania","in school","","","",""
"Yes","2005","Mecklenburg-Western Pomerania","inadequately","1","","",""
"Yes","2005","Mecklenburg-Western Pomerania","general elemantary","2","","",""
"Yes","2005","Mecklenburg-Western Pomerania","middle vocational","29","","",""
"Yes","2005","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Yes","2005","Mecklenburg-Western Pomerania","higher vocational","6","","",""
"Yes","2005","Mecklenburg-Western Pomerania","higher education","37","0.40326381638545","0.297729218673239","0.508798414097662"
"Yes","2005","Saxony","in school","","","",""
"Yes","2005","Saxony","inadequately","","","",""
"Yes","2005","Saxony","general elemantary","9","","",""
"Yes","2005","Saxony","middle vocational","70","0.155147753945738","0.11840626069315","0.191889247198326"
"Yes","2005","Saxony","vocational + Abi","11","","",""
"Yes","2005","Saxony","higher vocational","20","","",""
"Yes","2005","Saxony","higher education","87","0.280984267693424","0.224470384072369","0.337498151314479"
"Yes","2005","Saxony-Anhalt","in school","","","",""
"Yes","2005","Saxony-Anhalt","inadequately","","","",""
"Yes","2005","Saxony-Anhalt","general elemantary","3","","",""
"Yes","2005","Saxony-Anhalt","middle vocational","25","","",""
"Yes","2005","Saxony-Anhalt","vocational + Abi","5","","",""
"Yes","2005","Saxony-Anhalt","higher vocational","11","","",""
"Yes","2005","Saxony-Anhalt","higher education","75","0.502858760627293","0.422844873882388","0.582872647372198"
"Yes","2005","Thuringia","in school","","","",""
"Yes","2005","Thuringia","inadequately","","","",""
"Yes","2005","Thuringia","general elemantary","1","","",""
"Yes","2005","Thuringia","middle vocational","42","0.188334205458391","0.13780559011987","0.238862820796913"
"Yes","2005","Thuringia","vocational + Abi","3","","",""
"Yes","2005","Thuringia","higher vocational","8","","",""
"Yes","2005","Thuringia","higher education","48","0.504383950903338","0.411371751951482","0.597396149855193"
"No","2005","Schleswig-Holstein","in school","2","","",""
"No","2005","Schleswig-Holstein","inadequately","2","","",""
"No","2005","Schleswig-Holstein","general elemantary","18","","",""
"No","2005","Schleswig-Holstein","middle vocational","141","0.8023669479986","0.743198555448223","0.861535340548978"
"No","2005","Schleswig-Holstein","vocational + Abi","15","","",""
"No","2005","Schleswig-Holstein","higher vocational","25","","",""
"No","2005","Schleswig-Holstein","higher education","45","0.638290455244158","0.530263918161026","0.74631699232729"
"No","2005","Hamburg","in school","","","",""
"No","2005","Hamburg","inadequately","","","",""
"No","2005","Hamburg","general elemantary","7","","",""
"No","2005","Hamburg","middle vocational","48","0.843498348932213","0.748338080650352","0.938658617214073"
"No","2005","Hamburg","vocational + Abi","14","","",""
"No","2005","Hamburg","higher vocational","10","","",""
"No","2005","Hamburg","higher education","39","0.798707754599332","0.691763198094769","0.905652311103896"
"No","2005","Lower Saxony","in school","5","","",""
"No","2005","Lower Saxony","inadequately","4","","",""
"No","2005","Lower Saxony","general elemantary","64","0.763234239811455","0.669494678532804","0.856973801090105"
"No","2005","Lower Saxony","middle vocational","384","0.758398406634432","0.72053619767755","0.796260615591314"
"No","2005","Lower Saxony","vocational + Abi","56","0.842117430884455","0.756082073621531","0.928152788147379"
"No","2005","Lower Saxony","higher vocational","49","0.642987690016439","0.534554962016117","0.751420418016761"
"No","2005","Lower Saxony","higher education","118","0.596746926175894","0.528930640301221","0.664563212050566"
"No","2005","Bremen","in school","1","","",""
"No","2005","Bremen","inadequately","","","",""
"No","2005","Bremen","general elemantary","4","","",""
"No","2005","Bremen","middle vocational","24","","",""
"No","2005","Bremen","vocational + Abi","6","","",""
"No","2005","Bremen","higher vocational","2","","",""
"No","2005","Bremen","higher education","13","","",""
"No","2005","North Rhine-Westphalia","in school","6","","",""
"No","2005","North Rhine-Westphalia","inadequately","17","","",""
"No","2005","North Rhine-Westphalia","general elemantary","162","0.907703537897197","0.865652478827303","0.949754596967091"
"No","2005","North Rhine-Westphalia","middle vocational","805","0.770979796732328","0.745647825037282","0.796311768427374"
"No","2005","North Rhine-Westphalia","vocational + Abi","186","0.813230707060081","0.762420204175777","0.864041209944385"
"No","2005","North Rhine-Westphalia","higher vocational","140","0.705126549472017","0.642553924156382","0.767699174787651"
"No","2005","North Rhine-Westphalia","higher education","331","0.622718020801551","0.583168708861049","0.662267332742052"
"No","2005","Hesse","in school","","","",""
"No","2005","Hesse","inadequately","3","","",""
"No","2005","Hesse","general elemantary","55","0.919544081743017","0.85183958394988","0.987248579536154"
"No","2005","Hesse","middle vocational","292","0.803568087456183","0.762809509633829","0.844326665278537"
"No","2005","Hesse","vocational + Abi","53","0.716439797180706","0.605141042106855","0.827738552254558"
"No","2005","Hesse","higher vocational","43","0.676102473854938","0.558668636750324","0.793536310959553"
"No","2005","Hesse","higher education","149","0.659400901689537","0.598550052150975","0.720251751228099"
"No","2005","Rhineland-Palatinate,Saarland","in school","1","","",""
"No","2005","Rhineland-Palatinate,Saarland","inadequately","5","","",""
"No","2005","Rhineland-Palatinate,Saarland","general elemantary","59","0.896332947026377","0.825428418565655","0.967237475487098"
"No","2005","Rhineland-Palatinate,Saarland","middle vocational","267","0.784214664527445","0.741056415091181","0.82737291396371"
"No","2005","Rhineland-Palatinate,Saarland","vocational + Abi","32","0.765155650150572","0.636955539934798","0.893355760366346"
"No","2005","Rhineland-Palatinate,Saarland","higher vocational","52","0.86395777796758","0.780613741422532","0.947301814512628"
"No","2005","Rhineland-Palatinate,Saarland","higher education","57","0.606677137262515","0.517006743784692","0.696347530740338"
"No","2005","Baden-Württemberg","in school","2","","",""
"No","2005","Baden-Württemberg","inadequately","12","","",""
"No","2005","Baden-Württemberg","general elemantary","117","0.740535124316815","0.668183105557466","0.812887143076164"
"No","2005","Baden-Württemberg","middle vocational","523","0.831493011765377","0.802147185482437","0.860838838048317"
"No","2005","Baden-Württemberg","vocational + Abi","73","0.772664221541935","0.689259330241103","0.856069112842768"
"No","2005","Baden-Württemberg","higher vocational","110","0.712537235604087","0.638359315238153","0.786715155970021"
"No","2005","Baden-Württemberg","higher education","200","0.689967224052007","0.638230736809221","0.741703711294793"
"No","2005","Bavaria","in school","3","","",""
"No","2005","Bavaria","inadequately","5","","",""
"No","2005","Bavaria","general elemantary","119","0.800731904902104","0.735261877383246","0.866201932420961"
"No","2005","Bavaria","middle vocational","682","0.802301622355327","0.775527883931347","0.829075360779307"
"No","2005","Bavaria","vocational + Abi","65","0.702330317520947","0.60455112237728","0.800109512664614"
"No","2005","Bavaria","higher vocational","103","0.778888631465869","0.709898986548568","0.847878276383171"
"No","2005","Bavaria","higher education","256","0.733845639755796","0.689814314175429","0.777876965336163"
"No","2005","Berlin","in school","3","","",""
"No","2005","Berlin","inadequately","","","",""
"No","2005","Berlin","general elemantary","15","","",""
"No","2005","Berlin","middle vocational","105","0.66759056200731","0.594368611084858","0.740812512929761"
"No","2005","Berlin","vocational + Abi","16","","",""
"No","2005","Berlin","higher vocational","19","","",""
"No","2005","Berlin","higher education","98","0.611496601756298","0.535010905096343","0.687982298416253"
"No","2005","Brandenburg","in school","2","","",""
"No","2005","Brandenburg","inadequately","2","","",""
"No","2005","Brandenburg","general elemantary","14","","",""
"No","2005","Brandenburg","middle vocational","146","0.788420609366793","0.730192477876854","0.846648740856731"
"No","2005","Brandenburg","vocational + Abi","12","","",""
"No","2005","Brandenburg","higher vocational","26","","",""
"No","2005","Brandenburg","higher education","76","0.526260089334574","0.444135327462504","0.608384851206644"
"No","2005","Mecklenburg-Western Pomerania","in school","1","","",""
"No","2005","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","2005","Mecklenburg-Western Pomerania","general elemantary","14","","",""
"No","2005","Mecklenburg-Western Pomerania","middle vocational","85","0.717839533146026","0.635224813367126","0.800454252924926"
"No","2005","Mecklenburg-Western Pomerania","vocational + Abi","4","","",""
"No","2005","Mecklenburg-Western Pomerania","higher vocational","14","","",""
"No","2005","Mecklenburg-Western Pomerania","higher education","46","0.59673618361455","0.491201585902338","0.702270781326761"
"No","2005","Saxony","in school","1","","",""
"No","2005","Saxony","inadequately","","","",""
"No","2005","Saxony","general elemantary","26","","",""
"No","2005","Saxony","middle vocational","303","0.844852246054262","0.808110752801674","0.88159373930685"
"No","2005","Saxony","vocational + Abi","25","","",""
"No","2005","Saxony","higher vocational","53","0.675552574411194","0.568156500805094","0.782948648017293"
"No","2005","Saxony","higher education","156","0.719015732306576","0.662501848685521","0.775529615927631"
"No","2005","Saxony-Anhalt","in school","","","",""
"No","2005","Saxony-Anhalt","inadequately","1","","",""
"No","2005","Saxony-Anhalt","general elemantary","13","","",""
"No","2005","Saxony-Anhalt","middle vocational","164","0.884992534714835","0.83950943982618","0.93047562960349"
"No","2005","Saxony-Anhalt","vocational + Abi","17","","",""
"No","2005","Saxony-Anhalt","higher vocational","32","0.738722184493509","0.607409795642198","0.87003457334482"
"No","2005","Saxony-Anhalt","higher education","75","0.497141239372707","0.417127352627802","0.577155126117612"
"No","2005","Thuringia","in school","","","",""
"No","2005","Thuringia","inadequately","","","",""
"No","2005","Thuringia","general elemantary","12","","",""
"No","2005","Thuringia","middle vocational","188","0.811665794541609","0.761137179203087","0.86219440988013"
"No","2005","Thuringia","vocational + Abi","15","","",""
"No","2005","Thuringia","higher vocational","26","","",""
"No","2005","Thuringia","higher education","63","0.495616049096662","0.402603850144807","0.588628248048518"
"Yes","2006","Schleswig-Holstein","in school","","","",""
"Yes","2006","Schleswig-Holstein","inadequately","1","","",""
"Yes","2006","Schleswig-Holstein","general elemantary","7","","",""
