"ple0004","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"A little","2017","66 and older","Not Employed","9","","","","2"
"A little","2017","66 and older","Employed","","","","","2"
"A little","2017","35-65 y.","Not Employed","325","0.335660109558539","0.306110032441958","0.36521018667512","2"
"A little","2017","35-65 y.","Employed","","","","","2"
"Not at all","2017","16-34 y.","Not Employed","1527","0.814054644833821","0.796514360246324","0.831594929421318","3"
"Not at all","2017","16-34 y.","Employed","","","","","3"
"Not at all","2017","35-65 y.","Not Employed","507","0.525677704541679","0.494430574432682","0.556924834650676","3"
"Not at all","2017","35-65 y.","Employed","","","","","3"
"Not at all","2017","66 and older","Not Employed","10","","","","3"
"Not at all","2017","66 and older","Employed","","","","","3"
"Strong","2017","16-34 y.","Not Employed","72","0.0370587008829033","0.0285421804838275","0.0455752212819791","1"
"Strong","2017","16-34 y.","Employed","","","","","1"
"Strong","2017","66 and older","Employed","","","","","1"
"Strong","2017","35-65 y.","Not Employed","149","0.138662185899782","0.117036028210376","0.160288343589188","1"
"Strong","2017","35-65 y.","Employed","","","","","1"
"Strong","2017","66 and older","Not Employed","19","","","","1"
"A little","2018","16-34 y.","Not Employed","661","0.181471068797045","0.168735425429293","0.194206712164797","2"
"A little","2018","16-34 y.","Employed","757","0.155606719727561","0.145332949152447","0.165880490302674","2"
"A little","2018","35-65 y.","Employed","3753","0.321634627361365","0.313472168498814","0.329797086223917","2"
"A little","2018","66 and older","Not Employed","1910","0.42926871805469","0.414763338369203","0.443774097740177","2"
"A little","2018","66 and older","Employed","272","0.448875513937647","0.409629701846989","0.488121326028305","2"
"A little","2018","35-65 y.","Not Employed","1394","0.352976210484212","0.338199561141887","0.367752859826536","2"
"Not at all","2018","16-34 y.","Not Employed","2711","0.778617066096406","0.764897695045634","0.792336437147177","3"
"Not at all","2018","16-34 y.","Employed","3923","0.82251095210869","0.811681663460325","0.833340240757056","3"
"Not at all","2018","35-65 y.","Not Employed","1805","0.376162560546598","0.361184119084374","0.391141002008822","3"
"Not at all","2018","35-65 y.","Employed","8158","0.622759953606745","0.614290078546466","0.631229828667023","3"
"Not at all","2018","66 and older","Not Employed","1378","0.277801526891954","0.26467516906289","0.290927884721018","3"
"Not at all","2018","66 and older","Employed","279","0.440324321083839","0.401153735559462","0.479494906608215","3"
"Strong","2018","16-34 y.","Not Employed","146","0.0399118651065496","0.0334433181326543","0.046380412080445","1"
"Strong","2018","16-34 y.","Employed","102","0.021882328163749","0.0177357904358097","0.0260288658916883","1"
"Strong","2018","35-65 y.","Not Employed","819","0.27086122896919","0.257120124447422","0.284602333490959","1"
"Strong","2018","35-65 y.","Employed","669","0.0556054190318899","0.0516009672135516","0.0596098708502283","1"
"Strong","2018","66 and older","Not Employed","1185","0.292929755053356","0.27959264708514","0.306266863021572","1"
"Strong","2018","66 and older","Employed","66","0.110800164978514","0.08603305120133","0.135567278755698","1"
"A little","2019","16-34 y.","Not Employed","21","","","","2"
"A little","2019","16-34 y.","Employed","","","","","2"
"A little","2019","35-65 y.","Employed","","","","","2"
"A little","2019","66 and older","Not Employed","1","","","","2"
"A little","2019","66 and older","Employed","","","","","2"
"A little","2019","35-65 y.","Not Employed","36","0.313676341276541","0.232980417536732","0.394372265016349","2"
"Not at all","2019","16-34 y.","Not Employed","113","0.729598132763841","0.657550724421317","0.801645541106365","3"
"Not at all","2019","16-34 y.","Employed","","","","","3"
"Not at all","2019","35-65 y.","Not Employed","67","0.504934937269131","0.417979832924132","0.591890041614131","3"
"Not at all","2019","35-65 y.","Employed","","","","","3"
"Not at all","2019","66 and older","Not Employed","2","","","","3"
"Not at all","2019","66 and older","Employed","","","","","3"
"Strong","2019","16-34 y.","Not Employed","12","","","","1"
"Strong","2019","16-34 y.","Employed","","","","","1"
"Strong","2019","66 and older","Not Employed","3","","","","1"
"Strong","2019","66 and older","Employed","","","","","1"
"Strong","2019","35-65 y.","Not Employed","24","","","","1"
"Strong","2019","35-65 y.","Employed","","","","","1"
