"year","pgcasmin","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2001","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"2001","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"2001","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"2001","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"2001","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"2001","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"2001","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"2001","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"2001","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"2001","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
"2002","(0) in school","East Germany","","","","","","","","","","","","","",""
"2002","(0) in school","West Germany","","","","","","","","","","","","","",""
"2002","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"2002","(1a) inadequately completed","West Germany","","","","","","","","","","","","","",""
"2002","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"2002","(1b) general elementary school","West Germany","","","","","","","","","","","","","",""
"2002","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"2002","(1c) basic vocational qualification","West Germany","","","","","","","","","","","","","",""
"2002","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"2002","(2a) intermediate vocational","West Germany","","","","","","","","","","","","","",""
"2002","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"2002","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"2002","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"2002","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"2002","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"2002","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"2002","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"2002","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"2002","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"2002","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
"2003","(0) in school","East Germany","","","","","","","","","","","","","",""
"2003","(0) in school","West Germany","","","","","","","","","","","","","",""
"2003","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"2003","(1a) inadequately completed","West Germany","","","","","","","","","","","","","",""
"2003","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"2003","(1b) general elementary school","West Germany","","","","","","","","","","","","","",""
"2003","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"2003","(1c) basic vocational qualification","West Germany","","","","","","","","","","","","","",""
"2003","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"2003","(2a) intermediate vocational","West Germany","","","","","","","","","","","","","",""
"2003","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"2003","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"2003","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"2003","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"2003","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"2003","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"2003","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"2003","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"2003","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"2003","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
"2004","(0) in school","East Germany","1.58","2","160","1","1","2","2","4","1.48","1.68","1","4","1","2"
"2004","(0) in school","West Germany","1.67","2","454","1","1","2","2","4","1.61","1.73","1","4","2","2"
"2004","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"2004","(1a) inadequately completed","West Germany","2.57","2.76","227","1","2","3","4","4","2.44","2.7","1","4","2","3"
"2004","(1b) general elementary school","East Germany","2.6","2","196","1","2","4","4","4","2.45","2.75","1","4","2","2"
"2004","(1b) general elementary school","West Germany","2.6","2","1660","1","2","3","4","4","2.55","2.65","1","4","2","2"
"2004","(1c) basic vocational qualification","East Germany","2.65","2","1015","1","2","4","4","4","2.58","2.72","1","4","2","2"
"2004","(1c) basic vocational qualification","West Germany","2.32","2","4574","1","2","3","4","4","2.29","2.35","1","4","2","2"
"2004","(2a) intermediate vocational","East Germany","1.96","2","1734","1","2","2","3","4","1.93","1.99","1","4","2","2"
"2004","(2a) intermediate vocational","West Germany","2.14","2","3131","1","2","3","3","4","2.11","2.17","1","4","2","2"
"2004","(2b) intermediate general qualification","East Germany","1.77","2","159","1","1","2","3","4","1.65","1.89","1","4","1","2"
"2004","(2b) intermediate general qualification","West Germany","1.89","2","436","1","1","2","3","4","1.81","1.97","1","4","2","2"
"2004","(2c_gen) general maturity certificate","East Germany","1.72","2","192","1","1","2","2","4","1.63","1.81","1","4","2","2"
"2004","(2c_gen) general maturity certificate","West Germany","1.84","2","646","1","1","2","3","4","1.79","1.89","1","4","2","2"
"2004","(2c_voc) vocational maturity certificate","East Germany","1.94","2","196","1","1","2","3","4","1.83","2.05","1","4","2","2"
"2004","(2c_voc) vocational maturity certificate","West Germany","2.08","2","1321","1","2","2","3","4","2.04","2.12","1","4","2","2"
"2004","(3a) lower tertiary education","East Germany","2.21","2","641","1","2","3","4","4","2.14","2.28","1","4","2","2"
"2004","(3a) lower tertiary education","West Germany","2.02","2","986","1","1","2","3","4","1.97","2.07","1","4","2","2"
"2004","(3b) higher tertiary education","East Germany","2.05","2","574","1","2","2","4","4","1.99","2.11","1","4","2","2"
"2004","(3b) higher tertiary education","West Germany","1.93","2","1934","1","1","2","3","4","1.9","1.96","1","4","2","2"
"2005","(0) in school","East Germany","","","","","","","","","","","","","",""
"2005","(0) in school","West Germany","","","","","","","","","","","","","",""
"2005","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"2005","(1a) inadequately completed","West Germany","","","","","","","","","","","","","",""
"2005","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"2005","(1b) general elementary school","West Germany","","","","","","","","","","","","","",""
"2005","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"2005","(1c) basic vocational qualification","West Germany","","","","","","","","","","","","","",""
"2005","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"2005","(2a) intermediate vocational","West Germany","","","","","","","","","","","","","",""
"2005","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"2005","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"2005","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"2005","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"2005","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"2005","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"2005","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"2005","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"2005","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"2005","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
"2006","(0) in school","East Germany","","","","","","","","","","","","","",""
"2006","(0) in school","West Germany","","","","","","","","","","","","","",""
"2006","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"2006","(1a) inadequately completed","West Germany","","","","","","","","","","","","","",""
"2006","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"2006","(1b) general elementary school","West Germany","","","","","","","","","","","","","",""
"2006","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"2006","(1c) basic vocational qualification","West Germany","","","","","","","","","","","","","",""
"2006","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"2006","(2a) intermediate vocational","West Germany","","","","","","","","","","","","","",""
"2006","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"2006","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"2006","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"2006","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"2006","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"2006","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
