"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2017","Not Employed","indirect migration background","8265.06","5610","572","0","3600","10363","18321","41760","7494.52","9035.6","0","70544","6840","7284"
"2017","Not Employed","no migration background","2365.28","0","7110","0","0","2400","8448","24000","2225.32","2505.24","0","71887","0","0"
"2018","Employed","direct migration background","3899.73","2304","3567","0","0","4656","9960","26256","3659.1","4140.36","0","90840","4304","4560"
"2018","Employed","indirect migration background","3821.5","2304","1309","0","0","4656","10296","25212","3480.47","4162.53","0","43824","3753","4560"
"2018","Employed","no migration background","2407.86","0","13093","0","0","4368","6840","16880","2329.19","2486.53","0","86400","2304","2304"
"2018","Not Employed","direct migration background","7371.18","4555.15","4541","0","0","11903","19560","39756","6987.46","7754.9","0","135312","12760","13680"
"2018","Not Employed","indirect migration background","8503.55","6720","510","1152","2304","11304","20208","42828","7743.91","9263.19","0","55996","6960","7968"
"2018","Not Employed","no migration background","2308.06","0","6870","0","0","2328","8436","22000","2162.75","2453.37","0","66182","0","0"
"2019","Employed","direct migration background","4160.04","2328","3553","0","0","4680","11328","30000","3897.18","4422.9","0","58956","4100","4560"
"2019","Employed","indirect migration background","4034.6","2328","1317","0","0","4800","10234","23544","3722.91","4346.29","0","44112","2340","3600"
"2019","Employed","no migration background","2479.61","0","13714","0","0","4416","6960","18816","2408.22","2551","0","51516","2304","2328"
"2019","Not Employed","direct migration background","7545.3","4386.39","3710","0","0","12456","20400","39972","7149.7","7940.9","0","90144","14832","15804"
"2019","Not Employed","indirect migration background","10048.81","6054.57","465","0","2700","14160","22227","44832","9106.14","10991.48","0","54588","6936","7788"
"2019","Not Employed","no migration background","2381.89","0","6908","0","0","2347","8496","23040","2243.38","2520.4","0","54588","0","0"
