"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2014","in school","West Germany","","","","","","","","","","","","","",""
"2014","inadequately","East Germany","","","","","","","","","","","","","",""
"2014","inadequately","West Germany","","","","","","","","","","","","","",""
"2014","middle vocational","East Germany","16.32","13","348","4","8","20","30","56","14.28","18.36","1","200","12","16"
"2014","middle vocational","West Germany","31.69","22","2038","9","13","40","70","136","30.37","33.01","1","350","20","24"
"2014","vocational + Abi","East Germany","17.08","14.96","59","8","10","25","28","40","14.4","19.76","1","56","15","20"
"2014","vocational + Abi","West Germany","38.66","29","451","9","17","45","70","300","34.58","42.74","1","480","25","30"
"2015","general elemantary","East Germany","","","","","","","","","","","","","",""
"2015","general elemantary","West Germany","","","","","","","","","","","","","",""
"2015","higher education","East Germany","","","","","","","","","","","","","",""
"2015","higher education","West Germany","","","","","","","","","","","","","",""
"2015","higher vocational","East Germany","","","","","","","","","","","","","",""
"2015","higher vocational","West Germany","","","","","","","","","","","","","",""
"2015","in school","East Germany","","","","","","","","","","","","","",""
"2015","in school","West Germany","","","","","","","","","","","","","",""
"2015","inadequately","East Germany","","","","","","","","","","","","","",""
"2015","inadequately","West Germany","","","","","","","","","","","","","",""
"2015","middle vocational","East Germany","","","","","","","","","","","","","",""
"2015","middle vocational","West Germany","","","","","","","","","","","","","",""
"2015","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"2015","vocational + Abi","West Germany","","","","","","","","","","","","","",""
"2016","general elemantary","East Germany","","","","","","","","","","","","","",""
"2016","general elemantary","West Germany","29.64","21.18","162","10","15","40","60","114","25.72","33.56","1","177","20","25"
"2016","higher education","East Germany","21.49","20","228","5","12","25","40","100","19.05","23.93","1","120","15","20"
"2016","higher education","West Germany","40.02","30","811","8","15","54","80","200","37.35","42.69","1","300","30","34"
"2016","higher vocational","East Germany","18.16","15","51","1","7","27","32","80","13.01","23.31","1","80","14","23"
"2016","higher vocational","West Germany","40.55","25","244","10","17","50","75","300","36.17","44.93","1","300","21","30"
"2016","in school","East Germany","","","","","","","","","","","","","",""
"2016","in school","West Germany","","","","","","","","","","","","","",""
"2016","inadequately","East Germany","","","","","","","","","","","","","",""
"2016","inadequately","West Germany","","","","","","","","","","","","","",""
"2016","middle vocational","East Germany","17.43","17","278","4","10","24","30","54","16.04","18.82","1","60","14","18"
"2016","middle vocational","West Germany","33.76","25","1550","10","15","44","70","140","32.15","35.37","1","540","22","25"
"2016","vocational + Abi","East Germany","17.79","20","52","7","10","25","28","38","15.02","20.56","1","38","10","23"
"2016","vocational + Abi","West Germany","37.84","28","375","10","18","40","70","350","33.81","41.87","1","410","25","28"
"2017","general elemantary","East Germany","","","","","","","","","","","","","",""
"2017","general elemantary","West Germany","","","","","","","","","","","","","",""
"2017","higher education","East Germany","","","","","","","","","","","","","",""
"2017","higher education","West Germany","","","","","","","","","","","","","",""
"2017","higher vocational","East Germany","","","","","","","","","","","","","",""
"2017","higher vocational","West Germany","","","","","","","","","","","","","",""
"2017","in school","East Germany","","","","","","","","","","","","","",""
"2017","in school","West Germany","","","","","","","","","","","","","",""
"2017","inadequately","East Germany","","","","","","","","","","","","","",""
"2017","inadequately","West Germany","","","","","","","","","","","","","",""
"2017","middle vocational","East Germany","","","","","","","","","","","","","",""
"2017","middle vocational","West Germany","","","","","","","","","","","","","",""
