"plh0177","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"10 Completely satisfied","1985","Employed","higher education","137","0.226496892532504","0.193144072576314","0.259849712488693","10"
"10 Completely satisfied","1985","Not Employed","middle vocational","530","0.323090597771757","0.300938051927165","0.345243143616349","10"
"10 Completely satisfied","1985","Employed","vocational + Abi","44","0.233915467314344","0.174951959439128","0.29287897518956","10"
"2 on Scale 1 to 10","1985","Not Employed","in school","3","","","","2"
"2 on Scale 1 to 10","1985","Not Employed","general elemantary","19","","","","2"
"2 on Scale 1 to 10","1985","Not Employed","higher education","5","","","","2"
"2 on Scale 1 to 10","1985","Not Employed","inadequately","12","","","","2"
"2 on Scale 1 to 10","1985","Not Employed","higher vocational","2","","","","2"
"2 on Scale 1 to 10","1985","Not Employed","middle vocational","23","","","","2"
"2 on Scale 1 to 10","1985","Not Employed","vocational + Abi","2","","","","2"
"2 on Scale 1 to 10","1985","Employed","in school","","","","","2"
"2 on Scale 1 to 10","1985","Employed","inadequately","16","","","","2"
"2 on Scale 1 to 10","1985","Employed","general elemantary","40","0.0180845533277495","0.0113699622923462","0.0247991443631527","2"
"2 on Scale 1 to 10","1985","Employed","higher education","11","","","","2"
"2 on Scale 1 to 10","1985","Employed","middle vocational","51","0.0128530508042746","0.00909330504316365","0.0166127965653855","2"
"2 on Scale 1 to 10","1985","Employed","vocational + Abi","5","","","","2"
"2 on Scale 1 to 10","1985","Employed","higher vocational","7","","","","2"
"3 on Scale 1 to 10","1985","Not Employed","inadequately","20","","","","3"
"3 on Scale 1 to 10","1985","Not Employed","in school","5","","","","3"
"3 on Scale 1 to 10","1985","Employed","general elemantary","71","0.040947918100935","0.0309625142040445","0.0509333219978255","3"
"3 on Scale 1 to 10","1985","Employed","middle vocational","106","0.0271554780214575","0.0217302885857871","0.0325806674571279","3"
"3 on Scale 1 to 10","1985","Not Employed","general elemantary","39","0.0146434637041157","0.00860474352977126","0.0206821838784601","3"
"3 on Scale 1 to 10","1985","Not Employed","middle vocational","42","0.0187193752964267","0.0122993239951372","0.0251394265977162","3"
"3 on Scale 1 to 10","1985","Not Employed","vocational + Abi","8","","","","3"
"3 on Scale 1 to 10","1985","Not Employed","higher vocational","4","","","","3"
"3 on Scale 1 to 10","1985","Not Employed","higher education","","","","","3"
"3 on Scale 1 to 10","1985","Employed","in school","","","","","3"
"3 on Scale 1 to 10","1985","Employed","inadequately","27","","","","3"
"3 on Scale 1 to 10","1985","Employed","vocational + Abi","11","","","","3"
"3 on Scale 1 to 10","1985","Employed","higher vocational","6","","","","3"
"3 on Scale 1 to 10","1985","Employed","higher education","19","","","","3"
"4 on Scale 1 to 10","1985","Not Employed","higher vocational","2","","","","4"
"4 on Scale 1 to 10","1985","Not Employed","higher education","5","","","","4"
"4 on Scale 1 to 10","1985","Not Employed","inadequately","20","","","","4"
"4 on Scale 1 to 10","1985","Not Employed","general elemantary","39","0.0206063723167657","0.0134646048560751","0.0277481397774563","4"
"4 on Scale 1 to 10","1985","Not Employed","middle vocational","48","0.0234650474370301","0.0162945245672374","0.0306355703068229","4"
"4 on Scale 1 to 10","1985","Not Employed","vocational + Abi","1","","","","4"
