"party","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"SPD","1986","Single parent ","East Germany","","","","","2"
"SPD","1986","Single parent ","West Germany","109","0.480623733226004","0.414752527857446","0.546494938594561","2"
"SPD","1986","(Married) couple without C. ","East Germany","","","","","2"
"SPD","1986","Couple + C. LE 16 ","West Germany","721","0.512365064667309","0.484939226136389","0.539790903198229","2"
"SPD","1986","1-pers.-HH","East Germany","","","","","2"
"SPD","1986","(Married) couple without C. ","West Germany","644","0.45800725404101","0.431824372474885","0.484190135607135","2"
"SPD","1986","Couple + C. LE 16 ","East Germany","","","","","2"
"SPD","1986","Couple + C. GT 16 ","West Germany","494","0.425670038788484","0.396016280545406","0.455323797031561","2"
"SPD","1986","Couple + C. GT 16 ","East Germany","","","","","2"
"SPD","1986","1-pers.-HH","West Germany","305","0.464835034086475","0.425764064541647","0.503906003631303","2"
"SPD","1986","Couple + C. LE and GT 16","West Germany","286","0.387415926814559","0.34810677516537","0.426725078463748","2"
"SPD","1986","Couple + C. LE and GT 16","East Germany","","","","","2"
"AfD","1987","(Married) couple without C. ","East Germany","","","","","7"
"AfD","1987","Single parent ","West Germany","","","","","7"
"AfD","1987","Single parent ","East Germany","","","","","7"
"AfD","1987","Couple + C. LE 16 ","West Germany","","","","","7"
"AfD","1987","Couple + C. LE 16 ","East Germany","","","","","7"
"AfD","1987","Couple + C. GT 16 ","West Germany","","","","","7"
"AfD","1987","Couple + C. GT 16 ","East Germany","","","","","7"
"AfD","1987","Couple + C. LE and GT 16","West Germany","","","","","7"
"AfD","1987","Couple + C. LE and GT 16","East Germany","","","","","7"
"AfD","1987","1-pers.-HH","West Germany","","","","","7"
"AfD","1987","1-pers.-HH","East Germany","","","","","7"
"AfD","1987","(Married) couple without C. ","West Germany","","","","","7"
"CDU/CSU","1987","1-pers.-HH","West Germany","276","0.436137722510373","0.398390093933909","0.473885351086837","1"
"CDU/CSU","1987","Single parent ","East Germany","","","","","1"
"CDU/CSU","1987","Couple + C. LE 16 ","West Germany","454","0.397191511899347","0.370623103276619","0.423759920522076","1"
"CDU/CSU","1987","Couple + C. LE and GT 16","East Germany","","","","","1"
"CDU/CSU","1987","1-pers.-HH","East Germany","","","","","1"
"CDU/CSU","1987","Single parent ","West Germany","98","0.389293861342852","0.331241703683821","0.447346019001884","1"
"CDU/CSU","1987","Couple + C. LE 16 ","East Germany","","","","","1"
"CDU/CSU","1987","Couple + C. GT 16 ","West Germany","534","0.480990200083111","0.452697423176962","0.509282976989259","1"
"CDU/CSU","1987","(Married) couple without C. ","East Germany","","","","","1"
"CDU/CSU","1987","(Married) couple without C. ","West Germany","669","0.467724465479564","0.442286980505199","0.493161950453929","1"
"CDU/CSU","1987","Couple + C. GT 16 ","East Germany","","","","","1"
"CDU/CSU","1987","Couple + C. LE and GT 16","West Germany","252","0.522777130052749","0.482127835930032","0.563426424175466","1"
"FDP","1987","Couple + C. GT 16 ","West Germany","57","0.0513247967318778","0.0388296294265735","0.0638199640371822","3"
"FDP","1987","Couple + C. GT 16 ","East Germany","","","","","3"
"FDP","1987","1-pers.-HH","West Germany","45","0.0701115517691537","0.0506757910875944","0.089547312450713","3"
"FDP","1987","1-pers.-HH","East Germany","","","","","3"
